date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,1328013.0,16034942.0,-17362955.0,3986625.0,-2658612.0,1.01,12.18,-13.19,3.03,-2.02,6.92,-0.86,0.0,0.0
2020-01-09,11704661.0,921268.0,-12625929.0,7406286.0,4298375.0,10.87,0.86,-11.72,6.88,3.99,7.01,1.3,0.0,0.0
2020-01-10,4099789.0,2507982.0,-6607771.0,-4623173.0,8722962.0,4.6,2.81,-7.41,-5.18,9.78,7.03,0.29,0.0,0.0
2020-01-13,46336850.0,-27330528.0,-19006323.0,8815259.0,37521591.0,15.39,-9.08,-6.31,2.93,12.46,7.28,3.56,0.0,0.0
2020-01-14,-2675451.0,622199.0,2053253.0,4068559.0,-6744010.0,-2.21,0.51,1.69,3.36,-5.56,7.21,-0.96,0.0,0.0
2020-01-15,-14515798.0,14381411.0,134388.0,-7711322.0,-6804476.0,-14.67,14.53,0.14,-7.79,-6.88,7.17,-0.55,0.0,0.0
2020-01-16,-1622404.0,13792194.0,-12169789.0,-5668599.0,4046195.0,-1.63,13.84,-12.21,-5.69,4.06,7.24,0.98,0.0,0.0
2020-01-17,-3231619.0,7316078.0,-4084460.0,5435490.0,-8667109.0,-3.08,6.96,-3.89,5.17,-8.25,7.18,-0.83,0.0,0.0
2020-01-20,-14346156.0,16438919.0,-2092763.0,-1809313.0,-12536843.0,-13.86,15.89,-2.02,-1.75,-12.12,7.21,0.42,0.0,0.0
2020-01-21,-13131733.0,22916694.0,-9784961.0,-12429475.0,-702258.0,-11.41,19.9,-8.5,-10.8,-0.61,7.05,-2.22,0.0,0.0
2020-01-22,-4806652.0,14930686.0,-10124033.0,-1797517.0,-3009135.0,-4.72,14.65,-9.94,-1.76,-2.95,7.01,-0.57,0.0,0.0
2020-01-23,-48451043.0,40428588.0,8022456.0,-23713903.0,-24737140.0,-23.49,19.6,3.89,-11.5,-11.99,6.72,-4.14,0.0,0.0
2020-02-03,-47980542.0,37204232.0,10776310.0,-13202633.0,-34777909.0,-12.8,9.92,2.87,-3.52,-9.28,6.12,-8.93,0.0,0.0
2020-02-04,-10132443.0,-4845595.0,14978039.0,-15926004.0,5793561.0,-4.26,-2.04,6.3,-6.7,2.44,6.36,3.92,0.0,0.0
2020-02-05,-19814551.0,885549.0,18929001.0,-16592332.0,-3222219.0,-12.75,0.57,12.18,-10.68,-2.07,6.37,0.16,0.0,0.0
2020-02-06,-21692592.0,-6497257.0,28189850.0,-7688189.0,-14004403.0,-13.9,-4.16,18.07,-4.93,-8.98,6.42,0.78,0.0,0.0
2020-02-07,-1441321.0,-14058056.0,15499376.0,-9256497.0,7815176.0,-0.65,-6.33,6.98,-4.17,3.52,6.67,3.89,0.0,0.0
2020-02-10,-6036603.0,-7406452.0,13443053.0,-5449774.0,-586829.0,-5.03,-6.18,11.21,-4.54,-0.49,6.62,-0.75,0.0,0.0
2020-02-11,-3150997.0,-10925925.0,14076921.0,-3831658.0,680661.0,-2.8,-9.69,12.49,-3.4,0.6,6.57,-0.76,0.0,0.0
2020-02-12,1585183.0,-3185466.0,1600283.0,2364262.0,-779079.0,1.83,-3.68,1.85,2.73,-0.9,6.6,0.46,0.0,0.0
2020-02-13,-17006733.0,-7497634.0,24504366.0,-9156047.0,-7850686.0,-12.2,-5.38,17.58,-6.57,-5.63,6.51,-1.36,0.0,0.0
