date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-380373.0,3092915.0,-2712544.0,-380373.0,0.0,-1.84,14.99,-13.14,-1.84,0.0,16.03,-1.6,0.0,0.0
2020-01-09,620294.0,66034.0,-686329.0,620294.0,0.0,3.9,0.42,-4.32,3.9,0.0,16.16,0.81,0.0,0.0
2020-01-10,48840.0,158376.0,-207216.0,48840.0,0.0,0.44,1.44,-1.89,0.44,0.0,16.17,0.06,0.0,0.0
2020-01-13,336163.0,1166288.0,-1502452.0,336163.0,0.0,2.6,9.0,-11.6,2.6,0.0,16.2,0.19,0.0,0.0
2020-01-14,3773137.0,-2636555.0,-1136584.0,2455989.0,1317148.0,16.4,-11.46,-4.94,10.68,5.73,16.39,1.17,0.0,0.0
2020-01-15,-1484839.0,1221765.0,263074.0,-1484839.0,0.0,-11.49,9.45,2.04,-11.49,0.0,16.3,-0.55,0.0,0.0
2020-01-16,3613166.0,-2872904.0,-740263.0,3613166.0,0.0,13.05,-10.37,-2.67,13.05,0.0,16.55,1.53,0.0,0.0
2020-01-17,-680029.0,282625.0,397404.0,-680029.0,0.0,-4.48,1.86,2.62,-4.48,0.0,16.45,-0.6,0.0,0.0
2020-01-20,-1207729.0,1803506.0,-595778.0,-91169.0,-1116560.0,-5.97,8.91,-2.94,-0.45,-5.52,16.42,-0.18,0.0,0.0
2020-01-21,-6537738.0,4894257.0,1643481.0,-2472810.0,-4064928.0,-22.43,16.79,5.64,-8.48,-13.95,16.01,-2.5,0.0,0.0
2020-01-22,-2860742.0,4352614.0,-1491872.0,-2860742.0,0.0,-12.49,19.0,-6.51,-12.49,0.0,15.9,-0.69,0.0,0.0
2020-01-23,4516492.0,-2859178.0,-1657314.0,4421755.0,94737.0,12.88,-8.16,-4.73,12.61,0.27,16.01,0.69,0.0,0.0
2020-02-03,-71487.0,909558.0,-838071.0,-71487.0,0.0,-2.9,36.87,-33.97,-2.9,0.0,15.21,-5.0,0.0,0.0
2020-02-04,-15736840.0,15212406.0,524435.0,-15385705.0,-351135.0,-21.0,20.3,0.7,-20.53,-0.47,14.46,-4.93,0.0,0.0
2020-02-05,-592253.0,1340983.0,-748729.0,-521037.0,-71216.0,-1.46,3.31,-1.85,-1.29,-0.18,14.6,0.97,0.0,0.0
2020-02-06,-4700362.0,5198974.0,-498612.0,-1248595.0,-3451767.0,-11.96,13.23,-1.27,-3.18,-8.79,14.61,0.07,0.0,0.0
2020-02-07,-1386601.0,2845039.0,-1458438.0,-1525513.0,138912.0,-4.57,9.38,-4.81,-5.03,0.46,14.56,-0.34,0.0,0.0
2020-02-10,1872721.0,-1457356.0,-415365.0,728741.0,1143980.0,5.08,-3.96,-1.13,1.98,3.11,14.89,2.27,0.0,0.0
2020-02-11,-650159.0,-896414.0,1546576.0,1108661.0,-1758820.0,-2.1,-2.9,5.0,3.58,-5.68,14.88,-0.07,0.0,0.0
2020-02-12,93149.0,-398020.0,304871.0,93149.0,0.0,0.47,-2.01,1.54,0.47,0.0,15.02,0.94,0.0,0.0
2020-02-13,-4123001.0,4079023.0,43977.0,-4123001.0,0.0,-15.59,15.42,0.17,-15.59,0.0,14.74,-1.86,0.0,0.0
2020-02-14,-2881675.0,1266856.0,1614820.0,-1535656.0,-1346019.0,-15.25,6.7,8.54,-8.13,-7.12,14.74,0.0,0.0,0.0
2020-02-17,-2123394.0,-592647.0,2716041.0,-353032.0,-1770362.0,-7.89,-2.2,10.09,-1.31,-6.58,15.02,1.9,0.0,0.0
2020-02-18,1469273.0,-2186702.0,717428.0,1432793.0,36480.0,5.97,-8.88,2.91,5.82,0.15,15.23,1.4,0.0,0.0
2020-02-19,408352.0,-577757.0,169405.0,408352.0,0.0,1.78,-2.51,0.74,1.78,0.0,15.12,-0.72,0.0,0.0
2020-02-20,-840147.0,-282470.0,1122618.0,-840147.0,0.0,-3.49,-1.17,4.66,-3.49,0.0,15.23,0.73,0.0,0.0
2020-02-21,-2564526.0,992127.0,1572400.0,-350478.0,-2214048.0,-7.7,2.98,4.72,-1.05,-6.65,15.25,0.13,0.0,0.0
2020-02-24,-1922443.0,4578548.0,-2656105.0,-750465.0,-1171978.0,-4.44,10.56,-6.13,-1.73,-2.7,14.98,-1.77,0.0,0.0
2020-02-25,-9005292.0,11070950.0,-2065657.0,-9488934.0,483642.0,-13.68,16.82,-3.14,-14.41,0.73,14.58,-2.67,0.0,0.0
2020-02-26,391312.0,-472320.0,81008.0,-1878335.0,2269647.0,0.92,-1.11,0.19,-4.4,5.32,14.67,0.62,0.0,0.0
2020-02-27,-2261961.0,1227937.0,1034024.0,-2261961.0,0.0,-9.72,5.28,4.44,-9.72,0.0,14.74,0.48,0.0,0.0
2020-02-28,-8742772.0,6525578.0,2217195.0,-6607920.0,-2134852.0,-18.6,13.88,4.72,-14.06,-4.54,14.13,-4.14,0.0,0.0
2020-03-02,-99178.0,1090458.0,-991281.0,-1436665.0,1337487.0,-0.38,4.16,-3.78,-5.48,5.1,14.47,2.41,0.0,0.0
2020-03-03,1094332.0,-1507581.0,413249.0,906880.0,187452.0,3.7,-5.1,1.4,3.07,0.63,14.56,0.62,0.0,0.0
2020-03-04,408402.0,518162.0,-926564.0,233074.0,175328.0,2.24,2.85,-5.09,1.28,0.96,14.56,0.0,0.0,0.0
2020-03-05,42085.0,-914589.0,872503.0,42085.0,0.0,0.15,-3.3,3.15,0.15,0.0,14.76,1.37,0.0,0.0
2020-03-06,-2956661.0,2306279.0,650383.0,-2956661.0,0.0,-13.66,10.66,3.01,-13.66,0.0,14.63,-0.88,0.0,0.0
2020-03-09,-3900115.0,5413633.0,-1513517.0,-3900115.0,0.0,-12.51,17.36,-4.85,-12.51,0.0,14.26,-2.53,0.0,0.0
2020-03-10,-3161618.0,4266240.0,-1104622.0,-3161618.0,0.0,-9.49,12.81,-3.32,-9.49,0.0,14.28,0.14,0.0,0.0
2020-03-11,763621.0,-1625768.0,862146.0,-74252.0,837873.0,2.49,-5.31,2.81,-0.24,2.74,14.34,0.42,0.0,0.0
2020-03-12,272901.0,1953897.0,-2226798.0,-2148947.0,2421848.0,0.93,6.65,-7.58,-7.31,8.24,14.27,-0.49,0.0,0.0
2020-03-13,1107143.0,276080.0,-1383223.0,-315028.0,1422171.0,2.72,0.68,-3.39,-0.77,3.49,14.2,-0.49,0.0,0.0
