date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-3802915.0,4181143.0,-378229.0,-3802915.0,0.0,-9.91,10.9,-0.99,-9.91,0.0,3.7,-3.14,0.0,0.0
2020-01-09,1726851.0,-1282306.0,-444545.0,1726851.0,0.0,6.78,-5.04,-1.75,6.78,0.0,3.78,2.16,0.0,0.0
2020-01-10,-7371795.0,4071968.0,3299827.0,-5180580.0,-2191215.0,-19.13,10.57,8.56,-13.44,-5.69,3.7,-2.12,0.0,0.0
2020-01-13,-3282368.0,2654917.0,627452.0,-2191008.0,-1091360.0,-10.83,8.76,2.07,-7.23,-3.6,3.74,1.08,0.0,0.0
2020-01-14,-2495150.0,1214711.0,1280439.0,-2495150.0,0.0,-8.76,4.26,4.49,-8.76,0.0,3.67,-1.87,0.0,0.0
2020-01-15,-2437355.0,1840883.0,596473.0,-2437355.0,0.0,-7.93,5.99,1.94,-7.93,0.0,3.64,-0.82,0.0,0.0
2020-01-16,-2540051.0,3353155.0,-813104.0,-2540051.0,0.0,-9.68,12.78,-3.1,-9.68,0.0,3.59,-1.37,0.0,0.0
2020-01-17,1430598.0,-1344296.0,-86303.0,-351987.0,1782585.0,5.06,-4.76,-0.31,-1.25,6.31,3.55,-1.11,0.0,0.0
2020-01-20,-871764.0,1577518.0,-705754.0,-871764.0,0.0,-3.04,5.5,-2.46,-3.04,0.0,3.6,1.41,0.0,0.0
2020-01-21,400093.0,1525878.0,-1925970.0,347320.0,52773.0,1.74,6.65,-8.39,1.51,0.23,3.56,-1.11,0.0,0.0
2020-01-22,-1567296.0,663296.0,904001.0,-1567296.0,0.0,-4.84,2.05,2.79,-4.84,0.0,3.54,-0.56,0.0,0.0
2020-01-23,-2434833.0,4893340.0,-2458507.0,-2434833.0,0.0,-6.73,13.53,-6.8,-6.73,0.0,3.34,-5.65,0.0,0.0
2020-02-03,-2836323.0,1786736.0,1049587.0,-1010156.0,-1826167.0,-74.51,46.94,27.57,-26.54,-47.98,3.01,-9.88,0.0,0.0
2020-02-04,-2886977.0,716991.0,2169986.0,-2865227.0,-21750.0,-7.25,1.8,5.45,-7.19,-0.05,2.9,-3.65,0.0,0.0
2020-02-05,467115.0,-297301.0,-169815.0,467115.0,0.0,1.64,-1.04,-0.6,1.64,0.0,3.0,3.45,0.0,0.0
2020-02-06,-2321219.0,-85910.0,2407129.0,-2321219.0,0.0,-8.38,-0.31,8.69,-8.38,0.0,3.07,2.33,0.0,0.0
2020-02-07,-1520191.0,1617725.0,-97534.0,-1520191.0,0.0,-5.61,5.97,-0.36,-5.61,0.0,3.12,1.63,0.0,0.0
2020-02-10,-1945157.0,366515.0,1578642.0,1641109.0,-3586266.0,-7.67,1.44,6.22,6.47,-14.14,3.15,0.96,0.0,0.0
2020-02-11,-3028213.0,2672071.0,356142.0,-3028213.0,0.0,-13.18,11.63,1.55,-13.18,0.0,3.11,-1.27,0.0,0.0
2020-02-12,1870527.0,545946.0,-2416474.0,1870527.0,0.0,5.08,1.48,-6.56,5.08,0.0,3.2,2.89,0.0,0.0
2020-02-13,-2090724.0,2330004.0,-239278.0,-2090724.0,0.0,-5.69,6.34,-0.65,-5.69,0.0,3.19,-0.31,0.0,0.0
2020-02-14,1204978.0,894779.0,-2099757.0,1204978.0,0.0,3.25,2.41,-5.66,3.25,0.0,3.22,0.94,0.0,0.0
2020-02-17,837202.0,-510975.0,-326227.0,1247351.0,-410149.0,1.8,-1.1,-0.7,2.67,-0.88,3.34,3.73,0.0,0.0
2020-02-18,2935019.0,-6519705.0,3584687.0,4543007.0,-1607988.0,4.49,-9.96,5.48,6.94,-2.46,3.47,3.89,0.0,0.0
2020-02-19,39410157.0,-22457916.0,-16952241.0,10660197.0,28749960.0,23.34,-13.3,-10.04,6.31,17.03,3.82,10.09,0.0,0.0
2020-02-20,26521210.0,-15882727.0,-10638484.0,8469844.0,18051366.0,19.08,-11.43,-7.66,6.09,12.99,4.2,9.95,0.0,0.0
2020-02-21,23436803.0,-12463045.0,-10973758.0,10830463.0,12606340.0,14.25,-7.58,-6.67,6.58,7.66,4.62,10.0,0.0,0.0
2020-02-24,14077879.0,-6452347.0,-7625532.0,-6425590.0,20503469.0,21.42,-9.82,-11.6,-9.78,31.2,5.08,9.96,0.0,0.0
2020-02-25,11109761.0,-7981525.0,-3128236.0,2222606.0,8887155.0,8.67,-6.23,-2.44,1.73,6.93,5.59,10.04,0.0,0.0
2020-02-26,-26811200.0,18305796.0,8505393.0,-11332768.0,-15478432.0,-2.39,1.63,0.76,-1.01,-1.38,6.15,10.02,0.0,0.0
2020-02-27,64510425.0,-20800889.0,-43709552.0,-36363656.0,100874081.0,5.39,-1.74,-3.65,-3.04,8.43,6.77,10.08,0.0,0.0
2020-02-28,-64410720.0,40511899.0,23898821.0,10004590.0,-74415310.0,-23.15,14.56,8.59,3.6,-26.74,6.09,-10.04,0.0,0.0
2020-03-02,-213124474.0,150976816.0,62147664.0,-96589893.0,-116534581.0,-16.23,11.5,4.73,-7.36,-8.88,5.54,-9.03,0.0,0.0
2020-03-03,-61294019.0,37098528.0,24195488.0,-11334431.0,-49959588.0,-6.26,3.79,2.47,-1.16,-5.1,5.52,-0.36,0.0,0.0
2020-03-04,-56290130.0,48901148.0,7388989.0,-30609912.0,-25680218.0,-7.75,6.73,1.02,-4.21,-3.54,5.13,-7.07,0.0,0.0
2020-03-05,81199018.0,-48499857.0,-32699168.0,3443862.0,77755156.0,9.55,-5.7,-3.85,0.4,9.14,5.64,9.94,0.0,0.0
2020-03-06,-81792843.0,65303253.0,16489584.0,-45236693.0,-36556150.0,-10.77,8.6,2.17,-5.96,-4.81,5.32,-5.67,0.0,0.0
2020-03-09,-31495885.0,46425656.0,-14929772.0,-20252848.0,-11243037.0,-7.1,10.46,-3.36,-4.56,-2.53,4.98,-6.39,0.0,0.0
2020-03-10,240005088.0,-122700593.0,-117304487.0,14771046.0,225234042.0,32.47,-16.6,-15.87,2.0,30.48,5.48,10.04,0.0,0.0
2020-03-11,-171440028.0,122055177.0,49384853.0,-68660957.0,-102779071.0,-19.88,14.16,5.73,-7.96,-11.92,5.15,-6.02,0.0,0.0
2020-03-12,-21294006.0,27922296.0,-6628290.0,-13301526.0,-7992480.0,-5.09,6.68,-1.59,-3.18,-1.91,4.9,-4.85,0.0,0.0
2020-03-13,-5267655.0,3136722.0,2130933.0,837912.0,-6105567.0,-1.35,0.8,0.54,0.21,-1.56,4.94,0.82,0.0,0.0
2020-03-16,-43402727.0,43344715.0,58012.0,-30476694.0,-12926033.0,-12.69,12.67,0.02,-8.91,-3.78,4.47,-9.51,0.0,0.0
2020-03-17,4462589.0,-2885964.0,-1576625.0,2826695.0,1635894.0,1.89,-1.22,-0.67,1.2,0.69,4.55,1.79,0.0,0.0
2020-03-18,-20319221.0,15089284.0,5229937.0,-12460967.0,-7858254.0,-7.25,5.38,1.87,-4.45,-2.8,4.4,-3.3,0.0,0.0
2020-03-19,-2367268.0,-2434382.0,4801650.0,-4680277.0,2313009.0,-0.92,-0.95,1.87,-1.82,0.9,4.55,3.41,0.0,0.0
2020-03-20,-22614476.0,13090003.0,9524474.0,-12397786.0,-10216690.0,-11.74,6.8,4.95,-6.44,-5.31,4.49,-1.32,0.0,0.0
2020-03-23,-16201198.0,23701035.0,-7499836.0,-14638671.0,-1562527.0,-9.17,13.42,-4.25,-8.29,-0.88,4.14,-7.8,0.0,0.0
2020-03-24,11893128.0,-11694273.0,-198857.0,6115931.0,5777197.0,6.78,-6.67,-0.11,3.49,3.29,4.3,3.86,0.0,0.0
2020-03-25,-9327953.0,11979004.0,-2651051.0,-13548816.0,4220863.0,-4.78,6.14,-1.36,-6.95,2.16,4.35,1.16,0.0,0.0
2020-03-26,-12534541.0,13574572.0,-1040031.0,-10663391.0,-1871150.0,-9.21,9.98,-0.76,-7.84,-1.38,4.23,-2.76,0.0,0.0
2020-03-27,-7000565.0,8539588.0,-1539022.0,-1961972.0,-5038593.0,-5.75,7.01,-1.26,-1.61,-4.14,4.15,-1.89,0.0,0.0
2020-03-30,-10913176.0,12823801.0,-1910625.0,-9461482.0,-1451694.0,-8.53,10.03,-1.49,-7.4,-1.13,4.04,-2.65,0.0,0.0
2020-03-31,34339766.0,-16928025.0,-17411742.0,8018326.0,26321440.0,9.6,-4.73,-4.87,2.24,7.36,4.24,4.95,0.0,0.0
2020-04-01,-27259673.0,22600991.0,4658683.0,-25469096.0,-1790577.0,-9.55,7.92,1.63,-8.92,-0.63,4.29,1.18,0.0,0.0
