date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-66351466.0,53799893.0,12551573.0,-37079341.0,-29272125.0,-14.38,11.66,2.72,-8.04,-6.35,13.89,-2.25,0.0,0.0
2020-01-09,101563683.0,-56130776.0,-45432912.0,23755312.0,77808371.0,11.53,-6.37,-5.16,2.7,8.83,14.69,5.76,0.0,0.0
2020-01-10,-70126842.0,40501507.0,29625335.0,-28678683.0,-41448159.0,-10.89,6.29,4.6,-4.45,-6.44,14.41,-1.91,0.0,0.0
2020-01-13,-13571897.0,5391821.0,8180076.0,-13173352.0,-398545.0,-3.07,1.22,1.85,-2.98,-0.09,14.61,1.39,0.0,0.0
2020-01-14,-60624274.0,39765894.0,20858380.0,-20320200.0,-40304074.0,-13.04,8.55,4.49,-4.37,-8.67,14.26,-2.4,0.0,0.0
2020-01-15,-24005837.0,22953504.0,1052332.0,-2221816.0,-21784021.0,-6.55,6.26,0.29,-0.61,-5.94,14.26,0.0,0.0,0.0
2020-01-16,-25135978.0,18599446.0,6536532.0,-18496811.0,-6639167.0,-6.39,4.73,1.66,-4.7,-1.69,14.13,-0.91,0.0,0.0
2020-01-17,-40175453.0,27961805.0,12213649.0,-7628132.0,-32547321.0,-13.19,9.18,4.01,-2.5,-10.68,14.03,-0.71,0.0,0.0
2020-01-20,4796997.0,-470490.0,-4326507.0,8715073.0,-3918076.0,1.43,-0.14,-1.29,2.59,-1.17,14.33,2.14,0.0,0.0
2020-01-21,-40592280.0,33470580.0,7121700.0,-10976687.0,-29615593.0,-12.32,10.16,2.16,-3.33,-8.99,13.98,-2.44,0.0,0.0
2020-01-22,-23126656.0,24403251.0,-1276595.0,-29699209.0,6572553.0,-5.72,6.03,-0.32,-7.34,1.62,14.03,0.36,0.0,0.0
2020-01-23,-184249274.0,134687400.0,49561883.0,-81921651.0,-102327623.0,-22.73,16.62,6.12,-10.11,-12.63,12.8,-8.77,0.0,0.0
2020-02-03,-9971469.0,9320360.0,651110.0,-6491208.0,-3480261.0,-36.72,34.32,2.4,-23.9,-12.81,11.52,-10.0,0.0,0.0
2020-02-04,-35979846.0,36036336.0,-56491.0,-10103759.0,-25876087.0,-7.16,7.17,-0.01,-2.01,-5.15,11.03,-4.25,0.0,0.0
2020-02-05,-26592477.0,24970361.0,1622116.0,-8616671.0,-17975806.0,-6.64,6.24,0.41,-2.15,-4.49,11.37,3.08,0.0,0.0
2020-02-06,4350252.0,-7458700.0,3108448.0,867617.0,3482635.0,1.34,-2.3,0.96,0.27,1.08,11.54,1.5,0.0,0.0
2020-02-07,-6919203.0,6922963.0,-3761.0,-5578866.0,-1340337.0,-2.07,2.07,-0.0,-1.67,-0.4,11.71,1.47,0.0,0.0
2020-02-10,-20870915.0,7959189.0,12911727.0,-7480172.0,-13390743.0,-5.83,2.22,3.61,-2.09,-3.74,11.95,2.05,0.0,0.0
2020-02-11,-27739433.0,19955848.0,7783584.0,-17567185.0,-10172248.0,-10.47,7.53,2.94,-6.63,-3.84,11.78,-1.42,0.0,0.0
2020-02-12,-9307705.0,-6746714.0,16054418.0,-9995557.0,687852.0,-3.01,-2.18,5.19,-3.23,0.22,12.02,2.04,0.0,0.0
2020-02-13,-35159331.0,19657866.0,15501466.0,-10795002.0,-24364329.0,-11.35,6.35,5.01,-3.49,-7.87,11.97,-0.42,0.0,0.0
2020-02-14,5149819.0,245945.0,-5395764.0,-4734596.0,9884415.0,0.97,0.05,-1.02,-0.9,1.87,12.41,3.68,0.0,0.0
2020-02-17,6034420.0,-9066752.0,3032331.0,4707081.0,1327339.0,1.37,-2.06,0.69,1.07,0.3,12.76,2.82,0.0,0.0
2020-02-18,2492184.0,-3678881.0,1186696.0,11560946.0,-9068762.0,0.54,-0.79,0.26,2.49,-1.96,13.01,1.96,0.0,0.0
2020-02-19,3761363.0,9656985.0,-13418350.0,8604662.0,-4843299.0,0.65,1.67,-2.32,1.49,-0.84,13.09,0.61,0.0,0.0
2020-02-20,-42556374.0,29202846.0,13353529.0,-34438800.0,-8117574.0,-8.11,5.57,2.54,-6.56,-1.55,13.22,0.99,0.0,0.0
2020-02-21,127602841.0,-41059552.0,-86543312.0,42576464.0,85026377.0,9.72,-3.13,-6.59,3.24,6.48,14.29,8.09,0.0,0.0
2020-02-24,-9230143.0,-11156976.0,20387120.0,-45297296.0,36067153.0,-0.61,-0.73,1.34,-2.98,2.37,15.1,5.67,0.0,0.0
2020-02-25,15017810.0,-8117072.0,-6900736.0,-7393520.0,22411330.0,0.87,-0.47,-0.4,-0.43,1.3,15.87,5.1,0.0,0.0
2020-02-26,-86877293.0,77182576.0,9694720.0,-40578144.0,-46299149.0,-5.73,5.09,0.64,-2.67,-3.05,15.06,-5.1,0.0,0.0
2020-02-27,-86471642.0,62300324.0,24171312.0,-24071568.0,-62400074.0,-8.54,6.15,2.39,-2.38,-6.16,14.7,-2.39,0.0,0.0
2020-02-28,-68912058.0,67217155.0,1694912.0,-18648032.0,-50264026.0,-7.38,7.2,0.18,-2.0,-5.38,13.7,-6.8,0.0,0.0
2020-03-02,14313501.0,-16722804.0,2409312.0,6325361.0,7988140.0,1.91,-2.23,0.32,0.84,1.06,14.41,5.18,0.0,0.0
2020-03-03,-71710778.0,48686241.0,23024528.0,-39088415.0,-32622363.0,-7.57,5.14,2.43,-4.13,-3.44,14.28,-0.9,0.0,0.0
2020-03-04,-46382382.0,32923149.0,13459233.0,-31683643.0,-14698739.0,-8.26,5.86,2.4,-5.64,-2.62,14.2,-0.56,0.0,0.0
2020-03-05,-37986922.0,23067913.0,14919008.0,-16988063.0,-20998859.0,-5.8,3.52,2.28,-2.59,-3.2,14.39,1.34,0.0,0.0
2020-03-06,-44509701.0,40777491.0,3732210.0,-20209632.0,-24300069.0,-9.23,8.46,0.77,-4.19,-5.04,14.11,-1.95,0.0,0.0
2020-03-09,-112882525.0,89167491.0,23715033.0,-75081022.0,-37801503.0,-18.18,14.36,3.82,-12.09,-6.09,13.33,-5.53,0.0,0.0
2020-03-10,100148016.0,-49873823.0,-50274192.0,20212336.0,79935680.0,9.58,-4.77,-4.81,1.93,7.65,14.5,8.78,0.0,0.0
2020-03-11,-48452082.0,22885376.0,25566704.0,-61402176.0,12950094.0,-2.82,1.33,1.49,-3.58,0.75,14.86,2.48,0.0,0.0
2020-03-12,145089831.0,-69189376.0,-75900464.0,40350352.0,104739479.0,8.1,-3.86,-4.24,2.25,5.85,15.64,5.25,0.0,0.0
2020-03-13,-105489964.0,59679744.0,45810224.0,1194928.0,-106684892.0,-7.02,3.97,3.05,0.08,-7.1,15.19,-2.88,0.0,0.0
2020-03-16,-285108516.0,192957255.0,92151248.0,-90117488.0,-194991028.0,-19.28,13.05,6.23,-6.09,-13.19,13.67,-10.01,0.0,0.0
2020-03-17,-14021513.0,12804617.0,1216896.0,4444792.0,-18466305.0,-1.77,1.61,0.15,0.56,-2.33,13.85,1.32,0.0,0.0
2020-03-18,-54046692.0,37149493.0,16897199.0,-35627538.0,-18419154.0,-7.39,5.08,2.31,-4.87,-2.52,13.41,-3.18,0.0,0.0
2020-03-19,6707723.0,-6033560.0,-674164.0,-497800.0,7205523.0,1.05,-0.95,-0.11,-0.08,1.13,13.9,3.65,0.0,0.0
2020-03-20,112880116.0,-54819725.0,-58060400.0,-13223552.0,126103668.0,9.82,-4.77,-5.05,-1.15,10.97,14.9,7.19,0.0,0.0
2020-03-23,-102461993.0,57803268.0,44658720.0,-54312080.0,-48149913.0,-8.15,4.6,3.55,-4.32,-3.83,14.51,-2.62,0.0,0.0
2020-03-24,-62729544.0,35353878.0,27375664.0,-52221536.0,-10508008.0,-5.85,3.3,2.55,-4.87,-0.98,14.85,2.34,0.0,0.0
2020-03-25,25659271.0,-23634384.0,-2024880.0,-20206464.0,45865735.0,2.07,-1.91,-0.16,-1.63,3.71,15.14,1.95,0.0,0.0
2020-03-26,-142978299.0,102637579.0,40340720.0,-73694516.0,-69283783.0,-16.78,12.04,4.73,-8.65,-8.13,14.56,-3.83,0.0,0.0
2020-03-27,-7213747.0,10241576.0,-3027824.0,2544580.0,-9758327.0,-0.86,1.22,-0.36,0.3,-1.16,14.58,0.14,0.0,0.0
2020-03-30,-114123406.0,71340740.0,42782664.0,-65725468.0,-48397938.0,-15.34,9.59,5.75,-8.83,-6.51,13.6,-6.72,0.0,0.0
2020-03-31,-75888385.0,57808228.0,18080157.0,-33027192.0,-42861193.0,-14.34,10.92,3.42,-6.24,-8.1,13.28,-2.35,0.0,0.0
2020-04-01,-34896819.0,36060576.0,-1163758.0,-17880830.0,-17015989.0,-7.15,7.38,-0.24,-3.66,-3.48,13.09,-1.43,0.0,0.0
2020-04-02,21459087.0,-13534954.0,-7924133.0,2472655.0,18986432.0,5.0,-3.15,-1.85,0.58,4.42,13.55,3.51,0.0,0.0
2020-04-03,-67115626.0,58005310.0,9110315.0,-48055982.0,-19059644.0,-18.43,15.93,2.5,-13.2,-5.23,13.11,-3.25,0.0,0.0
2020-04-07,13437951.0,-8273671.0,-5164281.0,12849901.0,588050.0,3.08,-1.9,-1.18,2.95,0.13,13.53,3.2,0.0,0.0
2020-04-08,303201127.0,-155396542.0,-147804592.0,19412064.0,283789063.0,22.79,-11.68,-11.11,1.46,21.33,14.88,9.98,0.0,0.0
2020-04-09,-141726029.0,75980960.0,65745072.0,-63011472.0,-78714557.0,-8.07,4.33,3.74,-3.59,-4.48,15.17,1.95,0.0,0.0
2020-04-10,-55719538.0,59309824.0,-3590288.0,-38973469.0,-16746069.0,-6.14,6.53,-0.4,-4.29,-1.84,14.76,-2.7,0.0,0.0
2020-04-13,-203049100.0,140601613.0,62447504.0,-76367881.0,-126681219.0,-22.09,15.3,6.79,-8.31,-13.78,13.7,-7.18,0.0,0.0
2020-04-14,4520397.0,-7081780.0,2561382.0,-1217189.0,5737586.0,0.77,-1.21,0.44,-0.21,0.98,14.02,2.34,0.0,0.0
2020-04-15,-12459031.0,26892705.0,-14433674.0,-2950505.0,-9508526.0,-1.98,4.27,-2.29,-0.47,-1.51,13.75,-1.93,0.0,0.0
2020-04-16,-1220422.0,-6881910.0,8102332.0,12388842.0,-13609264.0,-0.24,-1.37,1.62,2.47,-2.72,13.86,0.8,0.0,0.0
2020-04-17,-22082299.0,16423797.0,5658501.0,-17910584.0,-4171715.0,-3.36,2.5,0.86,-2.72,-0.63,13.85,-0.07,0.0,0.0
2020-04-20,128788370.0,-94924368.0,-33864032.0,22176240.0,106612130.0,10.48,-7.73,-2.76,1.81,8.68,14.88,7.44,0.0,0.0
2020-04-21,-27675411.0,28438749.0,-763344.0,-1301904.0,-26373507.0,-2.53,2.6,-0.07,-0.12,-2.41,14.9,0.13,0.0,0.0
2020-04-22,43970450.0,-30700256.0,-13270192.0,15099616.0,28870834.0,3.12,-2.18,-0.94,1.07,2.05,15.3,2.68,0.0,0.0
2020-04-23,-108499809.0,64488046.0,44011760.0,-48814713.0,-59685096.0,-11.72,6.96,4.75,-5.27,-6.44,14.8,-3.27,0.0,0.0
2020-04-24,371181.0,14883552.0,-15254720.0,-20657296.0,21028477.0,0.03,1.06,-1.08,-1.47,1.49,14.96,1.08,0.0,0.0
2020-04-27,72716080.0,-34706960.0,-38009136.0,28779104.0,43936976.0,5.19,-2.48,-2.71,2.06,3.14,15.46,3.34,0.0,0.0
2020-04-28,-269669192.0,178439952.0,91229232.0,-117199600.0,-152469592.0,-16.71,11.06,5.65,-7.26,-9.45,14.17,-8.34,0.0,0.0
2020-04-29,-36806425.0,32771729.0,4034696.0,-15458631.0,-21347794.0,-6.55,5.83,0.72,-2.75,-3.8,14.12,-0.35,0.0,0.0
2020-04-30,151659362.0,-88995328.0,-62664032.0,41529264.0,110130098.0,11.05,-6.49,-4.57,3.03,8.03,15.13,7.15,0.0,0.0
2020-05-06,28517711.0,-21169152.0,-7348560.0,-16675184.0,45192895.0,1.75,-1.3,-0.45,-1.02,2.77,15.85,4.76,0.0,0.0
