date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-63863637.0,48693165.0,15170464.0,-74374316.0,10510679.0,-6.15,4.69,1.46,-7.16,1.01,70.37,-0.21,0.0,0.0
2020-01-09,290475088.0,-110719776.0,-179755344.0,39176944.0,251298144.0,12.93,-4.93,-8.0,1.74,11.19,72.21,2.6,0.0,0.0
2020-01-10,120247328.0,-80302656.0,-39944688.0,7349424.0,112897904.0,5.89,-3.93,-1.96,0.36,5.53,72.72,0.72,0.0,0.0
2020-01-13,-110472928.0,76981936.0,33490992.0,-57732544.0,-52740384.0,-5.88,4.1,1.78,-3.07,-2.81,73.01,0.38,0.0,0.0
2020-01-14,-234802515.0,103633949.0,131168560.0,-128189312.0,-106613203.0,-12.59,5.56,7.03,-6.87,-5.72,71.9,-1.52,0.0,0.0
2020-01-15,1055944.0,35222378.0,-36278320.0,-58375008.0,59430952.0,0.07,2.45,-2.53,-4.06,4.14,72.25,0.49,0.0,0.0
2020-01-16,-149459582.0,91301699.0,58157888.0,-58005568.0,-91454014.0,-8.37,5.11,3.26,-3.25,-5.12,71.84,-0.57,0.0,0.0
2020-01-17,385141728.0,-183050528.0,-202091200.0,-158007392.0,543149120.0,8.18,-3.89,-4.29,-3.36,11.54,75.36,4.9,0.0,0.0
2020-01-20,-21622336.0,-1090912.0,22713248.0,34805040.0,-56427376.0,-0.82,-0.04,0.86,1.31,-2.13,74.89,-0.62,0.0,0.0
2020-01-21,-27422036.0,35482400.0,-8060368.0,29615120.0,-57037156.0,-1.52,1.96,-0.45,1.64,-3.15,75.12,0.31,0.0,0.0
2020-01-22,-9982141.0,40593748.0,-30611616.0,-19237872.0,9255731.0,-0.68,2.77,-2.09,-1.31,0.63,75.08,-0.05,0.0,0.0
2020-01-23,-199728719.0,129199312.0,70529392.0,-122568736.0,-77159983.0,-9.51,6.15,3.36,-5.84,-3.68,73.13,-2.6,0.0,0.0
2020-02-03,-97736144.0,110962784.0,-13226640.0,-110642832.0,12906688.0,-2.83,3.21,-0.38,-3.2,0.37,71.02,-2.87,0.0,0.0
2020-02-04,-14365904.0,29820512.0,-15454608.0,-88917952.0,74552048.0,-0.52,1.07,-0.56,-3.2,2.68,72.1,1.51,0.0,0.0
2020-02-05,64807504.0,-8419968.0,-56387536.0,-16024720.0,80832224.0,2.5,-0.32,-2.17,-0.62,3.12,73.9,2.5,0.0,0.0
2020-02-06,96624.0,32246704.0,-32343328.0,-87102944.0,87199568.0,0.0,1.16,-1.17,-3.14,3.15,74.88,1.33,0.0,0.0
2020-02-07,-106829905.0,63450208.0,43379680.0,13595344.0,-120425249.0,-5.34,3.17,2.17,0.68,-6.02,74.52,-0.48,0.0,0.0
2020-02-10,-115161861.0,50668720.0,64493136.0,-59607648.0,-55554213.0,-7.89,3.47,4.42,-4.08,-3.81,73.56,-1.29,0.0,0.0
2020-02-11,181936176.0,-73984080.0,-107952096.0,93053872.0,88882304.0,8.8,-3.58,-5.22,4.5,4.3,74.93,1.86,0.0,0.0
2020-02-12,227427040.0,-62719760.0,-164707296.0,69269296.0,158157744.0,9.87,-2.72,-7.15,3.01,6.86,77.27,3.14,0.0,0.0
2020-02-13,-75945986.0,-33349520.0,109295520.0,-58815792.0,-17130194.0,-4.45,-1.96,6.41,-3.45,-1.0,76.02,-1.63,0.0,0.0
2020-02-14,-60478655.0,16112261.0,44366384.0,-85015872.0,24537217.0,-4.39,1.17,3.22,-6.17,1.78,76.1,0.11,0.0,0.0
