date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-3833305.0,646456.0,3186850.0,-3750420.0,-82885.0,-11.27,1.9,9.37,-11.02,-0.24,5.91,-2.15,0.0,0.0
2020-01-09,-2723381.0,2753117.0,-29736.0,-2555849.0,-167532.0,-9.75,9.86,-0.11,-9.15,-0.6,6.0,1.52,0.0,0.0
2020-01-10,4386289.0,-6718302.0,2332014.0,6067560.0,-1681271.0,7.27,-11.13,3.86,10.05,-2.79,6.12,2.0,0.0,0.0
2020-01-13,1096712.0,57589.0,-1154300.0,934534.0,162178.0,3.71,0.2,-3.91,3.17,0.55,6.13,0.16,0.0,0.0
2020-01-14,-2612430.0,697763.0,1914666.0,-1910700.0,-701730.0,-7.16,1.91,5.25,-5.24,-1.92,6.1,-0.49,0.0,0.0
2020-01-15,-254074.0,-940677.0,1194750.0,-59102.0,-194972.0,-1.09,-4.02,5.11,-0.25,-0.83,6.13,0.49,0.0,0.0
2020-01-16,-2398314.0,894536.0,1503778.0,-1388157.0,-1010157.0,-10.21,3.81,6.4,-5.91,-4.3,6.02,-1.79,0.0,0.0
2020-01-17,-833443.0,389768.0,443674.0,-833443.0,0.0,-4.38,2.05,2.33,-4.38,0.0,6.04,0.33,0.0,0.0
2020-01-20,-1151974.0,667600.0,484374.0,-1151974.0,0.0,-5.75,3.33,2.42,-5.75,0.0,6.05,0.17,0.0,0.0
2020-01-21,-1793434.0,-699852.0,2493286.0,-342249.0,-1451185.0,-8.99,-3.51,12.5,-1.72,-7.27,6.03,-0.33,0.0,0.0
2020-01-22,30936.0,18200.0,-49136.0,30936.0,0.0,0.19,0.11,-0.3,0.19,0.0,5.99,-0.66,0.0,0.0
2020-01-23,-1541220.0,2448348.0,-907128.0,-1541220.0,0.0,-5.58,8.87,-3.29,-5.58,0.0,5.77,-3.67,0.0,0.0
2020-02-03,-678259.0,2260056.0,-1581796.0,-2691399.0,2013140.0,-8.3,27.65,-19.35,-32.93,24.63,5.18,-10.23,0.0,0.0
2020-02-04,-2074000.0,2572011.0,-498011.0,-2074000.0,0.0,-6.87,8.52,-1.65,-6.87,0.0,5.12,-1.16,0.0,0.0
2020-02-05,-320001.0,-677694.0,997695.0,-320001.0,0.0,-1.46,-3.08,4.54,-1.46,0.0,5.19,1.37,0.0,0.0
2020-02-06,-363412.0,271379.0,92033.0,137883.0,-501295.0,-1.58,1.18,0.4,0.6,-2.19,5.3,2.12,0.0,0.0
