date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-4026510.0,4068152.0,-41643.0,-3954714.0,-71796.0,-11.27,11.39,-0.12,-11.07,-0.2,3.73,0.0,0.0,0.0
2020-01-09,-179160.0,-17025.0,196186.0,-179160.0,0.0,-0.94,-0.09,1.03,-0.94,0.0,3.73,0.0,0.0,0.0
2020-01-10,-2311629.0,1735760.0,575869.0,-2311629.0,0.0,-9.14,6.87,2.28,-9.14,0.0,3.7,-0.8,0.0,0.0
2020-01-13,-11795.0,1058438.0,-1046642.0,-11795.0,0.0,-0.09,8.15,-8.06,-0.09,0.0,3.64,-1.62,0.0,0.0
2020-01-14,876435.0,-948822.0,72387.0,876435.0,0.0,6.01,-6.5,0.5,6.01,0.0,3.75,3.02,0.0,0.0
2020-01-15,-3685920.0,561961.0,3123960.0,-2640379.0,-1045541.0,-15.88,2.42,13.46,-11.37,-4.5,3.74,-0.27,0.0,0.0
2020-01-16,9925816.0,-5177931.0,-4747886.0,4288165.0,5637651.0,24.48,-12.77,-11.71,10.57,13.9,3.93,5.08,0.0,0.0
2020-01-17,-1138286.0,1447140.0,-308855.0,-1138286.0,0.0,-3.72,4.73,-1.01,-3.72,0.0,3.9,-0.76,0.0,0.0
2020-01-20,-5782397.0,5303936.0,478460.0,-5407342.0,-375055.0,-16.1,14.76,1.33,-15.05,-1.04,3.86,-1.03,0.0,0.0
2020-01-21,-2156822.0,4139414.0,-1982592.0,-2156822.0,0.0,-7.84,15.05,-7.21,-7.84,0.0,3.77,-2.33,0.0,0.0
2020-01-22,-6479649.0,6679225.0,-199577.0,-5738947.0,-740702.0,-21.99,22.66,-0.68,-19.47,-2.51,3.58,-5.04,0.0,0.0
2020-01-23,-3971514.0,3822636.0,148878.0,-2951514.0,-1020000.0,-16.12,15.52,0.6,-11.98,-4.14,3.4,-5.03,0.0,0.0
2020-02-03,0.0,249679.0,-249679.0,0.0,0.0,0.0,32.78,-32.78,0.0,0.0,3.23,-5.0,0.0,0.0
2020-02-04,-3527435.0,3479262.0,48172.0,-3232715.0,-294720.0,-17.79,17.55,0.24,-16.3,-1.49,3.07,-4.95,0.0,0.0
2020-02-05,-500228.0,652547.0,-152318.0,-500228.0,0.0,-2.87,3.74,-0.87,-2.87,0.0,3.13,1.95,0.0,0.0
2020-02-06,245469.0,2228749.0,-2474217.0,245469.0,0.0,1.67,15.18,-16.85,1.67,0.0,3.05,-2.56,0.0,0.0
2020-02-07,-350381.0,517665.0,-167284.0,-350381.0,0.0,-3.16,4.67,-1.51,-3.16,0.0,3.09,1.31,0.0,0.0
2020-02-10,413462.0,-1538772.0,1125309.0,413462.0,0.0,2.52,-9.36,6.85,2.52,0.0,3.24,4.85,0.0,0.0
2020-02-11,3882283.0,-2134886.0,-1747397.0,3377383.0,504900.0,59.18,-32.55,-26.64,51.49,7.7,3.4,4.94,0.0,0.0
2020-02-12,-1260409.0,1105254.0,155155.0,-1260409.0,0.0,-3.84,3.37,0.47,-3.84,0.0,3.48,2.35,0.0,0.0
2020-02-13,-410568.0,460317.0,-49749.0,-410568.0,0.0,-3.22,3.61,-0.39,-3.22,0.0,3.43,-1.44,0.0,0.0
2020-02-14,-9496728.0,7376386.0,2120343.0,-6314350.0,-3182378.0,-37.7,29.28,8.42,-25.07,-12.63,3.26,-4.96,0.0,0.0
