date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,7205669.0,-8585846.0,1380176.0,-6122120.0,13327789.0,3.79,-4.52,0.73,-3.22,7.01,7.44,0.68,0.0,0.0
2020-01-09,5171372.0,-6676444.0,1505072.0,3933825.0,1237547.0,3.59,-4.64,1.05,2.73,0.86,7.45,0.13,0.0,0.0
2020-01-10,-6902760.0,6932805.0,-30046.0,-3180062.0,-3722698.0,-6.01,6.04,-0.03,-2.77,-3.24,7.41,-0.54,0.0,0.0
2020-01-13,-10740174.0,7999270.0,2740905.0,-7032083.0,-3708091.0,-13.09,9.75,3.34,-8.57,-4.52,7.39,-0.27,0.0,0.0
2020-01-14,-5398452.0,7010358.0,-1611904.0,-4084019.0,-1314433.0,-7.0,9.09,-2.09,-5.3,-1.7,7.38,-0.14,0.0,0.0
2020-01-15,-8935444.0,8709893.0,225552.0,-4079061.0,-4856383.0,-11.4,11.11,0.29,-5.21,-6.2,7.29,-1.22,0.0,0.0
2020-01-16,-6339350.0,5730288.0,609062.0,-6829555.0,490205.0,-11.91,10.76,1.14,-12.83,0.92,7.24,-0.69,0.0,0.0
2020-01-17,14159528.0,-7078845.0,-7080683.0,8398102.0,5761426.0,6.15,-3.07,-3.07,3.65,2.5,7.43,2.62,0.0,0.0
2020-01-20,586354.0,-3717778.0,3131425.0,1653900.0,-1067546.0,0.64,-4.07,3.43,1.81,-1.17,7.41,-0.27,0.0,0.0
2020-01-21,-16058381.0,10309008.0,5749373.0,-12801774.0,-3256607.0,-15.4,9.89,5.51,-12.28,-3.12,7.23,-2.43,0.0,0.0
2020-01-22,-6815074.0,9414984.0,-2599910.0,-6279474.0,-535600.0,-8.63,11.92,-3.29,-7.95,-0.68,7.16,-0.97,0.0,0.0
2020-01-23,-19620190.0,17983376.0,1636814.0,-10584281.0,-9035909.0,-19.79,18.14,1.65,-10.67,-9.11,6.92,-3.35,0.0,0.0
2020-02-03,-4931481.0,5628494.0,-697012.0,-4579486.0,-351995.0,-28.48,32.51,-4.03,-26.45,-2.03,6.23,-9.97,0.0,0.0
