date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,1099399.0,-6394510.0,5295112.0,-1244195.0,2343594.0,0.55,-3.21,2.66,-0.62,1.18,6.34,3.93,0.0,0.0
2020-01-09,-7769401.0,4177525.0,3591875.0,-8085038.0,315637.0,-7.11,3.82,3.29,-7.4,0.29,6.3,-0.63,0.0,0.0
2020-01-10,-10020039.0,9090613.0,929426.0,-4146501.0,-5873538.0,-12.45,11.3,1.16,-5.15,-7.3,6.14,-2.54,0.0,0.0
2020-01-13,2260224.0,-3925517.0,1665292.0,-441887.0,2702111.0,3.58,-6.22,2.64,-0.7,4.28,6.24,1.63,0.0,0.0
2020-01-14,11531147.0,-6191128.0,-5340018.0,2464950.0,9066197.0,7.95,-4.27,-3.68,1.7,6.25,6.42,2.88,0.0,0.0
2020-01-15,-7825098.0,5462489.0,2362610.0,-4033777.0,-3791321.0,-10.56,7.37,3.19,-5.44,-5.12,6.22,-3.12,0.0,0.0
2020-01-16,-17149414.0,16345819.0,803596.0,-13655211.0,-3494203.0,-23.46,22.36,1.1,-18.68,-4.78,6.04,-2.89,0.0,0.0
2020-01-17,-3746258.0,3154222.0,592037.0,-3746258.0,0.0,-10.5,8.84,1.66,-10.5,0.0,6.01,-0.5,0.0,0.0
2020-01-20,-1319122.0,-1220789.0,2539911.0,-1278050.0,-41072.0,-3.6,-3.33,6.94,-3.49,-0.11,6.08,1.16,0.0,0.0
2020-01-21,-10092247.0,10472245.0,-379999.0,-8841941.0,-1250306.0,-17.46,18.12,-0.66,-15.3,-2.16,5.9,-2.96,0.0,0.0
2020-01-22,-3484593.0,3034601.0,449991.0,-3484593.0,0.0,-8.91,7.76,1.15,-8.91,0.0,5.94,0.68,0.0,0.0
2020-01-23,-5973833.0,7391506.0,-1417673.0,-7116945.0,1143112.0,-12.56,15.55,-2.98,-14.97,2.4,5.67,-4.55,0.0,0.0
2020-02-03,-2994720.0,3124770.0,-130050.0,-2801430.0,-193290.0,-22.73,23.72,-0.99,-21.26,-1.47,5.1,-10.05,0.0,0.0
2020-02-04,-4461734.0,4548113.0,-86379.0,-2486281.0,-1975453.0,-7.25,7.39,-0.14,-4.04,-3.21,4.99,-2.16,0.0,0.0
2020-02-05,-3598364.0,2976069.0,622296.0,-3077759.0,-520605.0,-6.55,5.42,1.13,-5.6,-0.95,5.08,1.8,0.0,0.0
