date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-128734.0,1298555.0,-1169822.0,-2438161.0,2309427.0,-0.18,1.84,-1.66,-3.46,3.27,10.05,-0.99,0.0,0.0
2020-01-09,561168.0,113295.0,-674463.0,-1467507.0,2028675.0,1.25,0.25,-1.5,-3.26,4.51,10.13,0.8,0.0,0.0
2020-01-10,-2852523.0,4503049.0,-1650526.0,-2852523.0,0.0,-6.56,10.36,-3.8,-6.56,0.0,10.05,-0.79,0.0,0.0
2020-01-13,-938035.0,7906410.0,-6968375.0,-562933.0,-375102.0,-1.95,16.4,-14.46,-1.17,-0.78,10.12,0.7,0.0,0.0
2020-01-14,25850930.0,-24402462.0,-1448469.0,20262254.0,5588676.0,14.06,-13.27,-0.79,11.02,3.04,10.55,4.25,0.0,0.0
2020-01-15,-1983592.0,-2137541.0,4121134.0,-2040674.0,57082.0,-2.14,-2.3,4.44,-2.2,0.06,10.36,-1.8,0.0,0.0
2020-01-16,725763.0,-7741977.0,7016214.0,1813591.0,-1087828.0,0.7,-7.45,6.75,1.75,-1.05,10.51,1.45,0.0,0.0
2020-01-17,-2469976.0,-7093253.0,9563230.0,884057.0,-3354033.0,-3.09,-8.88,11.98,1.11,-4.2,10.27,-2.28,0.0,0.0
2020-01-20,-3839522.0,4172889.0,-333366.0,-4068497.0,228975.0,-7.46,8.11,-0.65,-7.91,0.45,10.3,0.29,0.0,0.0
2020-01-21,-6699325.0,8186593.0,-1487268.0,2431810.0,-9131135.0,-11.3,13.81,-2.51,4.1,-15.4,10.05,-2.43,0.0,0.0
2020-01-22,-10000773.0,10890242.0,-889469.0,-7928536.0,-2072237.0,-17.6,19.17,-1.57,-13.96,-3.65,10.07,0.2,0.0,0.0
2020-01-23,-8909100.0,11481414.0,-2572312.0,-8589100.0,-320000.0,-11.95,15.4,-3.45,-11.52,-0.43,9.68,-3.87,0.0,0.0
2020-02-03,22719967.0,1633770.0,-24353737.0,11033250.0,11686717.0,17.28,1.24,-18.53,8.39,8.89,9.35,-3.41,0.0,0.0
2020-02-04,-991404.0,4657592.0,-3666187.0,-696936.0,-294468.0,-1.15,5.4,-4.25,-0.81,-0.34,9.39,0.43,0.0,0.0
2020-02-05,-340982.0,-9610283.0,9951266.0,2662615.0,-3003597.0,-0.4,-11.36,11.77,3.15,-3.55,9.37,-0.21,0.0,0.0
2020-02-06,17780462.0,-21025191.0,3244728.0,14041205.0,3739257.0,11.18,-13.23,2.04,8.83,2.35,9.9,5.66,0.0,0.0
2020-02-07,30713225.0,-22036536.0,-8676688.0,24595490.0,6117735.0,11.2,-8.03,-3.16,8.97,2.23,10.7,8.08,0.0,0.0
2020-02-10,-11177269.0,10205429.0,971842.0,-7967909.0,-3209360.0,-4.83,4.41,0.42,-3.45,-1.39,10.42,-2.62,0.0,0.0
2020-02-11,-146522.0,2417067.0,-2270545.0,-338710.0,192188.0,-0.13,2.13,-2.0,-0.3,0.17,10.27,-1.44,0.0,0.0
2020-02-12,-9271826.0,5898323.0,3373504.0,-10197393.0,925567.0,-9.8,6.24,3.57,-10.78,0.98,10.27,0.0,0.0,0.0
2020-02-13,1152193.0,4684995.0,-5837187.0,613759.0,538434.0,1.19,4.85,-6.04,0.63,0.56,10.28,0.1,0.0,0.0
2020-02-14,-5176775.0,2669487.0,2507287.0,-3726445.0,-1450330.0,-8.05,4.15,3.9,-5.79,-2.26,10.13,-1.46,0.0,0.0
2020-02-17,47503882.0,-19304342.0,-28199541.0,15467531.0,32036351.0,21.41,-8.7,-12.71,6.97,14.44,10.56,4.24,0.0,0.0
2020-02-18,43642999.0,-31798042.0,-11844957.0,37260326.0,6382673.0,16.1,-11.73,-4.37,13.75,2.35,10.91,3.31,0.0,0.0
2020-02-19,31942315.0,-16478303.0,-15464013.0,9835162.0,22107153.0,10.34,-5.33,-5.0,3.18,7.15,11.36,4.12,0.0,0.0
2020-02-20,38995895.0,-15894735.0,-23101159.0,25793753.0,13202142.0,13.56,-5.53,-8.03,8.97,4.59,11.45,0.79,0.0,0.0
2020-02-21,-18978330.0,11670949.0,7307380.0,-16326216.0,-2652114.0,-11.92,7.33,4.59,-10.25,-1.67,11.18,-2.36,0.0,0.0
2020-02-24,11334099.0,929952.0,-12264052.0,8762185.0,2571914.0,5.44,0.45,-5.89,4.21,1.23,11.28,0.89,0.0,0.0
2020-02-25,-13222862.0,5559234.0,7663629.0,-11804237.0,-1418625.0,-8.7,3.66,5.04,-7.77,-0.93,10.96,-2.84,0.0,0.0
2020-02-26,2433802.0,3876550.0,-6310352.0,4920149.0,-2486347.0,1.82,2.9,-4.71,3.67,-1.86,10.82,-1.28,0.0,0.0
2020-02-27,3720431.0,-5685121.0,1964690.0,4895097.0,-1174666.0,3.28,-5.01,1.73,4.32,-1.04,10.93,1.02,0.0,0.0
2020-02-28,-24077633.0,16961863.0,7115770.0,-18093217.0,-5984416.0,-19.83,13.97,5.86,-14.9,-4.93,10.29,-5.86,0.0,0.0
2020-03-02,16257708.0,-10040944.0,-6216764.0,14359978.0,1897730.0,12.12,-7.49,-4.64,10.71,1.42,10.78,4.76,0.0,0.0
2020-03-03,8356022.0,-9330772.0,974751.0,7166716.0,1189306.0,5.58,-6.23,0.65,4.79,0.79,11.0,2.04,0.0,0.0
2020-03-04,-4742380.0,-3227840.0,7970219.0,-5170212.0,427832.0,-1.42,-0.96,2.38,-1.54,0.13,11.41,3.73,0.0,0.0
2020-03-05,16675655.0,-14177659.0,-2497998.0,-1182628.0,17858283.0,6.58,-5.59,-0.99,-0.47,7.05,11.6,1.67,0.0,0.0
2020-03-06,-11986644.0,3476866.0,8509777.0,-6193516.0,-5793128.0,-8.64,2.51,6.14,-4.47,-4.18,11.36,-2.07,0.0,0.0
2020-03-09,-8130411.0,4986798.0,3143612.0,-3668315.0,-4462096.0,-6.41,3.93,2.48,-2.89,-3.52,11.13,-2.02,0.0,0.0
2020-03-10,20127952.0,12525621.0,-32653572.0,24256963.0,-4129011.0,7.86,4.89,-12.75,9.47,-1.61,11.24,0.99,0.0,0.0
