date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-35865765.0,30706617.0,5159148.0,-18689711.0,-17176054.0,-14.18,12.14,2.04,-7.39,-6.79,21.59,-2.44,0.0,0.0
2020-01-09,-22520421.0,20740083.0,1780339.0,-8924183.0,-13596238.0,-10.45,9.62,0.83,-4.14,-6.31,21.82,1.07,0.0,0.0
2020-01-10,-103698936.0,63589673.0,40109264.0,-73472812.0,-30226124.0,-21.47,13.17,8.3,-15.21,-6.26,21.36,-2.11,0.0,0.0
2020-01-13,-35744988.0,38747554.0,-3002567.0,-26407392.0,-9337596.0,-11.79,12.78,-0.99,-8.71,-3.08,21.46,0.47,0.0,0.0
2020-01-14,-16907066.0,47683940.0,-30776874.0,-11086273.0,-5820793.0,-5.86,16.51,-10.66,-3.84,-2.02,21.33,-0.61,0.0,0.0
2020-01-15,-10184300.0,32674190.0,-22489889.0,2833012.0,-13017312.0,-3.25,10.44,-7.18,0.9,-4.16,21.0,-1.55,0.0,0.0
2020-01-16,-158441881.0,100386085.0,58055790.0,-72684333.0,-85757548.0,-20.98,13.29,7.69,-9.63,-11.36,20.16,-4.0,0.0,0.0
2020-01-17,-404878801.0,290761424.0,114117376.0,-100503280.0,-304375521.0,-19.19,13.78,5.41,-4.76,-14.43,18.4,-8.73,0.0,0.0
2020-01-20,-25160035.0,15837632.0,9322400.0,-16360304.0,-8799731.0,-2.34,1.48,0.87,-1.52,-0.82,19.19,4.29,0.0,0.0
2020-01-21,-18959027.0,24682549.0,-5723521.0,-3735090.0,-15223937.0,-3.53,4.6,-1.07,-0.7,-2.84,18.81,-1.98,0.0,0.0
2020-01-22,-35303611.0,45253599.0,-9949988.0,-24947989.0,-10355622.0,-7.21,9.24,-2.03,-5.09,-2.11,18.87,0.32,0.0,0.0
2020-01-23,-72137656.0,61382976.0,10754679.0,-39958788.0,-32178868.0,-15.43,13.13,2.3,-8.55,-6.88,18.17,-3.71,0.0,0.0
