date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,38729606.0,-20547399.0,-18182207.0,5916455.0,32813151.0,18.7,-9.92,-8.78,2.86,15.84,5.56,10.1,0.0,0.0
2020-01-09,-24044579.0,11265279.0,12779300.0,-9700359.0,-14344220.0,-12.27,5.75,6.52,-4.95,-7.32,5.4,-2.88,0.0,0.0
2020-01-10,-12202756.0,4725994.0,7476762.0,-8029517.0,-4173239.0,-14.04,5.44,8.6,-9.24,-4.8,5.37,-0.56,0.0,0.0
2020-01-13,-5031741.0,2562682.0,2469058.0,-5031741.0,0.0,-8.59,4.37,4.21,-8.59,0.0,5.34,-0.56,0.0,0.0
2020-01-14,-6999423.0,6212006.0,787417.0,-6999423.0,0.0,-14.73,13.07,1.66,-14.73,0.0,5.33,-0.19,0.0,0.0
2020-01-15,-3183243.0,3845340.0,-662098.0,-3193883.0,10640.0,-9.3,11.23,-1.93,-9.33,0.03,5.29,-0.75,0.0,0.0
2020-01-16,518637.0,681825.0,-1200463.0,518637.0,0.0,1.29,1.7,-3.0,1.29,0.0,5.33,0.76,0.0,0.0
2020-01-17,-4912778.0,6524103.0,-1611326.0,-2743865.0,-2168913.0,-11.63,15.44,-3.81,-6.49,-5.13,5.21,-2.25,0.0,0.0
2020-01-20,-1509324.0,2254272.0,-744947.0,-1509324.0,0.0,-4.9,7.32,-2.42,-4.9,0.0,5.22,0.19,0.0,0.0
2020-01-21,-3708600.0,3729820.0,-21219.0,-3708600.0,0.0,-12.18,12.25,-0.07,-12.18,0.0,5.18,-0.77,0.0,0.0
2020-01-22,-821271.0,6391664.0,-5570393.0,1016793.0,-1838064.0,-0.73,5.69,-4.95,0.9,-1.63,5.38,3.86,0.0,0.0
2020-01-23,-6752169.0,4352605.0,2399563.0,-6987140.0,234971.0,-10.52,6.78,3.74,-10.89,0.37,5.2,-3.35,0.0,0.0
2020-02-03,-6554347.0,4924818.0,1629529.0,-3887536.0,-2666811.0,-9.32,7.01,2.32,-5.53,-3.79,4.68,-10.0,0.0,0.0
2020-02-04,1812451.0,-1023800.0,-788650.0,4220910.0,-2408459.0,3.0,-1.69,-1.3,6.98,-3.98,4.87,4.06,0.0,0.0
2020-02-05,1063631.0,-2927669.0,1864038.0,1063631.0,0.0,2.24,-6.17,3.93,2.24,0.0,4.91,0.82,0.0,0.0
2020-02-06,-1382403.0,-2655098.0,4037501.0,-1382403.0,0.0,-1.78,-3.42,5.2,-1.78,0.0,5.21,6.11,0.0,0.0
2020-02-07,8230193.0,-4100382.0,-4129812.0,8230193.0,0.0,9.46,-4.71,-4.75,9.46,0.0,5.38,3.26,0.0,0.0
2020-02-10,-3056266.0,4899961.0,-1843694.0,-3298610.0,242344.0,-3.48,5.57,-2.1,-3.75,0.28,5.47,1.67,0.0,0.0
2020-02-11,-3137024.0,5116452.0,-1979428.0,-1936533.0,-1200491.0,-5.18,8.44,-3.27,-3.2,-1.98,5.29,-3.29,0.0,0.0
2020-02-12,2719990.0,-5328468.0,2608477.0,2699086.0,20904.0,3.96,-7.76,3.8,3.93,0.03,5.42,2.46,0.0,0.0
2020-02-13,-1817059.0,6597287.0,-4780228.0,-1817059.0,0.0,-3.66,13.29,-9.63,-3.66,0.0,5.3,-2.21,0.0,0.0
2020-02-14,-4173957.0,2557954.0,1616003.0,-4173957.0,0.0,-10.88,6.67,4.21,-10.88,0.0,5.3,0.0,0.0,0.0
2020-02-17,4740577.0,-7237965.0,2497387.0,3299960.0,1440617.0,6.66,-10.17,3.51,4.63,2.02,5.49,3.58,0.0,0.0
2020-02-18,2641768.0,2926960.0,-5568727.0,-207018.0,2848786.0,1.47,1.63,-3.1,-0.12,1.59,5.84,6.38,0.0,0.0
2020-02-19,-1754019.0,3019206.0,-1265188.0,-4196433.0,2442414.0,-1.47,2.54,-1.06,-3.53,2.05,5.8,-0.68,0.0,0.0
2020-02-20,-3261783.0,936884.0,2324898.0,-6650301.0,3388518.0,-3.58,1.03,2.55,-7.3,3.72,5.81,0.17,0.0,0.0
2020-02-21,-15394908.0,9998189.0,5396720.0,-8193260.0,-7201648.0,-12.88,8.36,4.51,-6.85,-6.02,5.76,-0.86,0.0,0.0
2020-02-24,-485328.0,2209445.0,-1724117.0,967918.0,-1453246.0,-0.54,2.44,-1.9,1.07,-1.6,5.86,1.74,0.0,0.0
2020-02-25,-5864120.0,6020102.0,-155982.0,-5864120.0,0.0,-7.16,7.35,-0.19,-7.16,0.0,5.7,-2.73,0.0,0.0
2020-02-26,-5913599.0,5541327.0,372273.0,-5913599.0,0.0,-10.44,9.79,0.66,-10.44,0.0,5.57,-2.28,0.0,0.0
2020-02-27,165918.0,-1637669.0,1471751.0,-2727975.0,2893893.0,0.33,-3.28,2.95,-5.46,5.79,5.62,0.9,0.0,0.0
2020-02-28,-7019645.0,8841202.0,-1821556.0,-5673874.0,-1345771.0,-10.03,12.64,-2.6,-8.11,-1.92,5.23,-6.94,0.0,0.0
2020-03-02,2340710.0,430601.0,-2771310.0,2197047.0,143663.0,4.85,0.89,-5.74,4.55,0.3,5.43,3.82,0.0,0.0
2020-03-03,-6443558.0,4156999.0,2286559.0,-6938593.0,495035.0,-13.15,8.48,4.66,-14.16,1.01,5.44,0.18,0.0,0.0
2020-03-04,-4754693.0,4392999.0,361695.0,-4754693.0,0.0,-14.12,13.05,1.07,-14.12,0.0,5.42,-0.37,0.0,0.0
2020-03-05,5231322.0,-6431630.0,1200308.0,6412431.0,-1181109.0,4.86,-5.98,1.12,5.96,-1.1,5.77,6.46,0.0,0.0
2020-03-06,1110846.0,3197040.0,-4307886.0,-375938.0,1486784.0,1.2,3.45,-4.65,-0.41,1.61,5.74,-0.52,0.0,0.0
2020-03-09,4176799.0,-1766854.0,-2409946.0,1458580.0,2718219.0,4.27,-1.8,-2.46,1.49,2.78,5.65,-1.57,0.0,0.0
2020-03-10,1842363.0,-765909.0,-1076454.0,1369868.0,472495.0,2.36,-0.98,-1.38,1.75,0.6,5.85,3.54,0.0,0.0
2020-03-11,-3807306.0,949841.0,2857464.0,-3096473.0,-710833.0,-4.76,1.19,3.57,-3.87,-0.89,5.74,-1.88,0.0,0.0
2020-03-12,-8434921.0,8488852.0,-53930.0,-7299881.0,-1135040.0,-16.78,16.89,-0.11,-14.52,-2.26,5.62,-2.09,0.0,0.0
2020-03-13,-1967963.0,3385111.0,-1417148.0,-1919939.0,-48024.0,-4.05,6.96,-2.91,-3.95,-0.1,5.53,-1.6,0.0,0.0
2020-03-16,-4189566.0,6368569.0,-2179003.0,-4187919.0,-1647.0,-8.66,13.16,-4.5,-8.65,-0.0,5.28,-4.52,0.0,0.0
2020-03-17,-455384.0,770398.0,-315014.0,428936.0,-884320.0,-1.28,2.16,-0.88,1.2,-2.48,5.35,1.33,0.0,0.0
2020-03-18,-2652214.0,5979299.0,-3327084.0,-1524742.0,-1127472.0,-7.12,16.06,-8.94,-4.1,-3.03,5.15,-3.74,0.0,0.0
2020-03-19,-1980374.0,1242588.0,737786.0,-1632299.0,-348075.0,-5.34,3.35,1.99,-4.4,-0.94,5.21,1.17,0.0,0.0
2020-03-20,-2756079.0,1421362.0,1334717.0,-2756079.0,0.0,-7.42,3.83,3.59,-7.42,0.0,5.15,-1.15,0.0,0.0
2020-03-23,-6377365.0,6434618.0,-57254.0,-5169335.0,-1208030.0,-17.52,17.68,-0.16,-14.2,-3.32,4.79,-6.99,0.0,0.0
2020-03-24,-1677123.0,1274724.0,402399.0,-1677123.0,0.0,-6.83,5.19,1.64,-6.83,0.0,4.89,2.09,0.0,0.0
2020-03-25,-1794831.0,2007704.0,-212872.0,-793461.0,-1001370.0,-7.96,8.9,-0.94,-3.52,-4.44,4.98,1.84,0.0,0.0
2020-03-26,-1939314.0,2131528.0,-192214.0,-1939314.0,0.0,-10.91,11.99,-1.08,-10.91,0.0,4.9,-1.61,0.0,0.0
2020-03-27,-1173781.0,1347119.0,-173338.0,-1173781.0,0.0,-6.45,7.4,-0.95,-6.45,0.0,4.92,0.41,0.0,0.0
2020-03-30,-865556.0,77459.0,788098.0,-865556.0,0.0,-4.47,0.4,4.07,-4.47,0.0,4.79,-2.64,0.0,0.0
2020-03-31,-1658714.0,166470.0,1492244.0,-1658714.0,0.0,-11.99,1.2,10.79,-11.99,0.0,4.77,-0.42,0.0,0.0
2020-04-01,-264874.0,452518.0,-187644.0,-251154.0,-13720.0,-2.03,3.47,-1.44,-1.93,-0.11,4.79,0.42,0.0,0.0
2020-04-02,595520.0,-936206.0,340686.0,81279.0,514241.0,3.22,-5.06,1.84,0.44,2.78,4.92,2.71,0.0,0.0
2020-04-03,-1626034.0,2253520.0,-627485.0,-1626034.0,0.0,-12.17,16.87,-4.7,-12.17,0.0,4.85,-1.42,0.0,0.0
2020-04-07,-2668652.0,1881038.0,787614.0,-2454380.0,-214272.0,-10.85,7.65,3.2,-9.98,-0.87,4.93,1.65,0.0,0.0
2020-04-08,-1109642.0,1372376.0,-262735.0,-1109642.0,0.0,-6.47,8.0,-1.53,-6.47,0.0,4.94,0.2,0.0,0.0
2020-04-09,-1456188.0,185742.0,1270447.0,-1215188.0,-241000.0,-7.86,1.0,6.86,-6.56,-1.3,4.92,-0.4,0.0,0.0
2020-04-10,-3211465.0,3348363.0,-136897.0,-1736334.0,-1475131.0,-14.18,14.78,-0.6,-7.66,-6.51,4.81,-2.24,0.0,0.0
2020-04-13,985877.0,-1063227.0,77351.0,985877.0,0.0,9.46,-10.21,0.74,9.46,0.0,4.82,0.21,0.0,0.0
2020-04-14,621542.0,341242.0,-962784.0,621542.0,0.0,3.62,1.99,-5.61,3.62,0.0,4.91,1.87,0.0,0.0
2020-04-15,-9737422.0,6451495.0,3285926.0,-9737422.0,0.0,-34.57,22.9,11.66,-34.57,0.0,4.81,-2.04,0.0,0.0
2020-04-16,-1821956.0,843125.0,978831.0,-1503530.0,-318426.0,-12.62,5.84,6.78,-10.41,-2.21,4.8,-0.21,0.0,0.0
