date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-39522941.0,28202353.0,11320587.0,-16537668.0,-22985273.0,-19.67,14.04,5.64,-8.23,-11.44,4.36,-2.68,0.0,0.0
2020-01-09,-2475019.0,4128805.0,-1653787.0,-1261343.0,-1213676.0,-2.52,4.2,-1.68,-1.28,-1.23,4.4,0.92,0.0,0.0
2020-01-10,-18676926.0,5731653.0,12945272.0,-1310236.0,-17366690.0,-15.74,4.83,10.91,-1.1,-14.64,4.35,-1.14,0.0,0.0
2020-01-13,-7353345.0,11202308.0,-3848964.0,-6014492.0,-1338853.0,-7.87,11.99,-4.12,-6.44,-1.43,4.36,0.23,0.0,0.0
2020-01-14,6470293.0,817987.0,-7288279.0,-2558756.0,9029049.0,3.48,0.44,-3.91,-1.37,4.85,4.41,1.15,0.0,0.0
2020-01-15,-8028313.0,6077956.0,1950358.0,863456.0,-8891769.0,-8.41,6.37,2.04,0.9,-9.31,4.33,-1.81,0.0,0.0
2020-01-16,-10712013.0,2973319.0,7738693.0,-3535002.0,-7177011.0,-12.09,3.36,8.74,-3.99,-8.1,4.32,-0.23,0.0,0.0
2020-01-17,2777126.0,-3377885.0,600758.0,3096350.0,-319224.0,2.79,-3.4,0.6,3.12,-0.32,4.34,0.46,0.0,0.0
2020-01-20,2307272.0,-1264873.0,-1042399.0,2864864.0,-557592.0,2.91,-1.6,-1.32,3.62,-0.7,4.37,0.69,0.0,0.0
2020-01-21,-24636275.0,9879440.0,14756835.0,-12262727.0,-12373548.0,-25.0,10.02,14.97,-12.44,-12.56,4.26,-2.52,0.0,0.0
2020-01-22,-16704429.0,11783012.0,4921417.0,-6672630.0,-10031799.0,-14.19,10.01,4.18,-5.67,-8.52,4.23,-0.7,0.0,0.0
2020-01-23,-26022064.0,21188597.0,4833468.0,-21467579.0,-4554485.0,-21.8,17.75,4.05,-17.98,-3.82,4.1,-3.07,0.0,0.0
2020-02-03,-9027020.0,13529828.0,-4502807.0,-7492718.0,-1534302.0,-21.12,31.65,-10.53,-17.53,-3.59,3.69,-10.0,0.0,0.0
2020-02-04,-8262104.0,14474628.0,-6212523.0,-2458551.0,-5803553.0,-5.52,9.68,-4.15,-1.64,-3.88,3.6,-2.44,0.0,0.0
2020-02-05,-3550789.0,4436949.0,-886161.0,-7846841.0,4296052.0,-3.11,3.88,-0.78,-6.87,3.76,3.64,1.11,0.0,0.0
2020-02-06,-14542018.0,16520176.0,-1978159.0,-11144209.0,-3397809.0,-11.26,12.79,-1.53,-8.63,-2.63,3.67,0.82,0.0,0.0
2020-02-07,-21521672.0,12058713.0,9462959.0,-14444379.0,-7077293.0,-15.64,8.76,6.88,-10.5,-5.14,3.68,0.27,0.0,0.0
2020-02-10,5672644.0,-3658807.0,-2013836.0,915083.0,4757561.0,4.2,-2.71,-1.49,0.68,3.52,3.76,2.17,0.0,0.0
2020-02-11,-3938865.0,-328597.0,4267462.0,-13278364.0,9339499.0,-2.02,-0.17,2.19,-6.82,4.8,3.81,1.33,0.0,0.0
2020-02-12,-8426292.0,9008415.0,-582121.0,-9314353.0,888061.0,-5.23,5.59,-0.36,-5.78,0.55,3.86,1.31,0.0,0.0
2020-02-13,-34105758.0,25145373.0,8960385.0,-15996619.0,-18109139.0,-22.29,16.43,5.86,-10.45,-11.83,3.79,-1.81,0.0,0.0
2020-02-14,53353724.0,-25426653.0,-27927072.0,17201361.0,36152363.0,12.97,-6.18,-6.79,4.18,8.79,4.05,6.86,0.0,0.0
2020-02-17,-30359666.0,18515501.0,11844165.0,-10250055.0,-20109611.0,-12.2,7.44,4.76,-4.12,-8.08,4.07,0.49,0.0,0.0
2020-02-18,-25786528.0,13400297.0,12386231.0,4450481.0,-30237009.0,-12.6,6.55,6.05,2.17,-14.77,4.03,-0.98,0.0,0.0
2020-02-19,-32013601.0,23937683.0,8075917.0,-18690894.0,-13322707.0,-18.81,14.06,4.74,-10.98,-7.83,3.96,-1.74,0.0,0.0
2020-02-20,1748964.0,6231356.0,-7980320.0,2699239.0,-950275.0,0.92,3.28,-4.2,1.42,-0.5,4.02,1.52,0.0,0.0
2020-02-21,-32808760.0,20459452.0,12349308.0,-13362452.0,-19446308.0,-17.47,10.89,6.57,-7.11,-10.35,3.99,-0.75,0.0,0.0
2020-02-24,-10339567.0,24029237.0,-13689670.0,-4957963.0,-5381604.0,-6.03,14.02,-7.99,-2.89,-3.14,3.95,-1.0,0.0,0.0
2020-02-25,-30586205.0,33202719.0,-2616515.0,-18953643.0,-11632562.0,-15.29,16.6,-1.31,-9.47,-5.81,3.87,-2.03,0.0,0.0
2020-02-26,11805897.0,-13436802.0,1630904.0,16484799.0,-4678902.0,6.02,-6.85,0.83,8.4,-2.38,3.86,-0.26,0.0,0.0
2020-02-27,-10142809.0,17716220.0,-7573412.0,-10876560.0,733751.0,-8.18,14.3,-6.11,-8.78,0.59,3.83,-0.78,0.0,0.0
2020-02-28,-40719837.0,42498260.0,-1778421.0,-20743751.0,-19976086.0,-22.5,23.49,-0.98,-11.46,-11.04,3.64,-4.96,0.0,0.0
2020-03-02,-4505437.0,4605590.0,-100152.0,-2369145.0,-2136292.0,-3.36,3.43,-0.07,-1.77,-1.59,3.75,3.02,0.0,0.0
2020-03-03,410208.0,-4909106.0,4498898.0,2137011.0,-1726803.0,0.28,-3.39,3.1,1.47,-1.19,3.77,0.53,0.0,0.0
2020-03-04,12532113.0,-10876758.0,-1655355.0,4428249.0,8103864.0,9.83,-8.53,-1.3,3.47,6.36,3.81,1.06,0.0,0.0
2020-03-05,29309455.0,-21271711.0,-8037743.0,-14591150.0,43900605.0,8.44,-6.12,-2.31,-4.2,12.64,3.95,3.67,0.0,0.0
2020-03-06,-45105715.0,31489959.0,13615756.0,-22822071.0,-22283644.0,-20.1,14.03,6.07,-10.17,-9.93,3.87,-2.03,0.0,0.0
2020-03-09,-36441022.0,30199798.0,6241226.0,-26564591.0,-9876431.0,-22.8,18.9,3.91,-16.62,-6.18,3.74,-3.36,0.0,0.0
2020-03-10,-3228895.0,5458961.0,-2230067.0,-6979940.0,3751045.0,-1.97,3.33,-1.36,-4.26,2.29,3.79,1.34,0.0,0.0
2020-03-11,-19385970.0,4909493.0,14476478.0,-4590468.0,-14795502.0,-12.07,3.06,9.01,-2.86,-9.21,3.74,-1.32,0.0,0.0
2020-03-12,-12289642.0,16750832.0,-4461191.0,-2536075.0,-9753567.0,-10.31,14.05,-3.74,-2.13,-8.18,3.67,-1.87,0.0,0.0
2020-03-13,-1152832.0,12362445.0,-11209613.0,-2166161.0,1013329.0,-0.83,8.94,-8.11,-1.57,0.73,3.61,-1.63,0.0,0.0
2020-03-16,-8966931.0,11282009.0,-2315077.0,-1143514.0,-7823417.0,-6.96,8.75,-1.8,-0.89,-6.07,3.52,-2.49,0.0,0.0
2020-03-17,-6071520.0,8674897.0,-2603377.0,-435535.0,-5635985.0,-4.89,6.99,-2.1,-0.35,-4.54,3.5,-0.57,0.0,0.0
2020-03-18,-7269925.0,7879678.0,-609753.0,-4993525.0,-2276400.0,-6.47,7.01,-0.54,-4.44,-2.03,3.43,-2.0,0.0,0.0
2020-03-19,-5170769.0,9710667.0,-4539899.0,-5897943.0,727174.0,-4.49,8.43,-3.94,-5.12,0.63,3.4,-0.87,0.0,0.0
