date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-37798950.0,26274814.0,11524137.0,-10115577.0,-27683373.0,-22.99,15.98,7.01,-6.15,-16.84,2.81,-2.77,0.0,0.0
2020-01-09,-2427823.0,2690086.0,-262263.0,-669891.0,-1757932.0,-2.4,2.66,-0.26,-0.66,-1.74,2.85,1.42,0.0,0.0
2020-01-10,-2859891.0,2439544.0,420346.0,3013446.0,-5873337.0,-4.26,3.63,0.63,4.48,-8.74,2.82,-1.05,0.0,0.0
2020-01-13,3346096.0,-4814015.0,1467919.0,-4804247.0,8150343.0,3.81,-5.49,1.67,-5.48,9.29,2.87,1.77,0.0,0.0
2020-01-14,-5535613.0,5684474.0,-148860.0,-4237033.0,-1298580.0,-5.91,6.07,-0.16,-4.53,-1.39,2.86,-0.35,0.0,0.0
2020-01-15,12212761.0,-5140461.0,-7072299.0,8520356.0,3692405.0,10.7,-4.5,-6.2,7.46,3.23,2.91,1.75,0.0,0.0
2020-01-16,-10620011.0,-541929.0,11161940.0,-4575799.0,-6044212.0,-11.99,-0.61,12.6,-5.17,-6.82,2.87,-1.37,0.0,0.0
2020-01-17,-9345687.0,8095600.0,1250086.0,-2503857.0,-6841830.0,-13.16,11.4,1.76,-3.53,-9.63,2.84,-1.05,0.0,0.0
2020-01-20,-7648054.0,2251295.0,5396759.0,-5047576.0,-2600478.0,-12.69,3.74,8.95,-8.37,-4.31,2.84,0.0,0.0,0.0
2020-01-21,4638484.0,2089786.0,-6728270.0,-4852166.0,9490650.0,1.32,0.59,-1.91,-1.38,2.7,2.98,4.93,0.0,0.0
2020-01-22,-6236949.0,5930047.0,306903.0,-5574943.0,-662006.0,-3.3,3.14,0.16,-2.95,-0.35,3.01,1.01,0.0,0.0
2020-01-23,-41143906.0,31628708.0,9515198.0,-12497673.0,-28646233.0,-21.42,16.46,4.95,-6.51,-14.91,2.91,-3.32,0.0,0.0
2020-02-03,-5023075.0,7737735.0,-2714660.0,-3599230.0,-1423845.0,-20.25,31.2,-10.95,-14.51,-5.74,2.62,-9.97,0.0,0.0
2020-02-04,-5681681.0,4820857.0,860824.0,-2174206.0,-3507475.0,-3.7,3.14,0.56,-1.42,-2.28,2.59,-1.15,0.0,0.0
2020-02-05,-4943524.0,4324247.0,619278.0,-3717081.0,-1226443.0,-4.13,3.61,0.52,-3.11,-1.02,2.62,1.16,0.0,0.0
2020-02-06,-2315530.0,2376055.0,-60525.0,-779042.0,-1536488.0,-1.86,1.91,-0.05,-0.63,-1.23,2.65,1.15,0.0,0.0
2020-02-07,-7305390.0,7855039.0,-549649.0,-11090159.0,3784769.0,-7.56,8.12,-0.57,-11.47,3.91,2.63,-0.75,0.0,0.0
2020-02-10,-6441336.0,3047225.0,3394111.0,-5205209.0,-1236127.0,-5.49,2.6,2.89,-4.43,-1.05,2.7,2.66,0.0,0.0
2020-02-11,-9333721.0,2370158.0,6963562.0,-3590144.0,-5743577.0,-7.44,1.89,5.55,-2.86,-4.58,2.72,0.74,0.0,0.0
2020-02-12,246858.0,2074601.0,-2321459.0,-3548271.0,3795129.0,0.28,2.37,-2.65,-4.05,4.33,2.74,0.74,0.0,0.0
2020-02-13,-12241939.0,7874743.0,4367196.0,-5501873.0,-6740066.0,-12.54,8.06,4.47,-5.63,-6.9,2.69,-1.82,0.0,0.0
2020-02-14,9005800.0,-2086439.0,-6919361.0,5490795.0,3515005.0,11.26,-2.61,-8.65,6.86,4.39,2.72,1.12,0.0,0.0
2020-02-17,21929081.0,-11419596.0,-10509484.0,13154131.0,8774950.0,12.33,-6.42,-5.91,7.4,4.94,2.86,5.15,0.0,0.0
2020-02-18,-8629405.0,6456599.0,2172806.0,-7895788.0,-733617.0,-6.57,4.91,1.65,-6.01,-0.56,2.87,0.35,0.0,0.0
2020-02-19,-12698767.0,8350363.0,4348404.0,-9688355.0,-3010412.0,-9.54,6.27,3.27,-7.28,-2.26,2.84,-1.05,0.0,0.0
2020-02-20,-8939651.0,5102222.0,3837429.0,-3200842.0,-5738809.0,-6.06,3.46,2.6,-2.17,-3.89,2.89,1.76,0.0,0.0
2020-02-21,-13774081.0,9980231.0,3793852.0,-7936793.0,-5837288.0,-10.47,7.59,2.88,-6.03,-4.44,2.87,-0.69,0.0,0.0
2020-02-24,-11811017.0,9845567.0,1965449.0,-12875961.0,1064944.0,-8.86,7.38,1.47,-9.65,0.8,2.89,0.7,0.0,0.0
2020-02-25,-7617813.0,10841304.0,-3223492.0,-10136026.0,2518213.0,-5.05,7.19,-2.14,-6.72,1.67,2.85,-1.38,0.0,0.0
2020-02-26,104237859.0,-61527859.0,-42710000.0,15934085.0,88303774.0,27.54,-16.25,-11.28,4.21,23.33,3.14,10.18,0.0,0.0
2020-02-27,-37877782.0,34668480.0,3209296.0,-23393920.0,-14483862.0,-2.78,2.55,0.24,-1.72,-1.06,3.28,4.46,0.0,0.0
2020-02-28,-102339971.0,66256777.0,36083186.0,-58591121.0,-43748850.0,-14.36,9.3,5.06,-8.22,-6.14,3.03,-7.62,0.0,0.0
2020-03-02,16464005.0,-8638591.0,-7825413.0,12389520.0,4074485.0,4.57,-2.4,-2.17,3.44,1.13,3.34,10.23,0.0,0.0
2020-03-03,-35282228.0,44913200.0,-9630976.0,1567488.0,-36849716.0,-2.65,3.38,-0.72,0.12,-2.77,3.56,6.59,0.0,0.0
2020-03-04,28458653.0,-2252768.0,-26205856.0,1645392.0,26813261.0,2.48,-0.2,-2.28,0.14,2.34,3.92,10.11,0.0,0.0
2020-03-05,-122497544.0,92655984.0,29841552.0,-48073824.0,-74423720.0,-8.49,6.42,2.07,-3.33,-5.16,3.98,1.53,0.0,0.0
2020-03-06,-105628354.0,95489532.0,10138816.0,-68490981.0,-37137373.0,-11.94,10.79,1.15,-7.74,-4.2,3.89,-2.26,0.0,0.0
2020-03-09,-89171590.0,88894776.0,276821.0,-58564768.0,-30606822.0,-13.34,13.3,0.04,-8.76,-4.58,3.53,-9.25,0.0,0.0
2020-03-10,18701182.0,-12450567.0,-6250616.0,12129068.0,6572114.0,3.23,-2.15,-1.08,2.09,1.13,3.71,5.1,0.0,0.0
2020-03-11,-87271704.0,73866281.0,13405422.0,-54569733.0,-32701971.0,-18.23,15.43,2.8,-11.4,-6.83,3.57,-3.77,0.0,0.0
2020-03-12,-28731605.0,28656132.0,75473.0,-32277185.0,3545580.0,-8.75,8.73,0.02,-9.83,1.08,3.45,-3.36,0.0,0.0
2020-03-13,-7910182.0,15005602.0,-7095418.0,-7997581.0,87399.0,-2.45,4.65,-2.2,-2.48,0.03,3.37,-2.32,0.0,0.0
2020-03-16,-15900028.0,15931083.0,-31055.0,-9734522.0,-6165506.0,-4.79,4.8,-0.01,-2.93,-1.86,3.3,-2.08,0.0,0.0
2020-03-17,-8446835.0,4534377.0,3912459.0,-8949579.0,502744.0,-3.14,1.68,1.45,-3.33,0.19,3.39,2.73,0.0,0.0
2020-03-18,-35822812.0,32438346.0,3384466.0,-25813622.0,-10009190.0,-9.24,8.37,0.87,-6.66,-2.58,3.4,0.29,0.0,0.0
2020-03-19,-5533335.0,7939303.0,-2405967.0,-2818591.0,-2714744.0,-2.05,2.94,-0.89,-1.04,-1.0,3.43,0.88,0.0,0.0
2020-03-20,-10754808.0,4920527.0,5834281.0,-6003997.0,-4750811.0,-3.95,1.81,2.14,-2.21,-1.74,3.49,1.75,0.0,0.0
2020-03-23,-39866606.0,44111216.0,-4244608.0,-26847597.0,-13019009.0,-15.47,17.11,-1.65,-10.42,-5.05,3.19,-8.6,0.0,0.0
2020-03-24,-22274212.0,20643166.0,1631047.0,-15159556.0,-7114656.0,-9.98,9.25,0.73,-6.79,-3.19,3.2,0.31,0.0,0.0
2020-03-25,-13046348.0,12211206.0,835142.0,-9662852.0,-3383496.0,-6.8,6.37,0.44,-5.04,-1.76,3.24,1.25,0.0,0.0
2020-03-26,-21349840.0,30599245.0,-9249405.0,-7389603.0,-13960237.0,-12.99,18.62,-5.63,-4.5,-8.5,3.11,-4.01,0.0,0.0
2020-03-27,24137046.0,-12568644.0,-11568400.0,12245853.0,11891193.0,9.73,-5.07,-4.66,4.94,4.79,3.2,2.89,0.0,0.0
2020-03-30,-23085462.0,9034477.0,14050986.0,-14652826.0,-8432636.0,-12.24,4.79,7.45,-7.77,-4.47,3.23,0.94,0.0,0.0
2020-03-31,-9600066.0,2587488.0,7012580.0,-8050507.0,-1549559.0,-5.32,1.43,3.89,-4.46,-0.86,3.25,0.62,0.0,0.0
2020-04-01,-11013876.0,14994838.0,-3980963.0,-910154.0,-10103722.0,-8.15,11.1,-2.95,-0.67,-7.48,3.17,-2.46,0.0,0.0
2020-04-02,8404304.0,418090.0,-8822395.0,1755494.0,6648810.0,7.22,0.36,-7.58,1.51,5.71,3.23,1.89,0.0,0.0
2020-04-03,-12269762.0,12052651.0,217110.0,-9440155.0,-2829607.0,-11.72,11.51,0.21,-9.02,-2.7,3.19,-1.24,0.0,0.0
2020-04-07,1133623.0,-2382795.0,1249172.0,1745573.0,-611950.0,0.71,-1.49,0.78,1.09,-0.38,3.26,2.19,0.0,0.0
2020-04-08,961452.0,1364268.0,-2325721.0,2512718.0,-1551266.0,0.53,0.75,-1.27,1.37,-0.85,3.33,2.15,0.0,0.0
2020-04-09,-10510527.0,9362147.0,1148381.0,-1884392.0,-8626135.0,-5.97,5.32,0.65,-1.07,-4.9,3.3,-0.9,0.0,0.0
2020-04-10,-10602037.0,12326319.0,-1724283.0,-2908789.0,-7693248.0,-8.03,9.34,-1.31,-2.2,-5.83,3.23,-2.12,0.0,0.0
2020-04-13,-2554830.0,-684580.0,3239409.0,-3779532.0,1224702.0,-2.76,-0.74,3.5,-4.09,1.32,3.27,1.24,0.0,0.0
2020-04-14,-4540473.0,2965404.0,1575069.0,610305.0,-5150778.0,-4.59,3.0,1.59,0.62,-5.21,3.3,0.92,0.0,0.0
2020-04-15,-4246741.0,3641901.0,604840.0,-3313321.0,-933420.0,-4.68,4.01,0.67,-3.65,-1.03,3.26,-1.21,0.0,0.0
2020-04-16,220608.0,1873305.0,-2093913.0,-2946348.0,3166956.0,0.23,1.92,-2.14,-3.01,3.24,3.28,0.61,0.0,0.0
2020-04-17,109379681.0,-62945435.0,-46434247.0,8953666.0,100426015.0,29.86,-17.19,-12.68,2.44,27.42,3.61,10.06,0.0,0.0
2020-04-20,-82164288.0,92686871.0,-10522576.0,-43897685.0,-38266603.0,-8.56,9.65,-1.1,-4.57,-3.98,3.72,3.05,0.0,0.0
2020-04-21,-29169102.0,34588464.0,-5419376.0,3408224.0,-32577326.0,-3.44,4.08,-0.64,0.4,-3.84,3.93,5.65,0.0,0.0
2020-04-22,-28290700.0,33281767.0,-4991066.0,-19058281.0,-9232419.0,-5.69,6.69,-1.0,-3.83,-1.86,3.8,-3.31,0.0,0.0
2020-04-23,-34536000.0,48309124.0,-13773125.0,-17606761.0,-16929239.0,-7.72,10.8,-3.08,-3.94,-3.78,3.71,-2.37,0.0,0.0
2020-04-24,-62333979.0,62228823.0,105156.0,-38738118.0,-23595861.0,-16.94,16.92,0.03,-10.53,-6.41,3.5,-5.66,0.0,0.0
2020-04-27,-20013117.0,22372019.0,-2358902.0,-16351487.0,-3661630.0,-9.79,10.94,-1.15,-8.0,-1.79,3.41,-2.57,0.0,0.0
