date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-5280777.0,3913740.0,1367036.0,-5316533.0,35756.0,-13.46,9.98,3.49,-13.56,0.09,4.01,-3.61,0.0,0.0
2020-01-09,600993.0,1181724.0,-1782718.0,600993.0,0.0,2.27,4.47,-6.74,2.27,0.0,4.05,1.0,0.0,0.0
2020-01-10,-3439192.0,2789044.0,650147.0,-3439192.0,0.0,-17.23,13.97,3.26,-17.23,0.0,4.0,-1.23,0.0,0.0
2020-01-13,-1745899.0,1130919.0,614980.0,-1745899.0,0.0,-10.15,6.58,3.58,-10.15,0.0,4.0,0.0,0.0,0.0
2020-01-14,718865.0,-146967.0,-571897.0,718865.0,0.0,3.61,-0.74,-2.87,3.61,0.0,4.05,1.25,0.0,0.0
2020-01-15,-1600091.0,2351199.0,-751108.0,-1600091.0,0.0,-8.68,12.76,-4.08,-8.68,0.0,3.94,-2.72,0.0,0.0
2020-01-16,-2882579.0,3735821.0,-853240.0,-1098699.0,-1783880.0,-15.32,19.85,-4.53,-5.84,-9.48,3.88,-1.52,0.0,0.0
2020-01-17,-526833.0,95131.0,431703.0,-526833.0,0.0,-4.17,0.75,3.42,-4.17,0.0,3.85,-0.77,0.0,0.0
2020-01-20,269606.0,391546.0,-661153.0,269606.0,0.0,2.71,3.93,-6.64,2.71,0.0,3.84,-0.26,0.0,0.0
2020-01-21,-121648.0,638113.0,-516466.0,-121648.0,0.0,-1.02,5.33,-4.31,-1.02,0.0,3.85,0.26,0.0,0.0
2020-01-22,-835907.0,1860249.0,-1024343.0,-835907.0,0.0,-7.97,17.74,-9.77,-7.97,0.0,3.8,-1.3,0.0,0.0
2020-01-23,-351784.0,293927.0,57857.0,-351784.0,0.0,-2.66,2.22,0.44,-2.66,0.0,3.73,-1.84,0.0,0.0
2020-02-03,-265770.0,1295655.0,-1029885.0,-265770.0,0.0,-2.31,11.24,-8.94,-2.31,0.0,3.36,-9.92,0.0,0.0
