date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-7311352.0,10094556.0,-2783204.0,-5670397.0,-1640955.0,-10.54,14.56,-4.01,-8.18,-2.37,11.28,-2.42,0.0,0.0
2020-01-09,-825548.0,2279736.0,-1454188.0,-825548.0,0.0,-1.96,5.41,-3.45,-1.96,0.0,11.35,0.62,0.0,0.0
2020-01-10,-2563275.0,6304674.0,-3741399.0,-2561011.0,-2264.0,-7.36,18.1,-10.74,-7.35,-0.01,11.32,-0.26,0.0,0.0
2020-01-13,-2715937.0,3621528.0,-905591.0,-2715937.0,0.0,-9.9,13.2,-3.3,-9.9,0.0,11.29,-0.27,0.0,0.0
2020-01-14,-5564510.0,4679194.0,885316.0,-4553819.0,-1010691.0,-11.99,10.08,1.91,-9.81,-2.18,11.2,-0.8,0.0,0.0
2020-01-15,-4712822.0,-792153.0,5504975.0,-4825252.0,112430.0,-7.39,-1.24,8.63,-7.56,0.18,11.15,-0.45,0.0,0.0
2020-01-16,-5020349.0,7242080.0,-2221731.0,-3522401.0,-1497948.0,-13.19,19.03,-5.84,-9.26,-3.94,11.02,-1.17,0.0,0.0
2020-01-17,-708353.0,1915294.0,-1206942.0,-708353.0,0.0,-2.0,5.41,-3.41,-2.0,0.0,11.22,1.81,0.0,0.0
2020-01-20,1526378.0,-1631778.0,105399.0,1441334.0,85044.0,5.9,-6.31,0.41,5.57,0.33,11.17,-0.45,0.0,0.0
2020-01-21,-6516973.0,5949363.0,567610.0,-5366328.0,-1150645.0,-16.15,14.74,1.41,-13.3,-2.85,10.9,-2.42,0.0,0.0
2020-01-22,-4921579.0,6613150.0,-1691571.0,-4921579.0,0.0,-13.35,17.94,-4.59,-13.35,0.0,10.76,-1.28,0.0,0.0
2020-01-23,-10320848.0,13675075.0,-3354226.0,-5036515.0,-5284333.0,-15.51,20.56,-5.04,-7.57,-7.94,10.43,-3.07,0.0,0.0
2020-02-03,-7436922.0,6490007.0,946917.0,-9631869.0,2194947.0,-8.41,7.34,1.07,-10.89,2.48,9.7,-7.0,0.0,0.0
