date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-4879813.0,3235028.0,1644785.0,-3559065.0,-1320748.0,-21.81,14.46,7.35,-15.91,-5.9,6.5,-2.4,0.0,0.0
2020-01-09,2559443.0,-3909011.0,1349568.0,2559443.0,0.0,9.81,-14.98,5.17,9.81,0.0,6.7,3.08,0.0,0.0
2020-01-10,-2126908.0,1139898.0,987011.0,-2126908.0,0.0,-10.6,5.68,4.92,-10.6,0.0,6.73,0.45,0.0,0.0
2020-01-13,-1410952.0,1404290.0,6662.0,-1410952.0,0.0,-9.5,9.46,0.04,-9.5,0.0,6.72,-0.15,0.0,0.0
2020-01-14,-1922533.0,2525449.0,-602916.0,-2670907.0,748374.0,-7.22,9.48,-2.26,-10.03,2.81,6.66,-0.89,0.0,0.0
2020-01-15,-1291505.0,3470270.0,-2178765.0,-1618505.0,327000.0,-4.98,13.37,-8.4,-6.24,1.26,6.55,-1.65,0.0,0.0
2020-01-16,-337817.0,-430423.0,768241.0,-337817.0,0.0,-2.8,-3.56,6.36,-2.8,0.0,6.51,-0.61,0.0,0.0
2020-01-17,-2889366.0,4212879.0,-1323513.0,-2889366.0,0.0,-14.29,20.84,-6.55,-14.29,0.0,6.41,-1.54,0.0,0.0
2020-01-20,-1359709.0,2451415.0,-1091706.0,-1359709.0,0.0,-6.9,12.45,-5.54,-6.9,0.0,6.48,1.09,0.0,0.0
2020-01-21,-2631135.0,3064225.0,-433089.0,-1605756.0,-1025379.0,-15.25,17.76,-2.51,-9.31,-5.94,6.4,-1.23,0.0,0.0
2020-01-22,-353960.0,624032.0,-270072.0,-353960.0,0.0,-2.17,3.82,-1.65,-2.17,0.0,6.4,0.0,0.0,0.0
2020-01-23,-1125431.0,2843835.0,-1718404.0,-993166.0,-132265.0,-5.7,14.4,-8.7,-5.03,-0.67,6.17,-3.59,0.0,0.0
2020-02-03,-1251115.0,2967640.0,-1716525.0,-1251115.0,0.0,-8.8,20.87,-12.07,-8.8,0.0,5.55,-10.05,0.0,0.0
2020-02-04,607226.0,1488441.0,-2095667.0,607226.0,0.0,2.84,6.97,-9.82,2.84,0.0,5.57,0.36,0.0,0.0
2020-02-05,371757.0,-683685.0,311929.0,368942.0,2815.0,2.21,-4.06,1.85,2.19,0.02,5.65,1.44,0.0,0.0
2020-02-06,-90732.0,-426231.0,516962.0,-90732.0,0.0,-0.59,-2.79,3.38,-0.59,0.0,5.73,1.42,0.0,0.0
2020-02-07,-149682.0,940262.0,-790580.0,-149682.0,0.0,-1.41,8.85,-7.44,-1.41,0.0,5.76,0.52,0.0,0.0
2020-02-10,-73572.0,1039230.0,-965658.0,-73572.0,0.0,-0.68,9.58,-8.9,-0.68,0.0,5.84,1.39,0.0,0.0
2020-02-11,-575231.0,242556.0,332675.0,-575231.0,0.0,-5.09,2.15,2.95,-5.09,0.0,5.84,0.0,0.0,0.0
2020-02-12,119697.0,-343883.0,224186.0,119697.0,0.0,1.2,-3.44,2.24,1.2,0.0,5.92,1.37,0.0,0.0
2020-02-13,-71512.0,2037870.0,-1966358.0,-71512.0,0.0,-0.46,13.18,-12.72,-0.46,0.0,5.77,-2.53,0.0,0.0
2020-02-14,-395379.0,2810171.0,-2414792.0,-395379.0,0.0,-2.48,17.6,-15.12,-2.48,0.0,5.73,-0.69,0.0,0.0
2020-02-17,531542.0,-584742.0,53200.0,531542.0,0.0,3.26,-3.59,0.33,3.26,0.0,5.88,2.62,0.0,0.0
2020-02-18,-2490321.0,2002436.0,487884.0,-2490321.0,0.0,-12.8,10.29,2.51,-12.8,0.0,5.93,0.85,0.0,0.0
2020-02-19,-1060090.0,1557341.0,-497252.0,-1060090.0,0.0,-5.17,7.59,-2.42,-5.17,0.0,5.95,0.34,0.0,0.0
2020-02-20,281246.0,115929.0,-397175.0,281246.0,0.0,1.26,0.52,-1.77,1.26,0.0,6.06,1.85,0.0,0.0
2020-02-21,231586.0,-1267764.0,1036178.0,231586.0,0.0,1.06,-5.79,4.73,1.06,0.0,6.11,0.83,0.0,0.0
2020-02-24,-1819465.0,884456.0,935009.0,-1819465.0,0.0,-7.88,3.83,4.05,-7.88,0.0,6.03,-1.31,0.0,0.0
2020-02-25,-1068708.0,382897.0,685812.0,-1068708.0,0.0,-5.26,1.89,3.38,-5.26,0.0,5.95,-1.33,0.0,0.0
2020-02-26,-1407797.0,201842.0,1205956.0,-1407797.0,0.0,-6.37,0.91,5.46,-6.37,0.0,5.94,-0.17,0.0,0.0
2020-02-27,1475336.0,-2511050.0,1035713.0,1475336.0,0.0,5.65,-9.62,3.97,5.65,0.0,6.06,2.02,0.0,0.0
2020-02-28,409862.0,728702.0,-1138565.0,1528811.0,-1118949.0,1.63,2.89,-4.52,6.07,-4.44,5.81,-4.13,0.0,0.0
2020-03-02,886726.0,-1433147.0,546420.0,-88330.0,975056.0,4.69,-7.58,2.89,-0.47,5.16,5.97,2.75,0.0,0.0
2020-03-03,-135193.0,882468.0,-747275.0,-135193.0,0.0,-0.8,5.2,-4.41,-0.8,0.0,5.99,0.34,0.0,0.0
2020-03-04,424340.0,-273729.0,-150611.0,424340.0,0.0,3.47,-2.24,-1.23,3.47,0.0,6.04,0.83,0.0,0.0
2020-03-05,2044402.0,-2810624.0,766221.0,2044402.0,0.0,8.28,-11.38,3.1,8.28,0.0,6.19,2.48,0.0,0.0
2020-03-06,-342146.0,-365533.0,707679.0,-342146.0,0.0,-1.82,-1.94,3.76,-1.82,0.0,6.2,0.16,0.0,0.0
