date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-31092680.0,33099934.0,-2007255.0,-22008637.0,-9084043.0,-14.22,15.14,-0.92,-10.06,-4.15,3.59,-4.27,0.0,0.0
2020-01-09,4341586.0,-901232.0,-3440354.0,214030.0,4127556.0,4.03,-0.84,-3.19,0.2,3.83,3.62,0.84,0.0,0.0
2020-01-10,-8663828.0,12670989.0,-4007161.0,-6017303.0,-2646525.0,-8.97,13.12,-4.15,-6.23,-2.74,3.59,-0.83,0.0,0.0
2020-01-13,-5546384.0,4502625.0,1043759.0,-2935810.0,-2610574.0,-8.28,6.72,1.56,-4.38,-3.9,3.58,-0.28,0.0,0.0
2020-01-14,-6348217.0,6405898.0,-57682.0,-6059849.0,-288368.0,-7.44,7.51,-0.07,-7.1,-0.34,3.56,-0.56,0.0,0.0
2020-01-15,-5662300.0,7522765.0,-1860464.0,-2678487.0,-2983813.0,-7.63,10.14,-2.51,-3.61,-4.02,3.5,-1.69,0.0,0.0
2020-01-16,-3759658.0,3020979.0,738679.0,35387.0,-3795045.0,-7.37,5.92,1.45,0.07,-7.44,3.51,0.29,0.0,0.0
2020-01-17,-4600680.0,2105860.0,2494822.0,-4563531.0,-37149.0,-8.47,3.88,4.6,-8.41,-0.07,3.51,0.0,0.0,0.0
2020-01-20,-15536138.0,21267042.0,-5730904.0,-14091199.0,-1444939.0,-14.5,19.86,-5.35,-13.16,-1.35,3.38,-3.7,0.0,0.0
2020-01-21,-8287524.0,9313842.0,-1026318.0,-6148780.0,-2138744.0,-14.09,15.84,-1.75,-10.45,-3.64,3.31,-2.07,0.0,0.0
2020-01-22,-1855595.0,5543875.0,-3688281.0,756643.0,-2612238.0,-3.53,10.53,-7.01,1.44,-4.96,3.32,0.3,0.0,0.0
2020-01-23,-15651728.0,14308741.0,1342987.0,-7950972.0,-7700756.0,-24.02,21.96,2.06,-12.2,-11.82,3.21,-3.31,0.0,0.0
2020-02-03,1178542.0,5147668.0,-6326210.0,288711.0,889831.0,4.36,19.03,-23.38,1.07,3.29,2.89,-9.97,0.0,0.0
