date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-16914460.0,14224176.0,2690286.0,-13669919.0,-3244541.0,-22.12,18.6,3.52,-17.88,-4.24,14.16,-3.08,0.0,0.0
2020-01-09,-442700.0,-527256.0,969956.0,2170308.0,-2613008.0,-0.35,-0.42,0.77,1.73,-2.08,14.68,3.67,0.0,0.0
2020-01-10,1199944.0,2031517.0,-3231461.0,63223.0,1136721.0,1.28,2.16,-3.43,0.07,1.21,14.61,-0.48,0.0,0.0
2020-01-13,1427975.0,-144392.0,-1283584.0,393825.0,1034150.0,2.67,-0.27,-2.4,0.74,1.94,14.74,0.89,0.0,0.0
2020-01-14,-5119159.0,5466169.0,-347009.0,-3101763.0,-2017396.0,-8.95,9.56,-0.61,-5.43,-3.53,14.6,-0.95,0.0,0.0
2020-01-15,-2367678.0,2610943.0,-243265.0,-2367678.0,0.0,-5.38,5.94,-0.55,-5.38,0.0,14.5,-0.68,0.0,0.0
2020-01-16,-5777071.0,6491641.0,-714570.0,-5777071.0,0.0,-13.13,14.76,-1.62,-13.13,0.0,14.35,-1.03,0.0,0.0
2020-01-17,-4086871.0,3410768.0,676102.0,-3070687.0,-1016184.0,-9.46,7.89,1.56,-7.11,-2.35,14.33,-0.14,0.0,0.0
2020-01-20,8453689.0,-11771262.0,3317573.0,9883180.0,-1429491.0,5.47,-7.62,2.15,6.39,-0.92,15.08,5.23,0.0,0.0
2020-01-21,-825072.0,4081885.0,-3256813.0,6636942.0,-7462014.0,-0.25,1.22,-0.98,1.99,-2.24,15.99,6.03,0.0,0.0
2020-01-22,-15911688.0,6216087.0,9695599.0,-17914580.0,2002892.0,-5.38,2.1,3.28,-6.06,0.68,15.93,-0.38,0.0,0.0
2020-01-23,11061893.0,-13667565.0,2605674.0,11757131.0,-695238.0,2.5,-3.09,0.59,2.66,-0.16,16.82,5.59,0.0,0.0
2020-02-03,26194673.0,-883350.0,-25311324.0,-2968707.0,29163380.0,5.27,-0.18,-5.09,-0.6,5.86,18.5,9.99,0.0,0.0
2020-02-04,-20083887.0,24772101.0,-4688224.0,-15718147.0,-4365740.0,-2.81,3.47,-0.66,-2.2,-0.61,19.17,3.62,0.0,0.0
2020-02-05,-23535280.0,31548356.0,-8013082.0,-31744771.0,8209491.0,-3.5,4.69,-1.19,-4.72,1.22,19.56,2.03,0.0,0.0
2020-02-06,-23386902.0,24041988.0,-655072.0,-26458202.0,3071300.0,-3.23,3.32,-0.09,-3.66,0.42,19.83,1.38,0.0,0.0
2020-02-07,-66093681.0,74353725.0,-8260045.0,-35090889.0,-31002792.0,-10.57,11.89,-1.32,-5.61,-4.96,18.61,-6.15,0.0,0.0
