date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2019-11-29,-1616368.0,1031138.0,585232.0,-248312.0,-1368056.0,-10.82,6.91,3.92,-1.66,-9.16,4.61,-0.43,0.0,0.0
2019-12-02,-616122.0,1963006.0,-1346884.0,-616122.0,0.0,-5.28,16.82,-11.54,-5.28,0.0,4.59,-0.43,0.0,0.0
2019-12-03,144523.0,-1674191.0,1529668.0,144523.0,0.0,0.69,-7.99,7.3,0.69,0.0,4.68,1.96,0.0,0.0
2019-12-04,183595.0,338034.0,-521630.0,183595.0,0.0,1.19,2.2,-3.39,1.19,0.0,4.7,0.43,0.0,0.0
2019-12-05,457657.0,518701.0,-976356.0,457657.0,0.0,1.84,2.08,-3.92,1.84,0.0,4.76,1.28,0.0,0.0
2019-12-06,-1424689.0,1336947.0,87743.0,-1424689.0,0.0,-6.78,6.36,0.42,-6.78,0.0,4.79,0.63,0.0,0.0
2019-12-09,405264.0,509278.0,-914542.0,405264.0,0.0,1.47,1.84,-3.31,1.47,0.0,4.82,0.63,0.0,0.0
2019-12-10,-3484162.0,4029800.0,-545636.0,-3484162.0,0.0,-15.61,18.06,-2.45,-15.61,0.0,4.82,0.0,0.0,0.0
2019-12-11,-3517182.0,3180400.0,336783.0,-2325985.0,-1191197.0,-18.11,16.38,1.73,-11.98,-6.14,4.77,-1.04,0.0,0.0
2019-12-12,35697011.0,-23260988.0,-12436024.0,13394530.0,22302481.0,17.49,-11.4,-6.09,6.56,10.93,5.25,10.06,0.0,0.0
2019-12-13,-18863940.0,8443261.0,10420678.0,-11937677.0,-6926263.0,-8.11,3.63,4.48,-5.13,-2.98,5.24,-0.19,0.0,0.0
2019-12-16,-1541782.0,372250.0,1169533.0,-2763377.0,1221595.0,-1.12,0.27,0.85,-2.01,0.89,5.33,1.72,0.0,0.0
2019-12-17,-6434174.0,1815782.0,4618392.0,-5090764.0,-1343410.0,-5.33,1.5,3.82,-4.21,-1.11,5.33,0.0,0.0,0.0
2019-12-18,-5304655.0,3327061.0,1977594.0,-3951264.0,-1353391.0,-5.12,3.21,1.91,-3.81,-1.31,5.36,0.56,0.0,0.0
2019-12-19,-6270120.0,6718222.0,-448103.0,-4436650.0,-1833470.0,-9.21,9.87,-0.66,-6.52,-2.69,5.34,-0.37,0.0,0.0
2019-12-20,-10763055.0,13203173.0,-2440118.0,-10763055.0,0.0,-16.06,19.7,-3.64,-16.06,0.0,5.21,-2.43,0.0,0.0
2019-12-23,-6215058.0,7174347.0,-959289.0,-6215058.0,0.0,-13.06,15.07,-2.02,-13.06,0.0,5.06,-2.88,0.0,0.0
2019-12-24,-163213.0,-454842.0,618055.0,-163213.0,0.0,-0.48,-1.33,1.8,-0.48,0.0,5.16,1.98,0.0,0.0
2019-12-25,8173931.0,-8805713.0,631782.0,8173931.0,0.0,9.63,-10.37,0.74,9.63,0.0,5.31,2.91,0.0,0.0
2019-12-26,-4176937.0,3963235.0,213702.0,-4176937.0,0.0,-8.75,8.3,0.45,-8.75,0.0,5.32,0.19,0.0,0.0
2019-12-27,-8864698.0,5867827.0,2996871.0,-7810698.0,-1054000.0,-14.93,9.88,5.05,-13.15,-1.78,5.21,-2.07,0.0,0.0
2019-12-30,11945369.0,-5937972.0,-6007397.0,11972022.0,-26653.0,8.01,-3.98,-4.03,8.03,-0.02,5.52,5.95,0.0,0.0
2019-12-31,-6115107.0,2373337.0,3741771.0,-2486323.0,-3628784.0,-6.86,2.66,4.2,-2.79,-4.07,5.44,-1.45,0.0,0.0
2020-01-02,3967378.0,315221.0,-4282600.0,1441858.0,2525520.0,3.57,0.28,-3.85,1.3,2.27,5.52,1.47,0.0,0.0
2020-01-03,-8789404.0,5896362.0,2893041.0,-6995519.0,-1793885.0,-13.16,8.83,4.33,-10.47,-2.69,5.46,-1.09,0.0,0.0
2020-01-06,-1372136.0,3568894.0,-2196758.0,-3401330.0,2029194.0,-1.81,4.7,-2.89,-4.48,2.67,5.45,-0.18,0.0,0.0
2020-01-07,11826621.0,-8216810.0,-3609812.0,6790525.0,5036096.0,10.91,-7.58,-3.33,6.26,4.65,5.65,3.67,0.0,0.0
2020-01-08,-17979712.0,17209285.0,770427.0,-17808144.0,-171568.0,-17.68,16.92,0.76,-17.51,-0.17,5.43,-3.89,0.0,0.0
2020-01-09,5563222.0,-5110752.0,-452471.0,5563222.0,0.0,7.06,-6.48,-0.57,7.06,0.0,5.56,2.39,0.0,0.0
2020-01-10,3471669.0,-7325222.0,3853553.0,2085381.0,1386288.0,2.54,-5.35,2.81,1.52,1.01,5.69,2.34,0.0,0.0
2020-01-13,-6855598.0,4011167.0,2844431.0,-5203276.0,-1652322.0,-7.16,4.19,2.97,-5.44,-1.73,5.7,0.18,0.0,0.0
2020-01-14,-5880767.0,7998135.0,-2117368.0,-11079051.0,5198284.0,-7.4,10.07,-2.66,-13.94,6.54,5.61,-1.58,0.0,0.0
2020-01-15,-6901237.0,7660143.0,-758905.0,-4635979.0,-2265258.0,-10.29,11.42,-1.13,-6.91,-3.38,5.53,-1.43,0.0,0.0
2020-01-16,-1712384.0,1436759.0,275626.0,-613369.0,-1099015.0,-3.88,3.26,0.62,-1.39,-2.49,5.48,-0.9,0.0,0.0
2020-01-17,-3525489.0,3012249.0,513240.0,-2335315.0,-1190174.0,-6.46,5.52,0.94,-4.28,-2.18,5.51,0.55,0.0,0.0
2020-01-20,-2053593.0,3977970.0,-1924375.0,-972614.0,-1080979.0,-4.04,7.82,-3.78,-1.91,-2.12,5.54,0.54,0.0,0.0
2020-01-21,-7994606.0,10273699.0,-2279093.0,-6538775.0,-1455831.0,-14.97,19.24,-4.27,-12.24,-2.73,5.38,-2.89,0.0,0.0
2020-01-22,-7823517.0,8819809.0,-996293.0,-6289682.0,-1533835.0,-14.4,16.23,-1.83,-11.57,-2.82,5.31,-1.3,0.0,0.0
2020-01-23,-7588909.0,6487367.0,1101542.0,-4591449.0,-2997460.0,-13.55,11.58,1.97,-8.2,-5.35,5.09,-4.14,0.0,0.0
2020-02-03,-1514582.0,3041532.0,-1526950.0,-1165129.0,-349453.0,-19.25,38.65,-19.4,-14.81,-4.44,4.58,-10.02,0.0,0.0
2020-02-04,-998388.0,4942768.0,-3944380.0,-4799330.0,3800942.0,-1.55,7.69,-6.14,-7.47,5.92,4.5,-1.75,0.0,0.0
2020-02-05,-1774641.0,2296009.0,-521368.0,-1592751.0,-181890.0,-3.36,4.35,-0.99,-3.01,-0.34,4.62,2.67,0.0,0.0
2020-02-06,335413.0,-298788.0,-36625.0,254773.0,80640.0,0.66,-0.59,-0.07,0.5,0.16,4.76,3.03,0.0,0.0
2020-02-07,25915781.0,-19816722.0,-6099059.0,4428190.0,21487591.0,22.77,-17.41,-5.36,3.89,18.88,5.24,10.08,0.0,0.0
2020-02-10,-26032246.0,17819232.0,8213015.0,-17356299.0,-8675947.0,-13.06,8.94,4.12,-8.71,-4.35,5.34,1.91,0.0,0.0
2020-02-11,-12909701.0,16733142.0,-3823440.0,-10967791.0,-1941910.0,-13.15,17.04,-3.89,-11.17,-1.98,5.16,-3.37,0.0,0.0
2020-02-12,-1472769.0,-3293508.0,4766277.0,-1399639.0,-73130.0,-1.25,-2.79,4.04,-1.19,-0.06,5.4,4.65,0.0,0.0
2020-02-13,-3755457.0,2763809.0,991649.0,-3954368.0,198911.0,-3.44,2.53,0.91,-3.62,0.18,5.34,-1.11,0.0,0.0
2020-02-14,2107922.0,1977011.0,-4084933.0,2056327.0,51595.0,1.88,1.77,-3.65,1.84,0.05,5.42,1.5,0.0,0.0
2020-02-17,-4520772.0,-4363809.0,8884581.0,-2973543.0,-1547229.0,-3.2,-3.09,6.29,-2.1,-1.09,5.54,2.21,0.0,0.0
2020-02-18,5032877.0,-4851488.0,-181389.0,3914660.0,1118217.0,2.87,-2.76,-0.1,2.23,0.64,5.73,3.43,0.0,0.0
2020-02-19,-11814403.0,14255880.0,-2441476.0,-8737870.0,-3076533.0,-9.15,11.04,-1.89,-6.77,-2.38,5.57,-2.79,0.0,0.0
