date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-6211180.0,4697485.0,1513695.0,-3960812.0,-2250368.0,-8.51,6.44,2.07,-5.43,-3.08,10.99,-2.74,0.0,0.0
2020-01-09,-3174551.0,3336970.0,-162420.0,-3174551.0,0.0,-5.69,5.98,-0.29,-5.69,0.0,11.12,1.18,0.0,0.0
2020-01-10,-1533816.0,6081345.0,-4547529.0,-1533816.0,0.0,-3.19,12.64,-9.45,-3.19,0.0,10.91,-1.89,0.0,0.0
2020-01-13,-3245129.0,4442315.0,-1197186.0,-3245129.0,0.0,-7.93,10.86,-2.93,-7.93,0.0,10.92,0.09,0.0,0.0
2020-01-14,-112251.0,282697.0,-170447.0,-112251.0,0.0,-0.26,0.66,-0.4,-0.26,0.0,10.87,-0.46,0.0,0.0
2020-01-15,473099.0,-39922.0,-433177.0,473099.0,0.0,1.19,-0.1,-1.09,1.19,0.0,10.95,0.74,0.0,0.0
2020-01-16,-3301977.0,6248586.0,-2946610.0,-3301977.0,0.0,-9.34,17.68,-8.34,-9.34,0.0,10.72,-2.1,0.0,0.0
2020-01-17,431968.0,-120674.0,-311293.0,431968.0,0.0,1.7,-0.47,-1.22,1.7,0.0,10.77,0.47,0.0,0.0
2020-01-20,9351.0,1361481.0,-1370832.0,9351.0,0.0,0.04,5.1,-5.14,0.04,0.0,10.83,0.56,0.0,0.0
2020-01-21,-2259112.0,957879.0,1301233.0,-2259112.0,0.0,-7.73,3.28,4.45,-7.73,0.0,10.66,-1.57,0.0,0.0
2020-01-22,-1595032.0,4176068.0,-2581036.0,-1595032.0,0.0,-4.87,12.75,-7.88,-4.87,0.0,10.43,-2.16,0.0,0.0
2020-01-23,-1164604.0,4347378.0,-3182774.0,-1188087.0,23483.0,-2.82,10.52,-7.7,-2.88,0.06,9.85,-5.56,0.0,0.0
2020-02-03,-269648.0,421325.0,-151678.0,-269648.0,0.0,-12.03,18.8,-6.77,-12.03,0.0,8.87,-9.95,0.0,0.0
2020-02-04,-9303015.0,16225490.0,-6922477.0,-5927050.0,-3375965.0,-9.69,16.9,-7.21,-6.17,-3.52,8.06,-9.13,0.0,0.0
2020-02-05,-920760.0,-120219.0,1040979.0,-917448.0,-3312.0,-1.56,-0.2,1.76,-1.55,-0.01,8.19,1.61,0.0,0.0
2020-02-06,76878.0,2110651.0,-2187530.0,76878.0,0.0,0.17,4.55,-4.71,0.17,0.0,8.26,0.85,0.0,0.0
2020-02-07,4749068.0,-6143259.0,1394191.0,4749068.0,0.0,7.99,-10.33,2.34,7.99,0.0,8.61,4.24,0.0,0.0
2020-02-10,-1016111.0,3377826.0,-2361714.0,-1016111.0,0.0,-2.33,7.74,-5.41,-2.33,0.0,8.65,0.46,0.0,0.0
2020-02-11,984629.0,-1812904.0,828274.0,984629.0,0.0,1.46,-2.69,1.23,1.46,0.0,8.83,2.08,0.0,0.0
2020-02-12,-2868010.0,5520822.0,-2652813.0,-2868010.0,0.0,-6.39,12.3,-5.91,-6.39,0.0,8.82,-0.11,0.0,0.0
2020-02-13,-859205.0,5485274.0,-4626069.0,-859205.0,0.0,-2.65,16.89,-14.24,-2.65,0.0,8.57,-2.83,0.0,0.0
2020-02-14,1749428.0,-5916698.0,4167271.0,1749428.0,0.0,2.62,-8.86,6.24,2.62,0.0,8.78,2.45,0.0,0.0
2020-02-17,-132266.0,3709544.0,-3577278.0,-1012079.0,879813.0,-0.18,5.0,-4.83,-1.37,1.19,9.06,3.19,0.0,0.0
2020-02-18,-2306660.0,4586922.0,-2280263.0,-2225970.0,-80690.0,-4.49,8.94,-4.44,-4.34,-0.16,9.02,-0.44,0.0,0.0
2020-02-19,8447112.0,-9846404.0,1399292.0,6924123.0,1522989.0,7.2,-8.4,1.19,5.9,1.3,9.35,3.66,0.0,0.0
2020-02-20,2262247.0,382316.0,-2644563.0,-4655155.0,6917402.0,1.82,0.31,-2.13,-3.74,5.56,9.79,4.71,0.0,0.0
2020-02-21,-8615277.0,6487935.0,2127341.0,-4148740.0,-4466537.0,-8.38,6.31,2.07,-4.03,-4.34,9.57,-2.25,0.0,0.0
2020-02-24,-5253493.0,6373087.0,-1119594.0,-4143246.0,-1110247.0,-7.52,9.13,-1.6,-5.93,-1.59,9.56,-0.1,0.0,0.0
2020-02-25,-5375476.0,6223530.0,-848053.0,-5759561.0,384085.0,-9.46,10.95,-1.49,-10.13,0.68,9.26,-3.14,0.0,0.0
2020-02-26,-328589.0,336623.0,-8034.0,-328589.0,0.0,-0.73,0.75,-0.02,-0.73,0.0,9.2,-0.65,0.0,0.0
2020-02-27,-3812443.0,4769872.0,-957430.0,-6471370.0,2658927.0,-8.5,10.63,-2.13,-14.42,5.93,9.16,-0.43,0.0,0.0
2020-02-28,1137742.0,-1960682.0,822939.0,1137742.0,0.0,2.52,-4.35,1.82,2.52,0.0,8.67,-5.35,0.0,0.0
2020-03-02,740364.0,2611191.0,-3351554.0,740364.0,0.0,1.68,5.92,-7.6,1.68,0.0,8.76,1.04,0.0,0.0
2020-03-03,-621570.0,1054392.0,-432822.0,-621570.0,0.0,-1.27,2.16,-0.89,-1.27,0.0,8.76,0.0,0.0,0.0
2020-03-04,-2504532.0,2979892.0,-475359.0,-2203684.0,-300848.0,-7.35,8.75,-1.4,-6.47,-0.88,8.67,-1.03,0.0,0.0
2020-03-05,875466.0,275673.0,-1151139.0,1171429.0,-295963.0,1.22,0.38,-1.6,1.63,-0.41,8.97,3.46,0.0,0.0
2020-03-06,390272.0,1156771.0,-1547044.0,390272.0,0.0,0.76,2.26,-3.02,0.76,0.0,8.88,-1.0,0.0,0.0
2020-03-09,-4465293.0,4269298.0,195994.0,-4465293.0,0.0,-10.33,9.88,0.45,-10.33,0.0,8.45,-4.84,0.0,0.0
2020-03-10,-360564.0,-382706.0,743269.0,-1611411.0,1250847.0,-0.91,-0.96,1.87,-4.05,3.15,8.6,1.78,0.0,0.0
2020-03-11,-3156426.0,4650546.0,-1494120.0,-3128906.0,-27520.0,-10.41,15.34,-4.93,-10.32,-0.09,8.47,-1.51,0.0,0.0
2020-03-12,43774286.0,-24222874.0,-19551412.0,5535981.0,38238305.0,24.84,-13.74,-11.09,3.14,21.69,9.32,10.04,0.0,0.0
2020-03-13,-24302768.0,18921281.0,5381487.0,-13867886.0,-10434882.0,-9.36,7.28,2.07,-5.34,-4.02,9.72,4.29,0.0,0.0
2020-03-16,-22125560.0,22287457.0,-161898.0,-20687215.0,-1438345.0,-13.75,13.86,-0.1,-12.86,-0.89,8.75,-9.98,0.0,0.0
2020-03-17,-906802.0,4595859.0,-3689057.0,391554.0,-1298356.0,-0.86,4.37,-3.51,0.37,-1.24,8.09,-7.54,0.0,0.0
2020-03-18,-3534075.0,9607275.0,-6073200.0,-3534075.0,0.0,-4.39,11.92,-7.54,-4.39,0.0,7.72,-4.57,0.0,0.0
2020-03-19,605971.0,1841182.0,-2447154.0,721339.0,-115368.0,0.86,2.6,-3.46,1.02,-0.16,7.65,-0.91,0.0,0.0
2020-03-20,-815827.0,1562651.0,-746825.0,-815827.0,0.0,-2.53,4.84,-2.31,-2.53,0.0,7.62,-0.39,0.0,0.0
2020-03-23,97001.0,3892663.0,-3989662.0,-167754.0,264755.0,0.34,13.48,-13.82,-0.58,0.92,7.16,-6.04,0.0,0.0
2020-03-24,-256981.0,-1078992.0,1335973.0,-256981.0,0.0,-1.08,-4.54,5.63,-1.08,0.0,7.3,1.96,0.0,0.0
2020-03-25,-128427.0,9834.0,118593.0,-128427.0,0.0,-0.41,0.03,0.38,-0.41,0.0,7.54,3.29,0.0,0.0
2020-03-26,-3389578.0,5691978.0,-2302401.0,-3189178.0,-200400.0,-11.71,19.66,-7.95,-11.02,-0.69,7.32,-2.92,0.0,0.0
2020-03-27,537975.0,-253434.0,-284541.0,537975.0,0.0,2.56,-1.21,-1.36,2.56,0.0,7.32,0.0,0.0,0.0
2020-03-30,-128014.0,2083956.0,-1955942.0,-128014.0,0.0,-0.51,8.34,-7.83,-0.51,0.0,7.0,-4.37,0.0,0.0
2020-03-31,-613617.0,2374811.0,-1761195.0,-538122.0,-75495.0,-2.43,9.39,-6.96,-2.13,-0.3,7.01,0.14,0.0,0.0
2020-04-01,549979.0,-116097.0,-433881.0,549979.0,0.0,2.33,-0.49,-1.84,2.33,0.0,6.88,-1.85,0.0,0.0
2020-04-02,813341.0,-227779.0,-585562.0,813341.0,0.0,4.19,-1.17,-3.02,4.19,0.0,6.97,1.31,0.0,0.0
2020-04-03,949925.0,1269658.0,-2219585.0,949925.0,0.0,5.32,7.11,-12.42,5.32,0.0,6.86,-1.58,0.0,0.0
2020-04-07,-1631848.0,1075525.0,556324.0,-1631848.0,0.0,-5.04,3.32,1.72,-5.04,0.0,7.02,2.33,0.0,0.0
2020-04-08,-555473.0,2284225.0,-1728752.0,-555473.0,0.0,-2.56,10.54,-7.98,-2.56,0.0,7.01,-0.14,0.0,0.0
2020-04-09,9503174.0,-7840935.0,-1662240.0,-374698.0,9877872.0,9.78,-8.07,-1.71,-0.39,10.17,7.44,6.13,0.0,0.0
