date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-17636843.0,10746910.0,6889932.0,-7095126.0,-10541717.0,-10.49,6.39,4.1,-4.22,-6.27,2.08,5.05,0.0,0.0
2020-01-09,-22805814.0,23105207.0,-299393.0,-15241416.0,-7564398.0,-16.68,16.9,-0.22,-11.15,-5.53,1.98,-4.81,0.0,0.0
2020-01-10,-13651797.0,11989103.0,1662694.0,-3116551.0,-10535246.0,-13.82,12.13,1.68,-3.15,-10.66,1.88,-5.05,0.0,0.0
2020-01-13,3181596.0,-3625430.0,443834.0,1227911.0,1953685.0,5.86,-6.68,0.82,2.26,3.6,1.97,4.79,0.0,0.0
2020-01-14,-6512909.0,7908041.0,-1395133.0,-5627437.0,-885472.0,-6.37,7.73,-1.36,-5.5,-0.87,1.93,-2.03,0.0,0.0
2020-01-15,-4156827.0,2659384.0,1497442.0,-5121813.0,964986.0,-4.62,2.96,1.66,-5.69,1.07,2.03,5.18,0.0,0.0
2020-01-16,-888403.0,5286354.0,-4397952.0,-924896.0,36493.0,-1.3,7.73,-6.43,-1.35,0.05,1.97,-2.96,0.0,0.0
2020-01-17,-4224619.0,5923319.0,-1698699.0,-3284610.0,-940009.0,-7.9,11.08,-3.18,-6.14,-1.76,1.88,-4.57,0.0,0.0
2020-01-20,-1588128.0,1427587.0,160541.0,-1592220.0,4092.0,-3.46,3.11,0.35,-3.46,0.01,1.81,-3.72,0.0,0.0
2020-01-21,-7170943.0,6976158.0,194787.0,-5229479.0,-1941464.0,-17.24,16.77,0.47,-12.57,-4.67,1.72,-4.97,0.0,0.0
2020-01-22,-2561033.0,3503423.0,-942390.0,-2561033.0,0.0,-4.62,6.32,-1.7,-4.62,0.0,1.78,3.49,0.0,0.0
2020-01-23,1104969.0,516051.0,-1621021.0,1104969.0,0.0,3.72,1.74,-5.46,3.72,0.0,1.79,0.56,0.0,0.0
2020-02-03,-604180.0,625770.0,-21590.0,-260780.0,-343400.0,-39.92,41.35,-1.43,-17.23,-22.69,1.7,-5.03,0.0,0.0
2020-02-04,-11423130.0,8656535.0,2766594.0,-10095084.0,-1328046.0,-23.87,18.09,5.78,-21.1,-2.78,1.63,-4.12,0.0,0.0
2020-02-05,-2963086.0,3812214.0,-849128.0,-2963086.0,0.0,-6.59,8.48,-1.89,-6.59,0.0,1.58,-3.07,0.0,0.0
2020-02-06,-6993548.0,6722549.0,271000.0,-6993548.0,0.0,-14.95,14.37,0.58,-14.95,0.0,1.5,-5.06,0.0,0.0
