date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-104225141.0,83955826.0,20269314.0,-57562059.0,-46663082.0,-21.42,17.26,4.17,-11.83,-9.59,14.36,-4.77,0.0,0.0
2020-01-09,-21754579.0,12035141.0,9719438.0,-8620592.0,-13133987.0,-7.28,4.03,3.25,-2.88,-4.39,14.53,1.18,0.0,0.0
2020-01-10,-13434924.0,13124086.0,310839.0,-6457284.0,-6977640.0,-5.37,5.25,0.12,-2.58,-2.79,14.5,-0.21,0.0,0.0
2020-01-13,26872198.0,-14622896.0,-12249302.0,18218144.0,8654054.0,8.28,-4.5,-3.77,5.61,2.67,14.79,2.0,0.0,0.0
2020-01-14,-12990147.0,3563827.0,9426321.0,-5289921.0,-7700226.0,-4.25,1.17,3.09,-1.73,-2.52,14.69,-0.68,0.0,0.0
2020-01-15,36761495.0,-16000082.0,-20761413.0,3259638.0,33501857.0,5.95,-2.59,-3.36,0.53,5.42,15.14,3.06,0.0,0.0
2020-01-16,-37240354.0,26563956.0,10676398.0,-17434197.0,-19806157.0,-10.6,7.56,3.04,-4.96,-5.64,15.07,-0.46,0.0,0.0
2020-01-17,-8300562.0,12143390.0,-3842828.0,-6926897.0,-1373665.0,-1.87,2.74,-0.87,-1.56,-0.31,15.11,0.27,0.0,0.0
2020-01-20,-17210513.0,10200582.0,7009930.0,-17153374.0,-57139.0,-5.15,3.05,2.1,-5.13,-0.02,15.19,0.53,0.0,0.0
2020-01-21,-60256477.0,55073490.0,5182987.0,-49895851.0,-10360626.0,-17.41,15.91,1.5,-14.42,-2.99,14.68,-3.36,0.0,0.0
2020-01-22,-2163985.0,4367221.0,-2203237.0,-1867373.0,-296612.0,-0.7,1.41,-0.71,-0.6,-0.1,14.86,1.23,0.0,0.0
2020-01-23,-78547409.0,68673507.0,9873902.0,-68500573.0,-10046836.0,-20.65,18.05,2.6,-18.01,-2.64,13.97,-5.99,0.0,0.0
2020-02-03,-6511084.0,8482613.0,-1971529.0,-5074132.0,-1436952.0,-24.86,32.39,-7.53,-19.37,-5.49,12.57,-10.02,0.0,0.0
2020-02-04,-48005168.0,43967837.0,4037332.0,-32088136.0,-15917032.0,-11.4,10.44,0.96,-7.62,-3.78,12.01,-4.46,0.0,0.0
2020-02-05,-16007302.0,12290905.0,3716397.0,-10794843.0,-5212459.0,-5.38,4.13,1.25,-3.63,-1.75,12.11,0.83,0.0,0.0
2020-02-06,22277547.0,-16168657.0,-6108890.0,12194552.0,10082995.0,6.12,-4.45,-1.68,3.35,2.77,12.44,2.73,0.0,0.0
2020-02-07,-4878676.0,10806620.0,-5927944.0,-770072.0,-4108604.0,-1.63,3.61,-1.98,-0.26,-1.37,12.48,0.32,0.0,0.0
2020-02-10,-6078566.0,10447338.0,-4368772.0,-6389170.0,310604.0,-2.44,4.19,-1.75,-2.56,0.12,12.62,1.12,0.0,0.0
2020-02-11,-15170728.0,15674637.0,-503909.0,-14011944.0,-1158784.0,-6.2,6.41,-0.21,-5.73,-0.47,12.52,-0.79,0.0,0.0
2020-02-12,-14995301.0,6362452.0,8632849.0,-13254087.0,-1741214.0,-4.75,2.02,2.73,-4.2,-0.55,12.67,1.2,0.0,0.0
2020-02-13,-5356089.0,8999739.0,-3643650.0,-11977756.0,6621667.0,-2.16,3.63,-1.47,-4.83,2.67,12.53,-1.1,0.0,0.0
2020-02-14,26150525.0,-19826198.0,-6324327.0,16966358.0,9184167.0,8.81,-6.68,-2.13,5.72,3.1,12.78,2.0,0.0,0.0
2020-02-17,8639284.0,-12204880.0,3565596.0,7170955.0,1468329.0,1.85,-2.61,0.76,1.53,0.31,13.3,4.07,0.0,0.0
2020-02-18,-1308002.0,14498665.0,-13190663.0,7160956.0,-8468958.0,-0.4,4.44,-4.04,2.19,-2.59,13.34,0.3,0.0,0.0
2020-02-19,-15757941.0,12126581.0,3631358.0,3492425.0,-19250366.0,-4.41,3.4,1.02,0.98,-5.39,13.26,-0.6,0.0,0.0
2020-02-20,216230258.0,-88701739.0,-127528520.0,-33197934.0,249428192.0,25.09,-10.29,-14.8,-3.85,28.95,14.59,10.03,0.0,0.0
2020-02-21,206440447.0,-85525165.0,-120915290.0,-22738656.0,229179103.0,15.08,-6.25,-8.83,-1.66,16.74,16.05,10.01,0.0,0.0
2020-02-24,-173162436.0,109621584.0,63540832.0,-68498000.0,-104664436.0,-8.28,5.24,3.04,-3.28,-5.01,16.2,0.93,0.0,0.0
2020-02-25,-137965711.0,90317376.0,47648336.0,-25479328.0,-112486383.0,-9.68,6.34,3.34,-1.79,-7.89,15.92,-1.73,0.0,0.0
2020-02-26,-77661337.0,56696487.0,20964848.0,-35595889.0,-42065448.0,-8.45,6.17,2.28,-3.87,-4.58,15.2,-4.52,0.0,0.0
2020-02-27,-25237475.0,11628030.0,13609445.0,-3171332.0,-22066143.0,-3.67,1.69,1.98,-0.46,-3.21,15.31,0.72,0.0,0.0
2020-02-28,-28193273.0,31105245.0,-2911968.0,-24995215.0,-3198058.0,-3.32,3.66,-0.34,-2.94,-0.38,14.74,-3.72,0.0,0.0
2020-03-02,50768339.0,-38010774.0,-12757568.0,25866544.0,24901795.0,5.54,-4.15,-1.39,2.82,2.72,15.48,5.02,0.0,0.0
2020-03-03,-37798449.0,28003311.0,9795136.0,-30466305.0,-7332144.0,-4.14,3.07,1.07,-3.34,-0.8,15.56,0.52,0.0,0.0
2020-03-04,39331179.0,-16111124.0,-23220048.0,12990384.0,26340795.0,3.95,-1.62,-2.33,1.31,2.65,16.13,3.66,0.0,0.0
2020-03-05,71591802.0,-32388832.0,-39202960.0,25533232.0,46058570.0,4.77,-2.16,-2.61,1.7,3.07,16.69,3.47,0.0,0.0
2020-03-06,-196064145.0,143404696.0,52659456.0,-107965407.0,-88098738.0,-22.46,16.43,6.03,-12.37,-10.09,15.52,-7.01,0.0,0.0
