date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-81420.0,-381071.0,462491.0,-81420.0,0.0,-0.69,-3.24,3.93,-0.69,0.0,8.73,-1.36,0.0,0.0
2020-01-09,884526.0,-767060.0,-117466.0,884526.0,0.0,10.32,-8.95,-1.37,10.32,0.0,8.81,0.92,0.0,0.0
2020-01-10,668311.0,-419684.0,-248628.0,668311.0,0.0,7.55,-4.74,-2.81,7.55,0.0,8.82,0.11,0.0,0.0
2020-01-13,-339646.0,-269100.0,608746.0,-339646.0,0.0,-4.95,-3.92,8.88,-4.95,0.0,8.84,0.23,0.0,0.0
2020-01-14,1467499.0,-277581.0,-1189920.0,1451020.0,16479.0,11.49,-2.17,-9.32,11.37,0.13,8.87,0.34,0.0,0.0
2020-01-15,-540583.0,313868.0,226715.0,-540583.0,0.0,-6.09,3.53,2.55,-6.09,0.0,8.77,-1.13,0.0,0.0
2020-01-16,-1272969.0,1161492.0,111477.0,-1272969.0,0.0,-15.18,13.85,1.33,-15.18,0.0,8.71,-0.68,0.0,0.0
2020-01-17,-7045871.0,4625699.0,2420173.0,-4871636.0,-2174235.0,-28.41,18.65,9.76,-19.64,-8.77,8.53,-2.07,0.0,0.0
2020-01-20,-4920774.0,2711773.0,2209001.0,-3712262.0,-1208512.0,-34.32,18.91,15.41,-25.89,-8.43,8.53,0.0,0.0,0.0
2020-01-21,-2791738.0,3051771.0,-260033.0,-2791738.0,0.0,-22.47,24.57,-2.09,-22.47,0.0,8.44,-1.06,0.0,0.0
2020-01-22,-2349211.0,1554896.0,794315.0,-2065893.0,-283318.0,-19.34,12.8,6.54,-17.01,-2.33,8.46,0.24,0.0,0.0
2020-01-23,-1183496.0,508471.0,675025.0,-1183496.0,0.0,-9.18,3.94,5.24,-9.18,0.0,8.3,-1.89,0.0,0.0
2020-02-03,-2461847.0,2708171.0,-246323.0,-1340932.0,-1120915.0,-14.34,15.78,-1.43,-7.81,-6.53,7.47,-10.0,0.0,0.0
2020-02-04,436893.0,706189.0,-1143083.0,436893.0,0.0,3.52,5.69,-9.21,3.52,0.0,7.47,0.0,0.0,0.0
2020-02-05,-1610031.0,2675242.0,-1065211.0,-1610031.0,0.0,-10.83,17.99,-7.16,-10.83,0.0,7.47,0.0,0.0,0.0
2020-02-06,-856664.0,840699.0,15965.0,-856664.0,0.0,-5.91,5.8,0.11,-5.91,0.0,7.5,0.4,0.0,0.0
2020-02-07,-401141.0,1272832.0,-871691.0,-401141.0,0.0,-5.49,17.41,-11.92,-5.49,0.0,7.51,0.13,0.0,0.0
2020-02-10,-93953.0,-876166.0,970119.0,-93953.0,0.0,-0.73,-6.77,7.5,-0.73,0.0,7.71,2.66,0.0,0.0
2020-02-11,-549446.0,1495561.0,-946116.0,-549446.0,0.0,-5.69,15.5,-9.8,-5.69,0.0,7.65,-0.78,0.0,0.0
2020-02-12,-411785.0,236994.0,174791.0,-411785.0,0.0,-5.11,2.94,2.17,-5.11,0.0,7.7,0.65,0.0,0.0
2020-02-13,25084.0,358493.0,-383576.0,25084.0,0.0,0.18,2.53,-2.7,0.18,0.0,7.67,-0.39,0.0,0.0
2020-02-14,-1000216.0,112358.0,887859.0,-1000216.0,0.0,-10.21,1.15,9.06,-10.21,0.0,7.67,0.0,0.0,0.0
2020-02-17,681255.0,-1128294.0,447039.0,681255.0,0.0,5.27,-8.73,3.46,5.27,0.0,7.87,2.61,0.0,0.0
2020-02-18,-1167134.0,2219008.0,-1051875.0,-1167134.0,0.0,-7.86,14.94,-7.08,-7.86,0.0,7.87,0.0,0.0,0.0
2020-02-19,-1490868.0,828098.0,662771.0,-1490868.0,0.0,-13.39,7.44,5.95,-13.39,0.0,7.82,-0.64,0.0,0.0
2020-02-20,1342070.0,-1035816.0,-306254.0,1342070.0,0.0,9.12,-7.04,-2.08,9.12,0.0,7.96,1.79,0.0,0.0
2020-02-21,770625.0,-182596.0,-588030.0,770625.0,0.0,5.72,-1.35,-4.36,5.72,0.0,7.99,0.38,0.0,0.0
2020-02-24,527140.0,-648031.0,120891.0,527140.0,0.0,5.02,-6.17,1.15,5.02,0.0,8.05,0.75,0.0,0.0
2020-02-25,-1107427.0,2367761.0,-1260334.0,-1550254.0,442827.0,-6.41,13.72,-7.3,-8.98,2.57,7.85,-2.48,0.0,0.0
2020-02-26,676949.0,-1794939.0,1117989.0,676949.0,0.0,2.1,-5.56,3.46,2.1,0.0,8.0,1.91,0.0,0.0
