date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,1608857.0,-4122615.0,2513757.0,1608857.0,0.0,4.06,-10.4,6.34,4.06,0.0,4.76,-0.21,0.0,0.0
2020-01-09,-15327.0,-2465952.0,2481277.0,25586.0,-40913.0,-0.03,-4.81,4.84,0.05,-0.08,4.85,1.89,0.0,0.0
2020-01-10,-384251.0,-2177597.0,2561849.0,-165905.0,-218346.0,-1.31,-7.42,8.73,-0.57,-0.74,4.86,0.21,0.0,0.0
2020-01-13,-106601.0,241585.0,-134985.0,-761331.0,654730.0,-0.44,1.0,-0.56,-3.15,2.71,4.86,0.0,0.0,0.0
2020-01-14,-114183.0,-210616.0,324798.0,-1916373.0,1802190.0,-0.37,-0.68,1.05,-6.17,5.8,4.89,0.62,0.0,0.0
2020-01-15,-3163207.0,2950097.0,213111.0,-1419457.0,-1743750.0,-11.55,10.78,0.78,-5.18,-6.37,4.9,0.2,0.0,0.0
2020-01-16,-568345.0,-1305655.0,1874001.0,-568345.0,0.0,-3.4,-7.81,11.22,-3.4,0.0,4.85,-1.02,0.0,0.0
2020-01-17,-986586.0,779979.0,206607.0,-986586.0,0.0,-5.55,4.39,1.16,-5.55,0.0,4.86,0.21,0.0,0.0
2020-01-20,-897247.0,-838850.0,1736097.0,-897247.0,0.0,-2.93,-2.74,5.67,-2.93,0.0,4.82,-0.82,0.0,0.0
2020-01-21,-1917757.0,331010.0,1586749.0,-916249.0,-1001508.0,-8.42,1.45,6.97,-4.02,-4.4,4.8,-0.41,0.0,0.0
2020-01-22,-2385823.0,-675128.0,3060950.0,-2525736.0,139913.0,-7.73,-2.19,9.92,-8.18,0.45,4.8,0.0,0.0,0.0
2020-01-23,-3729474.0,3457667.0,271808.0,-3729474.0,0.0,-13.39,12.41,0.98,-13.39,0.0,4.56,-5.0,0.0,0.0
2020-02-03,-1186517.0,530799.0,655720.0,3172177.0,-4358694.0,-1.68,0.75,0.93,4.49,-6.16,4.1,-10.09,0.0,0.0
2020-02-04,7940729.0,-7502032.0,-438697.0,2117529.0,5823200.0,15.04,-14.21,-0.83,4.01,11.03,4.32,5.37,0.0,0.0
2020-02-05,464269.0,-2980829.0,2516560.0,464269.0,0.0,1.66,-10.64,8.98,1.66,0.0,4.32,0.0,0.0,0.0
2020-02-06,-1644246.0,1501399.0,142847.0,137717.0,-1781963.0,-6.49,5.93,0.56,0.54,-7.04,4.29,-0.69,0.0,0.0
2020-02-07,-3836601.0,2059337.0,1777264.0,-3836601.0,0.0,-19.49,10.46,9.03,-19.49,0.0,4.23,-1.4,0.0,0.0
2020-02-10,-556967.0,-126157.0,683124.0,-556967.0,0.0,-3.69,-0.83,4.52,-3.69,0.0,4.26,0.71,0.0,0.0
2020-02-11,771293.0,322550.0,-1093842.0,771293.0,0.0,4.83,2.02,-6.85,4.83,0.0,4.26,0.0,0.0,0.0
2020-02-12,-361119.0,122031.0,239087.0,-361119.0,0.0,-2.15,0.73,1.42,-2.15,0.0,4.27,0.23,0.0,0.0
2020-02-13,1631062.0,-241762.0,-1389300.0,55615.0,1575447.0,7.1,-1.05,-6.04,0.24,6.85,4.25,-0.47,0.0,0.0
2020-02-14,-368280.0,-341117.0,709398.0,-189780.0,-178500.0,-2.34,-2.17,4.51,-1.21,-1.14,4.26,0.24,0.0,0.0
2020-02-17,-2874116.0,157754.0,2716362.0,-2874116.0,0.0,-12.04,0.66,11.38,-12.04,0.0,4.32,1.41,0.0,0.0
2020-02-18,-2395526.0,966978.0,1428549.0,-1237584.0,-1157942.0,-7.79,3.14,4.64,-4.02,-3.76,4.29,-0.69,0.0,0.0
2020-02-19,3775545.0,-1165170.0,-2610376.0,3291051.0,484494.0,14.81,-4.57,-10.24,12.91,1.9,4.32,0.7,0.0,0.0
2020-02-20,5804245.0,-3017878.0,-2786367.0,-272378.0,6076623.0,15.32,-7.97,-7.36,-0.72,16.04,4.38,1.39,0.0,0.0
2020-02-21,-1093633.0,1721731.0,-628098.0,-742812.0,-350821.0,-3.34,5.27,-1.92,-2.27,-1.07,4.37,-0.23,0.0,0.0
2020-02-24,-3380106.0,1471647.0,1908458.0,-3380106.0,0.0,-8.83,3.85,4.99,-8.83,0.0,4.29,-1.83,0.0,0.0
2020-02-25,-1230694.0,1365855.0,-135160.0,-1230694.0,0.0,-4.05,4.49,-0.44,-4.05,0.0,4.24,-1.17,0.0,0.0
2020-02-26,11315198.0,-6086932.0,-5228266.0,4973427.0,6341771.0,15.77,-8.48,-7.29,6.93,8.84,4.41,4.01,0.0,0.0
2020-02-27,1070617.0,1130494.0,-2201111.0,1070617.0,0.0,3.54,3.73,-7.27,3.54,0.0,4.35,-1.36,0.0,0.0
2020-02-28,-4996612.0,3428251.0,1568360.0,-4996612.0,0.0,-16.13,11.07,5.06,-16.13,0.0,4.18,-3.91,0.0,0.0
2020-03-02,1067523.0,-1023110.0,-44412.0,1059819.0,7704.0,4.05,-3.88,-0.17,4.02,0.03,4.31,3.11,0.0,0.0
2020-03-03,113671.0,-718424.0,604754.0,1150471.0,-1036800.0,0.4,-2.5,2.1,4.0,-3.6,4.33,0.46,0.0,0.0
2020-03-04,-13174515.0,4998146.0,8176369.0,-995764.0,-12178751.0,-19.12,7.26,11.87,-1.45,-17.68,4.43,2.31,0.0,0.0
2020-03-05,14663074.0,-6702828.0,-7960247.0,5654847.0,9008227.0,18.42,-8.42,-10.0,7.1,11.32,4.57,3.16,0.0,0.0
2020-03-06,7858788.0,-6462131.0,-1396657.0,-2126881.0,9985669.0,8.95,-7.36,-1.59,-2.42,11.37,4.7,2.84,0.0,0.0
2020-03-09,-3706404.0,3448458.0,257945.0,-2458878.0,-1247526.0,-8.34,7.76,0.58,-5.53,-2.81,4.51,-4.04,0.0,0.0
2020-03-10,-12971553.0,6196071.0,6775482.0,259219.0,-13230772.0,-25.41,12.14,13.27,0.51,-25.92,4.48,-0.67,0.0,0.0
2020-03-11,2673568.0,-1809588.0,-863980.0,2673568.0,0.0,7.33,-4.96,-2.37,7.33,0.0,4.44,-0.89,0.0,0.0
2020-03-12,-929334.0,1029752.0,-100418.0,-929334.0,0.0,-3.65,4.04,-0.39,-3.65,0.0,4.38,-1.35,0.0,0.0
2020-03-13,56942205.0,-35735198.0,-21207008.0,-7731213.0,64673418.0,28.28,-17.75,-10.53,-3.84,32.12,4.82,10.05,0.0,0.0
2020-03-16,34858567.0,-16630349.0,-18228216.0,27967634.0,6890933.0,7.47,-3.56,-3.91,5.99,1.48,5.3,9.96,0.0,0.0
2020-03-17,-52655229.0,43105827.0,9549401.0,-23137268.0,-29517961.0,-15.01,12.29,2.72,-6.6,-8.42,4.81,-9.25,0.0,0.0
2020-03-18,-35829893.0,24975642.0,10854251.0,-24322602.0,-11507291.0,-15.4,10.74,4.67,-10.46,-4.95,4.43,-7.9,0.0,0.0
2020-03-19,-10031533.0,9078964.0,952571.0,-6997739.0,-3033794.0,-8.12,7.34,0.77,-5.66,-2.45,4.25,-4.06,0.0,0.0
2020-03-20,-13484537.0,11202961.0,2281576.0,-9311534.0,-4173003.0,-13.95,11.59,2.36,-9.64,-4.32,4.27,0.47,0.0,0.0
2020-03-23,-4099899.0,6949565.0,-2849666.0,-940141.0,-3159758.0,-5.29,8.97,-3.68,-1.21,-4.08,4.04,-5.39,0.0,0.0
2020-03-24,12663333.0,-7189737.0,-5473595.0,5394458.0,7268875.0,16.05,-9.11,-6.94,6.84,9.21,4.23,4.7,0.0,0.0
2020-03-25,3105246.0,-2436007.0,-669239.0,4053899.0,-948653.0,4.27,-3.35,-0.92,5.58,-1.31,4.29,1.42,0.0,0.0
2020-03-26,-7321407.0,6095363.0,1226044.0,-7648953.0,327546.0,-16.9,14.07,2.83,-17.65,0.76,4.18,-2.56,0.0,0.0
2020-03-27,-1378662.0,1186456.0,192206.0,-1378662.0,0.0,-4.68,4.02,0.65,-4.68,0.0,4.17,-0.24,0.0,0.0
2020-03-30,-4291729.0,4511019.0,-219290.0,-782574.0,-3509155.0,-13.09,13.76,-0.67,-2.39,-10.71,4.1,-1.68,0.0,0.0
2020-03-31,12347458.0,-7040167.0,-5307290.0,-2766361.0,15113819.0,22.34,-12.74,-9.6,-5.0,27.34,4.26,3.9,0.0,0.0
2020-04-01,-2108514.0,1817468.0,291045.0,-1801602.0,-306912.0,-8.08,6.96,1.12,-6.9,-1.18,4.17,-2.11,0.0,0.0
2020-04-02,1414926.0,-702134.0,-712794.0,907861.0,507065.0,5.96,-2.96,-3.0,3.82,2.14,4.21,0.96,0.0,0.0
2020-04-03,664281.0,421757.0,-1086038.0,664281.0,0.0,4.5,2.86,-7.36,4.5,0.0,4.17,-0.95,0.0,0.0
2020-04-07,-364084.0,-860616.0,1224699.0,-364084.0,0.0,-1.38,-3.25,4.63,-1.38,0.0,4.24,1.68,0.0,0.0
2020-04-08,12017218.0,-6803475.0,-5213743.0,6038414.0,5978804.0,19.61,-11.1,-8.51,9.86,9.76,4.41,4.01,0.0,0.0
2020-04-09,1613923.0,-854777.0,-759147.0,1155144.0,458779.0,2.33,-1.24,-1.1,1.67,0.66,4.38,-0.68,0.0,0.0
2020-04-10,-1322586.0,3566384.0,-2243798.0,-6151035.0,4828449.0,-0.95,2.55,-1.6,-4.4,3.45,4.52,3.2,0.0,0.0
2020-04-13,-13909956.0,8933561.0,4976396.0,-5201265.0,-8708691.0,-20.04,12.87,7.17,-7.49,-12.55,4.28,-5.31,0.0,0.0
2020-04-14,2217380.0,-908717.0,-1308663.0,130644.0,2086736.0,5.06,-2.07,-2.99,0.3,4.76,4.34,1.4,0.0,0.0
2020-04-15,-1852264.0,1504710.0,347554.0,-1852264.0,0.0,-6.23,5.06,1.17,-6.23,0.0,4.28,-1.38,0.0,0.0
2020-04-16,3912500.0,-1318412.0,-2594088.0,3866334.0,46166.0,13.2,-4.45,-8.75,13.04,0.16,4.35,1.64,0.0,0.0
2020-04-17,-4795840.0,4051882.0,743958.0,-3567170.0,-1228670.0,-17.15,14.49,2.66,-12.75,-4.39,4.29,-1.38,0.0,0.0
2020-04-20,-1956229.0,1151244.0,804985.0,-2160604.0,204375.0,-9.48,5.58,3.9,-10.47,0.99,4.29,0.0,0.0,0.0
2020-04-21,-6113060.0,3664260.0,2448800.0,-2584640.0,-3528420.0,-19.27,11.55,7.72,-8.15,-11.12,4.23,-1.4,0.0,0.0
2020-04-22,-1227133.0,-58396.0,1285529.0,1208745.0,-2435878.0,-4.71,-0.22,4.94,4.64,-9.35,4.26,0.71,0.0,0.0
2020-04-23,-2067326.0,502270.0,1565056.0,-172265.0,-1895061.0,-10.15,2.47,7.69,-0.85,-9.31,4.25,-0.23,0.0,0.0
2020-04-24,-4218432.0,2252354.0,1966079.0,-3165908.0,-1052524.0,-20.93,11.17,9.75,-15.71,-5.22,4.19,-1.41,0.0,0.0
2020-04-27,4085909.0,-2601987.0,-1483921.0,1270693.0,2815216.0,19.76,-12.58,-7.17,6.14,13.61,4.25,1.43,0.0,0.0
2020-04-28,-2934093.0,1338303.0,1595788.0,-2934093.0,0.0,-13.96,6.37,7.59,-13.96,0.0,4.2,-1.18,0.0,0.0
2020-04-29,-909525.0,1937556.0,-1028032.0,-7215975.0,6306450.0,-3.29,7.02,-3.72,-26.13,22.84,4.2,0.0,0.0,0.0
2020-04-30,-4707639.0,2074871.0,2632769.0,-2672526.0,-2035113.0,-17.62,7.77,9.85,-10.0,-7.62,4.23,0.71,0.0,0.0
2020-05-06,25311.0,1053148.0,-1078460.0,25311.0,0.0,0.12,5.12,-5.25,0.12,0.0,4.22,-0.24,0.0,0.0
2020-05-07,-4047873.0,698538.0,3349335.0,-3993273.0,-54600.0,-25.08,4.33,20.76,-24.75,-0.34,4.18,-0.95,0.0,0.0
2020-05-08,-3684133.0,955281.0,2728851.0,-2993417.0,-690716.0,-18.75,4.86,13.89,-15.23,-3.51,4.18,0.0,0.0,0.0
2020-05-11,-2319790.0,467541.0,1852249.0,-2319790.0,0.0,-13.18,2.66,10.52,-13.18,0.0,4.17,-0.24,0.0,0.0
2020-05-12,-2524349.0,949472.0,1574877.0,-1500071.0,-1024278.0,-11.97,4.5,7.47,-7.11,-4.86,4.15,-0.48,0.0,0.0
2020-05-13,14789.0,191971.0,-206758.0,-2037532.0,2052321.0,0.08,1.07,-1.15,-11.36,11.45,4.13,-0.48,0.0,0.0
2020-05-14,-2902361.0,990176.0,1912184.0,-2902361.0,0.0,-18.39,6.27,12.12,-18.39,0.0,4.11,-0.48,0.0,0.0
2020-05-15,-691036.0,2099719.0,-1408683.0,836069.0,-1527105.0,-4.36,13.25,-8.89,5.28,-9.64,4.12,0.24,0.0,0.0
2020-05-18,-6424785.0,3291205.0,3133580.0,-6424785.0,0.0,-23.37,11.97,11.4,-23.37,0.0,4.12,0.0,0.0,0.0
2020-05-19,896355.0,382796.0,-1279152.0,-1068298.0,1964653.0,3.84,1.64,-5.48,-4.58,8.42,4.12,0.0,0.0,0.0
2020-05-20,705485.0,467927.0,-1173413.0,232671.0,472814.0,3.73,2.48,-6.21,1.23,2.5,4.11,-0.24,0.0,0.0
2020-05-21,374453.0,87736.0,-462189.0,-108192.0,482645.0,1.13,0.27,-1.4,-0.33,1.46,4.13,0.49,0.0,0.0
2020-05-22,-3099642.0,3791427.0,-691784.0,-2042514.0,-1057128.0,-10.79,13.2,-2.41,-7.11,-3.68,4.08,-1.21,0.0,0.0
2020-05-25,-713551.0,647514.0,66037.0,-713551.0,0.0,-5.52,5.01,0.51,-5.52,0.0,4.08,0.0,0.0,0.0
2020-05-26,-5202400.0,3909240.0,1293161.0,-2980300.0,-2222100.0,-25.19,18.93,6.26,-14.43,-10.76,4.09,0.25,0.0,0.0
2020-05-27,-2280033.0,-851565.0,3131599.0,-1168234.0,-1111799.0,-11.09,-4.14,15.23,-5.68,-5.41,4.09,0.0,0.0,0.0
2020-05-28,-3102196.0,2553669.0,548527.0,-3333005.0,230809.0,-15.11,12.44,2.67,-16.24,1.12,4.08,-0.24,0.0,0.0
2020-05-29,2723277.0,498000.0,-3221277.0,2358868.0,364409.0,11.11,2.03,-13.14,9.63,1.49,4.09,0.25,0.0,0.0
2020-06-01,-658269.0,2240459.0,-1582190.0,-50103.0,-608166.0,-2.07,7.05,-4.98,-0.16,-1.91,4.17,1.96,0.0,0.0
2020-06-02,-3370540.0,7698010.0,-4327470.0,-4190336.0,819796.0,-8.04,18.37,-10.33,-10.0,1.96,4.21,0.96,0.0,0.0
2020-06-03,299970.0,472317.0,-772287.0,-805462.0,1105432.0,1.15,1.8,-2.95,-3.08,4.22,4.21,0.0,0.0,0.0
2020-06-04,195948.0,2097995.0,-2293942.0,195948.0,0.0,1.03,11.06,-12.1,1.03,0.0,4.23,0.48,0.0,0.0
2020-06-05,-3494128.0,2916740.0,577388.0,-2502928.0,-991200.0,-15.51,12.95,2.56,-11.11,-4.4,4.24,0.24,0.0,0.0
2020-06-08,-3701276.0,8055309.0,-4354032.0,-3410606.0,-290670.0,-16.82,36.61,-19.79,-15.5,-1.32,4.25,0.24,0.0,0.0
2020-06-09,-2501208.0,3489468.0,-988259.0,-1761352.0,-739856.0,-14.45,20.16,-5.71,-10.17,-4.27,4.23,-0.47,0.0,0.0
2020-06-10,-1557708.0,2486567.0,-928858.0,-676258.0,-881450.0,-5.35,8.55,-3.19,-2.32,-3.03,4.26,0.71,0.0,0.0
2020-06-11,-1525516.0,1164524.0,360992.0,-1180120.0,-345396.0,-4.73,3.61,1.12,-3.66,-1.07,4.25,-0.23,0.0,0.0
2020-06-12,-5318038.0,4968262.0,349776.0,-4521950.0,-796088.0,-9.29,8.68,0.61,-7.9,-1.39,4.14,-2.59,0.0,0.0
2020-06-15,-4283872.0,-303952.0,4587824.0,-3219430.0,-1064442.0,-11.82,-0.84,12.66,-8.88,-2.94,4.1,-0.97,0.0,0.0
2020-06-16,-3672778.0,695803.0,2976975.0,-2063156.0,-1609622.0,-15.13,2.87,12.26,-8.5,-6.63,4.12,0.49,0.0,0.0
2020-06-18,-1147263.0,1544502.0,-397240.0,-1452060.0,304797.0,-6.38,8.58,-2.21,-8.07,1.69,4.12,0.49,0.0,0.0
2020-06-19,-379199.0,1540473.0,-1161275.0,-562469.0,183270.0,-1.36,5.53,-4.17,-2.02,0.66,4.14,0.49,0.0,0.0
2020-06-22,-2151613.0,1238281.0,913331.0,-2069227.0,-82386.0,-11.85,6.82,5.03,-11.39,-0.45,4.12,-0.48,0.0,0.0
2020-06-23,-3618806.0,958834.0,2659972.0,-3740606.0,121800.0,-18.49,4.9,13.59,-19.11,0.62,4.08,-0.97,0.0,0.0
2020-06-29,-3415593.0,1798138.0,1617457.0,-1370343.0,-2045250.0,-20.66,10.88,9.78,-8.29,-12.37,4.05,-0.74,0.0,0.0
2020-06-30,-5821413.0,6926900.0,-1105487.0,-7043544.0,1222131.0,-27.54,32.77,-5.23,-33.32,5.78,4.07,0.49,0.0,0.0
2020-07-01,4318991.0,-2709948.0,-1609042.0,2442687.0,1876304.0,11.01,-6.91,-4.1,6.23,4.78,4.15,1.97,0.0,0.0
2020-07-02,394053.0,1767279.0,-2161333.0,-1411311.0,1805364.0,0.59,2.64,-3.23,-2.11,2.7,4.26,2.65,0.0,0.0
2020-07-06,-4374172.0,4649831.0,-275659.0,-3986685.0,-387487.0,-5.26,5.59,-0.33,-4.79,-0.47,4.51,4.88,0.0,0.0
2020-07-08,-7321996.0,2493546.0,4828451.0,1546417.0,-8868413.0,-10.21,3.48,6.73,2.16,-12.36,4.45,0.68,0.0,0.0
