date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,3672854.0,390224.0,-4063078.0,3207865.0,464989.0,7.33,0.78,-8.11,6.41,0.93,4.35,-1.14,0.0,0.0
2020-01-09,-10083065.0,7287790.0,2795275.0,-6907544.0,-3175521.0,-19.45,14.06,5.39,-13.32,-6.13,4.29,-1.38,0.0,0.0
2020-01-10,-3692778.0,1772596.0,1920183.0,-2477901.0,-1214877.0,-13.25,6.36,6.89,-8.89,-4.36,4.24,-1.17,0.0,0.0
2020-01-13,-3705692.0,-1009203.0,4714896.0,-3513428.0,-192264.0,-10.66,-2.9,13.57,-10.11,-0.55,4.32,1.89,0.0,0.0
2020-01-14,382761.0,-92538.0,-290224.0,382761.0,0.0,1.78,-0.43,-1.35,1.78,0.0,4.3,-0.46,0.0,0.0
2020-01-15,-183839.0,226523.0,-42685.0,-183839.0,0.0,-1.16,1.43,-0.27,-1.16,0.0,4.23,-1.63,0.0,0.0
2020-01-16,-2669096.0,2325867.0,343230.0,-1492931.0,-1176165.0,-18.34,15.98,2.36,-10.26,-8.08,4.19,-0.95,0.0,0.0
2020-01-17,261490.0,212011.0,-473501.0,261490.0,0.0,2.07,1.68,-3.75,2.07,0.0,4.17,-0.48,0.0,0.0
2020-01-20,44132.0,14353.0,-58485.0,44132.0,0.0,0.38,0.12,-0.5,0.38,0.0,4.21,0.96,0.0,0.0
2020-01-21,-692237.0,1141647.0,-449410.0,-692237.0,0.0,-3.49,5.76,-2.27,-3.49,0.0,4.13,-1.9,0.0,0.0
2020-01-22,-1541608.0,1020430.0,521178.0,-1541608.0,0.0,-8.0,5.3,2.71,-8.0,0.0,4.14,0.24,0.0,0.0
2020-01-23,-3943204.0,2597091.0,1346114.0,-4350229.0,407025.0,-13.03,8.58,4.45,-14.38,1.35,4.02,-2.9,0.0,0.0
2020-02-03,-3982.0,1666792.0,-1662811.0,-3982.0,0.0,-0.06,24.59,-24.53,-0.06,0.0,3.62,-9.95,0.0,0.0
2020-02-04,1011013.0,-1342847.0,331833.0,1011013.0,0.0,3.19,-4.24,1.05,3.19,0.0,3.56,-1.66,0.0,0.0
2020-02-05,1595826.0,-297729.0,-1298097.0,420114.0,1175712.0,7.26,-1.36,-5.91,1.91,5.35,3.6,1.12,0.0,0.0
2020-02-06,1372528.0,-1863799.0,491270.0,1308087.0,64441.0,5.33,-7.24,1.91,5.08,0.25,3.73,3.61,0.0,0.0
2020-02-07,-522377.0,503004.0,19373.0,-1554281.0,1031904.0,-2.69,2.59,0.1,-8.0,5.31,3.75,0.54,0.0,0.0
2020-02-10,-700551.0,404865.0,295686.0,-713676.0,13125.0,-4.45,2.57,1.88,-4.54,0.08,3.84,2.4,0.0,0.0
2020-02-11,-479709.0,1000721.0,-521012.0,-479709.0,0.0,-3.47,7.24,-3.77,-3.47,0.0,3.83,-0.26,0.0,0.0
2020-02-12,729506.0,-541910.0,-187597.0,729506.0,0.0,6.7,-4.98,-1.72,6.7,0.0,3.86,0.78,0.0,0.0
2020-02-13,-854812.0,1894441.0,-1039628.0,-854812.0,0.0,-4.47,9.9,-5.43,-4.47,0.0,3.78,-2.07,0.0,0.0
2020-02-14,223487.0,586058.0,-809545.0,223487.0,0.0,1.69,4.43,-6.11,1.69,0.0,3.8,0.53,0.0,0.0
2020-02-17,-36127.0,-1310988.0,1347115.0,-36127.0,0.0,-0.19,-6.75,6.94,-0.19,0.0,3.89,2.37,0.0,0.0
2020-02-18,-1037575.0,1557358.0,-519783.0,-1037575.0,0.0,-7.12,10.69,-3.57,-7.12,0.0,3.88,-0.26,0.0,0.0
2020-02-19,-2395830.0,1699099.0,696732.0,-1102298.0,-1293532.0,-10.2,7.24,2.97,-4.69,-5.51,3.87,-0.26,0.0,0.0
2020-02-20,5555347.0,-4890100.0,-665247.0,5271278.0,284069.0,14.67,-12.91,-1.76,13.92,0.75,4.03,4.13,0.0,0.0
2020-02-21,-2240060.0,2561428.0,-321369.0,-2216578.0,-23482.0,-6.05,6.92,-0.87,-5.99,-0.06,3.97,-1.49,0.0,0.0
2020-02-24,-1159960.0,795197.0,364763.0,-1159960.0,0.0,-3.95,2.71,1.24,-3.95,0.0,3.95,-0.5,0.0,0.0
2020-02-25,-541195.0,-2451492.0,2992686.0,-541195.0,0.0,-1.83,-8.28,10.11,-1.83,0.0,3.97,0.51,0.0,0.0
2020-02-26,-1511244.0,-246674.0,1757919.0,-1511244.0,0.0,-4.42,-0.72,5.14,-4.42,0.0,4.0,0.76,0.0,0.0
2020-02-27,-1703307.0,1568674.0,134633.0,-1703307.0,0.0,-7.59,6.99,0.6,-7.59,0.0,4.0,0.0,0.0,0.0
2020-02-28,-7088298.0,1754595.0,5333702.0,-6027977.0,-1060321.0,-20.26,5.01,15.24,-17.23,-3.03,3.8,-5.0,0.0,0.0
2020-03-02,213697.0,-317598.0,103900.0,298146.0,-84449.0,1.05,-1.57,0.51,1.47,-0.42,3.93,3.42,0.0,0.0
2020-03-03,-1124359.0,-483203.0,1607561.0,-1124359.0,0.0,-4.44,-1.91,6.35,-4.44,0.0,3.99,1.53,0.0,0.0
2020-03-04,4482611.0,-2990409.0,-1492202.0,3049576.0,1433035.0,7.07,-4.72,-2.35,4.81,2.26,4.25,6.52,0.0,0.0
2020-03-05,8309569.0,-4902734.0,-3406836.0,3857823.0,4451746.0,7.52,-4.44,-3.08,3.49,4.03,4.43,4.24,0.0,0.0
2020-03-06,-7006418.0,5047126.0,1959294.0,-5056990.0,-1949428.0,-10.28,7.41,2.88,-7.42,-2.86,4.2,-5.19,0.0,0.0
2020-03-09,-3128070.0,-139962.0,3268031.0,-3183040.0,54970.0,-7.69,-0.34,8.03,-7.83,0.14,4.13,-1.67,0.0,0.0
2020-03-10,3734075.0,-2025740.0,-1708334.0,2618032.0,1116043.0,8.27,-4.48,-3.78,5.79,2.47,4.27,3.39,0.0,0.0
2020-03-11,-3754983.0,1170629.0,2584355.0,-3754983.0,0.0,-12.86,4.01,8.85,-12.86,0.0,4.18,-2.11,0.0,0.0
2020-03-12,1083451.0,1036705.0,-2120156.0,-2189239.0,3272690.0,4.23,4.05,-8.28,-8.55,12.78,4.16,-0.48,0.0,0.0
2020-03-13,-638344.0,253533.0,384811.0,-652204.0,13860.0,-1.98,0.79,1.19,-2.02,0.04,4.12,-0.96,0.0,0.0
2020-03-16,-2046129.0,-252466.0,2298595.0,-2046129.0,0.0,-7.2,-0.89,8.09,-7.2,0.0,4.01,-2.67,0.0,0.0
2020-03-17,-3127591.0,3236369.0,-108780.0,-3127591.0,0.0,-13.78,14.26,-0.48,-13.78,0.0,3.93,-2.0,0.0,0.0
2020-03-18,-116091.0,419747.0,-303655.0,-116091.0,0.0,-0.89,3.22,-2.33,-0.89,0.0,3.89,-1.02,0.0,0.0
2020-03-19,-2723926.0,2486380.0,237548.0,-1657921.0,-1066005.0,-13.08,11.94,1.14,-7.96,-5.12,3.84,-1.29,0.0,0.0
2020-03-20,-714427.0,91814.0,622612.0,-714427.0,0.0,-5.79,0.74,5.05,-5.79,0.0,3.88,1.04,0.0,0.0
2020-03-23,-2140904.0,892581.0,1248323.0,-2140904.0,0.0,-11.4,4.75,6.65,-11.4,0.0,3.7,-4.64,0.0,0.0
2020-03-24,-1013661.0,306042.0,707620.0,-1013661.0,0.0,-9.78,2.95,6.83,-9.78,0.0,3.77,1.89,0.0,0.0
2020-03-25,1625464.0,-2958466.0,1333002.0,1625464.0,0.0,6.61,-12.03,5.42,6.61,0.0,3.93,4.24,0.0,0.0
2020-03-26,245373.0,1119158.0,-1364530.0,245373.0,0.0,1.83,8.34,-10.17,1.83,0.0,3.91,-0.51,0.0,0.0
2020-03-27,-2095823.0,2399409.0,-303584.0,-2095823.0,0.0,-15.34,17.56,-2.22,-15.34,0.0,3.88,-0.77,0.0,0.0
2020-03-30,-1736356.0,1935341.0,-198985.0,-1736356.0,0.0,-9.89,11.03,-1.13,-9.89,0.0,3.79,-2.32,0.0,0.0
2020-03-31,-102029.0,-262324.0,364355.0,-101650.0,-379.0,-1.36,-3.51,4.87,-1.36,-0.01,3.79,0.0,0.0,0.0
2020-04-01,-724733.0,509188.0,215546.0,-724733.0,0.0,-9.88,6.94,2.94,-9.88,0.0,3.78,-0.26,0.0,0.0
2020-04-02,1011700.0,-1473379.0,461678.0,1011700.0,0.0,6.23,-9.08,2.85,6.23,0.0,3.91,3.44,0.0,0.0
2020-04-03,-5489912.0,5155337.0,334575.0,-5489912.0,0.0,-24.18,22.71,1.47,-24.18,0.0,3.78,-3.32,0.0,0.0
2020-04-07,1195114.0,-1204107.0,8992.0,120928.0,1074186.0,7.61,-7.66,0.06,0.77,6.84,3.86,2.12,0.0,0.0
2020-04-08,180638.0,399929.0,-580567.0,164552.0,16086.0,1.64,3.63,-5.28,1.5,0.15,3.87,0.26,0.0,0.0
2020-04-09,-816250.0,-364812.0,1181061.0,-816250.0,0.0,-5.62,-2.51,8.13,-5.62,0.0,3.91,1.03,0.0,0.0
2020-04-10,-4594432.0,3267450.0,1326983.0,-3453428.0,-1141004.0,-23.99,17.06,6.93,-18.03,-5.96,3.8,-2.81,0.0,0.0
2020-04-13,-736810.0,180068.0,556743.0,-736810.0,0.0,-6.71,1.64,5.07,-6.71,0.0,3.76,-1.05,0.0,0.0
2020-04-14,-1341086.0,-475941.0,1817027.0,-902749.0,-438337.0,-12.74,-4.52,17.26,-8.57,-4.16,3.81,1.33,0.0,0.0
2020-04-15,994264.0,68080.0,-1062344.0,994264.0,0.0,14.73,1.01,-15.73,14.73,0.0,3.8,-0.26,0.0,0.0
2020-04-16,-2480807.0,2381080.0,99728.0,-2470979.0,-9828.0,-25.09,24.08,1.01,-24.99,-0.1,3.78,-0.53,0.0,0.0
2020-04-17,-6640546.0,4182804.0,2457742.0,-3704960.0,-2935586.0,-24.11,15.18,8.92,-13.45,-10.66,3.7,-2.12,0.0,0.0
2020-04-20,-4323019.0,2005896.0,2317123.0,-4323019.0,0.0,-27.42,12.72,14.7,-27.42,0.0,3.7,0.0,0.0,0.0
2020-04-21,-2470937.0,1982247.0,488692.0,-429537.0,-2041400.0,-13.7,10.99,2.71,-2.38,-11.32,3.63,-1.89,0.0,0.0
2020-04-22,51464.0,883841.0,-935304.0,51464.0,0.0,0.42,7.29,-7.71,0.42,0.0,3.61,-0.55,0.0,0.0
2020-04-23,748737.0,-1924034.0,1175297.0,748737.0,0.0,3.77,-9.68,5.91,3.77,0.0,3.74,3.6,0.0,0.0
2020-04-24,-1483334.0,308613.0,1174721.0,-1483334.0,0.0,-8.72,1.81,6.9,-8.72,0.0,3.63,-2.94,0.0,0.0
2020-04-27,-49613.0,-1603974.0,1653587.0,-49613.0,0.0,-0.52,-16.84,17.37,-0.52,0.0,3.74,3.03,0.0,0.0
2020-04-28,-1696654.0,1974971.0,-278315.0,-1696654.0,0.0,-12.4,14.44,-2.03,-12.4,0.0,3.59,-4.01,0.0,0.0
2020-04-29,-269250.0,214699.0,54551.0,-269250.0,0.0,-5.43,4.33,1.1,-5.43,0.0,3.58,-0.28,0.0,0.0
2020-04-30,-2550904.0,536382.0,2014523.0,-1881532.0,-669372.0,-16.2,3.41,12.8,-11.95,-4.25,3.62,1.12,0.0,0.0
2020-05-06,-203393.0,-53103.0,256494.0,-203393.0,0.0,-2.96,-0.77,3.73,-2.96,0.0,3.62,0.0,0.0,0.0
2020-05-07,373016.0,291163.0,-664179.0,1889276.0,-1516260.0,3.85,3.0,-6.85,19.49,-15.64,3.62,0.0,0.0,0.0
2020-05-08,2001639.0,-1573555.0,-428083.0,1945121.0,56518.0,21.85,-17.17,-4.67,21.23,0.62,3.68,1.66,0.0,0.0
2020-05-11,-736188.0,-306436.0,1042625.0,-736188.0,0.0,-11.08,-4.61,15.69,-11.08,0.0,3.67,-0.27,0.0,0.0
2020-05-12,515786.0,-737403.0,221618.0,515786.0,0.0,9.34,-13.36,4.01,9.34,0.0,3.64,-0.82,0.0,0.0
2020-05-13,36876.0,-334752.0,297876.0,1501704.0,-1464828.0,0.28,-2.55,2.27,11.44,-11.16,3.68,1.1,0.0,0.0
