date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-1744397.0,-11976253.0,13720651.0,-564620.0,-1179777.0,-1.3,-8.94,10.24,-0.42,-0.88,31.1,-1.83,0.0,0.0
2020-01-09,-141543.0,-7471078.0,7612622.0,1402165.0,-1543708.0,-0.12,-6.2,6.32,1.16,-1.28,31.31,0.68,0.0,0.0
2020-01-10,2253362.0,-2939850.0,686487.0,1159411.0,1093951.0,2.05,-2.67,0.62,1.05,0.99,31.61,0.96,0.0,0.0
2020-01-13,-1782669.0,3593246.0,-1810575.0,-1782669.0,0.0,-2.04,4.11,-2.07,-2.04,0.0,31.75,0.44,0.0,0.0
2020-01-14,88336.0,-5264884.0,5176550.0,2503844.0,-2415508.0,0.06,-3.73,3.67,1.77,-1.71,32.14,1.23,0.0,0.0
2020-01-15,-12682879.0,10565378.0,2117500.0,-12016324.0,-666555.0,-13.59,11.32,2.27,-12.87,-0.71,31.84,-0.93,0.0,0.0
2020-01-16,-16896340.0,12508033.0,4388307.0,-14766267.0,-2130073.0,-16.1,11.92,4.18,-14.07,-2.03,31.49,-1.1,0.0,0.0
2020-01-17,-15878516.0,8479608.0,7398909.0,-10106536.0,-5771980.0,-14.04,7.5,6.54,-8.94,-5.1,31.32,-0.54,0.0,0.0
2020-01-20,4497879.0,-5688842.0,1190962.0,2623090.0,1874789.0,2.78,-3.51,0.74,1.62,1.16,31.54,0.7,0.0,0.0
2020-01-21,-29794666.0,26115176.0,3679489.0,-25478483.0,-4316183.0,-15.72,13.78,1.94,-13.44,-2.28,29.69,-5.87,0.0,0.0
2020-01-22,-452109.0,2671490.0,-2219381.0,-5762578.0,5310469.0,-0.37,2.19,-1.82,-4.73,4.36,29.71,0.07,0.0,0.0
2020-01-23,-23319501.0,4975617.0,18343884.0,-15364178.0,-7955323.0,-11.18,2.39,8.8,-7.37,-3.81,27.7,-6.77,0.0,0.0
2020-02-03,-11125187.0,6554626.0,4570561.0,-7721993.0,-3403194.0,-12.62,7.44,5.19,-8.76,-3.86,24.93,-10.0,0.0,0.0
