date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,1810209.0,5072816.0,-6883024.0,684928.0,1125281.0,2.98,8.34,-11.32,1.13,1.85,6.68,-2.62,0.0,0.0
2020-01-09,5142828.0,-2220242.0,-2922585.0,5142828.0,0.0,8.95,-3.86,-5.09,8.95,0.0,6.87,2.84,0.0,0.0
2020-01-10,-2479960.0,878259.0,1601700.0,-2479960.0,0.0,-4.29,1.52,2.77,-4.29,0.0,6.9,0.44,0.0,0.0
2020-01-13,1756455.0,-1663020.0,-93434.0,4821800.0,-3065345.0,2.45,-2.32,-0.13,6.74,-4.28,7.09,2.75,0.0,0.0
2020-01-14,-3603773.0,5336693.0,-1732922.0,-6087886.0,2484113.0,-6.46,9.57,-3.11,-10.92,4.46,7.08,-0.14,0.0,0.0
2020-01-15,-4266459.0,3462143.0,804317.0,-4266459.0,0.0,-10.57,8.58,1.99,-10.57,0.0,6.95,-1.84,0.0,0.0
2020-01-16,-2076087.0,3575934.0,-1499847.0,-2076087.0,0.0,-5.66,9.76,-4.09,-5.66,0.0,6.89,-0.86,0.0,0.0
2020-01-17,852532.0,-1562831.0,710299.0,852532.0,0.0,2.57,-4.71,2.14,2.57,0.0,6.92,0.44,0.0,0.0
2020-01-20,1848867.0,179625.0,-2028492.0,2205423.0,-356556.0,5.67,0.55,-6.22,6.77,-1.09,6.92,0.0,0.0,0.0
2020-01-21,-5036801.0,4906751.0,130051.0,-4977547.0,-59254.0,-15.23,14.84,0.39,-15.05,-0.18,6.81,-1.59,0.0,0.0
2020-01-22,139327.0,621243.0,-760570.0,139327.0,0.0,0.4,1.8,-2.2,0.4,0.0,6.88,1.03,0.0,0.0
2020-01-23,-5770877.0,4916073.0,854805.0,-4326690.0,-1444187.0,-12.19,10.38,1.81,-9.14,-3.05,6.5,-5.52,0.0,0.0
2020-02-03,-989725.0,1282070.0,-292345.0,-989725.0,0.0,-31.48,40.78,-9.3,-31.48,0.0,5.84,-10.15,0.0,0.0
2020-02-04,-2360834.0,4585203.0,-2224369.0,1379512.0,-3740346.0,-4.07,7.91,-3.84,2.38,-6.45,5.42,-7.19,0.0,0.0
2020-02-05,-1330274.0,2506990.0,-1176716.0,-1330274.0,0.0,-3.5,6.59,-3.09,-3.5,0.0,5.52,1.85,0.0,0.0
2020-02-06,-1929635.0,3792421.0,-1862787.0,-1929635.0,0.0,-5.44,10.7,-5.26,-5.44,0.0,5.62,1.81,0.0,0.0
2020-02-07,1137286.0,2879311.0,-4016597.0,1137286.0,0.0,2.94,7.43,-10.37,2.94,0.0,5.67,0.89,0.0,0.0
2020-02-10,-3378496.0,2970393.0,408103.0,-2481146.0,-897350.0,-3.33,2.93,0.4,-2.44,-0.88,5.85,3.17,0.0,0.0
2020-02-11,-8214313.0,5015631.0,3198682.0,-7647391.0,-566922.0,-18.62,11.37,7.25,-17.33,-1.28,5.74,-1.88,0.0,0.0
2020-02-12,405409.0,215455.0,-620865.0,405409.0,0.0,1.14,0.61,-1.74,1.14,0.0,5.82,1.39,0.0,0.0
2020-02-13,-2510361.0,2228492.0,281868.0,-2510361.0,0.0,-7.25,6.43,0.81,-7.25,0.0,5.7,-2.06,0.0,0.0
2020-02-14,-2632394.0,644948.0,1987447.0,-2632394.0,0.0,-8.61,2.11,6.5,-8.61,0.0,5.76,1.05,0.0,0.0
2020-02-17,-619459.0,59954.0,559505.0,-619459.0,0.0,-1.3,0.13,1.17,-1.3,0.0,5.94,3.12,0.0,0.0
2020-02-18,-1474833.0,594953.0,879880.0,-1474833.0,0.0,-3.23,1.3,1.93,-3.23,0.0,6.01,1.18,0.0,0.0
