date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-228677.0,2492651.0,-2263974.0,-228677.0,0.0,-0.88,9.61,-8.73,-0.88,0.0,5.42,-2.34,0.0,0.0
2020-01-09,2428941.0,-966279.0,-1462663.0,2428941.0,0.0,10.25,-4.08,-6.17,10.25,0.0,5.5,1.48,0.0,0.0
2020-01-10,721492.0,717525.0,-1439018.0,721492.0,0.0,2.66,2.65,-5.31,2.66,0.0,5.57,1.27,0.0,0.0
2020-01-13,1573351.0,-3331728.0,1758377.0,1573351.0,0.0,4.79,-10.15,5.36,4.79,0.0,5.62,0.9,0.0,0.0
2020-01-14,-484483.0,-82570.0,567053.0,-582483.0,98000.0,-1.95,-0.33,2.29,-2.35,0.4,5.59,-0.53,0.0,0.0
2020-01-15,872875.0,-782669.0,-90206.0,359329.0,513546.0,3.41,-3.06,-0.35,1.4,2.01,5.53,-1.07,0.0,0.0
2020-01-16,317916.0,174345.0,-492261.0,290166.0,27750.0,1.35,0.74,-2.08,1.23,0.12,5.53,0.0,0.0,0.0
2020-01-17,-680031.0,620984.0,59046.0,-680031.0,0.0,-3.69,3.37,0.32,-3.69,0.0,5.44,-1.63,0.0,0.0
2020-01-20,117211.0,739915.0,-857126.0,1180969.0,-1063758.0,0.49,3.11,-3.6,4.97,-4.47,5.43,-0.18,0.0,0.0
2020-01-21,-566840.0,438643.0,128197.0,-566840.0,0.0,-4.42,3.42,1.0,-4.42,0.0,5.36,-1.29,0.0,0.0
2020-01-22,-1580579.0,888693.0,691886.0,-1580579.0,0.0,-9.98,5.61,4.37,-9.98,0.0,5.35,-0.19,0.0,0.0
2020-01-23,774709.0,-3698867.0,2924159.0,578738.0,195971.0,2.45,-11.72,9.26,1.83,0.62,5.15,-3.74,0.0,0.0
2020-02-03,-293248.0,899492.0,-606244.0,-293248.0,0.0,-6.6,20.25,-13.65,-6.6,0.0,4.64,-9.9,0.0,0.0
2020-02-04,-461421.0,10903.0,450518.0,-461421.0,0.0,-1.93,0.05,1.89,-1.93,0.0,4.52,-2.59,0.0,0.0
2020-02-05,797591.0,-271985.0,-525606.0,797591.0,0.0,4.62,-1.58,-3.04,4.62,0.0,4.56,0.88,0.0,0.0
2020-02-06,-598067.0,314123.0,283945.0,-598067.0,0.0,-3.37,1.77,1.6,-3.37,0.0,4.59,0.66,0.0,0.0
2020-02-07,-961931.0,938295.0,23635.0,-961931.0,0.0,-6.04,5.89,0.15,-6.04,0.0,4.6,0.22,0.0,0.0
2020-02-10,-867260.0,-835856.0,1703118.0,-867260.0,0.0,-4.5,-4.34,8.84,-4.5,0.0,4.7,2.17,0.0,0.0
2020-02-11,493579.0,-49382.0,-444198.0,493579.0,0.0,2.75,-0.28,-2.48,2.75,0.0,4.73,0.64,0.0,0.0
2020-02-12,1436504.0,-996723.0,-439781.0,1436504.0,0.0,9.84,-6.83,-3.01,9.84,0.0,4.8,1.48,0.0,0.0
2020-02-13,-1942451.0,1180556.0,761895.0,-1942451.0,0.0,-12.96,7.88,5.08,-12.96,0.0,4.68,-2.5,0.0,0.0
2020-02-14,418172.0,-376039.0,-42135.0,418172.0,0.0,4.19,-3.76,-0.42,4.19,0.0,4.67,-0.21,0.0,0.0
2020-02-17,2440870.0,-2881865.0,440995.0,2440870.0,0.0,10.66,-12.58,1.93,10.66,0.0,4.86,4.07,0.0,0.0
2020-02-18,-810256.0,1766054.0,-955797.0,-814630.0,4374.0,-5.42,11.81,-6.39,-5.45,0.03,4.88,0.41,0.0,0.0
2020-02-19,-151145.0,-953284.0,1104429.0,-151145.0,0.0,-1.01,-6.36,7.37,-1.01,0.0,4.87,-0.2,0.0,0.0
2020-02-20,1353274.0,-1513466.0,160192.0,1353274.0,0.0,6.76,-7.56,0.8,6.76,0.0,5.0,2.67,0.0,0.0
2020-02-21,-1558387.0,1103239.0,455149.0,-1558387.0,0.0,-6.9,4.89,2.02,-6.9,0.0,5.0,0.0,0.0,0.0
2020-02-24,-982415.0,104001.0,878415.0,-982415.0,0.0,-4.32,0.46,3.87,-4.32,0.0,4.95,-1.0,0.0,0.0
2020-02-25,-1029534.0,2273526.0,-1243992.0,-1029534.0,0.0,-4.04,8.93,-4.88,-4.04,0.0,4.82,-2.63,0.0,0.0
2020-02-26,-981469.0,1571191.0,-589722.0,-981469.0,0.0,-4.62,7.39,-2.77,-4.62,0.0,4.83,0.21,0.0,0.0
2020-02-27,-25281.0,-477786.0,503066.0,-25281.0,0.0,-0.17,-3.19,3.36,-0.17,0.0,4.87,0.83,0.0,0.0
2020-02-28,-617319.0,1013097.0,-395779.0,-617319.0,0.0,-2.88,4.72,-1.85,-2.88,0.0,4.62,-5.13,0.0,0.0
2020-03-02,-993557.0,509137.0,484421.0,392724.0,-1386281.0,-5.39,2.76,2.63,2.13,-7.52,4.79,3.68,0.0,0.0
2020-03-03,1123775.0,-122337.0,-1001440.0,1123775.0,0.0,5.15,-0.56,-4.59,5.15,0.0,4.82,0.63,0.0,0.0
2020-03-04,696046.0,-735382.0,39336.0,696046.0,0.0,3.19,-3.37,0.18,3.19,0.0,4.96,2.9,0.0,0.0
2020-03-05,-329679.0,1151012.0,-821332.0,-329679.0,0.0,-1.05,3.66,-2.61,-1.05,0.0,5.04,1.61,0.0,0.0
2020-03-06,967451.0,201697.0,-1169147.0,967451.0,0.0,3.78,0.79,-4.56,3.78,0.0,5.08,0.79,0.0,0.0
2020-03-09,-846928.0,943234.0,-96306.0,-846928.0,0.0,-2.91,3.24,-0.33,-2.91,0.0,4.92,-3.15,0.0,0.0
2020-03-10,373161.0,319058.0,-692219.0,373161.0,0.0,1.56,1.33,-2.89,1.56,0.0,5.05,2.64,0.0,0.0
2020-03-11,-746205.0,-376950.0,1123156.0,-2711793.0,1965588.0,-2.19,-1.11,3.3,-7.96,5.77,5.08,0.59,0.0,0.0
2020-03-12,160175.0,-1214.0,-158961.0,-158545.0,318720.0,0.69,-0.01,-0.69,-0.68,1.38,5.02,-1.18,0.0,0.0
