date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-23676.0,1963986.0,-1940308.0,2184088.0,-2207764.0,-0.08,6.42,-6.34,7.14,-7.22,3.26,-1.21,0.0,0.0
2020-01-09,-4610045.0,3784253.0,825792.0,-3048992.0,-1561053.0,-19.46,15.98,3.49,-12.87,-6.59,3.29,0.92,0.0,0.0
2020-01-10,196851.0,-1222642.0,1025791.0,196851.0,0.0,1.32,-8.17,6.85,1.32,0.0,3.29,0.0,0.0,0.0
2020-01-13,-1652846.0,786630.0,866216.0,-2678508.0,1025662.0,-10.3,4.9,5.4,-16.7,6.39,3.3,0.3,0.0,0.0
2020-01-14,-1142944.0,754595.0,388347.0,-1453751.0,310807.0,-7.59,5.01,2.58,-9.66,2.06,3.3,0.0,0.0,0.0
2020-01-15,9277855.0,-7076784.0,-2201070.0,3601195.0,5676660.0,17.32,-13.21,-4.11,6.72,10.6,3.36,1.82,0.0,0.0
2020-01-16,9187772.0,-8285048.0,-902723.0,6851052.0,2336720.0,8.69,-7.83,-0.85,6.48,2.21,3.44,2.38,0.0,0.0
2020-01-17,-7034212.0,3261740.0,3772472.0,-5683508.0,-1350704.0,-17.9,8.3,9.6,-14.46,-3.44,3.33,-3.2,0.0,0.0
2020-01-20,-7575437.0,4906728.0,2668709.0,-287272.0,-7288165.0,-20.7,13.41,7.29,-0.79,-19.92,3.31,-0.6,0.0,0.0
2020-01-21,36667.0,-88308.0,51641.0,-2925893.0,2962560.0,0.19,-0.46,0.27,-15.32,15.51,3.29,-0.6,0.0,0.0
2020-01-22,-2840704.0,338554.0,2502150.0,1078737.0,-3919441.0,-9.26,1.1,8.16,3.52,-12.78,3.27,-0.61,0.0,0.0
2020-01-23,-2884717.0,3329204.0,-444487.0,-2677241.0,-207476.0,-7.92,9.14,-1.22,-7.35,-0.57,3.17,-3.06,0.0,0.0
2020-02-03,-4833624.0,4286298.0,547326.0,-4230808.0,-602816.0,-14.58,12.93,1.65,-12.77,-1.82,2.84,-10.41,0.0,0.0
2020-02-04,-4503337.0,1924544.0,2578793.0,-2090287.0,-2413050.0,-13.85,5.92,7.93,-6.43,-7.42,2.87,1.06,0.0,0.0
2020-02-05,-2529670.0,1557271.0,972399.0,-1143301.0,-1386369.0,-7.38,4.55,2.84,-3.34,-4.05,2.89,0.7,0.0,0.0
2020-02-06,-1536640.0,1936338.0,-399699.0,-2095753.0,559113.0,-4.2,5.29,-1.09,-5.72,1.53,2.91,0.69,0.0,0.0
2020-02-07,773484.0,2591691.0,-3365177.0,-1828381.0,2601865.0,1.38,4.62,-6.0,-3.26,4.64,3.04,4.47,0.0,0.0
2020-02-10,-956991.0,1453873.0,-496881.0,-956991.0,0.0,-3.38,5.13,-1.75,-3.38,0.0,3.03,-0.33,0.0,0.0
2020-02-11,-689688.0,1588862.0,-899173.0,1884196.0,-2573884.0,-2.89,6.66,-3.77,7.89,-10.78,3.0,-0.99,0.0,0.0
