date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-23563757.0,12035994.0,11527764.0,-13568993.0,-9994764.0,-16.88,8.62,8.26,-9.72,-7.16,8.46,-3.75,0.0,0.0
2020-01-09,7497398.0,1932477.0,-9429875.0,4811198.0,2686200.0,8.04,2.07,-10.11,5.16,2.88,8.59,1.54,0.0,0.0
2020-01-10,19267926.0,-12133091.0,-7134835.0,13188916.0,6079010.0,12.93,-8.14,-4.79,8.85,4.08,8.88,3.38,0.0,0.0
2020-01-13,27226612.0,-8947121.0,-18279491.0,18041193.0,9185419.0,5.76,-1.89,-3.87,3.82,1.94,9.59,8.0,0.0,0.0
2020-01-14,70035358.0,-22904834.0,-47130525.0,-3582117.0,73617475.0,12.6,-4.12,-8.48,-0.64,13.25,10.55,10.01,0.0,0.0
2020-01-15,-12994332.0,20222659.0,-7228327.0,4134389.0,-17128721.0,-2.84,4.42,-1.58,0.9,-3.75,10.34,-1.99,0.0,0.0
2020-01-16,-11518967.0,15255549.0,-3736581.0,-9085974.0,-2432993.0,-4.46,5.9,-1.45,-3.51,-0.94,10.28,-0.58,0.0,0.0
2020-01-17,-25722364.0,11587415.0,14134949.0,-12516578.0,-13205786.0,-11.49,5.17,6.31,-5.59,-5.9,10.06,-2.14,0.0,0.0
2020-01-20,-1250793.0,-604280.0,1855074.0,252742.0,-1503535.0,-0.69,-0.33,1.03,0.14,-0.83,10.26,1.99,0.0,0.0
2020-01-21,-13521851.0,10200051.0,3321800.0,-6361360.0,-7160491.0,-7.65,5.77,1.88,-3.6,-4.05,10.11,-1.46,0.0,0.0
2020-01-22,-52730184.0,32853512.0,19876673.0,-42073605.0,-10656579.0,-22.33,13.91,8.42,-17.81,-4.51,9.64,-4.65,0.0,0.0
2020-01-23,-78785721.0,44564618.0,34221103.0,-15481670.0,-63304051.0,-25.36,14.35,11.02,-4.98,-20.38,8.68,-9.96,0.0,0.0
2020-02-03,-3344614.0,5254551.0,-1909939.0,-1852150.0,-1492464.0,-4.77,7.49,-2.72,-2.64,-2.13,7.81,-10.02,0.0,0.0
2020-02-04,-12434422.0,24786187.0,-12351766.0,-2893947.0,-9540475.0,-5.18,10.32,-5.14,-1.21,-3.97,7.66,-1.92,0.0,0.0
2020-02-05,7587038.0,-6962203.0,-624836.0,7708041.0,-121003.0,3.81,-3.49,-0.31,3.87,-0.06,8.09,5.61,0.0,0.0
