date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-9110098.0,3493272.0,5616825.0,-7936594.0,-1173504.0,-10.79,4.14,6.65,-9.4,-1.39,5.89,-3.44,0.0,0.0
2020-01-09,-4679214.0,4334702.0,344512.0,-4187749.0,-491465.0,-8.78,8.13,0.65,-7.85,-0.92,5.92,0.51,0.0,0.0
2020-01-10,-4833188.0,3803349.0,1029840.0,-4824398.0,-8790.0,-12.27,9.66,2.61,-12.25,-0.02,5.85,-1.18,0.0,0.0
2020-01-13,-1334746.0,3029419.0,-1694673.0,-1334746.0,0.0,-3.21,7.29,-4.08,-3.21,0.0,5.89,0.68,0.0,0.0
2020-01-14,4826735.0,-4868395.0,41660.0,4463175.0,363560.0,6.96,-7.02,0.06,6.43,0.52,5.96,1.19,0.0,0.0
2020-01-15,-5359397.0,1620397.0,3739000.0,-5359397.0,0.0,-10.73,3.25,7.49,-10.73,0.0,5.92,-0.67,0.0,0.0
2020-01-16,-2919409.0,934488.0,1984920.0,-2919409.0,0.0,-5.57,1.78,3.79,-5.57,0.0,5.84,-1.35,0.0,0.0
2020-01-17,-5217203.0,5964995.0,-747791.0,-4071613.0,-1145590.0,-9.61,10.98,-1.38,-7.5,-2.11,5.72,-2.05,0.0,0.0
2020-01-20,2428914.0,-2515476.0,86563.0,2428914.0,0.0,6.71,-6.94,0.24,6.71,0.0,5.73,0.17,0.0,0.0
2020-01-21,-6279085.0,5477076.0,802009.0,-6279085.0,0.0,-14.44,12.59,1.84,-14.44,0.0,5.59,-2.44,0.0,0.0
2020-01-22,-3744227.0,5026813.0,-1282585.0,-3488827.0,-255400.0,-7.39,9.93,-2.53,-6.89,-0.5,5.56,-0.54,0.0,0.0
2020-01-23,-14198306.0,12841073.0,1357233.0,-13570382.0,-627924.0,-21.64,19.57,2.07,-20.68,-0.96,5.27,-5.22,0.0,0.0
2020-02-03,399619.0,2204745.0,-2604364.0,2503705.0,-2104086.0,1.95,10.77,-12.72,12.23,-10.27,4.74,-10.06,0.0,0.0
2020-02-04,-4107277.0,5878842.0,-1771565.0,-4071241.0,-36036.0,-6.48,9.28,-2.8,-6.43,-0.06,4.61,-2.74,0.0,0.0
2020-02-05,-358550.0,-896432.0,1254982.0,-358550.0,0.0,-0.83,-2.08,2.92,-0.83,0.0,4.77,3.47,0.0,0.0
2020-02-06,-2417429.0,328918.0,2088511.0,-3442229.0,1024800.0,-4.96,0.68,4.29,-7.07,2.1,4.87,2.1,0.0,0.0
2020-02-07,-1682464.0,1106450.0,576013.0,-1682464.0,0.0,-4.31,2.84,1.48,-4.31,0.0,4.9,0.62,0.0,0.0
2020-02-10,-3006739.0,4048076.0,-1041338.0,-2590664.0,-416075.0,-8.08,10.88,-2.8,-6.96,-1.12,4.91,0.2,0.0,0.0
2020-02-11,1036488.0,1951564.0,-2988053.0,-261683.0,1298171.0,2.96,5.57,-8.53,-0.75,3.71,4.89,-0.41,0.0,0.0
2020-02-12,2179405.0,-1782844.0,-396561.0,2052593.0,126812.0,5.58,-4.56,-1.01,5.25,0.32,4.93,0.82,0.0,0.0
2020-02-13,-961489.0,4027481.0,-3065991.0,-2670089.0,1708600.0,-1.97,8.24,-6.27,-5.46,3.49,4.86,-1.42,0.0,0.0
2020-02-14,8778534.0,-4985580.0,-3792953.0,6405553.0,2372981.0,25.1,-14.25,-10.84,18.31,6.78,4.91,1.03,0.0,0.0
2020-02-17,7611905.0,-6475007.0,-1136898.0,7446851.0,165054.0,15.66,-13.32,-2.34,15.32,0.34,5.1,3.87,0.0,0.0
2020-02-18,617420.0,122047.0,-739467.0,617420.0,0.0,1.55,0.31,-1.85,1.55,0.0,5.17,1.37,0.0,0.0
2020-02-19,-4545902.0,3467446.0,1078457.0,-5997410.0,1451508.0,-12.36,9.43,2.93,-16.31,3.95,5.08,-1.74,0.0,0.0
2020-02-20,-3833003.0,2150797.0,1682207.0,-3171485.0,-661518.0,-11.55,6.48,5.07,-9.56,-1.99,5.14,1.18,0.0,0.0
2020-02-21,-2714301.0,1848831.0,865472.0,-4072018.0,1357717.0,-3.64,2.48,1.16,-5.47,1.82,5.27,2.53,0.0,0.0
2020-02-24,-1452139.0,927049.0,525090.0,-1452139.0,0.0,-3.06,1.95,1.11,-3.06,0.0,5.15,-2.28,0.0,0.0
2020-02-25,-8935553.0,5493195.0,3442358.0,-6374133.0,-2561420.0,-13.65,8.39,5.26,-9.73,-3.91,5.05,-1.94,0.0,0.0
2020-02-26,4093618.0,-2444912.0,-1648706.0,326228.0,3767390.0,7.16,-4.28,-2.88,0.57,6.59,5.11,1.19,0.0,0.0
2020-02-27,-518210.0,524169.0,-5959.0,-518210.0,0.0,-1.5,1.52,-0.02,-1.5,0.0,5.04,-1.37,0.0,0.0
2020-02-28,-1266536.0,3502059.0,-2235522.0,-2532528.0,1265992.0,-2.72,7.51,-4.79,-5.43,2.71,4.74,-5.95,0.0,0.0
2020-03-02,-15441801.0,6900301.0,8541499.0,-9150327.0,-6291474.0,-28.93,12.93,16.0,-17.14,-11.79,4.81,1.48,0.0,0.0
2020-03-03,-217982.0,1726251.0,-1508269.0,270404.0,-488386.0,-0.56,4.47,-3.9,0.7,-1.26,4.84,0.62,0.0,0.0
2020-03-04,-2649794.0,2387645.0,262150.0,-1412129.0,-1237665.0,-9.13,8.23,0.9,-4.86,-4.26,4.85,0.21,0.0,0.0
2020-03-05,1593653.0,-747266.0,-846388.0,-839777.0,2433430.0,3.63,-1.7,-1.93,-1.91,5.54,4.99,2.89,0.0,0.0
2020-03-06,4422081.0,-4535183.0,113103.0,3092958.0,1329123.0,6.28,-6.44,0.16,4.39,1.89,5.1,2.2,0.0,0.0
2020-03-09,-5107781.0,6419780.0,-1311999.0,-726849.0,-4380932.0,-9.96,12.52,-2.56,-1.42,-8.54,4.88,-4.31,0.0,0.0
2020-03-10,-2356595.0,3662613.0,-1306017.0,-4407791.0,2051196.0,-5.7,8.86,-3.16,-10.66,4.96,4.95,1.43,0.0,0.0
