date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-13799285.0,17599535.0,-3800251.0,-8609380.0,-5189905.0,-17.74,22.62,-4.88,-11.07,-6.67,4.78,-3.82,0.0,0.0
2020-01-09,-1878586.0,3156672.0,-1278086.0,-1878586.0,0.0,-4.26,7.17,-2.9,-4.26,0.0,4.85,1.46,0.0,0.0
2020-01-10,-1346709.0,3803209.0,-2456500.0,-1346709.0,0.0,-3.81,10.77,-6.95,-3.81,0.0,4.9,1.03,0.0,0.0
2020-01-13,-2618885.0,1562773.0,1056111.0,-2618885.0,0.0,-6.38,3.81,2.57,-6.38,0.0,4.84,-1.22,0.0,0.0
2020-01-14,1994158.0,-53126.0,-1941031.0,1994158.0,0.0,4.12,-0.11,-4.01,4.12,0.0,4.89,1.03,0.0,0.0
2020-01-15,-3147962.0,2510238.0,637724.0,-2046845.0,-1101117.0,-10.04,8.01,2.03,-6.53,-3.51,4.82,-1.43,0.0,0.0
2020-01-16,-10744707.0,13214128.0,-2469420.0,-6506838.0,-4237869.0,-25.88,31.83,-5.95,-15.68,-10.21,4.69,-2.7,0.0,0.0
2020-01-17,-1390422.0,5408876.0,-4018454.0,-1390422.0,0.0,-4.27,16.59,-12.33,-4.27,0.0,4.65,-0.85,0.0,0.0
2020-01-20,-5592096.0,7457244.0,-1865148.0,-5592096.0,0.0,-15.67,20.9,-5.23,-15.67,0.0,4.58,-1.51,0.0,0.0
2020-01-21,291461.0,-8526970.0,8235509.0,291461.0,0.0,0.54,-15.72,15.18,0.54,0.0,4.61,0.66,0.0,0.0
2020-01-22,23904.0,-2990193.0,2966290.0,37734.0,-13830.0,0.07,-8.68,8.61,0.11,-0.04,4.7,1.95,0.0,0.0
2020-01-23,-15526913.0,11914591.0,3612321.0,-9656471.0,-5870442.0,-14.85,11.4,3.46,-9.24,-5.62,4.23,-10.0,0.0,0.0
2020-02-03,-1242440.0,2015840.0,-773400.0,-1242440.0,0.0,-27.53,44.67,-17.14,-27.53,0.0,3.81,-9.93,0.0,0.0
2020-02-04,-2468781.0,8643931.0,-6175149.0,-1250103.0,-1218678.0,-3.78,13.24,-9.46,-1.91,-1.87,3.52,-7.61,0.0,0.0
2020-02-05,1274683.0,-384004.0,-890678.0,1274683.0,0.0,2.4,-0.72,-1.68,2.4,0.0,3.86,9.66,0.0,0.0
2020-02-06,1648385.0,-5803941.0,4155557.0,2472545.0,-824160.0,2.67,-9.41,6.74,4.01,-1.34,4.06,5.18,0.0,0.0
2020-02-07,207833.0,-434709.0,226877.0,207833.0,0.0,0.66,-1.38,0.72,0.66,0.0,4.06,0.0,0.0,0.0
2020-02-10,1586077.0,1170214.0,-2756290.0,1586077.0,0.0,4.85,3.58,-8.43,4.85,0.0,4.15,2.22,0.0,0.0
2020-02-11,-313829.0,-504621.0,818450.0,-313829.0,0.0,-1.68,-2.71,4.39,-1.68,0.0,4.11,-0.96,0.0,0.0
2020-02-12,1069294.0,-1827422.0,758128.0,1069294.0,0.0,5.16,-8.81,3.66,5.16,0.0,4.17,1.46,0.0,0.0
2020-02-13,975108.0,822904.0,-1798012.0,975108.0,0.0,3.59,3.03,-6.62,3.59,0.0,4.16,-0.24,0.0,0.0
2020-02-14,-2603494.0,1863104.0,740391.0,-2152766.0,-450728.0,-12.12,8.68,3.45,-10.03,-2.1,4.13,-0.72,0.0,0.0
2020-02-17,3445667.0,-1180614.0,-2265053.0,3445667.0,0.0,12.62,-4.32,-8.3,12.62,0.0,4.2,1.69,0.0,0.0
2020-02-18,1681159.0,-1628760.0,-52398.0,391159.0,1290000.0,4.87,-4.72,-0.15,1.13,3.74,4.31,2.62,0.0,0.0
2020-02-19,1288436.0,-1032977.0,-255460.0,1288436.0,0.0,4.3,-3.45,-0.85,4.3,0.0,4.32,0.23,0.0,0.0
