date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,8715803.0,-4071139.0,-4644662.0,6051808.0,2663995.0,9.02,-4.21,-4.81,6.26,2.76,10.0,4.71,0.0,0.0
2020-01-09,-14092957.0,3799391.0,10293566.0,-12968513.0,-1124444.0,-9.3,2.51,6.79,-8.56,-0.74,10.02,0.2,0.0,0.0
2020-01-10,-8719266.0,15620240.0,-6900974.0,-8716404.0,-2862.0,-8.22,14.73,-6.51,-8.22,-0.0,9.33,-6.89,0.0,0.0
2020-01-13,654812.0,7960091.0,-8614904.0,497201.0,157611.0,0.96,11.66,-12.61,0.73,0.23,9.33,0.0,0.0,0.0
2020-01-14,-1393084.0,-2909134.0,4302218.0,-1393084.0,0.0,-3.35,-6.99,10.33,-3.35,0.0,9.3,-0.32,0.0,0.0
2020-01-15,-1013139.0,689824.0,323316.0,-1013139.0,0.0,-4.37,2.98,1.4,-4.37,0.0,9.22,-0.86,0.0,0.0
2020-01-16,-1226153.0,302019.0,924133.0,-1226153.0,0.0,-5.58,1.38,4.21,-5.58,0.0,9.19,-0.33,0.0,0.0
2020-01-17,-861179.0,-328378.0,1189558.0,-861179.0,0.0,-3.09,-1.18,4.26,-3.09,0.0,9.13,-0.65,0.0,0.0
2020-01-20,-8373578.0,4178716.0,4194862.0,-7451006.0,-922572.0,-18.94,9.45,9.49,-16.86,-2.09,8.97,-1.75,0.0,0.0
2020-01-21,-11755796.0,28500936.0,-16745140.0,-8789106.0,-2966690.0,-12.17,29.5,-17.33,-9.1,-3.07,8.66,-3.46,0.0,0.0
2020-01-22,-389871.0,1667363.0,-1277493.0,-389871.0,0.0,-1.11,4.77,-3.65,-1.11,0.0,8.58,-0.92,0.0,0.0
2020-01-23,-7580524.0,8603835.0,-1023310.0,-7438446.0,-142078.0,-15.62,17.73,-2.11,-15.33,-0.29,8.1,-5.59,0.0,0.0
2020-02-03,-1446023.0,4031986.0,-2585964.0,-1446023.0,0.0,-2.75,7.68,-4.92,-2.75,0.0,7.56,-6.67,0.0,0.0
2020-02-04,6738328.0,-3839130.0,-2899199.0,2704525.0,4033803.0,14.04,-8.0,-6.04,5.63,8.4,8.32,10.05,0.0,0.0
2020-02-05,-11673518.0,11046663.0,626856.0,-10423431.0,-1250087.0,-8.19,7.75,0.44,-7.31,-0.88,8.72,4.81,0.0,0.0
2020-02-06,2187281.0,884498.0,-3071780.0,1651515.0,535766.0,1.59,0.64,-2.23,1.2,0.39,9.35,7.22,0.0,0.0
2020-02-07,-7059788.0,9243844.0,-2184057.0,-5851047.0,-1208741.0,-6.85,8.97,-2.12,-5.68,-1.17,8.92,-4.6,0.0,0.0
2020-02-10,-6333967.0,7556253.0,-1222285.0,-6055342.0,-278625.0,-9.11,10.87,-1.76,-8.71,-0.4,8.49,-4.82,0.0,0.0
2020-02-11,-1132044.0,5888788.0,-4756744.0,-1132044.0,0.0,-2.72,14.14,-11.42,-2.72,0.0,8.3,-2.24,0.0,0.0
2020-02-12,-2245942.0,3630098.0,-1384155.0,-1985249.0,-260693.0,-4.65,7.51,-2.86,-4.11,-0.54,8.33,0.36,0.0,0.0
2020-02-13,-392841.0,7436829.0,-7043988.0,-211162.0,-181679.0,-0.52,9.75,-9.24,-0.28,-0.24,8.29,-0.48,0.0,0.0
2020-02-14,-1637334.0,5786943.0,-4149610.0,-2698762.0,1061428.0,-3.29,11.62,-8.33,-5.42,2.13,8.02,-3.26,0.0,0.0
2020-02-17,-2302546.0,1322304.0,980242.0,-1102807.0,-1199739.0,-6.3,3.62,2.68,-3.02,-3.28,8.14,1.5,0.0,0.0
2020-02-18,-70457.0,29290.0,41167.0,-70457.0,0.0,-0.13,0.06,0.08,-0.13,0.0,8.33,2.33,0.0,0.0
2020-02-19,-4234191.0,6727956.0,-2493764.0,-2509612.0,-1724579.0,-10.75,17.08,-6.33,-6.37,-4.38,8.11,-2.64,0.0,0.0
2020-02-20,-843552.0,5757397.0,-4913844.0,-843552.0,0.0,-2.45,16.7,-14.25,-2.45,0.0,8.09,-0.25,0.0,0.0
2020-02-21,-2495226.0,2672759.0,-177533.0,-2495226.0,0.0,-6.22,6.66,-0.44,-6.22,0.0,8.19,1.24,0.0,0.0
2020-02-24,-838321.0,4099595.0,-3261274.0,-838321.0,0.0,-1.75,8.58,-6.82,-1.75,0.0,8.2,0.12,0.0,0.0
2020-02-25,2376125.0,1002172.0,-3378296.0,4598705.0,-2222580.0,1.57,0.66,-2.23,3.04,-1.47,8.72,6.34,0.0,0.0
2020-02-26,-18979008.0,18950515.0,28494.0,-16261385.0,-2717623.0,-17.31,17.29,0.03,-14.84,-2.48,8.32,-4.59,0.0,0.0
2020-02-27,-4335719.0,5927645.0,-1591927.0,-4335719.0,0.0,-9.11,12.45,-3.34,-9.11,0.0,8.11,-2.52,0.0,0.0
2020-02-28,-6537428.0,9266091.0,-2728662.0,-5156514.0,-1380914.0,-11.95,16.94,-4.99,-9.43,-2.52,7.69,-5.18,0.0,0.0
2020-03-02,-967127.0,2987931.0,-2020804.0,-967127.0,0.0,-3.24,10.01,-6.77,-3.24,0.0,7.89,2.6,0.0,0.0
2020-03-03,752435.0,1229435.0,-1981869.0,752435.0,0.0,2.15,3.51,-5.66,2.15,0.0,7.95,0.76,0.0,0.0
