date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-1202698.0,2225528.0,-1022830.0,-2539244.0,1336546.0,-5.6,10.36,-4.76,-11.82,6.22,5.2,-2.26,0.0,0.0
2020-01-09,682756.0,-132084.0,-550672.0,682756.0,0.0,4.9,-0.95,-3.95,4.9,0.0,5.24,0.77,0.0,0.0
2020-01-10,-3495528.0,2179699.0,1315829.0,-3713512.0,217984.0,-22.48,14.02,8.46,-23.88,1.4,5.26,0.38,0.0,0.0
2020-01-13,-830223.0,1030417.0,-200194.0,-1319943.0,489720.0,-2.89,3.59,-0.7,-4.6,1.71,5.36,1.9,0.0,0.0
2020-01-14,-19754.0,916950.0,-897195.0,-19754.0,0.0,-0.13,5.9,-5.77,-0.13,0.0,5.32,-0.75,0.0,0.0
2020-01-15,-2189843.0,1182383.0,1007460.0,-2189843.0,0.0,-15.08,8.14,6.94,-15.08,0.0,5.24,-1.5,0.0,0.0
2020-01-16,-2102275.0,901592.0,1200682.0,-1057681.0,-1044594.0,-16.78,7.2,9.58,-8.44,-8.34,5.21,-0.57,0.0,0.0
2020-01-17,-890651.0,727941.0,162709.0,-890651.0,0.0,-8.15,6.66,1.49,-8.15,0.0,5.18,-0.58,0.0,0.0
2020-01-20,-1439107.0,360561.0,1078545.0,-1076929.0,-362178.0,-12.27,3.07,9.19,-9.18,-3.09,5.17,-0.19,0.0,0.0
2020-01-21,-441282.0,807849.0,-366567.0,-222591.0,-218691.0,-2.95,5.4,-2.45,-1.49,-1.46,5.17,0.0,0.0,0.0
2020-01-22,197343.0,-95825.0,-101519.0,197343.0,0.0,1.61,-0.78,-0.83,1.61,0.0,5.17,0.0,0.0,0.0
2020-01-23,434042.0,215949.0,-649992.0,434042.0,0.0,2.48,1.23,-3.71,2.48,0.0,4.97,-3.87,0.0,0.0
2020-02-03,-2119642.0,2266196.0,-146554.0,-2119642.0,0.0,-42.44,45.38,-2.93,-42.44,0.0,4.47,-10.06,0.0,0.0
2020-02-04,462475.0,662174.0,-1124649.0,462475.0,0.0,2.0,2.86,-4.86,2.0,0.0,4.26,-4.7,0.0,0.0
2020-02-05,-516913.0,1114345.0,-597433.0,-516913.0,0.0,-2.81,6.07,-3.25,-2.81,0.0,4.32,1.41,0.0,0.0
2020-02-06,-976325.0,701718.0,274607.0,-976325.0,0.0,-5.28,3.8,1.49,-5.28,0.0,4.32,0.0,0.0,0.0
2020-02-07,-806084.0,-284260.0,1090345.0,-806084.0,0.0,-4.22,-1.49,5.71,-4.22,0.0,4.31,-0.23,0.0,0.0
2020-02-10,-775026.0,-2003601.0,2778627.0,-775026.0,0.0,-3.12,-8.06,11.18,-3.12,0.0,4.41,2.32,0.0,0.0
2020-02-11,-1709487.0,-318003.0,2027488.0,-1709487.0,0.0,-7.71,-1.43,9.14,-7.71,0.0,4.41,0.0,0.0,0.0
2020-02-12,391446.0,-1257403.0,865957.0,391446.0,0.0,2.77,-8.89,6.12,2.77,0.0,4.42,0.23,0.0,0.0
2020-02-13,1998116.0,-408150.0,-1589966.0,1031909.0,966207.0,12.84,-2.62,-10.22,6.63,6.21,4.37,-1.13,0.0,0.0
2020-02-14,-377313.0,-202318.0,579630.0,-1259889.0,882576.0,-2.08,-1.12,3.2,-6.96,4.87,4.36,-0.23,0.0,0.0
2020-02-17,436755.0,-1230569.0,793814.0,436755.0,0.0,1.79,-5.06,3.26,1.79,0.0,4.45,2.06,0.0,0.0
2020-02-18,-896591.0,-407410.0,1304001.0,-896591.0,0.0,-3.93,-1.79,5.72,-3.93,0.0,4.51,1.35,0.0,0.0
2020-02-19,-442927.0,-945541.0,1388467.0,-1469827.0,1026900.0,-2.46,-5.25,7.71,-8.16,5.7,4.49,-0.44,0.0,0.0
2020-02-20,2652604.0,-4094841.0,1442236.0,2652604.0,0.0,7.71,-11.91,4.19,7.71,0.0,4.54,1.11,0.0,0.0
2020-02-21,-2181988.0,3635517.0,-1453529.0,-2181988.0,0.0,-4.42,7.36,-2.94,-4.42,0.0,4.5,-0.88,0.0,0.0
2020-02-24,-993154.0,1058259.0,-65106.0,-993154.0,0.0,-3.57,3.8,-0.23,-3.57,0.0,4.46,-0.89,0.0,0.0
2020-02-25,-2639324.0,1750304.0,889019.0,-1850192.0,-789132.0,-7.21,4.78,2.43,-5.06,-2.16,4.38,-1.79,0.0,0.0
2020-02-26,119814.0,-914578.0,794764.0,119814.0,0.0,0.33,-2.53,2.2,0.33,0.0,4.44,1.37,0.0,0.0
2020-02-27,-692752.0,214451.0,478300.0,-692752.0,0.0,-3.51,1.09,2.42,-3.51,0.0,4.44,0.0,0.0,0.0
2020-02-28,-919519.0,-1422539.0,2342058.0,-1029599.0,110080.0,-3.54,-5.48,9.02,-3.96,0.42,4.3,-3.15,0.0,0.0
2020-03-02,2550657.0,-2773464.0,222807.0,2550657.0,0.0,9.62,-10.46,0.84,9.62,0.0,4.44,3.26,0.0,0.0
2020-03-03,-82658.0,-1428390.0,1511048.0,-77318.0,-5340.0,-0.29,-5.04,5.33,-0.27,-0.02,4.47,0.68,0.0,0.0
2020-03-04,-441602.0,-2059424.0,2501025.0,3013674.0,-3455276.0,-1.52,-7.07,8.58,10.34,-11.86,4.54,1.57,0.0,0.0
2020-03-05,-1099935.0,-832790.0,1932724.0,-1099935.0,0.0,-3.14,-2.38,5.52,-3.14,0.0,4.6,1.32,0.0,0.0
2020-03-06,1252173.0,1440490.0,-2692663.0,-228724.0,1480897.0,2.33,2.68,-5.01,-0.43,2.76,4.69,1.96,0.0,0.0
2020-03-09,-1756387.0,-632395.0,2388782.0,-1607643.0,-148744.0,-4.31,-1.55,5.86,-3.95,-0.37,4.5,-4.05,0.0,0.0
2020-03-10,-1376216.0,1823137.0,-446922.0,-1376216.0,0.0,-3.88,5.15,-1.26,-3.88,0.0,4.51,0.22,0.0,0.0
2020-03-11,106489.0,-1731254.0,1624766.0,106489.0,0.0,0.34,-5.51,5.18,0.34,0.0,4.48,-0.67,0.0,0.0
2020-03-12,-694699.0,-870779.0,1565478.0,-694699.0,0.0,-2.83,-3.55,6.39,-2.83,0.0,4.42,-1.34,0.0,0.0
2020-03-13,662822.0,-422542.0,-240280.0,-158374.0,821196.0,2.07,-1.32,-0.75,-0.5,2.57,4.38,-0.9,0.0,0.0
2020-03-16,300362.0,-655013.0,354651.0,1203487.0,-903125.0,1.06,-2.32,1.26,4.27,-3.2,4.27,-2.51,0.0,0.0
2020-03-17,-1055279.0,822122.0,233157.0,-1055279.0,0.0,-4.42,3.44,0.98,-4.42,0.0,4.24,-0.7,0.0,0.0
2020-03-18,3908301.0,-2444098.0,-1464203.0,3837381.0,70920.0,14.03,-8.77,-5.25,13.77,0.25,4.21,-0.71,0.0,0.0
2020-03-19,1416932.0,-2524657.0,1107725.0,1662089.0,-245157.0,3.48,-6.2,2.72,4.08,-0.6,4.36,3.56,0.0,0.0
2020-03-20,512403.0,995984.0,-1508388.0,512403.0,0.0,1.79,3.47,-5.26,1.79,0.0,4.37,0.23,0.0,0.0
2020-03-23,-1739472.0,1747023.0,-7550.0,-1739472.0,0.0,-8.03,8.06,-0.03,-8.03,0.0,4.18,-4.35,0.0,0.0
