date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,11053621.0,-9821016.0,-1232604.0,8441907.0,2611714.0,3.06,-2.72,-0.34,2.34,0.72,12.09,2.72,0.0,0.0
2020-01-09,19700970.0,-15136278.0,-4564692.0,15400634.0,4300336.0,8.21,-6.3,-1.9,6.41,1.79,12.08,-0.08,0.0,0.0
2020-01-10,-10344327.0,11827920.0,-1483593.0,-6719859.0,-3624468.0,-7.09,8.11,-1.02,-4.61,-2.49,11.89,-1.57,0.0,0.0
2020-01-13,7664009.0,481066.0,-8145076.0,8200208.0,-536199.0,5.04,0.32,-5.35,5.39,-0.35,12.0,0.93,0.0,0.0
2020-01-14,-8468480.0,17651954.0,-9183473.0,-3939772.0,-4528708.0,-3.91,8.15,-4.24,-1.82,-2.09,11.79,-1.75,0.0,0.0
2020-01-15,-28540288.0,36301633.0,-7761344.0,-22157746.0,-6382542.0,-15.43,19.63,-4.2,-11.98,-3.45,11.51,-2.37,0.0,0.0
2020-01-16,16379799.0,-5463310.0,-10916489.0,8754814.0,7624985.0,10.3,-3.44,-6.86,5.51,4.8,11.6,0.78,0.0,0.0
2020-01-17,14275171.0,-16935680.0,2660509.0,1322768.0,12952403.0,8.22,-9.75,1.53,0.76,7.46,11.79,1.64,0.0,0.0
2020-01-20,-66182.0,-13948966.0,14015146.0,2015084.0,-2081266.0,-0.06,-11.89,11.95,1.72,-1.77,11.74,-0.42,0.0,0.0
2020-01-21,12696979.0,-12233501.0,-463477.0,6234004.0,6462975.0,6.32,-6.09,-0.23,3.1,3.22,11.75,0.09,0.0,0.0
2020-01-22,-13005251.0,10170461.0,2834790.0,-11383595.0,-1621656.0,-6.72,5.25,1.46,-5.88,-0.84,11.75,0.0,0.0,0.0
2020-01-23,-18488712.0,15582052.0,2906660.0,-8725513.0,-9763199.0,-9.3,7.84,1.46,-4.39,-4.91,11.15,-5.11,0.0,0.0
2020-02-03,7592288.0,-7005423.0,-586866.0,-11438913.0,19031201.0,2.45,-2.26,-0.19,-3.69,6.13,10.47,-6.1,0.0,0.0
2020-02-04,-2997394.0,8506560.0,-5509167.0,-4470521.0,1473127.0,-1.93,5.47,-3.54,-2.88,0.95,11.04,5.44,0.0,0.0
2020-02-05,-4149400.0,-5517092.0,9666491.0,-580493.0,-3568907.0,-1.96,-2.6,4.56,-0.27,-1.68,10.86,-1.63,0.0,0.0
2020-02-06,-1625692.0,-2325404.0,3951095.0,-5148567.0,3522875.0,-1.03,-1.47,2.5,-3.26,2.23,10.94,0.74,0.0,0.0
2020-02-07,83729523.0,-45934828.0,-37794695.0,24502575.0,59226948.0,23.93,-13.13,-10.8,7.0,16.93,12.03,9.96,0.0,0.0
2020-02-10,30543315.0,-15383424.0,-15159891.0,7271415.0,23271900.0,4.76,-2.4,-2.36,1.13,3.63,13.2,9.73,0.0,0.0
2020-02-11,-26451594.0,18829213.0,7622381.0,-17012876.0,-9438718.0,-6.66,4.74,1.92,-4.28,-2.37,12.41,-5.98,0.0,0.0
2020-02-12,-23872587.0,723722.0,23148866.0,-16689554.0,-7183033.0,-8.78,0.27,8.52,-6.14,-2.64,12.54,1.05,0.0,0.0
2020-02-13,-18325341.0,4031832.0,14293510.0,-11605509.0,-6719832.0,-5.46,1.2,4.26,-3.46,-2.0,12.55,0.08,0.0,0.0
2020-02-14,-22222337.0,13842027.0,8380311.0,-10475454.0,-11746883.0,-8.18,5.1,3.08,-3.86,-4.32,12.5,-0.4,0.0,0.0
2020-02-17,19413207.0,-15644688.0,-3768519.0,2629087.0,16784120.0,2.99,-2.41,-0.58,0.41,2.59,13.53,8.24,0.0,0.0
2020-02-18,-78196252.0,51920011.0,26276241.0,-45807351.0,-32388901.0,-11.99,7.96,4.03,-7.03,-4.97,13.4,-0.96,0.0,0.0
2020-02-19,-61526422.0,37747360.0,23779063.0,-43840387.0,-17686035.0,-14.08,8.64,5.44,-10.04,-4.05,12.87,-3.96,0.0,0.0
2020-02-20,537483.0,2739721.0,-3277205.0,4865834.0,-4328351.0,0.18,0.92,-1.1,1.63,-1.45,12.91,0.31,0.0,0.0
2020-02-21,9616577.0,-8060692.0,-1555886.0,13236487.0,-3619910.0,2.21,-1.85,-0.36,3.04,-0.83,13.39,3.72,0.0,0.0
2020-02-24,-38382002.0,25108043.0,13273960.0,-35828915.0,-2553087.0,-9.35,6.11,3.23,-8.72,-0.62,13.27,-0.9,0.0,0.0
2020-02-25,-40211565.0,27411125.0,12800439.0,-28120773.0,-12090792.0,-9.67,6.59,3.08,-6.76,-2.91,13.08,-1.43,0.0,0.0
2020-02-26,59787821.0,-38154750.0,-21633079.0,41966347.0,17821474.0,7.88,-5.03,-2.85,5.53,2.35,13.59,3.9,0.0,0.0
2020-02-27,-3567583.0,-6994000.0,10561584.0,7044373.0,-10611956.0,-0.53,-1.04,1.57,1.05,-1.58,14.0,3.02,0.0,0.0
2020-02-28,-101223491.0,72547017.0,28676475.0,-75389794.0,-25833697.0,-19.98,14.32,5.66,-14.88,-5.1,12.68,-9.43,0.0,0.0
2020-03-02,16498620.0,-8414623.0,-8083998.0,24288270.0,-7789650.0,4.64,-2.37,-2.27,6.83,-2.19,13.39,5.6,0.0,0.0
2020-03-03,-35399092.0,1682176.0,33716917.0,-21038297.0,-14360795.0,-7.02,0.33,6.69,-4.17,-2.85,13.58,1.42,0.0,0.0
2020-03-04,43086118.0,-32771569.0,-10314550.0,18132114.0,24954004.0,8.25,-6.28,-1.98,3.47,4.78,14.09,3.76,0.0,0.0
2020-03-05,-89607963.0,62217044.0,27390918.0,-51516735.0,-38091228.0,-16.14,11.2,4.93,-9.28,-6.86,13.81,-1.99,0.0,0.0
2020-03-06,-43208199.0,31023902.0,12184297.0,-28611401.0,-14596798.0,-12.55,9.01,3.54,-8.31,-4.24,13.24,-4.13,0.0,0.0
2020-03-09,-49938384.0,52260816.0,-2322434.0,-29568798.0,-20369586.0,-14.99,15.68,-0.7,-8.87,-6.11,12.28,-7.25,0.0,0.0
2020-03-10,-17456842.0,5419407.0,12037434.0,-4153471.0,-13303371.0,-6.83,2.12,4.71,-1.62,-5.2,12.66,3.09,0.0,0.0
2020-03-11,21691387.0,-16109042.0,-5582346.0,18487735.0,3203652.0,6.96,-5.17,-1.79,5.93,1.03,12.81,1.18,0.0,0.0
2020-03-12,-15181887.0,12236531.0,2945357.0,-13758600.0,-1423287.0,-8.69,7.01,1.69,-7.88,-0.82,12.48,-2.58,0.0,0.0
2020-03-13,-12714720.0,1547675.0,11167046.0,-13738263.0,1023543.0,-5.66,0.69,4.97,-6.11,0.46,12.37,-0.88,0.0,0.0
2020-03-16,9074194.0,-5788338.0,-3285857.0,6353660.0,2720534.0,3.09,-1.97,-1.12,2.17,0.93,12.27,-0.81,0.0,0.0
2020-03-17,-9366799.0,13762315.0,-4395516.0,-12319243.0,2952444.0,-3.24,4.76,-1.52,-4.26,1.02,12.16,-0.9,0.0,0.0
2020-03-18,-13299189.0,10986932.0,2312257.0,-10387833.0,-2911356.0,-5.82,4.81,1.01,-4.55,-1.27,11.89,-2.22,0.0,0.0
