date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-176472.0,-556592.0,733065.0,-176472.0,0.0,-0.94,-2.95,3.89,-0.94,0.0,6.29,-1.26,0.0,0.0
2020-01-09,964136.0,-1984367.0,1020232.0,-1452495.0,2416631.0,4.08,-8.4,4.32,-6.15,10.22,6.43,2.23,0.0,0.0
2020-01-10,220244.0,-1002960.0,782716.0,220244.0,0.0,0.98,-4.46,3.48,0.98,0.0,6.49,0.93,0.0,0.0
2020-01-13,-739852.0,325324.0,414528.0,-739852.0,0.0,-3.55,1.56,1.99,-3.55,0.0,6.58,1.39,0.0,0.0
2020-01-14,-115550.0,740140.0,-624590.0,-115550.0,0.0,-0.82,5.25,-4.43,-0.82,0.0,6.5,-1.22,0.0,0.0
2020-01-15,-328287.0,577719.0,-249432.0,769913.0,-1098200.0,-1.92,3.38,-1.46,4.51,-6.43,6.47,-0.46,0.0,0.0
2020-01-16,-168116.0,-283135.0,451250.0,-168116.0,0.0,-1.7,-2.87,4.57,-1.7,0.0,6.4,-1.08,0.0,0.0
2020-01-17,459981.0,-20591.0,-439389.0,459981.0,0.0,4.31,-0.19,-4.12,4.31,0.0,6.44,0.62,0.0,0.0
2020-01-20,2872535.0,-2820867.0,-51668.0,2522080.0,350455.0,6.94,-6.82,-0.12,6.1,0.85,6.72,4.35,0.0,0.0
2020-01-21,-1383134.0,-545843.0,1928976.0,-2754386.0,1371252.0,-5.6,-2.21,7.8,-11.14,5.55,6.62,-1.49,0.0,0.0
2020-01-22,-2599150.0,1023546.0,1575604.0,-2053850.0,-545300.0,-12.71,5.01,7.71,-10.04,-2.67,6.63,0.15,0.0,0.0
2020-01-23,-2283710.0,2163082.0,120628.0,-2283710.0,0.0,-10.7,10.14,0.57,-10.7,0.0,6.34,-4.37,0.0,0.0
2020-02-03,8985.0,373634.0,-382619.0,880331.0,-871346.0,0.04,1.52,-1.55,3.57,-3.53,5.71,-9.94,0.0,0.0
2020-02-04,-1074068.0,475588.0,598481.0,-1074068.0,0.0,-4.65,2.06,2.59,-4.65,0.0,5.82,1.93,0.0,0.0
2020-02-05,-98358.0,-968598.0,1066957.0,-145986.0,47628.0,-0.54,-5.36,5.91,-0.81,0.26,5.9,1.37,0.0,0.0
2020-02-06,203194.0,569462.0,-772656.0,1335397.0,-1132203.0,1.12,3.13,-4.25,7.34,-6.22,5.9,0.0,0.0,0.0
2020-02-07,-140421.0,-24957.0,165378.0,-140421.0,0.0,-0.89,-0.16,1.05,-0.89,0.0,5.93,0.51,0.0,0.0
2020-02-10,-73019.0,-137900.0,210918.0,-73019.0,0.0,-0.57,-1.07,1.64,-0.57,0.0,6.02,1.52,0.0,0.0
2020-02-11,-240568.0,771426.0,-530858.0,-240568.0,0.0,-2.52,8.08,-5.56,-2.52,0.0,5.98,-0.66,0.0,0.0
2020-02-12,-658295.0,1639106.0,-980810.0,-658295.0,0.0,-5.38,13.41,-8.02,-5.38,0.0,5.99,0.17,0.0,0.0
2020-02-13,-431251.0,803247.0,-371997.0,-431251.0,0.0,-3.27,6.1,-2.82,-3.27,0.0,5.89,-1.67,0.0,0.0
2020-02-14,77874.0,266792.0,-344667.0,77874.0,0.0,0.9,3.08,-3.97,0.9,0.0,5.87,-0.34,0.0,0.0
2020-02-17,109000.0,1294437.0,-1403438.0,109000.0,0.0,0.8,9.46,-10.26,0.8,0.0,6.01,2.39,0.0,0.0
2020-02-18,7158.0,-630145.0,622987.0,-172247.0,179405.0,0.04,-3.28,3.24,-0.9,0.93,6.14,2.16,0.0,0.0
2020-02-19,284347.0,603876.0,-888222.0,284347.0,0.0,2.65,5.63,-8.28,2.65,0.0,6.11,-0.49,0.0,0.0
2020-02-20,839121.0,-1907463.0,1068342.0,839121.0,0.0,6.06,-13.78,7.72,6.06,0.0,6.21,1.64,0.0,0.0
2020-02-21,-489195.0,1746679.0,-1257484.0,-318506.0,-170689.0,-3.06,10.91,-7.85,-1.99,-1.07,6.18,-0.48,0.0,0.0
2020-02-24,-744177.0,2449668.0,-1705492.0,-744177.0,0.0,-4.24,13.97,-9.73,-4.24,0.0,6.13,-0.81,0.0,0.0
2020-02-25,-3106820.0,3768576.0,-661756.0,-1441500.0,-1665320.0,-11.12,13.49,-2.37,-5.16,-5.96,6.0,-2.12,0.0,0.0
2020-02-26,1490360.0,-1985907.0,495546.0,1490360.0,0.0,8.74,-11.64,2.9,8.74,0.0,6.04,0.67,0.0,0.0
2020-02-27,407230.0,395554.0,-802785.0,407230.0,0.0,4.29,4.17,-8.46,4.29,0.0,6.08,0.66,0.0,0.0
2020-02-28,-1529055.0,1563452.0,-34397.0,-1529055.0,0.0,-8.5,8.69,-0.19,-8.5,0.0,5.91,-2.8,0.0,0.0
2020-03-02,126249.0,438097.0,-564345.0,2343816.0,-2217567.0,0.78,2.7,-3.48,14.46,-13.68,6.07,2.71,0.0,0.0
2020-03-03,-609193.0,745274.0,-136081.0,-609193.0,0.0,-2.95,3.61,-0.66,-2.95,0.0,6.08,0.16,0.0,0.0
2020-03-04,843581.0,162939.0,-1006520.0,887789.0,-44208.0,4.93,0.95,-5.88,5.19,-0.26,6.14,0.99,0.0,0.0
2020-03-05,1584071.0,-1397041.0,-187031.0,-1791152.0,3375223.0,4.12,-3.63,-0.49,-4.66,8.78,6.28,2.28,0.0,0.0
2020-03-06,-1443694.0,1475068.0,-31373.0,-1443694.0,0.0,-6.57,6.71,-0.14,-6.57,0.0,6.26,-0.32,0.0,0.0
2020-03-09,-1696634.0,1712133.0,-15499.0,-1696634.0,0.0,-7.39,7.46,-0.07,-7.39,0.0,6.13,-2.08,0.0,0.0
2020-03-10,1679237.0,2052187.0,-3731424.0,1679237.0,0.0,6.82,8.34,-15.17,6.82,0.0,6.24,1.79,0.0,0.0
2020-03-11,-1724653.0,-42051.0,1766703.0,-762064.0,-962589.0,-6.37,-0.16,6.53,-2.82,-3.56,6.24,0.0,0.0,0.0
2020-03-12,-1670045.0,1477527.0,192518.0,-1670045.0,0.0,-9.67,8.55,1.11,-9.67,0.0,6.09,-2.4,0.0,0.0
2020-03-13,696325.0,1502771.0,-2199096.0,-259066.0,955391.0,2.51,5.41,-7.92,-0.93,3.44,6.01,-1.31,0.0,0.0
2020-03-16,-2631101.0,1790705.0,840396.0,-2631101.0,0.0,-14.17,9.64,4.53,-14.17,0.0,5.89,-2.0,0.0,0.0
2020-03-17,-2829586.0,4048939.0,-1219354.0,-2829586.0,0.0,-16.88,24.15,-7.27,-16.88,0.0,5.92,0.51,0.0,0.0
2020-03-18,-1504668.0,632779.0,871888.0,-1504668.0,0.0,-9.27,3.9,5.37,-9.27,0.0,5.81,-1.86,0.0,0.0
