date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-41011344.0,20106742.0,20904603.0,-17322129.0,-23689215.0,-23.01,11.28,11.73,-9.72,-13.29,9.27,-2.83,0.0,0.0
2020-01-09,11089932.0,-5156526.0,-5933407.0,3831177.0,7258755.0,8.71,-4.05,-4.66,3.01,5.7,9.45,1.94,0.0,0.0
2020-01-10,-19178862.0,13924862.0,5254001.0,-16838213.0,-2340649.0,-19.66,14.27,5.39,-17.26,-2.4,9.32,-1.38,0.0,0.0
2020-01-13,400649.0,514854.0,-915504.0,-1938388.0,2339037.0,0.37,0.47,-0.84,-1.77,2.13,9.49,1.82,0.0,0.0
2020-01-14,-4079574.0,3965767.0,113808.0,-2661613.0,-1417961.0,-3.96,3.85,0.11,-2.58,-1.38,9.43,-0.63,0.0,0.0
2020-01-15,-6642932.0,1786505.0,4856427.0,-6684917.0,41985.0,-9.72,2.61,7.1,-9.78,0.06,9.36,-0.74,0.0,0.0
2020-01-16,1027653.0,-805690.0,-221962.0,2074281.0,-1046628.0,1.59,-1.25,-0.34,3.21,-1.62,9.35,-0.11,0.0,0.0
2020-01-17,-1603424.0,4702884.0,-3099460.0,-1562966.0,-40458.0,-2.22,6.5,-4.28,-2.16,-0.06,9.28,-0.75,0.0,0.0
2020-01-20,4287592.0,-1788049.0,-2499541.0,5498742.0,-1211150.0,3.46,-1.44,-2.02,4.43,-0.98,9.45,1.83,0.0,0.0
2020-01-21,-7159177.0,3167959.0,3991218.0,-3939947.0,-3219230.0,-7.83,3.46,4.36,-4.31,-3.52,9.32,-1.38,0.0,0.0
2020-01-22,-19171.0,918562.0,-899392.0,-1461661.0,1442490.0,-0.02,1.02,-1.0,-1.63,1.61,9.28,-0.43,0.0,0.0
2020-01-23,-19277888.0,13082742.0,6195146.0,-10085883.0,-9192005.0,-13.01,8.83,4.18,-6.81,-6.2,8.88,-4.31,0.0,0.0
2020-02-03,-12769618.0,10458910.0,2310708.0,-140624.0,-12628994.0,-35.87,29.38,6.49,-0.4,-35.48,7.99,-10.02,0.0,0.0
2020-02-04,-9615959.0,14422631.0,-4806672.0,-5538826.0,-4077133.0,-4.89,7.34,-2.45,-2.82,-2.07,7.75,-3.0,0.0,0.0
2020-02-05,-7981221.0,2097655.0,5883565.0,-5933494.0,-2047727.0,-5.73,1.51,4.22,-4.26,-1.47,7.79,0.52,0.0,0.0
2020-02-06,2811154.0,3350269.0,-6161425.0,1877173.0,933981.0,2.36,2.81,-5.16,1.57,0.78,7.88,1.16,0.0,0.0
2020-02-07,2622074.0,-1021624.0,-1600450.0,1194969.0,1427105.0,2.28,-0.89,-1.39,1.04,1.24,8.03,1.9,0.0,0.0
2020-02-10,11481941.0,-9262202.0,-2219739.0,11726067.0,-244126.0,7.77,-6.27,-1.5,7.94,-0.17,8.27,2.99,0.0,0.0
2020-02-11,-14029313.0,6704190.0,7325122.0,-16252752.0,2223439.0,-7.68,3.67,4.01,-8.9,1.22,8.31,0.48,0.0,0.0
2020-02-12,-896286.0,-323770.0,1220056.0,4752756.0,-5649042.0,-0.8,-0.29,1.09,4.25,-5.05,8.41,1.2,0.0,0.0
2020-02-13,17498694.0,-11430354.0,-6068339.0,11212481.0,6286213.0,8.49,-5.55,-2.95,5.44,3.05,8.61,2.38,0.0,0.0
2020-02-14,28611728.0,-29833008.0,1221281.0,14581187.0,14030541.0,10.29,-10.73,0.44,5.25,5.05,9.02,4.76,0.0,0.0
2020-02-17,18165063.0,-29187673.0,11022611.0,14961076.0,3203987.0,4.76,-7.65,2.89,3.92,0.84,9.34,3.55,0.0,0.0
2020-02-18,15368487.0,-33824323.0,18455837.0,42740775.0,-27372288.0,3.46,-7.62,4.16,9.63,-6.17,9.63,3.1,0.0,0.0
2020-02-19,13569286.0,-26374825.0,12805537.0,31163418.0,-17594132.0,3.02,-5.87,2.85,6.93,-3.91,9.84,2.18,0.0,0.0
2020-02-20,51035777.0,-36608779.0,-14426998.0,12038235.0,38997542.0,7.18,-5.15,-2.03,1.69,5.49,10.51,6.81,0.0,0.0
2020-02-21,-44979308.0,27491411.0,17487895.0,-7813881.0,-37165427.0,-6.72,4.11,2.61,-1.17,-5.55,10.21,-2.85,0.0,0.0
2020-02-24,12250685.0,-3107089.0,-9143597.0,-14470521.0,26721206.0,2.54,-0.64,-1.9,-3.0,5.54,10.28,0.69,0.0,0.0
2020-02-25,2031278.0,6087584.0,-8118862.0,-1377060.0,3408338.0,0.4,1.21,-1.61,-0.27,0.68,10.12,-1.56,0.0,0.0
2020-02-26,-43273874.0,30534506.0,12739369.0,-22157449.0,-21116425.0,-12.18,8.59,3.58,-6.23,-5.94,9.79,-3.26,0.0,0.0
2020-02-27,-24155378.0,12882459.0,11272918.0,-15628079.0,-8527299.0,-9.35,4.99,4.36,-6.05,-3.3,9.7,-0.92,0.0,0.0
2020-02-28,-31180322.0,23578764.0,7601557.0,-16198007.0,-14982315.0,-9.28,7.02,2.26,-4.82,-4.46,9.25,-4.64,0.0,0.0
2020-03-02,15261871.0,-15863470.0,601599.0,14745324.0,516547.0,5.41,-5.62,0.21,5.22,0.18,9.64,4.22,0.0,0.0
2020-03-03,35848020.0,-43542819.0,7694798.0,22969914.0,12878106.0,9.2,-11.17,1.97,5.89,3.3,10.06,4.36,0.0,0.0
2020-03-04,-6606912.0,3505658.0,3101255.0,3624427.0,-10231339.0,-2.88,1.53,1.35,1.58,-4.45,9.98,-0.8,0.0,0.0
2020-03-05,-9745014.0,-1198502.0,10943516.0,-4046296.0,-5698718.0,-3.48,-0.43,3.91,-1.45,-2.04,10.11,1.3,0.0,0.0
2020-03-06,-17534067.0,13871183.0,3662884.0,-14379439.0,-3154628.0,-8.92,7.06,1.86,-7.32,-1.6,9.91,-1.98,0.0,0.0
2020-03-09,-23810744.0,31115208.0,-7304464.0,-16892653.0,-6918091.0,-9.5,12.41,-2.91,-6.74,-2.76,9.47,-4.44,0.0,0.0
2020-03-10,-3833458.0,-3875352.0,7708809.0,-5684465.0,1851007.0,-1.5,-1.52,3.02,-2.23,0.72,9.81,3.59,0.0,0.0
2020-03-11,-14137550.0,8754442.0,5383109.0,-10036500.0,-4101050.0,-9.14,5.66,3.48,-6.49,-2.65,9.57,-2.45,0.0,0.0
2020-03-12,-3358671.0,6682314.0,-3323644.0,-3563809.0,205138.0,-2.7,5.37,-2.67,-2.86,0.16,9.41,-1.67,0.0,0.0
2020-03-13,-9096320.0,5781954.0,3314366.0,-7480694.0,-1615626.0,-5.43,3.45,1.98,-4.46,-0.96,9.31,-1.06,0.0,0.0
2020-03-16,-39643735.0,42041217.0,-2397482.0,-30256202.0,-9387533.0,-17.27,18.32,-1.04,-13.18,-4.09,8.79,-5.59,0.0,0.0
2020-03-17,-4686199.0,8207166.0,-3520967.0,-4707268.0,21069.0,-3.24,5.68,-2.44,-3.26,0.01,8.83,0.46,0.0,0.0
2020-03-18,-791220.0,4094387.0,-3303168.0,209802.0,-1001022.0,-0.57,2.96,-2.39,0.15,-0.72,8.69,-1.59,0.0,0.0
2020-03-19,3479983.0,-1531973.0,-1948009.0,1295320.0,2184663.0,2.24,-0.99,-1.26,0.84,1.41,8.97,3.22,0.0,0.0
2020-03-20,-5963458.0,3617935.0,2345523.0,-5885215.0,-78243.0,-5.85,3.55,2.3,-5.77,-0.08,9.0,0.33,0.0,0.0
2020-03-23,-6232424.0,15675483.0,-9443059.0,-5388932.0,-843492.0,-5.28,13.29,-8.01,-4.57,-0.72,8.63,-4.11,0.0,0.0
2020-03-24,-4290663.0,7191106.0,-2900443.0,-4872249.0,581586.0,-4.59,7.69,-3.1,-5.21,0.62,8.82,2.2,0.0,0.0
2020-03-25,7891411.0,-6602278.0,-1289134.0,-697942.0,8589353.0,6.06,-5.07,-0.99,-0.54,6.59,9.0,2.04,0.0,0.0
2020-03-26,-11220324.0,9127306.0,2093020.0,-8342113.0,-2878211.0,-12.53,10.19,2.34,-9.32,-3.21,8.78,-2.44,0.0,0.0
2020-03-27,511219.0,3427080.0,-3938298.0,-843419.0,1354638.0,0.76,5.06,-5.82,-1.25,2.0,8.76,-0.23,0.0,0.0
2020-03-30,-13637878.0,14601475.0,-963595.0,-9444424.0,-4193454.0,-14.61,15.64,-1.03,-10.12,-4.49,8.47,-3.31,0.0,0.0
2020-03-31,-2776696.0,3156184.0,-379488.0,-3125681.0,348985.0,-5.83,6.62,-0.8,-6.56,0.73,8.44,-0.35,0.0,0.0
2020-04-01,-10086785.0,13707515.0,-3620729.0,-6377072.0,-3709713.0,-13.49,18.33,-4.84,-8.53,-4.96,8.31,-1.54,0.0,0.0
2020-04-02,6459535.0,-4333667.0,-2125868.0,6072005.0,387530.0,10.03,-6.73,-3.3,9.43,0.6,8.54,2.77,0.0,0.0
2020-04-03,-2738186.0,2847911.0,-109724.0,-683842.0,-2054344.0,-5.39,5.6,-0.22,-1.35,-4.04,8.48,-0.7,0.0,0.0
2020-04-07,4800764.0,-651108.0,-4149655.0,3685444.0,1115320.0,6.19,-0.84,-5.35,4.75,1.44,8.67,2.24,0.0,0.0
2020-04-08,-6919624.0,2174961.0,4744663.0,-4432132.0,-2487492.0,-13.18,4.14,9.04,-8.44,-4.74,8.64,-0.35,0.0,0.0
2020-04-09,4211117.0,-5634262.0,1423146.0,4656290.0,-445173.0,6.54,-8.75,2.21,7.23,-0.69,8.7,0.69,0.0,0.0
