date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-17494289.0,-746364.0,18240654.0,2566093.0,-20060382.0,-9.84,-0.42,10.26,1.44,-11.29,5.92,2.25,0.0,0.0
2020-01-09,-14030644.0,-947141.0,14977785.0,-4417977.0,-9612667.0,-9.21,-0.62,9.84,-2.9,-6.31,5.85,-1.18,0.0,0.0
2020-01-10,9465273.0,-4786952.0,-4678321.0,7208059.0,2257214.0,16.99,-8.59,-8.4,12.94,4.05,5.77,-1.37,0.0,0.0
2020-01-13,-12819503.0,-3813593.0,16633096.0,8687557.0,-21507060.0,-9.04,-2.69,11.72,6.12,-15.16,5.85,1.39,0.0,0.0
2020-01-14,-39601023.0,19807168.0,19793856.0,-2164456.0,-37436567.0,-18.18,9.09,9.09,-0.99,-17.19,6.05,3.42,0.0,0.0
2020-01-15,-25509916.0,14696790.0,10813125.0,1715144.0,-27225060.0,-8.78,5.06,3.72,0.59,-9.37,5.79,-4.3,0.0,0.0
2020-01-16,11476929.0,6431330.0,-17908258.0,767659.0,10709270.0,6.79,3.8,-10.59,0.45,6.33,5.56,-3.97,0.0,0.0
2020-01-17,-26608137.0,24003545.0,2604592.0,-11516403.0,-15091734.0,-29.48,26.6,2.89,-12.76,-16.72,5.0,-10.07,0.0,0.0
2020-01-20,-66551406.0,39008531.0,27542874.0,-23516405.0,-43035001.0,-21.64,12.68,8.95,-7.65,-13.99,4.87,-2.6,0.0,0.0
2020-01-21,-37503445.0,26092463.0,11410981.0,-24187647.0,-13315798.0,-22.57,15.7,6.87,-14.55,-8.01,4.39,-9.86,0.0,0.0
2020-01-22,-11187050.0,13911754.0,-2724704.0,-7573058.0,-3613992.0,-10.59,13.17,-2.58,-7.17,-3.42,4.13,-5.92,0.0,0.0
2020-01-23,-8414552.0,10087636.0,-1673083.0,-8136026.0,-278526.0,-11.83,14.18,-2.35,-11.44,-0.39,3.99,-3.39,0.0,0.0
2020-02-03,-253095.0,753900.0,-500805.0,-253095.0,0.0,-11.75,34.99,-23.25,-11.75,0.0,3.59,-10.03,0.0,0.0
2020-02-04,-3078190.0,3813661.0,-735471.0,-2521338.0,-556852.0,-27.62,34.22,-6.6,-22.63,-5.0,3.23,-10.03,0.0,0.0
2020-02-05,2701386.0,1443144.0,-4144528.0,2167425.0,533961.0,2.65,1.42,-4.07,2.13,0.52,3.32,2.79,0.0,0.0
2020-02-06,-4540753.0,3465968.0,1074786.0,-4477528.0,-63225.0,-4.28,3.27,1.01,-4.22,-0.06,3.42,3.01,0.0,0.0
2020-02-07,16693189.0,-10795508.0,-5897681.0,6873919.0,9819270.0,16.86,-10.9,-5.96,6.94,9.92,3.76,9.94,0.0,0.0
2020-02-10,-1943247.0,3840053.0,-1896806.0,1528170.0,-3471417.0,-1.19,2.35,-1.16,0.94,-2.13,4.04,7.45,0.0,0.0
2020-02-11,-9690585.0,1040966.0,8649617.0,-7668045.0,-2022540.0,-10.47,1.13,9.35,-8.29,-2.19,3.87,-4.21,0.0,0.0
2020-02-12,11222515.0,-8258825.0,-2963690.0,8047358.0,3175157.0,13.19,-9.7,-3.48,9.46,3.73,4.17,7.75,0.0,0.0
2020-02-13,7971344.0,-9363586.0,1392242.0,8563969.0,-592625.0,7.85,-9.22,1.37,8.43,-0.58,4.28,2.64,0.0,0.0
2020-02-14,4997557.0,-3349385.0,-1648172.0,1961422.0,3036135.0,4.47,-3.0,-1.47,1.75,2.72,4.45,3.97,0.0,0.0
2020-02-17,8220497.0,-6284168.0,-1936330.0,3847990.0,4372507.0,9.04,-6.91,-2.13,4.23,4.81,4.68,5.17,0.0,0.0
2020-02-18,651548.0,5530091.0,-6181638.0,-622320.0,1273868.0,0.73,6.22,-6.95,-0.7,1.43,4.72,0.85,0.0,0.0
2020-02-19,-12057337.0,8298064.0,3759274.0,-2259719.0,-9797618.0,-14.19,9.77,4.42,-2.66,-11.53,4.57,-3.18,0.0,0.0
2020-02-20,9033610.0,-7959007.0,-1074603.0,7349214.0,1684396.0,12.44,-10.96,-1.48,10.12,2.32,4.81,5.25,0.0,0.0
2020-02-21,7576458.0,139601.0,-7716058.0,6425949.0,1150509.0,6.93,0.13,-7.06,5.88,1.05,4.89,1.66,0.0,0.0
2020-02-24,10840404.0,-6630438.0,-4209966.0,6339571.0,4500833.0,13.02,-7.96,-5.06,7.62,5.41,5.04,3.07,0.0,0.0
2020-02-25,649179.0,150088.0,-799267.0,-190959.0,840138.0,1.08,0.25,-1.33,-0.32,1.4,5.01,-0.6,0.0,0.0
2020-02-26,-483807.0,-1982630.0,2466437.0,-534107.0,50300.0,-1.14,-4.67,5.81,-1.26,0.12,4.99,-0.4,0.0,0.0
2020-02-27,2295952.0,-2455424.0,159471.0,2414968.0,-119016.0,3.87,-4.14,0.27,4.07,-0.2,5.21,4.41,0.0,0.0
2020-02-28,14952955.0,-13259383.0,-1693572.0,9045769.0,5907186.0,10.74,-9.53,-1.22,6.5,4.24,5.3,1.73,0.0,0.0
2020-03-02,291510.0,-15740224.0,15448713.0,-5520175.0,5811685.0,0.23,-12.38,12.15,-4.34,4.57,5.6,5.66,0.0,0.0
2020-03-03,5029479.0,-2883176.0,-2146303.0,-24570695.0,29600174.0,2.53,-1.45,-1.08,-12.36,14.89,5.71,1.96,0.0,0.0
2020-03-04,4383417.0,1206970.0,-5590388.0,-3327222.0,7710639.0,5.15,1.42,-6.57,-3.91,9.06,5.51,-3.5,0.0,0.0
2020-03-05,-7291162.0,7312974.0,-21812.0,-6017993.0,-1273169.0,-7.92,7.94,-0.02,-6.53,-1.38,5.26,-4.54,0.0,0.0
2020-03-06,1769281.0,2151603.0,-3920884.0,-2033823.0,3803104.0,1.66,2.01,-3.67,-1.9,3.56,5.3,0.76,0.0,0.0
2020-03-09,-1881522.0,1761099.0,120422.0,2440931.0,-4322453.0,-2.81,2.63,0.18,3.65,-6.46,4.98,-6.04,0.0,0.0
2020-03-10,6538013.0,483306.0,-7021320.0,3067832.0,3470181.0,10.4,0.77,-11.17,4.88,5.52,5.07,1.81,0.0,0.0
2020-03-11,-95690.0,-1184957.0,1280647.0,-1052954.0,957264.0,-0.24,-2.97,3.21,-2.64,2.4,5.11,0.79,0.0,0.0
