date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-1660872.0,2513851.0,-852978.0,-1660872.0,0.0,-7.87,11.91,-4.04,-7.87,0.0,8.19,-3.19,0.0,0.0
2020-01-09,-1076556.0,1950418.0,-873861.0,-1076556.0,0.0,-5.19,9.4,-4.21,-5.19,0.0,8.18,-0.12,0.0,0.0
2020-01-10,-2499684.0,2113477.0,386206.0,-2499684.0,0.0,-14.94,12.63,2.31,-14.94,0.0,8.09,-1.1,0.0,0.0
2020-01-13,3340.0,1599465.0,-1602805.0,3340.0,0.0,0.02,8.87,-8.89,0.02,0.0,8.22,1.61,0.0,0.0
2020-01-14,-419564.0,1313687.0,-894124.0,-419564.0,0.0,-2.12,6.63,-4.51,-2.12,0.0,8.29,0.85,0.0,0.0
2020-01-15,-733365.0,-34251.0,767616.0,-733365.0,0.0,-5.29,-0.25,5.54,-5.29,0.0,8.12,-2.05,0.0,0.0
2020-01-16,-1445370.0,1218506.0,226863.0,-669098.0,-776272.0,-12.59,10.62,1.98,-5.83,-6.76,8.1,-0.25,0.0,0.0
2020-01-17,-658507.0,470763.0,187743.0,-1089056.0,430549.0,-5.86,4.19,1.67,-9.69,3.83,8.06,-0.49,0.0,0.0
2020-01-20,-3157438.0,2342173.0,815264.0,-763893.0,-2393545.0,-20.49,15.2,5.29,-4.96,-15.53,8.08,0.25,0.0,0.0
2020-01-21,-2323945.0,1774400.0,549545.0,-2323945.0,0.0,-16.59,12.67,3.92,-16.59,0.0,7.85,-2.85,0.0,0.0
2020-01-22,-2613064.0,1619843.0,993223.0,-2613064.0,0.0,-13.34,8.27,5.07,-13.34,0.0,7.97,1.53,0.0,0.0
2020-01-23,99491.0,-776761.0,677270.0,99491.0,0.0,0.43,-3.37,2.94,0.43,0.0,8.3,4.14,0.0,0.0
2020-02-03,-1933982.0,1413324.0,520659.0,-355572.0,-1578410.0,-43.59,31.85,11.73,-8.01,-35.57,7.47,-10.0,0.0,0.0
2020-02-04,-12600146.0,7647597.0,4952549.0,698070.0,-13298216.0,-19.54,11.86,7.68,1.08,-20.62,6.82,-8.7,0.0,0.0
