date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-1962900.0,3437681.0,-1474781.0,-1962900.0,0.0,-8.8,15.41,-6.61,-8.8,0.0,8.14,-2.28,0.0,0.0
2020-01-09,680026.0,-484635.0,-195392.0,1386334.0,-706308.0,2.38,-1.69,-0.68,4.84,-2.47,8.28,1.72,0.0,0.0
2020-01-10,-332315.0,-384000.0,716315.0,-332315.0,0.0,-2.88,-3.33,6.21,-2.88,0.0,8.19,-1.09,0.0,0.0
2020-01-13,1036100.0,-612755.0,-423346.0,1036100.0,0.0,6.31,-3.73,-2.58,6.31,0.0,8.29,1.22,0.0,0.0
2020-01-14,498076.0,-819372.0,321297.0,498076.0,0.0,4.4,-7.24,2.84,4.4,0.0,8.26,-0.36,0.0,0.0
2020-01-15,-1384816.0,1305944.0,78871.0,-1384816.0,0.0,-9.31,8.78,0.53,-9.31,0.0,8.2,-0.73,0.0,0.0
2020-01-16,-296334.0,274025.0,22308.0,-296334.0,0.0,-3.03,2.81,0.23,-3.03,0.0,8.17,-0.37,0.0,0.0
2020-01-17,738454.0,-931561.0,193108.0,738454.0,0.0,5.64,-7.11,1.47,5.64,0.0,8.19,0.24,0.0,0.0
2020-01-20,-865283.0,304899.0,560385.0,-865283.0,0.0,-7.23,2.55,4.68,-7.23,0.0,8.2,0.12,0.0,0.0
2020-01-21,-900003.0,997283.0,-97280.0,-900003.0,0.0,-7.67,8.5,-0.83,-7.67,0.0,8.05,-1.83,0.0,0.0
2020-01-22,-673932.0,158537.0,515395.0,-1058963.0,385031.0,-4.28,1.01,3.28,-6.73,2.45,8.04,-0.12,0.0,0.0
2020-01-23,-279792.0,1394965.0,-1115174.0,-279792.0,0.0,-1.5,7.5,-5.99,-1.5,0.0,7.83,-2.61,0.0,0.0
2020-02-03,-500550.0,880457.0,-379907.0,-500550.0,0.0,-12.2,21.46,-9.26,-12.2,0.0,7.05,-9.96,0.0,0.0
2020-02-04,318853.0,622507.0,-941360.0,318853.0,0.0,1.1,2.15,-3.24,1.1,0.0,6.83,-3.12,0.0,0.0
2020-02-05,-1354858.0,1613208.0,-258350.0,-1354858.0,0.0,-9.08,10.81,-1.73,-9.08,0.0,6.89,0.88,0.0,0.0
2020-02-06,-1296004.0,951875.0,344130.0,-1296004.0,0.0,-8.14,5.98,2.16,-8.14,0.0,6.99,1.45,0.0,0.0
2020-02-07,-2315298.0,2028375.0,286923.0,-2315298.0,0.0,-14.4,12.62,1.78,-14.4,0.0,7.02,0.43,0.0,0.0
2020-02-10,-147450.0,606999.0,-459549.0,-147450.0,0.0,-0.81,3.35,-2.54,-0.81,0.0,7.17,2.14,0.0,0.0
2020-02-11,-2288036.0,2368183.0,-80147.0,-1723691.0,-564345.0,-8.21,8.5,-0.29,-6.18,-2.02,7.14,-0.42,0.0,0.0
2020-02-12,-710610.0,180648.0,529962.0,-524256.0,-186354.0,-4.47,1.14,3.34,-3.3,-1.17,7.16,0.28,0.0,0.0
2020-02-13,-1262774.0,2978915.0,-1716139.0,-1051382.0,-211392.0,-6.88,16.24,-9.36,-5.73,-1.15,7.07,-1.26,0.0,0.0
2020-02-14,-822961.0,1168183.0,-345223.0,-822961.0,0.0,-6.93,9.84,-2.91,-6.93,0.0,7.04,-0.42,0.0,0.0
2020-02-17,-733018.0,1236026.0,-503008.0,-733018.0,0.0,-3.31,5.59,-2.27,-3.31,0.0,7.24,2.84,0.0,0.0
2020-02-18,-2154460.0,1170271.0,984189.0,-1625932.0,-528528.0,-9.59,5.21,4.38,-7.24,-2.35,7.34,1.38,0.0,0.0
2020-02-19,241373.0,1670687.0,-1912060.0,241373.0,0.0,1.11,7.71,-8.83,1.11,0.0,7.35,0.14,0.0,0.0
2020-02-20,1847793.0,-3577707.0,1729913.0,1799930.0,47863.0,7.35,-14.23,6.88,7.16,0.19,7.51,2.18,0.0,0.0
2020-02-21,-1562087.0,2139056.0,-576969.0,-871860.0,-690227.0,-6.01,8.23,-2.22,-3.35,-2.66,7.55,0.53,0.0,0.0
2020-02-24,-1539176.0,2366708.0,-827533.0,-1539176.0,0.0,-6.6,10.14,-3.55,-6.6,0.0,7.44,-1.46,0.0,0.0
2020-02-25,-867371.0,2491049.0,-1623678.0,-867371.0,0.0,-3.26,9.36,-6.1,-3.26,0.0,7.25,-2.55,0.0,0.0
