date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-17054558.0,16789775.0,264783.0,-18475241.0,1420683.0,-7.47,7.35,0.12,-8.09,0.62,11.19,0.18,0.0,0.0
2020-01-09,-11473132.0,18875208.0,-7402075.0,-9757042.0,-1716090.0,-7.24,11.9,-4.67,-6.15,-1.08,11.1,-0.8,0.0,0.0
2020-01-10,3103102.0,-914700.0,-2188401.0,1433239.0,1669863.0,3.21,-0.95,-2.26,1.48,1.73,11.12,0.18,0.0,0.0
2020-01-13,-9629431.0,17142817.0,-7513386.0,-10274863.0,645432.0,-8.04,14.31,-6.27,-8.58,0.54,10.95,-1.53,0.0,0.0
2020-01-14,-8941030.0,16074702.0,-7133673.0,-1553820.0,-7387210.0,-6.61,11.89,-5.28,-1.15,-5.46,10.84,-1.0,0.0,0.0
2020-01-15,-13759777.0,9646615.0,4113162.0,-17063554.0,3303777.0,-11.05,7.75,3.3,-13.7,2.65,10.73,-1.01,0.0,0.0
2020-01-16,-5623696.0,30808.0,5592888.0,-3563460.0,-2060236.0,-4.13,0.02,4.1,-2.62,-1.51,10.85,1.12,0.0,0.0
2020-01-17,15869706.0,-10760240.0,-5109468.0,10026042.0,5843664.0,7.51,-5.09,-2.42,4.75,2.77,11.08,2.12,0.0,0.0
2020-01-20,1544718.0,-15243718.0,13699000.0,8328496.0,-6783778.0,1.1,-10.84,9.74,5.92,-4.82,11.06,-0.18,0.0,0.0
2020-01-21,5034844.0,-13239165.0,8204320.0,3738403.0,1296441.0,3.73,-9.8,6.07,2.77,0.96,11.18,1.08,0.0,0.0
2020-01-22,-9082908.0,-4341804.0,13424712.0,60793.0,-9143701.0,-6.88,-3.29,10.17,0.05,-6.92,11.07,-0.98,0.0,0.0
2020-01-23,-16539160.0,15307327.0,1231834.0,-13920555.0,-2618605.0,-12.24,11.33,0.91,-10.3,-1.94,10.61,-4.16,0.0,0.0
2020-02-03,5348694.0,2433985.0,-7782678.0,385967.0,4962727.0,2.61,1.19,-3.8,0.19,2.43,9.55,-9.99,0.0,0.0
2020-02-04,6719913.0,-9286687.0,2566775.0,13592028.0,-6872115.0,4.39,-6.07,1.68,8.89,-4.49,9.71,1.68,0.0,0.0
2020-02-05,9468219.0,-16882409.0,7414191.0,2478762.0,6989457.0,6.85,-12.21,5.36,1.79,5.06,9.82,1.13,0.0,0.0
2020-02-06,2724774.0,-2499979.0,-224795.0,-2321068.0,5045842.0,2.16,-1.98,-0.18,-1.84,3.99,9.88,0.61,0.0,0.0
2020-02-07,3539854.0,873373.0,-4413227.0,80775.0,3459079.0,2.32,0.57,-2.9,0.05,2.27,10.21,3.34,0.0,0.0
2020-02-10,-8323148.0,-3993918.0,12317066.0,-4837407.0,-3485741.0,-6.21,-2.98,9.18,-3.61,-2.6,10.17,-0.39,0.0,0.0
2020-02-11,-5104173.0,4458409.0,645765.0,-2693931.0,-2410242.0,-7.23,6.31,0.91,-3.82,-3.41,10.04,-1.28,0.0,0.0
2020-02-12,-10472332.0,5935819.0,4536515.0,-7366637.0,-3105695.0,-13.21,7.49,5.72,-9.3,-3.92,10.06,0.2,0.0,0.0
2020-02-13,9418986.0,-7638521.0,-1780465.0,6277958.0,3141028.0,11.52,-9.34,-2.18,7.68,3.84,10.07,0.1,0.0,0.0
2020-02-14,215661.0,820412.0,-1036074.0,871351.0,-655690.0,0.31,1.19,-1.5,1.26,-0.95,10.0,-0.7,0.0,0.0
2020-02-17,18650919.0,-27783886.0,9132968.0,6520902.0,12130017.0,7.31,-10.88,3.58,2.55,4.75,10.79,7.9,0.0,0.0
2020-02-18,-8953812.0,13831688.0,-4877876.0,-9382915.0,429103.0,-4.84,7.48,-2.64,-5.07,0.23,10.73,-0.56,0.0,0.0
2020-02-19,150056.0,19800776.0,-19950832.0,17886233.0,-17736177.0,0.06,8.51,-8.57,7.69,-7.62,10.36,-3.45,0.0,0.0
2020-02-20,2114837.0,-12823944.0,10709106.0,5720487.0,-3605650.0,1.59,-9.63,8.04,4.3,-2.71,10.56,1.93,0.0,0.0
2020-02-21,-2406375.0,-3427340.0,5833715.0,-1328264.0,-1078111.0,-1.78,-2.54,4.33,-0.98,-0.8,10.63,0.66,0.0,0.0
2020-02-24,7755539.0,-7616341.0,-139199.0,8951142.0,-1195603.0,5.08,-4.99,-0.09,5.86,-0.78,10.72,0.85,0.0,0.0
2020-02-25,-8612249.0,8975433.0,-363184.0,-9886655.0,1274406.0,-5.74,5.98,-0.24,-6.59,0.85,10.53,-1.77,0.0,0.0
2020-02-26,14297407.0,-9827239.0,-4470169.0,9554142.0,4743265.0,7.43,-5.11,-2.32,4.96,2.46,10.58,0.47,0.0,0.0
2020-02-27,-3145399.0,2060791.0,1084610.0,-239628.0,-2905771.0,-2.4,1.58,0.83,-0.18,-2.22,10.52,-0.57,0.0,0.0
2020-02-28,-11951170.0,18683472.0,-6732303.0,-9162630.0,-2788540.0,-6.31,9.86,-3.55,-4.84,-1.47,10.04,-4.56,0.0,0.0
2020-03-02,13903085.0,-10354480.0,-3548603.0,9938500.0,3964585.0,11.11,-8.28,-2.84,7.94,3.17,10.3,2.59,0.0,0.0
2020-03-03,-16615397.0,2305467.0,14309931.0,-8252876.0,-8362521.0,-9.64,1.34,8.3,-4.79,-4.85,10.3,0.0,0.0,0.0
