date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-39941004.0,21856530.0,18084474.0,-3899695.0,-36041309.0,-10.36,5.67,4.69,-1.01,-9.35,3.1,0.32,0.0,0.0
2020-01-09,-26624243.0,22302892.0,4321351.0,-11468062.0,-15156181.0,-9.52,7.98,1.55,-4.1,-5.42,3.04,-1.94,0.0,0.0
2020-01-10,-9085423.0,13386736.0,-4301313.0,5016168.0,-14101591.0,-5.65,8.32,-2.67,3.12,-8.77,3.01,-0.99,0.0,0.0
2020-01-13,12567012.0,-1745372.0,-10821640.0,-3818111.0,16385123.0,12.28,-1.71,-10.58,-3.73,16.01,3.02,0.33,0.0,0.0
2020-01-14,-11192501.0,8237405.0,2955096.0,-6747181.0,-4445320.0,-9.33,6.87,2.46,-5.62,-3.7,3.01,-0.33,0.0,0.0
2020-01-15,-19527967.0,18590130.0,937838.0,-11229925.0,-8298042.0,-20.0,19.04,0.96,-11.5,-8.5,2.98,-1.0,0.0,0.0
2020-01-16,-22938348.0,18762340.0,4176009.0,-6284311.0,-16654037.0,-24.36,19.93,4.44,-6.67,-17.69,2.94,-1.34,0.0,0.0
2020-01-17,-6118010.0,4220885.0,1897125.0,-1811681.0,-4306329.0,-9.9,6.83,3.07,-2.93,-6.97,2.95,0.34,0.0,0.0
2020-01-20,1165040.0,-1092458.0,-72583.0,3393969.0,-2228929.0,1.39,-1.3,-0.09,4.04,-2.65,2.98,1.02,0.0,0.0
2020-01-21,-23932637.0,11521099.0,12411538.0,-8808799.0,-15123838.0,-23.43,11.28,12.15,-8.62,-14.81,2.94,-1.34,0.0,0.0
2020-01-22,-24523999.0,16218682.0,8305317.0,-12809142.0,-11714857.0,-22.57,14.93,7.64,-11.79,-10.78,2.9,-1.36,0.0,0.0
2020-01-23,-54394828.0,43654461.0,10740367.0,-22912243.0,-31482585.0,-28.73,23.06,5.67,-12.1,-16.63,2.79,-3.79,0.0,0.0
2020-02-03,-11903775.0,13992432.0,-2088657.0,-12158719.0,254944.0,-16.27,19.13,-2.85,-16.62,0.35,2.51,-10.04,0.0,0.0
2020-02-04,-11753856.0,16135364.0,-4381507.0,-17168156.0,5414300.0,-5.94,8.15,-2.21,-8.67,2.73,2.47,-1.59,0.0,0.0
2020-02-05,5350238.0,2227343.0,-7577580.0,1051718.0,4298520.0,3.78,1.57,-5.35,0.74,3.03,2.51,1.62,0.0,0.0
2020-02-06,6332113.0,-1854646.0,-4477467.0,8594843.0,-2262730.0,4.12,-1.21,-2.91,5.59,-1.47,2.54,1.2,0.0,0.0
2020-02-07,-17328155.0,11987848.0,5340308.0,-8252407.0,-9075748.0,-14.2,9.82,4.38,-6.76,-7.44,2.52,-0.79,0.0,0.0
2020-02-10,20642024.0,-10752763.0,-9889263.0,7712844.0,12929180.0,12.6,-6.56,-6.04,4.71,7.89,2.59,2.78,0.0,0.0
2020-02-11,-4802399.0,3967314.0,835084.0,-5697094.0,894695.0,-3.75,3.1,0.65,-4.45,0.7,2.59,0.0,0.0,0.0
2020-02-12,-3713339.0,3226471.0,486869.0,-3141907.0,-571432.0,-3.75,3.26,0.49,-3.17,-0.58,2.6,0.39,0.0,0.0
2020-02-13,967653.0,1810890.0,-2778543.0,4283495.0,-3315842.0,0.87,1.62,-2.49,3.84,-2.97,2.59,-0.38,0.0,0.0
2020-02-14,-6901588.0,6178275.0,723314.0,-7465556.0,563968.0,-8.3,7.43,0.87,-8.98,0.68,2.58,-0.39,0.0,0.0
2020-02-17,12173236.0,-5288036.0,-6885200.0,7279975.0,4893261.0,8.4,-3.65,-4.75,5.02,3.38,2.63,1.94,0.0,0.0
2020-02-18,-40916148.0,23736787.0,17179360.0,-2852159.0,-38063989.0,-24.41,14.16,10.25,-1.7,-22.7,2.63,0.0,0.0,0.0
2020-02-19,1856972.0,-1493704.0,-363269.0,1476413.0,380559.0,1.57,-1.27,-0.31,1.25,0.32,2.63,0.0,0.0,0.0
2020-02-20,41640932.0,-26965934.0,-14674999.0,22667004.0,18973928.0,15.56,-10.07,-5.48,8.47,7.09,2.71,3.04,0.0,0.0
2020-02-21,-32280792.0,21763167.0,10517626.0,-9052576.0,-23228216.0,-17.61,11.87,5.74,-4.94,-12.67,2.69,-0.74,0.0,0.0
2020-02-24,-7664300.0,4801437.0,2862862.0,-4075317.0,-3588983.0,-4.84,3.03,1.81,-2.57,-2.27,2.66,-1.12,0.0,0.0
2020-02-25,-23386615.0,15649923.0,7736693.0,-6431253.0,-16955362.0,-12.2,8.17,4.04,-3.36,-8.85,2.61,-1.88,0.0,0.0
2020-02-26,21778041.0,-12904026.0,-8874016.0,2606020.0,19172021.0,10.42,-6.17,-4.25,1.25,9.17,2.65,1.53,0.0,0.0
2020-02-27,-1974425.0,-92433.0,2066859.0,-5196653.0,3222228.0,-1.32,-0.06,1.38,-3.47,2.15,2.64,-0.38,0.0,0.0
2020-02-28,-30620603.0,25228510.0,5392093.0,-13265287.0,-17355316.0,-14.39,11.85,2.53,-6.23,-8.15,2.53,-4.17,0.0,0.0
2020-03-02,20281518.0,-11224262.0,-9057257.0,8912906.0,11368612.0,13.71,-7.59,-6.12,6.02,7.68,2.61,3.16,0.0,0.0
2020-03-03,3169781.0,-2950188.0,-219592.0,-25439.0,3195220.0,1.64,-1.52,-0.11,-0.01,1.65,2.63,0.77,0.0,0.0
2020-03-04,748734.0,157368.0,-906103.0,-2035219.0,2783953.0,0.57,0.12,-0.69,-1.56,2.13,2.64,0.38,0.0,0.0
