date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-25426707.0,27216497.0,-1789790.0,-13502199.0,-11924508.0,-9.4,10.07,-0.66,-4.99,-4.41,8.12,-4.25,0.0,0.0
2020-01-09,-12930105.0,10083406.0,2846700.0,2250195.0,-15180300.0,-7.54,5.88,1.66,1.31,-8.86,8.11,-0.12,0.0,0.0
2020-01-10,-30599170.0,30594597.0,4574.0,-8253964.0,-22345206.0,-20.8,20.8,0.0,-5.61,-15.19,7.95,-1.97,0.0,0.0
2020-01-13,689193.0,1831203.0,-2520396.0,424682.0,264511.0,0.81,2.15,-2.96,0.5,0.31,7.99,0.5,0.0,0.0
2020-01-14,-109126.0,484434.0,-375308.0,932576.0,-1041702.0,-0.12,0.51,-0.4,0.98,-1.1,7.96,-0.38,0.0,0.0
2020-01-15,5825754.0,-4692788.0,-1132966.0,5843351.0,-17597.0,7.81,-6.29,-1.52,7.84,-0.02,7.98,0.25,0.0,0.0
2020-01-16,-14063991.0,14102017.0,-38025.0,-8840562.0,-5223429.0,-17.65,17.7,-0.05,-11.09,-6.56,7.81,-2.13,0.0,0.0
2020-01-17,309868.0,-2723105.0,2413237.0,39388.0,270480.0,0.51,-4.48,3.97,0.06,0.44,7.81,0.0,0.0,0.0
2020-01-20,7528725.0,-6153572.0,-1375154.0,8466854.0,-938129.0,7.13,-5.83,-1.3,8.02,-0.89,7.93,1.54,0.0,0.0
2020-01-21,1435726.0,-196465.0,-1239262.0,1536607.0,-100881.0,1.98,-0.27,-1.71,2.12,-0.14,7.81,-1.51,0.0,0.0
2020-01-22,-8327746.0,5037734.0,3290013.0,-5912282.0,-2415464.0,-8.78,5.31,3.47,-6.24,-2.55,7.63,-2.3,0.0,0.0
2020-01-23,-29358011.0,32401572.0,-3043560.0,-21593113.0,-7764898.0,-23.19,25.6,-2.4,-17.06,-6.13,7.16,-6.16,0.0,0.0
2020-02-03,74704.0,2661652.0,-2736356.0,74704.0,0.0,0.79,28.01,-28.79,0.79,0.0,6.44,-10.06,0.0,0.0
2020-02-04,-7143801.0,12353066.0,-5209265.0,-9216968.0,2073167.0,-4.54,7.86,-3.31,-5.86,1.32,6.07,-5.75,0.0,0.0
