date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-532682.0,290933.0,241747.0,-532682.0,0.0,-3.67,2.01,1.67,-3.67,0.0,3.0,-0.99,0.0,0.0
2020-01-09,-1326368.0,1469432.0,-143064.0,-1326368.0,0.0,-9.79,10.85,-1.06,-9.79,0.0,3.02,0.67,0.0,0.0
2020-01-10,-637820.0,919429.0,-281609.0,-637820.0,0.0,-7.66,11.04,-3.38,-7.66,0.0,3.0,-0.66,0.0,0.0
2020-01-13,-543418.0,1286344.0,-742927.0,-543418.0,0.0,-5.54,13.11,-7.57,-5.54,0.0,3.0,0.0,0.0,0.0
2020-01-14,497095.0,-655177.0,158082.0,497095.0,0.0,5.38,-7.09,1.71,5.38,0.0,3.01,0.33,0.0,0.0
2020-01-15,-415211.0,-70089.0,485300.0,-415211.0,0.0,-5.19,-0.88,6.07,-5.19,0.0,2.98,-1.0,0.0,0.0
2020-01-16,-501401.0,427831.0,73569.0,-501401.0,0.0,-7.12,6.08,1.04,-7.12,0.0,2.95,-1.01,0.0,0.0
2020-01-17,51237.0,-113605.0,62369.0,51237.0,0.0,0.77,-1.71,0.94,0.77,0.0,2.94,-0.34,0.0,0.0
2020-01-20,-203.0,295591.0,-295388.0,-203.0,0.0,-0.0,4.11,-4.1,-0.0,0.0,2.97,1.02,0.0,0.0
2020-01-21,-617280.0,269092.0,348188.0,-617280.0,0.0,-10.98,4.79,6.19,-10.98,0.0,2.94,-1.01,0.0,0.0
2020-01-22,-287605.0,50078.0,237525.0,-287605.0,0.0,-3.89,0.68,3.21,-3.89,0.0,2.95,0.34,0.0,0.0
2020-01-23,-759409.0,990251.0,-230842.0,-759409.0,0.0,-5.56,7.25,-1.69,-5.56,0.0,2.89,-2.03,0.0,0.0
2020-02-03,103831.0,2390758.0,-2494589.0,103831.0,0.0,0.73,16.77,-17.5,0.73,0.0,2.6,-10.03,0.0,0.0
2020-02-04,-125339.0,-62600.0,187939.0,-125339.0,0.0,-0.87,-0.44,1.31,-0.87,0.0,2.56,-1.54,0.0,0.0
2020-02-05,-1577957.0,1037544.0,540413.0,-1577957.0,0.0,-16.53,10.87,5.66,-16.53,0.0,2.59,1.17,0.0,0.0
2020-02-06,374031.0,-325439.0,-48592.0,374031.0,0.0,3.27,-2.85,-0.42,3.27,0.0,2.61,0.77,0.0,0.0
2020-02-07,-915077.0,1300431.0,-385355.0,-915077.0,0.0,-7.7,10.94,-3.24,-7.7,0.0,2.6,-0.38,0.0,0.0
2020-02-10,2255347.0,-425118.0,-1830229.0,2255347.0,0.0,11.41,-2.15,-9.26,11.41,0.0,2.67,2.69,0.0,0.0
2020-02-11,-666839.0,638705.0,28134.0,-666839.0,0.0,-6.86,6.57,0.29,-6.86,0.0,2.66,-0.37,0.0,0.0
2020-02-12,332451.0,221223.0,-553674.0,332451.0,0.0,4.87,3.24,-8.11,4.87,0.0,2.68,0.75,0.0,0.0
2020-02-13,1056603.0,-1255900.0,199297.0,1056603.0,0.0,12.73,-15.13,2.4,12.73,0.0,2.66,-0.75,0.0,0.0
2020-02-14,-384467.0,-115239.0,499706.0,-384467.0,0.0,-5.98,-1.79,7.78,-5.98,0.0,2.66,0.0,0.0,0.0
2020-02-17,-4274672.0,2608790.0,1665882.0,-4274672.0,0.0,-19.92,12.16,7.76,-19.92,0.0,2.7,1.5,0.0,0.0
2020-02-18,1886874.0,-847409.0,-1039467.0,1271686.0,615188.0,10.78,-4.84,-5.94,7.27,3.51,2.73,1.11,0.0,0.0
2020-02-19,-503688.0,1044592.0,-540904.0,-503688.0,0.0,-4.97,10.31,-5.34,-4.97,0.0,2.71,-0.73,0.0,0.0
2020-02-20,-1338381.0,-276381.0,1614762.0,-1338381.0,0.0,-8.04,-1.66,9.71,-8.04,0.0,2.77,2.21,0.0,0.0
2020-02-21,-2311967.0,2375659.0,-63691.0,-2311967.0,0.0,-14.83,15.24,-0.41,-14.83,0.0,2.76,-0.36,0.0,0.0
2020-02-24,-324920.0,637080.0,-312159.0,-489298.0,164378.0,-2.37,4.65,-2.28,-3.57,1.2,2.74,-0.72,0.0,0.0
2020-02-25,-305679.0,1103109.0,-797429.0,-253756.0,-51923.0,-1.66,5.99,-4.33,-1.38,-0.28,2.69,-1.82,0.0,0.0
2020-02-26,858334.0,-118258.0,-740076.0,858334.0,0.0,4.46,-0.62,-3.85,4.46,0.0,2.73,1.49,0.0,0.0
2020-02-27,-1900941.0,544084.0,1356858.0,-1900941.0,0.0,-14.72,4.21,10.51,-14.72,0.0,2.76,1.1,0.0,0.0
2020-02-28,-2719393.0,1124667.0,1594727.0,-2719393.0,0.0,-15.12,6.25,8.87,-15.12,0.0,2.63,-4.71,0.0,0.0
2020-03-02,313836.0,399838.0,-713675.0,313836.0,0.0,2.54,3.23,-5.77,2.54,0.0,2.7,2.66,0.0,0.0
2020-03-03,807948.0,-184798.0,-623150.0,807948.0,0.0,3.98,-0.91,-3.07,3.98,0.0,2.74,1.48,0.0,0.0
2020-03-04,3278929.0,-891312.0,-2387617.0,3278929.0,0.0,13.09,-3.56,-9.53,13.09,0.0,2.83,3.28,0.0,0.0
2020-03-05,-452936.0,347786.0,105150.0,-452936.0,0.0,-2.35,1.8,0.55,-2.35,0.0,2.86,1.06,0.0,0.0
2020-03-06,-250853.0,-568658.0,819511.0,-250853.0,0.0,-1.33,-3.03,4.36,-1.33,0.0,2.88,0.7,0.0,0.0
2020-03-09,-1990191.0,1779110.0,211081.0,-1990191.0,0.0,-13.38,11.96,1.42,-13.38,0.0,2.77,-3.82,0.0,0.0
2020-03-10,1723788.0,-752819.0,-970970.0,1723788.0,0.0,9.31,-4.07,-5.24,9.31,0.0,2.84,2.53,0.0,0.0
