date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-2375756.0,4852841.0,-2477086.0,-2375756.0,0.0,-6.19,12.65,-6.45,-6.19,0.0,3.88,-2.51,0.0,0.0
2020-01-09,-108024.0,-334169.0,442193.0,-108024.0,0.0,-0.41,-1.27,1.69,-0.41,0.0,3.94,1.55,0.0,0.0
2020-01-10,157100.0,458680.0,-615781.0,-1026348.0,1183448.0,0.78,2.27,-3.05,-5.08,5.85,3.93,-0.25,0.0,0.0
2020-01-13,3029926.0,-391334.0,-2638593.0,1491498.0,1538428.0,11.75,-1.52,-10.23,5.78,5.97,3.95,0.51,0.0,0.0
2020-01-14,7453824.0,-3984785.0,-3469040.0,3536122.0,3917702.0,15.89,-8.49,-7.39,7.54,8.35,3.98,0.76,0.0,0.0
2020-01-15,-6207339.0,7398544.0,-1191204.0,-2764831.0,-3442508.0,-20.18,24.05,-3.87,-8.99,-11.19,3.91,-1.76,0.0,0.0
2020-01-16,-2043429.0,3947479.0,-1904050.0,-2043429.0,0.0,-9.77,18.87,-9.1,-9.77,0.0,3.86,-1.28,0.0,0.0
2020-01-17,-1917821.0,1925366.0,-7546.0,-2721717.0,803896.0,-11.66,11.71,-0.05,-16.55,4.89,3.87,0.26,0.0,0.0
2020-01-20,582248.0,190865.0,-773112.0,1781163.0,-1198915.0,3.15,1.03,-4.18,9.63,-6.48,3.88,0.26,0.0,0.0
2020-01-21,-642171.0,1323360.0,-681187.0,-642171.0,0.0,-3.24,6.67,-3.44,-3.24,0.0,3.87,-0.26,0.0,0.0
2020-01-22,-1092203.0,226357.0,865845.0,-1092203.0,0.0,-4.71,0.98,3.74,-4.71,0.0,3.87,0.0,0.0,0.0
2020-01-23,-2668731.0,2816284.0,-147553.0,-2668731.0,0.0,-9.39,9.91,-0.52,-9.39,0.0,3.78,-2.33,0.0,0.0
2020-02-03,-1031900.0,2506140.0,-1474240.0,-1031900.0,0.0,-15.77,38.29,-22.53,-15.77,0.0,3.4,-10.05,0.0,0.0
2020-02-04,-3318526.0,5544341.0,-2225814.0,-3318526.0,0.0,-6.46,10.79,-4.33,-6.46,0.0,3.2,-5.88,0.0,0.0
2020-02-05,-3219876.0,3248139.0,-28263.0,-3219876.0,0.0,-11.12,11.21,-0.1,-11.12,0.0,3.24,1.25,0.0,0.0
2020-02-06,-297928.0,-823690.0,1121619.0,-297928.0,0.0,-0.92,-2.56,3.48,-0.92,0.0,3.29,1.54,0.0,0.0
2020-02-07,1745967.0,-332283.0,-1413686.0,1393368.0,352599.0,5.63,-1.07,-4.55,4.49,1.14,3.32,0.91,0.0,0.0
2020-02-10,1082424.0,-2406053.0,1323629.0,-655918.0,1738342.0,3.13,-6.96,3.83,-1.9,5.03,3.43,3.31,0.0,0.0
2020-02-11,-602705.0,-675991.0,1278696.0,-602705.0,0.0,-1.71,-1.92,3.63,-1.71,0.0,3.47,1.17,0.0,0.0
2020-02-12,-1619943.0,2345793.0,-725850.0,-1619943.0,0.0,-6.83,9.89,-3.06,-6.83,0.0,3.48,0.29,0.0,0.0
2020-02-13,821127.0,789195.0,-1610321.0,821127.0,0.0,2.7,2.6,-5.3,2.7,0.0,3.44,-1.15,0.0,0.0
2020-02-14,-1581719.0,1862522.0,-280804.0,-1581719.0,0.0,-7.53,8.86,-1.34,-7.53,0.0,3.42,-0.58,0.0,0.0
2020-02-17,-178715.0,-575472.0,754187.0,-602757.0,424042.0,-0.56,-1.82,2.38,-1.9,1.34,3.51,2.63,0.0,0.0
2020-02-18,-1043772.0,-795733.0,1839504.0,-1043772.0,0.0,-2.98,-2.27,5.25,-2.98,0.0,3.58,1.99,0.0,0.0
2020-02-19,-1012912.0,1400403.0,-387491.0,-1012912.0,0.0,-3.24,4.48,-1.24,-3.24,0.0,3.55,-0.84,0.0,0.0
2020-02-20,-1451550.0,783302.0,668247.0,-2444301.0,992751.0,-4.48,2.42,2.06,-7.54,3.06,3.62,1.97,0.0,0.0
2020-02-21,1233255.0,527595.0,-1760851.0,487290.0,745965.0,3.98,1.7,-5.69,1.57,2.41,3.64,0.55,0.0,0.0
2020-02-24,-3980483.0,5844294.0,-1863811.0,-2331503.0,-1648980.0,-10.58,15.54,-4.96,-6.2,-4.38,3.56,-2.2,0.0,0.0
2020-02-25,-3145586.0,4368994.0,-1223407.0,-3549757.0,404171.0,-6.62,9.19,-2.57,-7.47,0.85,3.47,-2.53,0.0,0.0
2020-02-26,7208290.0,-4292737.0,-2915554.0,7208290.0,0.0,11.15,-6.64,-4.51,11.15,0.0,3.58,3.17,0.0,0.0
2020-02-27,-1856561.0,573249.0,1283313.0,-1856561.0,0.0,-4.32,1.33,2.99,-4.32,0.0,3.53,-1.4,0.0,0.0
2020-02-28,-2505305.0,7754916.0,-5249611.0,-2638553.0,133248.0,-5.25,16.25,-11.0,-5.53,0.28,3.36,-4.82,0.0,0.0
2020-03-02,4095186.0,-4233007.0,137820.0,4380640.0,-285454.0,10.38,-10.73,0.35,11.1,-0.72,3.47,3.27,0.0,0.0
2020-03-03,17534404.0,-18729233.0,1194829.0,7198487.0,10335917.0,6.91,-7.38,0.47,2.84,4.07,3.82,10.09,0.0,0.0
2020-03-04,-4063878.0,-3441040.0,7504918.0,-6986454.0,2922576.0,-1.52,-1.28,2.8,-2.61,1.09,3.94,3.14,0.0,0.0
2020-03-05,-11235736.0,14975349.0,-3739613.0,-4311696.0,-6924040.0,-7.29,9.72,-2.43,-2.8,-4.49,3.85,-2.28,0.0,0.0
2020-03-06,-3560383.0,7115710.0,-3555326.0,-957989.0,-2602394.0,-4.37,8.74,-4.36,-1.18,-3.19,3.79,-1.56,0.0,0.0
2020-03-09,1275868.0,3673331.0,-4949200.0,673479.0,602389.0,1.3,3.75,-5.05,0.69,0.61,3.78,-0.26,0.0,0.0
2020-03-10,10679072.0,-7961807.0,-2717266.0,8829568.0,1849504.0,11.9,-8.87,-3.03,9.84,2.06,3.86,2.12,0.0,0.0
2020-03-11,2633031.0,-281244.0,-2351789.0,1057884.0,1575147.0,2.26,-0.24,-2.02,0.91,1.35,3.89,0.78,0.0,0.0
2020-03-12,-7638575.0,8255558.0,-616983.0,-7604645.0,-33930.0,-9.95,10.75,-0.8,-9.9,-0.04,3.81,-2.06,0.0,0.0
2020-03-13,6190199.0,-528329.0,-5661871.0,792269.0,5397930.0,6.34,-0.54,-5.8,0.81,5.53,3.85,1.05,0.0,0.0
2020-03-16,-4308618.0,6790861.0,-2482243.0,-3231224.0,-1077394.0,-5.6,8.82,-3.23,-4.2,-1.4,3.71,-3.64,0.0,0.0
2020-03-17,-4607002.0,5478889.0,-871885.0,-4209815.0,-397187.0,-8.55,10.17,-1.62,-7.81,-0.74,3.63,-2.16,0.0,0.0
2020-03-18,-1035200.0,5593239.0,-4558037.0,-584801.0,-450399.0,-1.71,9.24,-7.53,-0.97,-0.74,3.55,-2.2,0.0,0.0
