date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-442842112.0,232513700.0,210328416.0,-83579904.0,-359262208.0,-25.52,13.4,12.12,-4.82,-20.7,19.58,-2.05,0.0,0.0
2020-01-09,-83214245.0,71496886.0,11717360.0,94448464.0,-177662709.0,-6.38,5.48,0.9,7.24,-13.62,19.68,0.51,0.0,0.0
2020-01-10,-111308375.0,55841746.0,55466635.0,-29248096.0,-82060279.0,-13.38,6.71,6.67,-3.52,-9.87,19.69,0.05,0.0,0.0
2020-01-13,-142011036.0,98286244.0,43724800.0,4867312.0,-146878348.0,-12.07,8.35,3.72,0.41,-12.48,19.7,0.05,0.0,0.0
2020-01-14,44164410.0,-31419244.0,-12745168.0,-8170944.0,52335354.0,4.14,-2.95,-1.19,-0.77,4.91,19.75,0.25,0.0,0.0
2020-01-15,-184024962.0,96151801.0,87873166.0,-49342480.0,-134682482.0,-15.69,8.2,7.49,-4.21,-11.48,19.49,-1.32,0.0,0.0
2020-01-16,-144787600.0,157458217.0,-12670624.0,8735744.0,-153523344.0,-9.06,9.85,-0.79,0.55,-9.61,19.27,-1.13,0.0,0.0
2020-01-17,-74867851.0,48290592.0,26577263.0,-14246937.0,-60620914.0,-8.82,5.69,3.13,-1.68,-7.14,19.25,-0.1,0.0,0.0
2020-01-20,-5669804.0,18632715.0,-12962910.0,4002672.0,-9672476.0,-0.68,2.24,-1.56,0.48,-1.16,19.4,0.78,0.0,0.0
2020-01-21,-121110881.0,67344363.0,53766512.0,4578560.0,-125689441.0,-10.36,5.76,4.6,0.39,-10.75,19.07,-1.7,0.0,0.0
2020-01-22,-75482690.0,90991472.0,-15508784.0,-69908288.0,-5574402.0,-7.15,8.62,-1.47,-6.62,-0.53,19.13,0.31,0.0,0.0
2020-01-23,-348270480.0,239012280.0,109258208.0,-118193232.0,-230077248.0,-17.12,11.75,5.37,-5.81,-11.31,18.59,-2.82,0.0,0.0
2020-02-03,-246099184.0,180802496.0,65296704.0,-85827616.0,-160271568.0,-8.81,6.48,2.34,-3.07,-5.74,17.11,-7.96,0.0,0.0
2020-02-04,-12744288.0,50592016.0,-37847712.0,-20169760.0,7425472.0,-0.73,2.91,-2.18,-1.16,0.43,17.54,2.51,0.0,0.0
2020-02-05,-275455460.0,186321647.0,89133808.0,-91963040.0,-183492420.0,-17.74,12.0,5.74,-5.92,-11.82,17.53,-0.06,0.0,0.0
2020-02-06,-23546754.0,20633753.0,2912992.0,20595648.0,-44142402.0,-1.85,1.62,0.23,1.62,-3.47,17.66,0.74,0.0,0.0
2020-02-07,-110426606.0,88853547.0,21573072.0,-33066420.0,-77360186.0,-10.53,8.47,2.06,-3.15,-7.37,17.61,-0.28,0.0,0.0
2020-02-10,-44114198.0,88534666.0,-44420464.0,-21111696.0,-23002502.0,-4.97,9.98,-5.01,-2.38,-2.59,17.52,-0.51,0.0,0.0
2020-02-11,92730397.0,9678855.0,-102409248.0,17950016.0,74780381.0,8.47,0.88,-9.36,1.64,6.83,17.69,0.97,0.0,0.0
2020-02-12,9300839.0,25550230.0,-34851070.0,50788345.0,-41487506.0,1.22,3.34,-4.56,6.65,-5.43,17.72,0.17,0.0,0.0
2020-02-13,-9169994.0,46687968.0,-37517952.0,82586304.0,-91756298.0,-1.03,5.26,-4.23,9.31,-10.34,17.58,-0.79,0.0,0.0
2020-02-14,79755710.0,-5386790.0,-74368914.0,51450392.0,28305318.0,8.59,-0.58,-8.01,5.54,3.05,17.75,0.97,0.0,0.0
2020-02-17,-525152.0,-46250641.0,46775792.0,23681632.0,-24206784.0,-0.03,-2.97,3.0,1.52,-1.55,18.15,2.25,0.0,0.0
2020-02-18,-86051279.0,67160169.0,18891104.0,7898416.0,-93949695.0,-7.68,5.99,1.69,0.7,-8.39,17.9,-1.38,0.0,0.0
2020-02-19,-23419433.0,59352615.0,-35933180.0,26559743.0,-49979176.0,-2.9,7.36,-4.46,3.29,-6.2,17.89,-0.06,0.0,0.0
2020-02-20,120492182.0,197858.0,-120690032.0,19568784.0,100923398.0,8.92,0.01,-8.93,1.45,7.47,18.15,1.45,0.0,0.0
2020-02-21,-177771749.0,84892809.0,92878928.0,-58388064.0,-119383685.0,-14.48,6.92,7.57,-4.76,-9.72,18.08,-0.39,0.0,0.0
2020-02-24,-142217388.0,97761218.0,44456176.0,-80771360.0,-61446028.0,-10.8,7.43,3.38,-6.14,-4.67,17.84,-1.33,0.0,0.0
2020-02-25,-67570144.0,36254946.0,31315184.0,19333248.0,-86903392.0,-5.05,2.71,2.34,1.45,-6.5,17.71,-0.73,0.0,0.0
2020-02-26,-38668303.0,26908535.0,11759776.0,-11763632.0,-26904671.0,-2.63,1.83,0.8,-0.8,-1.83,17.7,-0.06,0.0,0.0
2020-02-27,-58923175.0,10228718.0,48694448.0,-21513504.0,-37409671.0,-5.37,0.93,4.44,-1.96,-3.41,17.82,0.68,0.0,0.0
2020-02-28,-195383132.0,145785288.0,49597824.0,-517328.0,-194865804.0,-12.8,9.55,3.25,-0.03,-12.77,17.29,-2.97,0.0,0.0
2020-03-02,-66808897.0,72259683.0,-5450784.0,-58245344.0,-8563553.0,-4.99,5.4,-0.41,-4.35,-0.64,17.59,1.74,0.0,0.0
2020-03-03,-35184187.0,7672757.0,27511440.0,-19853232.0,-15330955.0,-3.16,0.69,2.47,-1.78,-1.38,17.66,0.4,0.0,0.0
2020-03-04,-6352941.0,-1493121.0,7846064.0,18618487.0,-24971428.0,-0.68,-0.16,0.84,1.99,-2.67,17.71,0.28,0.0,0.0
2020-03-05,341608912.0,-191114923.0,-150494000.0,5836304.0,335772608.0,15.75,-8.81,-6.94,0.27,15.48,18.29,3.27,0.0,0.0
2020-03-06,-162192665.0,62745408.0,99447248.0,-16754944.0,-145437721.0,-12.88,4.98,7.9,-1.33,-11.55,17.92,-2.02,0.0,0.0
2020-03-09,-233534480.0,159459000.0,74075520.0,-26219664.0,-207314816.0,-13.79,9.42,4.37,-1.55,-12.24,17.37,-3.07,0.0,0.0
2020-03-10,-58839893.0,14069075.0,44770816.0,-27852144.0,-30987749.0,-4.43,1.06,3.37,-2.1,-2.33,17.57,1.15,0.0,0.0
2020-03-11,-108102386.0,109249665.0,-1147280.0,24194496.0,-132296882.0,-9.65,9.75,-0.1,2.16,-11.81,17.35,-1.25,0.0,0.0
2020-03-12,-125344582.0,125041148.0,303440.0,-97495776.0,-27848806.0,-9.6,9.58,0.02,-7.47,-2.13,17.19,-0.92,0.0,0.0
2020-03-13,-332217136.0,198234336.0,133982800.0,-254748448.0,-77468688.0,-15.26,9.1,6.15,-11.7,-3.56,16.86,-1.92,0.0,0.0
2020-03-16,-338286848.0,241834329.0,96452528.0,-102538768.0,-235748080.0,-19.28,13.78,5.5,-5.84,-13.43,16.21,-3.86,0.0,0.0
2020-03-17,-222578795.0,120567260.0,102011536.0,-83668880.0,-138909915.0,-15.4,8.34,7.06,-5.79,-9.61,16.11,-0.62,0.0,0.0
2020-03-18,-98606186.0,125310402.0,-26704208.0,-75508960.0,-23097226.0,-7.53,9.57,-2.04,-5.77,-1.76,15.7,-2.55,0.0,0.0
2020-03-19,-312449664.0,223545920.0,88903760.0,-33563536.0,-278886128.0,-12.16,8.7,3.46,-1.31,-10.85,15.01,-4.39,0.0,0.0
2020-03-20,111885150.0,-65563386.0,-46321776.0,-5297312.0,117182462.0,6.86,-4.02,-2.84,-0.32,7.19,15.4,2.6,0.0,0.0
2020-03-23,-122214820.0,81666802.0,40548032.0,-108269168.0,-13945652.0,-9.47,6.33,3.14,-8.39,-1.08,15.01,-2.53,0.0,0.0
2020-03-24,55738471.0,-65616522.0,9878048.0,15606880.0,40131591.0,4.37,-5.14,0.77,1.22,3.15,15.43,2.8,0.0,0.0
2020-03-25,-28308178.0,18818936.0,9489248.0,26211776.0,-54519954.0,-2.07,1.37,0.69,1.91,-3.98,15.83,2.59,0.0,0.0
2020-03-26,163642016.0,-76224990.0,-87417040.0,-82945328.0,246587344.0,8.6,-4.0,-4.59,-4.36,12.95,16.19,2.27,0.0,0.0
2020-03-27,-43705656.0,36623751.0,7081904.0,-51664560.0,7958904.0,-4.58,3.84,0.74,-5.42,0.83,16.28,0.56,0.0,0.0
2020-03-30,-27032746.0,12414907.0,14617840.0,25782209.0,-52814955.0,-3.09,1.42,1.67,2.95,-6.04,16.2,-0.49,0.0,0.0
2020-03-31,-100607094.0,42889503.0,57717592.0,-6520812.0,-94086282.0,-11.94,5.09,6.85,-0.77,-11.17,15.91,-1.79,0.0,0.0
2020-04-01,-6638339.0,14894873.0,-8256528.0,23498824.0,-30137163.0,-0.83,1.86,-1.03,2.94,-3.76,15.96,0.31,0.0,0.0
2020-04-02,-43096910.0,32455488.0,10641423.0,-15388169.0,-27708741.0,-6.68,5.03,1.65,-2.38,-4.29,16.07,0.69,0.0,0.0
2020-04-03,-61851540.0,35349793.0,26501747.0,-37903929.0,-23947611.0,-9.19,5.25,3.94,-5.63,-3.56,16.06,-0.06,0.0,0.0
2020-04-07,-59045884.0,27737837.0,31308032.0,-15389152.0,-43656732.0,-5.5,2.58,2.92,-1.43,-4.07,16.21,0.93,0.0,0.0
2020-04-08,-75563364.0,50770959.0,24792405.0,-43572048.0,-31991316.0,-11.73,7.88,3.85,-6.77,-4.97,16.05,-0.99,0.0,0.0
2020-04-09,-36620027.0,42909236.0,-6289208.0,-21959527.0,-14660500.0,-8.42,9.86,-1.45,-5.05,-3.37,16.03,-0.12,0.0,0.0
2020-04-10,-6937340.0,-20998775.0,27936115.0,24154130.0,-31091470.0,-0.94,-2.85,3.79,3.28,-4.22,16.15,0.75,0.0,0.0
2020-04-13,-105636900.0,58332415.0,47304484.0,905370.0,-106542270.0,-17.63,9.73,7.89,0.15,-17.78,15.95,-1.24,0.0,0.0
2020-04-14,-10509934.0,26230617.0,-15720677.0,53138000.0,-63647934.0,-1.16,2.9,-1.74,5.88,-7.04,16.14,1.19,0.0,0.0
2020-04-15,-101101548.0,18652967.0,82448580.0,-45228156.0,-55873392.0,-18.93,3.49,15.44,-8.47,-10.46,16.0,-0.87,0.0,0.0
2020-04-16,-84025602.0,52520775.0,31504827.0,-1944122.0,-82081480.0,-13.87,8.67,5.2,-0.32,-13.54,15.92,-0.5,0.0,0.0
2020-04-17,-24529468.0,20691624.0,3837856.0,-85551056.0,61021588.0,-2.49,2.1,0.39,-8.69,6.2,16.06,0.88,0.0,0.0
2020-04-20,-87501263.0,90467581.0,-2966320.0,-50441424.0,-37059839.0,-9.89,10.22,-0.34,-5.7,-4.19,15.93,-0.81,0.0,0.0
2020-04-21,-72544587.0,55045216.0,17499371.0,-67501969.0,-5042618.0,-11.11,8.43,2.68,-10.34,-0.77,15.8,-0.82,0.0,0.0
2020-04-22,12224332.0,-18681501.0,6457169.0,18687357.0,-6463025.0,2.14,-3.27,1.13,3.27,-1.13,15.8,0.0,0.0,0.0
2020-04-23,30779976.0,-9252267.0,-21527709.0,37277015.0,-6497039.0,5.79,-1.74,-4.05,7.01,-1.22,15.71,-0.57,0.0,0.0
2020-04-24,-34249485.0,11657510.0,22591975.0,-3645342.0,-30604143.0,-5.6,1.91,3.7,-0.6,-5.01,15.62,-0.57,0.0,0.0
2020-04-27,175477349.0,-87996622.0,-87480720.0,57989184.0,117488165.0,16.63,-8.34,-8.29,5.49,11.13,16.02,2.56,0.0,0.0
2020-04-28,1820395.0,-23047980.0,21227593.0,-38787815.0,40608210.0,0.24,-3.04,2.8,-5.11,5.35,16.09,0.44,0.0,0.0
2020-04-29,61717479.0,-69896964.0,8179472.0,-4430192.0,66147671.0,4.05,-4.58,0.54,-0.29,4.34,16.51,2.61,0.0,0.0
2020-04-30,9790814.0,-11456371.0,1665552.0,26342784.0,-16551970.0,0.98,-1.15,0.17,2.64,-1.66,16.62,0.67,0.0,0.0
2020-05-06,2523124.0,22103360.0,-24626480.0,33256416.0,-30733292.0,0.23,1.98,-2.2,2.97,-2.75,16.33,-1.74,0.0,0.0
2020-05-07,-4785248.0,23682533.0,-18897292.0,-19316811.0,14531563.0,-0.6,2.99,-2.38,-2.44,1.83,16.16,-1.04,0.0,0.0
2020-05-08,83101390.0,-45437115.0,-37664276.0,21431984.0,61669406.0,10.17,-5.56,-4.61,2.62,7.55,16.37,1.3,0.0,0.0
2020-05-11,14153948.0,4797525.0,-18951474.0,153763.0,14000185.0,1.97,0.67,-2.63,0.02,1.94,16.39,0.12,0.0,0.0
2020-05-12,-21666248.0,60924073.0,-39257824.0,5781296.0,-27447544.0,-3.28,9.24,-5.95,0.88,-4.16,16.24,-0.92,0.0,0.0
2020-05-13,-10145921.0,15046415.0,-4900494.0,-7129253.0,-3016668.0,-1.98,2.93,-0.95,-1.39,-0.59,16.25,0.06,0.0,0.0
2020-05-14,-173748382.0,105026247.0,68722137.0,-62862479.0,-110885903.0,-24.9,15.05,9.85,-9.01,-15.89,16.02,-1.42,0.0,0.0
2020-05-15,-33165114.0,16883369.0,16281745.0,-14584545.0,-18580569.0,-7.0,3.57,3.44,-3.08,-3.92,16.05,0.19,0.0,0.0
2020-05-18,-36363363.0,24645542.0,11717821.0,-30772659.0,-5590704.0,-6.07,4.12,1.96,-5.14,-0.93,16.03,-0.12,0.0,0.0
2020-05-19,-47929482.0,43772393.0,4157090.0,-66070537.0,18141055.0,-8.17,7.46,0.71,-11.26,3.09,16.12,0.56,0.0,0.0
2020-05-20,14671775.0,3820201.0,-18491976.0,8179893.0,6491882.0,2.26,0.59,-2.85,1.26,1.0,16.2,0.5,0.0,0.0
2020-05-21,-30557923.0,18848950.0,11708973.0,-386050.0,-30171873.0,-4.66,2.87,1.78,-0.06,-4.6,16.11,-0.56,0.0,0.0
2020-05-22,-104567970.0,159434040.0,-54866080.0,-96685824.0,-7882146.0,-10.18,15.52,-5.34,-9.41,-0.77,15.78,-2.05,0.0,0.0
2020-05-25,-18960189.0,7145644.0,11814545.0,2811172.0,-21771361.0,-3.68,1.39,2.29,0.55,-4.22,15.84,0.38,0.0,0.0
2020-05-26,40633872.0,-28677076.0,-11956796.0,10819115.0,29814757.0,8.25,-5.82,-2.43,2.2,6.05,15.86,0.13,0.0,0.0
2020-05-27,21036374.0,-10234493.0,-10801880.0,-22881715.0,43918089.0,4.02,-1.95,-2.06,-4.37,8.39,15.95,0.57,0.0,0.0
2020-05-28,16884019.0,-27206101.0,10322083.0,1574864.0,15309155.0,1.97,-3.18,1.2,0.18,1.79,16.15,1.25,0.0,0.0
