date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,162795663.0,-91126838.0,-71668825.0,3663417.0,159132246.0,32.73,-18.32,-14.41,0.74,32.0,12.74,10.02,0.0,0.0
2020-01-09,-74250526.0,61147809.0,13102716.0,-50173765.0,-24076761.0,-17.56,14.46,3.1,-11.86,-5.69,12.35,-3.06,0.0,0.0
2020-01-10,-26009810.0,34912634.0,-8902822.0,-11713837.0,-14295973.0,-10.23,13.73,-3.5,-4.61,-5.62,11.93,-3.4,0.0,0.0
2020-01-13,-13794734.0,17531312.0,-3736578.0,-10227931.0,-3566803.0,-10.63,13.51,-2.88,-7.88,-2.75,11.83,-0.84,0.0,0.0
2020-01-14,-15503362.0,17937214.0,-2433850.0,-8327893.0,-7175469.0,-9.4,10.88,-1.48,-5.05,-4.35,11.96,1.1,0.0,0.0
2020-01-15,-32034927.0,26046795.0,5988132.0,-15946378.0,-16088549.0,-24.52,19.94,4.58,-12.21,-12.31,11.62,-2.84,0.0,0.0
2020-01-16,-13251689.0,10823596.0,2428093.0,-9743401.0,-3508288.0,-12.61,10.3,2.31,-9.27,-3.34,11.59,-0.26,0.0,0.0
2020-01-17,-11450662.0,11824266.0,-373604.0,-9746660.0,-1704002.0,-12.98,13.4,-0.42,-11.05,-1.93,11.45,-1.21,0.0,0.0
2020-01-20,-2091654.0,3523959.0,-1432304.0,-1266332.0,-825322.0,-2.78,4.68,-1.9,-1.68,-1.1,11.52,0.61,0.0,0.0
2020-01-21,-17538980.0,19399600.0,-1860620.0,-12556977.0,-4982003.0,-18.01,19.92,-1.91,-12.89,-5.11,11.12,-3.47,0.0,0.0
2020-01-22,2338357.0,-1962404.0,-375953.0,2338357.0,0.0,3.61,-3.03,-0.58,3.61,0.0,11.2,0.72,0.0,0.0
2020-01-23,-7644959.0,10500784.0,-2855826.0,-5454204.0,-2190755.0,-8.57,11.77,-3.2,-6.11,-2.46,11.08,-1.07,0.0,0.0
2020-02-03,-1719824.0,5253193.0,-3533368.0,-1719824.0,0.0,-11.42,34.88,-23.46,-11.42,0.0,9.97,-10.02,0.0,0.0
2020-02-04,-14465991.0,18097830.0,-3631838.0,-13597107.0,-868884.0,-11.75,14.7,-2.95,-11.04,-0.71,9.29,-6.82,0.0,0.0
2020-02-05,-3890000.0,6207882.0,-2317881.0,-3111320.0,-778680.0,-4.13,6.6,-2.46,-3.31,-0.83,9.45,1.72,0.0,0.0
2020-02-06,-1345591.0,1930003.0,-584413.0,-1392386.0,46795.0,-1.48,2.12,-0.64,-1.53,0.05,9.58,1.38,0.0,0.0
2020-02-07,451127.0,2892744.0,-3343872.0,323846.0,127281.0,0.55,3.55,-4.1,0.4,0.16,9.66,0.84,0.0,0.0
2020-02-10,2607141.0,-1482982.0,-1124161.0,3746320.0,-1139179.0,3.45,-1.96,-1.49,4.96,-1.51,9.85,1.97,0.0,0.0
2020-02-11,-5554358.0,4908215.0,646144.0,-5495258.0,-59100.0,-8.07,7.13,0.94,-7.99,-0.09,9.83,-0.2,0.0,0.0
2020-02-12,-2539691.0,1769358.0,770333.0,-1981196.0,-558495.0,-3.58,2.49,1.09,-2.79,-0.79,9.92,0.92,0.0,0.0
2020-02-13,3496926.0,-2995359.0,-501567.0,2005291.0,1491635.0,3.67,-3.14,-0.53,2.1,1.56,10.03,1.11,0.0,0.0
2020-02-14,-1505765.0,4204492.0,-2698726.0,-2999485.0,1493720.0,-2.11,5.89,-3.78,-4.2,2.09,9.96,-0.7,0.0,0.0
2020-02-17,8375707.0,-13902919.0,5527212.0,6076676.0,2299031.0,6.86,-11.39,4.53,4.98,1.88,10.38,4.22,0.0,0.0
2020-02-18,-6601407.0,9779937.0,-3178530.0,-5783078.0,-818329.0,-4.37,6.48,-2.1,-3.83,-0.54,10.55,1.64,0.0,0.0
2020-02-19,-3874985.0,1744588.0,2130396.0,-4212797.0,337812.0,-3.82,1.72,2.1,-4.15,0.33,10.42,-1.23,0.0,0.0
2020-02-20,-2447050.0,6048068.0,-3601018.0,-4641259.0,2194209.0,-2.38,5.87,-3.5,-4.51,2.13,10.51,0.86,0.0,0.0
2020-02-21,3230964.0,-478889.0,-2752076.0,2859304.0,371660.0,2.4,-0.36,-2.04,2.12,0.28,10.66,1.43,0.0,0.0
