date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-7455269.0,8789172.0,-1333903.0,-6956545.0,-498724.0,-10.43,12.3,-1.87,-9.73,-0.7,7.16,-1.24,0.0,0.0
2020-01-09,11542571.0,-14529216.0,2986645.0,7947686.0,3594885.0,7.4,-9.32,1.92,5.1,2.31,7.34,2.51,0.0,0.0
2020-01-10,-11037976.0,10824398.0,213578.0,-7641977.0,-3395999.0,-14.95,14.66,0.29,-10.35,-4.6,7.27,-0.95,0.0,0.0
2020-01-13,-4824583.0,7788542.0,-2963958.0,-4746795.0,-77788.0,-9.47,15.28,-5.82,-9.31,-0.15,7.3,0.41,0.0,0.0
2020-01-14,-5866903.0,3988490.0,1878413.0,-4291559.0,-1575344.0,-10.68,7.26,3.42,-7.81,-2.87,7.26,-0.55,0.0,0.0
2020-01-15,-6706363.0,4601917.0,2104446.0,-739406.0,-5966957.0,-13.02,8.94,4.09,-1.44,-11.59,7.21,-0.69,0.0,0.0
2020-01-16,-5496474.0,5876259.0,-379785.0,-4417366.0,-1079108.0,-11.66,12.47,-0.81,-9.37,-2.29,7.16,-0.69,0.0,0.0
2020-01-17,-13688996.0,10817463.0,2871534.0,-208140.0,-13480856.0,-24.8,19.59,5.2,-0.38,-24.42,7.13,-0.42,0.0,0.0
2020-01-20,-2877278.0,3182588.0,-305311.0,-2089678.0,-787600.0,-7.27,8.04,-0.77,-5.28,-1.99,7.19,0.84,0.0,0.0
2020-01-21,-4263457.0,5712783.0,-1449326.0,-3547709.0,-715748.0,-8.83,11.83,-3.0,-7.34,-1.48,7.09,-1.39,0.0,0.0
2020-01-22,-4444829.0,1933097.0,2511733.0,-4444829.0,0.0,-8.77,3.82,4.96,-8.77,0.0,7.07,-0.28,0.0,0.0
2020-01-23,-10273213.0,12380103.0,-2106888.0,-8904344.0,-1368869.0,-13.21,15.92,-2.71,-11.45,-1.76,6.83,-3.39,0.0,0.0
2020-02-03,-4184767.0,6970256.0,-2785489.0,-3978742.0,-206025.0,-15.2,25.32,-10.12,-14.46,-0.75,6.15,-9.96,0.0,0.0
2020-02-04,-1151054.0,4007241.0,-2856187.0,-2709685.0,1558631.0,-1.43,4.98,-3.55,-3.37,1.94,6.09,-0.98,0.0,0.0
2020-02-05,-4982247.0,-2162602.0,7144851.0,-1548322.0,-3433925.0,-6.56,-2.85,9.4,-2.04,-4.52,6.19,1.64,0.0,0.0
2020-02-06,-5108974.0,-2593353.0,7702327.0,-6112830.0,1003856.0,-5.48,-2.78,8.26,-6.56,1.08,6.22,0.48,0.0,0.0
2020-02-07,-6235815.0,1913679.0,4322135.0,-4191824.0,-2043991.0,-8.72,2.68,6.04,-5.86,-2.86,6.16,-0.96,0.0,0.0
2020-02-10,-2611176.0,3510000.0,-898822.0,-309098.0,-2302078.0,-3.52,4.73,-1.21,-0.42,-3.1,6.22,0.97,0.0,0.0
2020-02-11,7081602.0,-8377442.0,1295840.0,5930863.0,1150739.0,7.65,-9.05,1.4,6.41,1.24,6.33,1.77,0.0,0.0
2020-02-12,-8308067.0,5070169.0,3237898.0,-5492362.0,-2815705.0,-14.04,8.57,5.47,-9.28,-4.76,6.32,-0.16,0.0,0.0
2020-02-13,-9634307.0,5995448.0,3638858.0,-7053949.0,-2580358.0,-15.68,9.76,5.92,-11.48,-4.2,6.26,-0.95,0.0,0.0
2020-02-14,-6798706.0,5176148.0,1622558.0,-2617523.0,-4181183.0,-13.69,10.42,3.27,-5.27,-8.42,6.23,-0.48,0.0,0.0
2020-02-17,6269272.0,-4701936.0,-1567336.0,4707956.0,1561316.0,6.31,-4.73,-1.58,4.74,1.57,6.41,2.89,0.0,0.0
2020-02-18,-10867184.0,158837.0,10708347.0,-11444542.0,577358.0,-8.31,0.12,8.19,-8.75,0.44,6.55,2.18,0.0,0.0
2020-02-19,-6911150.0,4462408.0,2448742.0,374832.0,-7285982.0,-9.71,6.27,3.44,0.53,-10.24,6.51,-0.61,0.0,0.0
2020-02-20,5351502.0,-6602869.0,1251368.0,253810.0,5097692.0,6.59,-8.13,1.54,0.31,6.28,6.6,1.38,0.0,0.0
2020-02-21,-4732147.0,1605205.0,3126943.0,-2568316.0,-2163831.0,-6.18,2.1,4.08,-3.35,-2.83,6.63,0.45,0.0,0.0
2020-02-24,-13198697.0,11966900.0,1231797.0,-8785019.0,-4413678.0,-13.1,11.88,1.22,-8.72,-4.38,6.54,-1.36,0.0,0.0
2020-02-25,-21892562.0,14844928.0,7047634.0,-20583381.0,-1309181.0,-20.74,14.06,6.68,-19.5,-1.24,6.4,-2.14,0.0,0.0
2020-02-26,17272909.0,-16257305.0,-1015605.0,10504892.0,6768017.0,8.9,-8.38,-0.52,5.41,3.49,6.59,2.97,0.0,0.0
2020-02-27,1668819.0,1314310.0,-2983129.0,-67588.0,1736407.0,1.35,1.06,-2.42,-0.05,1.41,6.65,0.91,0.0,0.0
2020-02-28,-10608647.0,8205116.0,2403531.0,-4921479.0,-5687168.0,-8.95,6.92,2.03,-4.15,-4.8,6.4,-3.76,0.0,0.0
2020-03-02,19110063.0,-22188853.0,3078789.0,9554153.0,9555910.0,9.67,-11.22,1.56,4.83,4.83,6.84,6.88,0.0,0.0
2020-03-03,-3079032.0,1739689.0,1339342.0,-5330435.0,2251403.0,-1.2,0.68,0.52,-2.08,0.88,6.97,1.9,0.0,0.0
2020-03-04,19143235.0,-7958757.0,-11184478.0,20599971.0,-1456736.0,10.39,-4.32,-6.07,11.18,-0.79,7.07,1.43,0.0,0.0
2020-03-05,1305.0,-443464.0,442159.0,-7224411.0,7225716.0,0.0,-0.24,0.24,-3.87,3.87,7.09,0.28,0.0,0.0
2020-03-06,-10868369.0,12718202.0,-1849833.0,-7349412.0,-3518957.0,-7.99,9.34,-1.36,-5.4,-2.59,6.95,-1.97,0.0,0.0
2020-03-09,-12918807.0,17307697.0,-4388888.0,-8469502.0,-4449305.0,-11.19,14.99,-3.8,-7.34,-3.85,6.68,-3.88,0.0,0.0
