date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-69751588.0,72246559.0,-2494976.0,-28948960.0,-40802628.0,-5.83,6.04,-0.21,-2.42,-3.41,5.93,-1.5,0.0,0.0
2020-01-09,-55035091.0,53041621.0,1993455.0,3236000.0,-58271091.0,-5.53,5.33,0.2,0.32,-5.85,5.99,1.01,0.0,0.0
2020-01-10,-175661237.0,113254177.0,62407059.0,1152944.0,-176814181.0,-15.99,10.31,5.68,0.1,-16.1,5.9,-1.5,0.0,0.0
2020-01-13,-53203646.0,44402003.0,8801648.0,-69385952.0,16182306.0,-5.81,4.85,0.96,-7.58,1.77,5.95,0.85,0.0,0.0
2020-01-14,12601917.0,-4883150.0,-7718768.0,-16317546.0,28919463.0,1.51,-0.59,-0.93,-1.96,3.47,5.95,0.0,0.0,0.0
2020-01-15,-220859342.0,128218418.0,92640927.0,-59000385.0,-161858957.0,-24.96,14.49,10.47,-6.67,-18.29,5.83,-2.02,0.0,0.0
2020-01-16,-100946923.0,67217041.0,33729877.0,36223687.0,-137170610.0,-14.07,9.37,4.7,5.05,-19.12,5.8,-0.51,0.0,0.0
2020-01-17,-14987723.0,17149826.0,-2162104.0,-29718963.0,14731240.0,-2.74,3.13,-0.4,-5.43,2.69,5.8,0.0,0.0,0.0
2020-01-20,-50678564.0,40274175.0,10404388.0,-22009218.0,-28669346.0,-6.83,5.43,1.4,-2.97,-3.86,5.82,0.34,0.0,0.0
2020-01-21,-184403182.0,101376264.0,83026925.0,-38068304.0,-146334878.0,-17.15,9.43,7.72,-3.54,-13.61,5.65,-2.92,0.0,0.0
2020-01-22,-997700.0,38662193.0,-37664493.0,-24986022.0,23988322.0,-0.12,4.51,-4.4,-2.92,2.8,5.66,0.18,0.0,0.0
2020-01-23,-169113159.0,138173325.0,30939824.0,17664096.0,-186777255.0,-12.72,10.39,2.33,1.33,-14.05,5.47,-3.36,0.0,0.0
2020-02-03,-285485424.0,202410320.0,83075120.0,-28406144.0,-257079280.0,-12.6,8.93,3.67,-1.25,-11.35,5.0,-8.59,0.0,0.0
2020-02-04,25245095.0,-9641088.0,-15604032.0,48254880.0,-23009785.0,1.67,-0.64,-1.04,3.2,-1.53,5.21,4.2,0.0,0.0
2020-02-05,-54671349.0,65403509.0,-10732160.0,-7068285.0,-47603064.0,-6.15,7.36,-1.21,-0.8,-5.35,5.2,-0.19,0.0,0.0
2020-02-06,113681520.0,-41837669.0,-71843838.0,-12156320.0,125837840.0,10.51,-3.87,-6.64,-1.12,11.64,5.32,2.31,0.0,0.0
2020-02-07,-34326313.0,33212505.0,1113808.0,-9668274.0,-24658039.0,-4.99,4.82,0.16,-1.4,-3.58,5.27,-0.94,0.0,0.0
2020-02-10,45173864.0,-26630050.0,-18543814.0,-4115338.0,49289202.0,5.73,-3.38,-2.35,-0.52,6.26,5.34,1.33,0.0,0.0
2020-02-11,73689117.0,-53824625.0,-19864491.0,41724575.0,31964542.0,9.37,-6.84,-2.53,5.31,4.06,5.38,0.75,0.0,0.0
2020-02-12,16055706.0,-3775401.0,-12280305.0,-8219923.0,24275629.0,2.92,-0.69,-2.24,-1.5,4.42,5.4,0.37,0.0,0.0
2020-02-13,10844742.0,-3524175.0,-7320576.0,-13629872.0,24474614.0,1.13,-0.37,-0.76,-1.42,2.54,5.41,0.19,0.0,0.0
2020-02-14,76101152.0,-36708828.0,-39392329.0,-7838400.0,83939552.0,7.3,-3.52,-3.78,-0.75,8.05,5.5,1.66,0.0,0.0
2020-02-17,-130593216.0,65229184.0,65364033.0,10928096.0,-141521312.0,-10.94,5.47,5.48,0.92,-11.86,5.54,0.73,0.0,0.0
2020-02-18,-247760516.0,155331301.0,92429232.0,35013712.0,-282774228.0,-20.44,12.81,7.63,2.89,-23.33,5.43,-1.99,0.0,0.0
2020-02-19,-213605029.0,113707246.0,99897789.0,18476480.0,-232081509.0,-19.43,10.34,9.09,1.68,-21.11,5.38,-0.92,0.0,0.0
2020-02-20,-197234000.0,109013404.0,88220592.0,39470496.0,-236704496.0,-13.86,7.66,6.2,2.77,-16.64,5.43,0.93,0.0,0.0
2020-02-21,-252637468.0,126175690.0,126461760.0,74971616.0,-327609084.0,-19.75,9.87,9.89,5.86,-25.62,5.39,-0.74,0.0,0.0
2020-02-24,-330971321.0,167136298.0,163835024.0,-22350880.0,-308620441.0,-23.31,11.77,11.54,-1.57,-21.73,5.29,-1.86,0.0,0.0
2020-02-25,-177928128.0,80274736.0,97653392.0,-17870112.0,-160058016.0,-13.03,5.88,7.15,-1.31,-11.72,5.23,-1.13,0.0,0.0
2020-02-26,209186000.0,-130370592.0,-78815408.0,-139250256.0,348436256.0,5.83,-3.63,-2.2,-3.88,9.71,5.45,4.21,0.0,0.0
2020-02-27,-314898208.0,175648245.0,139249968.0,84260496.0,-399158704.0,-16.0,8.92,7.07,4.28,-20.28,5.39,-1.1,0.0,0.0
2020-02-28,48547792.0,-17661344.0,-30886448.0,-114240528.0,162788320.0,1.93,-0.7,-1.23,-4.55,6.48,5.37,-0.37,0.0,0.0
2020-03-02,484649808.0,-298548656.0,-186101168.0,66798976.0,417850832.0,11.08,-6.83,-4.25,1.53,9.55,5.83,8.57,0.0,0.0
2020-03-03,-425449376.0,252445312.0,173004080.0,-166560.0,-425282816.0,-12.21,7.25,4.97,-0.0,-12.21,5.76,-1.2,0.0,0.0
2020-03-04,76718960.0,-20112720.0,-56606240.0,-62151616.0,138870576.0,3.41,-0.89,-2.52,-2.76,6.17,5.83,1.22,0.0,0.0
2020-03-05,-133568944.0,67874272.0,65694688.0,62967168.0,-196536112.0,-7.04,3.58,3.46,3.32,-10.35,5.82,-0.17,0.0,0.0
2020-03-06,-286963009.0,183137287.0,103825728.0,-65337584.0,-221625425.0,-19.84,12.66,7.18,-4.52,-15.32,5.68,-2.41,0.0,0.0
2020-03-09,-190913440.0,172311264.0,18602176.0,-22886192.0,-168027248.0,-10.38,9.37,1.01,-1.24,-9.13,5.48,-3.52,0.0,0.0
2020-03-10,78345776.0,-68085353.0,-10260432.0,33140576.0,45205200.0,4.91,-4.27,-0.64,2.08,2.83,5.6,2.19,0.0,0.0
