date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-50646206.0,49291995.0,1354210.0,-13706560.0,-36939646.0,-10.51,10.23,0.28,-2.85,-7.67,9.06,-1.63,0.0,0.0
2020-01-09,-5455510.0,-3177236.0,8632746.0,10400350.0,-15855860.0,-1.47,-0.86,2.33,2.81,-4.28,9.13,0.77,0.0,0.0
2020-01-10,-34598099.0,21076658.0,13521441.0,2248787.0,-36846886.0,-12.1,7.37,4.73,0.79,-12.89,9.06,-0.77,0.0,0.0
2020-01-13,-25632481.0,24356629.0,1275853.0,-26329604.0,697123.0,-6.76,6.42,0.34,-6.94,0.18,9.1,0.44,0.0,0.0
2020-01-14,-51050126.0,27469255.0,23580871.0,-42497267.0,-8552859.0,-12.44,6.69,5.74,-10.35,-2.08,9.08,-0.22,0.0,0.0
2020-01-15,-101287339.0,83582815.0,17704523.0,-35597017.0,-65690322.0,-19.7,16.25,3.44,-6.92,-12.77,8.86,-2.42,0.0,0.0
2020-01-16,-48940255.0,44441408.0,4498848.0,-30831127.0,-18109128.0,-13.55,12.3,1.25,-8.53,-5.01,8.77,-1.02,0.0,0.0
2020-01-17,-11080264.0,-134488.0,11214752.0,-14104989.0,3024725.0,-4.9,-0.06,4.96,-6.24,1.34,8.78,0.11,0.0,0.0
2020-01-20,28595751.0,-17842371.0,-10753380.0,3822468.0,24773283.0,12.25,-7.65,-4.61,1.64,10.62,8.93,1.71,0.0,0.0
2020-01-21,-69582062.0,32369596.0,37212465.0,-12225646.0,-57356416.0,-22.74,10.58,12.16,-4.0,-18.75,8.73,-2.24,0.0,0.0
2020-01-22,-38559442.0,15332787.0,23226655.0,-2625565.0,-35933877.0,-16.51,6.56,9.94,-1.12,-15.38,8.68,-0.57,0.0,0.0
2020-01-23,-73465268.0,43909968.0,29555302.0,-29134238.0,-44331030.0,-20.13,12.03,8.1,-7.98,-12.15,8.4,-3.23,0.0,0.0
2020-02-03,-27558798.0,49606904.0,-22048106.0,-26383386.0,-1175412.0,-9.61,17.3,-7.69,-9.2,-0.41,7.56,-10.0,0.0,0.0
2020-02-04,-17510146.0,17844766.0,-334621.0,-8333752.0,-9176394.0,-5.36,5.46,-0.1,-2.55,-2.81,7.49,-0.93,0.0,0.0
2020-02-05,-15137374.0,10912208.0,4225166.0,-3139690.0,-11997684.0,-5.03,3.62,1.4,-1.04,-3.98,7.56,0.93,0.0,0.0
2020-02-06,7450354.0,-7470621.0,20266.0,-1008818.0,8459172.0,2.48,-2.49,0.01,-0.34,2.82,7.64,1.06,0.0,0.0
2020-02-07,-25280339.0,21242660.0,4037678.0,-3906862.0,-21373477.0,-9.57,8.04,1.53,-1.48,-8.09,7.6,-0.52,0.0,0.0
2020-02-10,2591165.0,-17119527.0,14528362.0,19148207.0,-16557042.0,0.77,-5.06,4.3,5.66,-4.9,7.81,2.76,0.0,0.0
2020-02-11,-28644452.0,15161482.0,13482970.0,-30165246.0,1520794.0,-7.1,3.76,3.34,-7.48,0.38,7.82,0.13,0.0,0.0
2020-02-12,11032846.0,-6954866.0,-4077980.0,16583810.0,-5550964.0,4.66,-2.94,-1.72,7.01,-2.34,7.88,0.77,0.0,0.0
2020-02-13,-4602748.0,-3151811.0,7754560.0,5788143.0,-10390891.0,-1.38,-0.94,2.32,1.73,-3.11,7.9,0.25,0.0,0.0
2020-02-14,22752886.0,-21466685.0,-1286200.0,26101404.0,-3348518.0,8.81,-8.32,-0.5,10.11,-1.3,7.96,0.76,0.0,0.0
2020-02-17,24832803.0,-4600723.0,-20232080.0,9769224.0,15063579.0,7.66,-1.42,-6.24,3.01,4.64,8.09,1.63,0.0,0.0
2020-02-18,-58003411.0,36192906.0,21810504.0,-42285123.0,-15718288.0,-14.25,8.89,5.36,-10.39,-3.86,8.0,-1.11,0.0,0.0
2020-02-19,-33786902.0,16535518.0,17251384.0,-43053483.0,9266581.0,-7.68,3.76,3.92,-9.79,2.11,8.0,0.0,0.0,0.0
2020-02-20,-14398393.0,9481399.0,4916994.0,-13872833.0,-525560.0,-2.67,1.76,0.91,-2.58,-0.1,8.07,0.88,0.0,0.0
2020-02-21,-74340050.0,32260666.0,42079384.0,-38879394.0,-35460656.0,-17.43,7.56,9.87,-9.12,-8.32,8.03,-0.5,0.0,0.0
2020-02-24,-66755649.0,44318433.0,22437217.0,-29994327.0,-36761322.0,-16.63,11.04,5.59,-7.47,-9.16,7.96,-0.87,0.0,0.0
2020-02-25,-99641660.0,73763706.0,25877953.0,-32207135.0,-67434525.0,-21.15,15.66,5.49,-6.84,-14.32,7.75,-2.64,0.0,0.0
