date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-17923282.0,14993641.0,2929640.0,-4870987.0,-13052295.0,-7.94,6.64,1.3,-2.16,-5.78,8.88,-2.09,0.0,0.0
2020-01-09,-151675.0,-2355141.0,2506816.0,3524094.0,-3675769.0,-0.09,-1.36,1.45,2.04,-2.13,8.95,0.79,0.0,0.0
2020-01-10,-7770891.0,4079439.0,3691453.0,-6053107.0,-1717784.0,-4.98,2.62,2.37,-3.88,-1.1,8.97,0.22,0.0,0.0
2020-01-13,35948287.0,-20577179.0,-15371108.0,18231112.0,17717175.0,16.3,-9.33,-6.97,8.27,8.03,9.13,1.78,0.0,0.0
2020-01-14,-19332169.0,11274730.0,8057438.0,-4574615.0,-14757554.0,-12.23,7.13,5.1,-2.89,-9.33,9.06,-0.77,0.0,0.0
2020-01-15,-7658324.0,2298803.0,5359522.0,-338583.0,-7319741.0,-7.42,2.23,5.19,-0.33,-7.09,9.0,-0.66,0.0,0.0
2020-01-16,-12265978.0,5489744.0,6776234.0,-583400.0,-11682578.0,-12.25,5.48,6.77,-0.58,-11.66,8.97,-0.33,0.0,0.0
2020-01-17,-23912825.0,10701696.0,13211128.0,-10172107.0,-13740718.0,-20.91,9.36,11.55,-8.9,-12.02,8.91,-0.67,0.0,0.0
2020-01-20,10783772.0,-2939096.0,-7844675.0,4580267.0,6203505.0,7.97,-2.17,-5.8,3.39,4.59,9.02,1.23,0.0,0.0
2020-01-21,-24994257.0,15031369.0,9962888.0,-9711544.0,-15282713.0,-17.26,10.38,6.88,-6.71,-10.55,8.9,-1.33,0.0,0.0
2020-01-22,8840231.0,-9836702.0,996472.0,8923790.0,-83559.0,7.18,-7.98,0.81,7.24,-0.07,8.93,0.34,0.0,0.0
2020-01-23,-32306673.0,13026290.0,19280383.0,-8908140.0,-23398533.0,-15.08,6.08,9.0,-4.16,-10.92,8.68,-2.8,0.0,0.0
2020-02-03,-29959139.0,31406407.0,-1447267.0,-22592418.0,-7366721.0,-10.3,10.8,-0.5,-7.77,-2.53,7.93,-8.64,0.0,0.0
2020-02-04,4072816.0,-5256881.0,1184064.0,-3767605.0,7840421.0,1.78,-2.3,0.52,-1.65,3.43,8.2,3.4,0.0,0.0
2020-02-05,-16241344.0,11676370.0,4564973.0,8815135.0,-25056479.0,-8.8,6.33,2.47,4.78,-13.58,8.15,-0.61,0.0,0.0
2020-02-06,-12664323.0,6711110.0,5953213.0,414361.0,-13078684.0,-6.56,3.47,3.08,0.21,-6.77,8.23,0.98,0.0,0.0
2020-02-07,-9479572.0,2707392.0,6772181.0,361925.0,-9841497.0,-6.77,1.93,4.84,0.26,-7.03,8.26,0.36,0.0,0.0
2020-02-10,-5294901.0,-4939018.0,10233920.0,-675393.0,-4619508.0,-4.54,-4.24,8.78,-0.58,-3.96,8.24,-0.24,0.0,0.0
2020-02-11,11283765.0,-15037812.0,3754048.0,14326683.0,-3042918.0,8.63,-11.5,2.87,10.95,-2.33,8.28,0.49,0.0,0.0
2020-02-12,6877970.0,-4334430.0,-2543540.0,6384229.0,493741.0,6.51,-4.1,-2.41,6.04,0.47,8.32,0.48,0.0,0.0
2020-02-13,-11873462.0,307164.0,11566298.0,1053080.0,-12926542.0,-10.48,0.27,10.21,0.93,-11.41,8.23,-1.08,0.0,0.0
2020-02-14,16528790.0,-2606519.0,-13922270.0,11505398.0,5023392.0,17.57,-2.77,-14.8,12.23,5.34,8.29,0.73,0.0,0.0
2020-02-17,11392087.0,-8207369.0,-3184721.0,10049895.0,1342192.0,4.94,-3.56,-1.38,4.36,0.58,8.48,2.29,0.0,0.0
2020-02-18,-23783230.0,8891845.0,14891385.0,-10784549.0,-12998681.0,-13.32,4.98,8.34,-6.04,-7.28,8.37,-1.3,0.0,0.0
2020-02-19,-15646291.0,5576259.0,10070031.0,8318372.0,-23964663.0,-9.28,3.31,5.97,4.93,-14.21,8.31,-0.72,0.0,0.0
2020-02-20,35772159.0,-15929807.0,-19842351.0,15969404.0,19802755.0,13.5,-6.01,-7.49,6.03,7.47,8.49,2.17,0.0,0.0
