date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-129308783.0,102047019.0,27261772.0,-64566735.0,-64742048.0,-14.85,11.72,3.13,-7.42,-7.44,10.7,-4.21,0.0,0.0
2020-01-09,-26230402.0,25871696.0,358708.0,-21286991.0,-4943411.0,-4.85,4.78,0.07,-3.94,-0.91,10.81,1.03,0.0,0.0
2020-01-10,-68116807.0,45886854.0,22229954.0,-33491146.0,-34625661.0,-14.21,9.57,4.64,-6.99,-7.22,10.74,-0.65,0.0,0.0
2020-01-13,-48151990.0,21583806.0,26568187.0,-27633037.0,-20518953.0,-6.68,2.99,3.69,-3.83,-2.85,10.97,2.14,0.0,0.0
2020-01-14,-58276455.0,34126133.0,24150322.0,-17336850.0,-40939605.0,-9.94,5.82,4.12,-2.96,-6.98,10.74,-2.1,0.0,0.0
2020-01-15,3023250.0,-5415353.0,2392104.0,-7243939.0,10267189.0,0.81,-1.44,0.64,-1.93,2.73,10.77,0.28,0.0,0.0
2020-01-16,-24808148.0,24287803.0,520346.0,-103155.0,-24704993.0,-7.73,7.57,0.16,-0.03,-7.7,10.67,-0.93,0.0,0.0
2020-01-17,-5960684.0,257266.0,5703419.0,-14603933.0,8643249.0,-0.93,0.04,0.89,-2.27,1.35,10.79,1.12,0.0,0.0
2020-01-20,-10827751.0,-1608481.0,12436232.0,-2837859.0,-7989892.0,-1.96,-0.29,2.25,-0.51,-1.45,10.99,1.85,0.0,0.0
2020-01-21,-68314338.0,35462203.0,32852132.0,-33921642.0,-34392696.0,-8.81,4.57,4.24,-4.37,-4.44,10.95,-0.36,0.0,0.0
2020-01-22,-7555453.0,-2964404.0,10519856.0,-5644297.0,-1911156.0,-1.04,-0.41,1.45,-0.78,-0.26,11.13,1.64,0.0,0.0
2020-01-23,-156455262.0,111250831.0,45204435.0,-74550991.0,-81904271.0,-18.86,13.41,5.45,-8.99,-9.87,10.48,-5.84,0.0,0.0
2020-02-03,-10316448.0,13289274.0,-2972826.0,-11642142.0,1325694.0,-16.76,21.59,-4.83,-18.91,2.15,9.42,-10.11,0.0,0.0
2020-02-04,-108134895.0,62884794.0,45250096.0,-35257976.0,-72876919.0,-12.99,7.55,5.44,-4.24,-8.75,9.18,-2.55,0.0,0.0
2020-02-05,-17258661.0,23210059.0,-5951403.0,1305698.0,-18564359.0,-2.35,3.16,-0.81,0.18,-2.52,9.53,3.81,0.0,0.0
2020-02-06,5028986.0,-15428158.0,10399168.0,-14166017.0,19195003.0,0.5,-1.53,1.03,-1.41,1.91,10.1,5.98,0.0,0.0
2020-02-07,-97721863.0,48871480.0,48850384.0,-61187803.0,-36534060.0,-10.89,5.45,5.44,-6.82,-4.07,10.12,0.2,0.0,0.0
2020-02-10,-30573019.0,11483645.0,19089373.0,-22896756.0,-7676263.0,-4.39,1.65,2.74,-3.29,-1.1,10.29,1.68,0.0,0.0
2020-02-11,-83171658.0,57219879.0,25951778.0,-36513888.0,-46657770.0,-12.68,8.73,3.96,-5.57,-7.11,10.06,-2.24,0.0,0.0
2020-02-12,102119839.0,-47141784.0,-54978066.0,32189392.0,69930447.0,12.0,-5.54,-6.46,3.78,8.22,10.4,3.38,0.0,0.0
2020-02-13,-80932790.0,59157447.0,21775343.0,-42539886.0,-38392904.0,-11.32,8.27,3.05,-5.95,-5.37,10.11,-2.79,0.0,0.0
2020-02-14,65268984.0,-25372239.0,-39896751.0,32679754.0,32589230.0,7.81,-3.03,-4.77,3.91,3.9,10.39,2.77,0.0,0.0
2020-02-17,24912255.0,-19679724.0,-5232544.0,6592368.0,18319887.0,2.28,-1.8,-0.48,0.6,1.67,10.81,4.04,0.0,0.0
2020-02-18,-143335214.0,87720860.0,55614347.0,-74604630.0,-68730584.0,-18.0,11.02,6.98,-9.37,-8.63,10.63,-1.67,0.0,0.0
2020-02-19,-54687241.0,31298799.0,23388448.0,-27916337.0,-26770904.0,-5.9,3.38,2.52,-3.01,-2.89,10.51,-1.13,0.0,0.0
2020-02-20,189527975.0,-111598944.0,-77929040.0,59657504.0,129870471.0,11.21,-6.6,-4.61,3.53,7.68,11.37,8.18,0.0,0.0
2020-02-21,22081387.0,11541616.0,-33622992.0,-14955840.0,37037227.0,1.33,0.7,-2.03,-0.9,2.24,11.43,0.53,0.0,0.0
2020-02-24,-36685627.0,14789808.0,21895808.0,-186384.0,-36499243.0,-2.79,1.13,1.67,-0.01,-2.78,11.57,1.22,0.0,0.0
2020-02-25,-7133796.0,36762528.0,-29628720.0,-50319824.0,43186028.0,-0.46,2.36,-1.9,-3.23,2.77,11.69,1.04,0.0,0.0
2020-02-26,51038921.0,-27304096.0,-23734816.0,19689536.0,31349385.0,2.82,-1.51,-1.31,1.09,1.73,11.56,-1.11,0.0,0.0
2020-02-27,-85814126.0,70407285.0,15406832.0,-19989056.0,-65825070.0,-6.81,5.59,1.22,-1.59,-5.23,11.52,-0.35,0.0,0.0
2020-02-28,-202651521.0,150290192.0,52361328.0,-91426544.0,-111224977.0,-17.28,12.81,4.46,-7.79,-9.48,10.45,-9.29,0.0,0.0
2020-03-02,17396214.0,-23493278.0,6097056.0,19084819.0,-1688605.0,2.0,-2.7,0.7,2.19,-0.19,10.95,4.78,0.0,0.0
2020-03-03,-25674844.0,17773677.0,7901168.0,-19880640.0,-5794204.0,-2.77,1.91,0.85,-2.14,-0.62,11.1,1.37,0.0,0.0
2020-03-04,72458860.0,-43726269.0,-28732592.0,32975424.0,39483436.0,6.54,-3.95,-2.59,2.98,3.56,11.59,4.41,0.0,0.0
2020-03-05,386748640.0,-174527232.0,-212221408.0,-87772368.0,474521008.0,12.15,-5.48,-6.67,-2.76,14.91,12.66,9.23,0.0,0.0
2020-03-06,-429310851.0,259746848.0,169564000.0,-88022000.0,-341288851.0,-22.22,13.44,8.78,-4.56,-17.66,11.92,-5.85,0.0,0.0
2020-03-09,-202265742.0,138348544.0,63917216.0,-61509296.0,-140756446.0,-13.76,9.41,4.35,-4.18,-9.57,11.7,-1.85,0.0,0.0
2020-03-10,55934542.0,-48580624.0,-7353920.0,39470464.0,16464078.0,3.44,-2.98,-0.45,2.42,1.01,12.24,4.62,0.0,0.0
2020-03-11,-162055422.0,120021298.0,42034128.0,-77353872.0,-84701550.0,-13.74,10.17,3.56,-6.56,-7.18,11.77,-3.84,0.0,0.0
2020-03-12,-92080487.0,70655726.0,21424753.0,-41728140.0,-50352347.0,-10.61,8.14,2.47,-4.81,-5.8,11.84,0.59,0.0,0.0
2020-03-13,-36695051.0,33660240.0,3034800.0,-16245696.0,-20449355.0,-3.13,2.87,0.26,-1.38,-1.74,11.86,0.17,0.0,0.0
2020-03-16,-232472044.0,177273411.0,55198640.0,-104748395.0,-127723649.0,-20.57,15.68,4.88,-9.27,-11.3,10.69,-9.87,0.0,0.0
2020-03-17,-34709469.0,39673419.0,-4963943.0,-25118497.0,-9590972.0,-4.76,5.44,-0.68,-3.44,-1.32,10.73,0.37,0.0,0.0
2020-03-18,-65067471.0,75091212.0,-10023749.0,-38888512.0,-26178959.0,-8.67,10.01,-1.34,-5.18,-3.49,10.25,-4.47,0.0,0.0
2020-03-19,-17355832.0,15834605.0,1521227.0,-2275877.0,-15079955.0,-2.53,2.31,0.22,-0.33,-2.2,10.48,2.24,0.0,0.0
2020-03-20,-8308918.0,20083833.0,-11774914.0,-7307489.0,-1001429.0,-1.96,4.74,-2.78,-1.73,-0.24,10.51,0.29,0.0,0.0
2020-03-23,-60118135.0,52710370.0,7407765.0,-38597060.0,-21521075.0,-13.84,12.14,1.71,-8.89,-4.96,9.89,-5.9,0.0,0.0
2020-03-24,-3015730.0,5413338.0,-2397608.0,-5881869.0,2866139.0,-0.69,1.24,-0.55,-1.35,0.66,10.1,2.12,0.0,0.0
2020-03-25,29598401.0,-13105718.0,-16492683.0,5742544.0,23855857.0,5.74,-2.54,-3.2,1.11,4.63,10.35,2.48,0.0,0.0
2020-03-26,-62004785.0,45572717.0,16432067.0,-35513752.0,-26491033.0,-17.75,13.05,4.7,-10.17,-7.58,10.1,-2.42,0.0,0.0
2020-03-27,-10998386.0,5200570.0,5797816.0,-8899760.0,-2098626.0,-2.56,1.21,1.35,-2.07,-0.49,10.15,0.5,0.0,0.0
2020-03-30,-31647315.0,24368795.0,7278520.0,-24805570.0,-6841745.0,-10.63,8.18,2.44,-8.33,-2.3,10.01,-1.38,0.0,0.0
2020-03-31,-21858892.0,25383488.0,-3524597.0,-21411989.0,-446903.0,-8.01,9.3,-1.29,-7.84,-0.16,9.92,-0.9,0.0,0.0
2020-04-01,-6280023.0,10239843.0,-3959821.0,-6312954.0,32931.0,-2.31,3.76,-1.46,-2.32,0.01,9.87,-0.5,0.0,0.0
2020-04-02,8929984.0,-4296524.0,-4633460.0,-987940.0,9917924.0,2.79,-1.34,-1.45,-0.31,3.1,10.09,2.23,0.0,0.0
