date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,10771227.0,9995596.0,-20766823.0,-49166791.0,59938018.0,1.69,1.56,-3.25,-7.7,9.38,91.3,0.43,0.0,0.0
2020-01-09,4206570.0,17325770.0,-21532340.0,-39179051.0,43385621.0,0.51,2.09,-2.6,-4.73,5.24,94.0,2.96,0.0,0.0
2020-01-10,-9645435.0,513106.0,9132330.0,-9931402.0,285967.0,-1.82,0.1,1.72,-1.87,0.05,94.34,0.36,0.0,0.0
2020-01-13,-181243360.0,94712303.0,86531056.0,-79405984.0,-101837376.0,-9.69,5.07,4.63,-4.25,-5.45,91.0,-3.54,0.0,0.0
2020-01-14,-209189230.0,186899317.0,22289904.0,-37165280.0,-172023950.0,-16.21,14.49,1.73,-2.88,-13.33,88.84,-2.37,0.0,0.0
2020-01-15,-62302135.0,23494067.0,38808068.0,-37647509.0,-24654626.0,-10.9,4.11,6.79,-6.59,-4.31,89.36,0.59,0.0,0.0
2020-01-16,-10978381.0,-3155218.0,14133599.0,-29987978.0,19009597.0,-1.74,-0.5,2.24,-4.75,3.01,90.39,1.15,0.0,0.0
2020-01-17,-13440117.0,6509726.0,6930391.0,731401.0,-14171518.0,-2.21,1.07,1.14,0.12,-2.33,89.85,-0.6,0.0,0.0
2020-01-20,-309902368.0,138910592.0,170991776.0,-79139248.0,-230763120.0,-17.04,7.64,9.4,-4.35,-12.69,86.9,-3.28,0.0,0.0
2020-01-21,-24074480.0,25793168.0,-1718688.0,-36854704.0,12780224.0,-1.23,1.32,-0.09,-1.88,0.65,83.75,-3.62,0.0,0.0
2020-01-22,41196633.0,-41584006.0,387376.0,38900124.0,2296509.0,3.97,-4.01,0.04,3.75,0.22,84.58,0.99,0.0,0.0
2020-01-23,-119030432.0,85812992.0,33217424.0,-82759616.0,-36270816.0,-5.87,4.23,1.64,-4.08,-1.79,82.0,-3.05,0.0,0.0
2020-02-03,110631211.0,-13098984.0,-97532235.0,-196201141.0,306832352.0,7.42,-0.88,-6.54,-13.16,20.58,73.8,-10.0,0.0,0.0
2020-02-04,-67425168.0,68000352.0,-575184.0,15806160.0,-83231328.0,-2.93,2.95,-0.02,0.69,-3.61,75.08,1.73,0.0,0.0
2020-02-05,-171708400.0,104922032.0,66786400.0,-57735872.0,-113972528.0,-8.57,5.24,3.33,-2.88,-5.69,77.78,3.6,0.0,0.0
2020-02-06,142205430.0,-35864007.0,-106341424.0,35311504.0,106893926.0,8.88,-2.24,-6.64,2.21,6.68,80.8,3.88,0.0,0.0
2020-02-07,61468059.0,2481648.0,-63949696.0,48490096.0,12977963.0,4.47,0.18,-4.65,3.53,0.94,80.2,-0.74,0.0,0.0
2020-02-10,66128537.0,-45265421.0,-20863120.0,28238768.0,37889769.0,6.19,-4.24,-1.95,2.64,3.55,79.0,-1.5,0.0,0.0
2020-02-11,190295.0,38967213.0,-39157504.0,25758176.0,-25567881.0,0.02,3.57,-3.58,2.36,-2.34,80.05,1.33,0.0,0.0
2020-02-12,-10974239.0,33819157.0,-22844925.0,-49120775.0,38146536.0,-1.5,4.62,-3.12,-6.7,5.21,80.4,0.44,0.0,0.0
2020-02-13,-253501435.0,130768204.0,122733233.0,-95050464.0,-158450971.0,-25.1,12.95,12.15,-9.41,-15.69,79.16,-1.54,0.0,0.0
2020-02-14,22951419.0,-10406526.0,-12544896.0,8919744.0,14031675.0,2.16,-0.98,-1.18,0.84,1.32,80.94,2.25,0.0,0.0
2020-02-17,-69395261.0,6294038.0,63101216.0,-43436400.0,-25958861.0,-5.96,0.54,5.42,-3.73,-2.23,81.25,0.38,0.0,0.0
2020-02-18,-121003228.0,49042634.0,71960592.0,-41760960.0,-79242268.0,-11.42,4.63,6.79,-3.94,-7.48,80.2,-1.29,0.0,0.0
2020-02-19,-17475118.0,-25171875.0,42646992.0,-80812784.0,63337666.0,-1.17,-1.68,2.85,-5.39,4.23,83.31,3.88,0.0,0.0
2020-02-20,-115503840.0,1031872.0,114471952.0,83377856.0,-198881696.0,-5.96,0.05,5.91,4.3,-10.27,85.8,2.99,0.0,0.0
2020-02-21,-46581119.0,13935333.0,32645776.0,19226400.0,-65807519.0,-4.73,1.42,3.32,1.95,-6.69,85.07,-0.85,0.0,0.0
2020-02-24,-189526323.0,48862090.0,140664224.0,-91818112.0,-97708211.0,-13.32,3.43,9.89,-6.45,-6.87,82.97,-2.47,0.0,0.0
2020-02-25,-64586775.0,16119578.0,48467200.0,-1198272.0,-63388503.0,-6.21,1.55,4.66,-0.12,-6.09,81.84,-1.36,0.0,0.0
2020-02-26,-29285238.0,33948431.0,-4663200.0,-20452464.0,-8832774.0,-2.47,2.86,-0.39,-1.72,-0.74,80.2,-2.0,0.0,0.0
2020-02-27,-15727520.0,47376168.0,-31648656.0,-46989632.0,31262112.0,-1.17,3.52,-2.35,-3.49,2.32,80.45,0.31,0.0,0.0
2020-02-28,-156935146.0,52005054.0,104930080.0,-56522352.0,-100412794.0,-11.55,3.83,7.72,-4.16,-7.39,78.5,-2.42,0.0,0.0
2020-03-02,61539282.0,-47844488.0,-13694784.0,-35879424.0,97418706.0,5.53,-4.3,-1.23,-3.22,8.75,78.39,-0.14,0.0,0.0
2020-03-03,9015388.0,-3996619.0,-5018768.0,-9045136.0,18060524.0,0.8,-0.35,-0.44,-0.8,1.6,79.17,1.0,0.0,0.0
2020-03-04,-4320027.0,-3081129.0,7401160.0,31788000.0,-36108027.0,-0.48,-0.35,0.83,3.56,-4.05,79.06,-0.14,0.0,0.0
2020-03-05,220161968.0,-64981248.0,-155180704.0,-18700688.0,238862656.0,10.3,-3.04,-7.26,-0.87,11.18,84.11,6.39,0.0,0.0
2020-03-06,-4944149.0,33567951.0,-28623785.0,-23046064.0,18101915.0,-0.48,3.29,-2.81,-2.26,1.77,83.27,-1.0,0.0,0.0
2020-03-09,-28539007.0,-21937632.0,50476656.0,15943824.0,-44482831.0,-1.91,-1.46,3.37,1.06,-2.97,79.13,-4.97,0.0,0.0
2020-03-10,29188175.0,23738747.0,-52926929.0,-31787468.0,60975643.0,3.12,2.54,-5.66,-3.4,6.52,81.48,2.97,0.0,0.0
2020-03-11,212154787.0,-79787856.0,-132366928.0,103520592.0,108634195.0,13.97,-5.25,-8.71,6.82,7.15,82.66,1.45,0.0,0.0
2020-03-12,-37719436.0,43392690.0,-5673248.0,-40748368.0,3028932.0,-3.36,3.87,-0.51,-3.63,0.27,79.08,-4.33,0.0,0.0
2020-03-13,266654560.0,-131224816.0,-135429744.0,120656864.0,145997696.0,11.49,-5.65,-5.83,5.2,6.29,83.59,5.7,0.0,0.0
2020-03-16,33425120.0,27104096.0,-60529216.0,66599408.0,-33174288.0,2.05,1.66,-3.71,4.09,-2.04,77.8,-6.93,0.0,0.0
2020-03-17,-39850462.0,28374741.0,11475727.0,-45842158.0,5991696.0,-4.31,3.07,1.24,-4.96,0.65,77.22,-0.75,0.0,0.0
2020-03-18,-34856561.0,40557424.0,-5700848.0,-25527936.0,-9328625.0,-3.61,4.2,-0.59,-2.64,-0.97,75.38,-2.38,0.0,0.0
2020-03-19,-108917478.0,74428448.0,34489024.0,-58832992.0,-50084486.0,-9.6,6.56,3.04,-5.19,-4.42,71.92,-4.59,0.0,0.0
2020-03-20,121700020.0,-21340544.0,-100359456.0,35041856.0,86658164.0,10.07,-1.77,-8.3,2.9,7.17,75.6,5.12,0.0,0.0
2020-03-23,15346616.0,5675709.0,-21022325.0,-2155587.0,17502203.0,1.76,0.65,-2.41,-0.25,2.01,72.15,-4.56,0.0,0.0
2020-03-24,-1680975.0,14428265.0,-12747280.0,-9267168.0,7586193.0,-0.17,1.49,-1.32,-0.96,0.78,73.27,1.55,0.0,0.0
2020-03-25,-164676784.0,119593344.0,45083440.0,-92831776.0,-71845008.0,-8.51,6.18,2.33,-4.8,-3.71,74.8,2.09,0.0,0.0
2020-03-26,-174921534.0,108266675.0,66654861.0,-55025651.0,-119895883.0,-17.66,10.93,6.73,-5.56,-12.1,72.9,-2.54,0.0,0.0
