date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-200825.0,-549857.0,750683.0,-200825.0,0.0,-0.97,-2.66,3.64,-0.97,0.0,8.06,-1.59,0.0,0.0
2020-01-09,-3060876.0,3225463.0,-164585.0,-2041908.0,-1018968.0,-17.63,18.58,-0.95,-11.76,-5.87,8.08,0.25,0.0,0.0
2020-01-10,-1070399.0,1916303.0,-845904.0,-1070399.0,0.0,-10.51,18.81,-8.3,-10.51,0.0,7.99,-1.11,0.0,0.0
2020-01-13,-1127937.0,3518455.0,-2390517.0,-1127937.0,0.0,-9.26,28.89,-19.63,-9.26,0.0,7.9,-1.13,0.0,0.0
2020-01-14,-3999362.0,3638184.0,361179.0,-2665968.0,-1333394.0,-26.53,24.13,2.4,-17.68,-8.84,7.87,-0.38,0.0,0.0
2020-01-15,3153298.0,-477180.0,-2676116.0,3683623.0,-530325.0,8.86,-1.34,-7.52,10.35,-1.49,7.99,1.52,0.0,0.0
2020-01-16,-492162.0,642303.0,-150140.0,-2082878.0,1590716.0,-2.74,3.57,-0.84,-11.59,8.85,8.03,0.5,0.0,0.0
2020-01-17,-1713249.0,751205.0,962043.0,-1713249.0,0.0,-13.63,5.98,7.65,-13.63,0.0,7.89,-1.74,0.0,0.0
2020-01-20,1056147.0,-545591.0,-510557.0,-1181835.0,2237982.0,5.21,-2.69,-2.52,-5.83,11.05,8.0,1.39,0.0,0.0
2020-01-21,2228505.0,-1628700.0,-599805.0,1007382.0,1221123.0,12.96,-9.48,-3.49,5.86,7.1,8.05,0.62,0.0,0.0
2020-01-22,6382146.0,-3500512.0,-2881634.0,4025662.0,2356484.0,26.48,-14.52,-11.96,16.7,9.78,8.2,1.86,0.0,0.0
2020-01-23,282504.0,1813990.0,-2096494.0,-682246.0,964750.0,1.03,6.6,-7.62,-2.48,3.51,8.0,-2.44,0.0,0.0
2020-02-03,-646416.0,420480.0,225936.0,-646416.0,0.0,-31.41,20.43,10.98,-31.41,0.0,7.2,-10.0,0.0,0.0
2020-02-04,-21415649.0,9578868.0,11836782.0,2325139.0,-23740788.0,-41.36,18.5,22.86,4.49,-45.85,6.48,-10.0,0.0,0.0
2020-02-05,-11752677.0,6421454.0,5331224.0,-4114709.0,-7637968.0,-29.2,15.95,13.25,-10.22,-18.98,6.38,-1.54,0.0,0.0
2020-02-06,423030.0,2553992.0,-2977022.0,-356860.0,779890.0,1.15,6.94,-8.09,-0.97,2.12,6.51,2.04,0.0,0.0
2020-02-07,-1368625.0,3033583.0,-1664958.0,-1368625.0,0.0,-5.37,11.9,-6.53,-5.37,0.0,6.41,-1.54,0.0,0.0
2020-02-10,1305537.0,-1412434.0,106896.0,284808.0,1020729.0,5.48,-5.93,0.45,1.19,4.28,6.63,3.43,0.0,0.0
