date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-802160.0,1213511.0,-411351.0,-802160.0,0.0,-7.73,11.69,-3.96,-7.73,0.0,14.73,-1.6,0.0,0.0
2020-01-09,-278960.0,383844.0,-104883.0,-278960.0,0.0,-3.46,4.76,-1.3,-3.46,0.0,14.88,1.02,0.0,0.0
2020-01-10,351798.0,-581924.0,230126.0,351798.0,0.0,3.24,-5.35,2.12,3.24,0.0,15.02,0.94,0.0,0.0
2020-01-13,765414.0,-702923.0,-62491.0,765414.0,0.0,7.34,-6.74,-0.6,7.34,0.0,15.28,1.73,0.0,0.0
2020-01-14,-1637881.0,1300728.0,337152.0,-1637881.0,0.0,-10.9,8.66,2.24,-10.9,0.0,15.02,-1.7,0.0,0.0
2020-01-15,59335.0,455776.0,-515110.0,59335.0,0.0,0.79,6.1,-6.9,0.79,0.0,14.97,-0.33,0.0,0.0
2020-01-16,100992.0,-855179.0,754186.0,100992.0,0.0,1.39,-11.74,10.36,1.39,0.0,14.87,-0.67,0.0,0.0
2020-01-17,-108245.0,-2956.0,111202.0,-91998.0,-16247.0,-1.58,-0.04,1.62,-1.34,-0.24,14.86,-0.07,0.0,0.0
2020-01-20,978021.0,-630803.0,-347218.0,978021.0,0.0,13.06,-8.42,-4.64,13.06,0.0,15.0,0.94,0.0,0.0
2020-01-21,598345.0,-772010.0,173665.0,598345.0,0.0,5.97,-7.7,1.73,5.97,0.0,15.0,0.0,0.0,0.0
2020-01-22,21193.0,-1890162.0,1868968.0,21193.0,0.0,0.21,-18.63,18.42,0.21,0.0,14.86,-0.93,0.0,0.0
2020-01-23,-2506531.0,399411.0,2107120.0,-2506531.0,0.0,-18.54,2.95,15.59,-18.54,0.0,14.49,-2.49,0.0,0.0
2020-02-03,-491191.0,933403.0,-442213.0,-491191.0,0.0,-15.63,29.7,-14.07,-15.63,0.0,13.04,-10.01,0.0,0.0
2020-02-04,-1310248.0,1088753.0,221496.0,-1296608.0,-13640.0,-10.49,8.72,1.77,-10.38,-0.11,12.3,-5.67,0.0,0.0
2020-02-05,846840.0,-130160.0,-716681.0,846840.0,0.0,8.53,-1.31,-7.22,8.53,0.0,12.92,5.04,0.0,0.0
2020-02-06,-459911.0,-101024.0,560937.0,-459911.0,0.0,-7.36,-1.62,8.97,-7.36,0.0,12.86,-0.46,0.0,0.0
2020-02-07,-1169245.0,986525.0,182721.0,-1169245.0,0.0,-17.1,14.43,2.67,-17.1,0.0,12.8,-0.47,0.0,0.0
2020-02-10,-823915.0,945032.0,-121117.0,-823915.0,0.0,-10.53,12.08,-1.55,-10.53,0.0,12.97,1.33,0.0,0.0
2020-02-11,20938.0,-102199.0,81261.0,20938.0,0.0,0.31,-1.5,1.19,0.31,0.0,13.08,0.85,0.0,0.0
2020-02-12,164151.0,347287.0,-511438.0,164151.0,0.0,2.24,4.73,-6.96,2.24,0.0,13.12,0.31,0.0,0.0
2020-02-13,-468405.0,-201431.0,669836.0,-468405.0,0.0,-5.23,-2.25,7.48,-5.23,0.0,13.07,-0.38,0.0,0.0
2020-02-14,-84034.0,507170.0,-423136.0,-84034.0,0.0,-1.33,8.05,-6.71,-1.33,0.0,13.02,-0.38,0.0,0.0
2020-02-17,53380.0,784362.0,-837741.0,-1255045.0,1308425.0,0.57,8.45,-9.02,-13.52,14.09,13.28,2.0,0.0,0.0
2020-02-18,-119901.0,-333623.0,453523.0,-119901.0,0.0,-1.12,-3.12,4.24,-1.12,0.0,13.54,1.96,0.0,0.0
2020-02-19,238869.0,-433308.0,194439.0,238869.0,0.0,3.21,-5.82,2.61,3.21,0.0,13.59,0.37,0.0,0.0
2020-02-20,-600606.0,576390.0,24216.0,85702.0,-686308.0,-7.21,6.92,0.29,1.03,-8.24,13.73,1.03,0.0,0.0
2020-02-21,-248015.0,1094510.0,-846495.0,-248015.0,0.0,-2.69,11.86,-9.17,-2.69,0.0,13.69,-0.29,0.0,0.0
2020-02-24,-295275.0,1381153.0,-1085878.0,-295275.0,0.0,-2.94,13.77,-10.83,-2.94,0.0,13.56,-0.95,0.0,0.0
2020-02-25,-457264.0,1378754.0,-921489.0,-457264.0,0.0,-3.07,9.26,-6.19,-3.07,0.0,13.31,-1.84,0.0,0.0
2020-02-26,273936.0,507014.0,-780950.0,273936.0,0.0,2.02,3.74,-5.76,2.02,0.0,13.22,-0.68,0.0,0.0
2020-02-27,1049897.0,321282.0,-1371180.0,1049897.0,0.0,7.55,2.31,-9.86,7.55,0.0,13.43,1.59,0.0,0.0
