date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-291266.0,1647650.0,-1356383.0,-291266.0,0.0,-2.38,13.48,-11.09,-2.38,0.0,10.78,-1.37,0.0,0.0
2020-01-09,4138280.0,-5123447.0,985167.0,4138280.0,0.0,21.1,-26.12,5.02,21.1,0.0,11.06,2.6,0.0,0.0
2020-01-10,-2285791.0,3268969.0,-983180.0,-2285791.0,0.0,-17.37,24.84,-7.47,-17.37,0.0,10.88,-1.63,0.0,0.0
2020-01-13,-834369.0,977832.0,-143462.0,-834369.0,0.0,-9.21,10.79,-1.58,-9.21,0.0,10.83,-0.46,0.0,0.0
2020-01-14,-340368.0,802589.0,-462221.0,-340368.0,0.0,-3.09,7.29,-4.2,-3.09,0.0,10.84,0.09,0.0,0.0
2020-01-15,-590809.0,606292.0,-15482.0,-590809.0,0.0,-8.23,8.44,-0.22,-8.23,0.0,10.74,-0.92,0.0,0.0
2020-01-16,0.0,10139.0,-10140.0,0.0,0.0,0.0,0.18,-0.18,0.0,0.0,10.71,-0.28,0.0,0.0
2020-01-17,35211.0,443958.0,-479169.0,35211.0,0.0,0.59,7.49,-8.08,0.59,0.0,10.65,-0.56,0.0,0.0
2020-01-20,-9664.0,209048.0,-199384.0,-234383.0,224719.0,-0.17,3.76,-3.59,-4.21,4.04,10.7,0.47,0.0,0.0
2020-01-21,-1002199.0,1301729.0,-299530.0,-1091534.0,89335.0,-13.43,17.45,-4.01,-14.63,1.2,10.46,-2.24,0.0,0.0
2020-01-22,273270.0,-673287.0,400018.0,273270.0,0.0,2.94,-7.24,4.3,2.94,0.0,10.38,-0.76,0.0,0.0
2020-01-23,-257875.0,729156.0,-471281.0,-257875.0,0.0,-3.55,10.04,-6.49,-3.55,0.0,10.19,-1.83,0.0,0.0
2020-02-03,0.0,569640.0,-569640.0,0.0,0.0,0.0,22.69,-22.69,0.0,0.0,9.17,-10.01,0.0,0.0
2020-02-04,-3218687.0,1704480.0,1514208.0,-355747.0,-2862940.0,-16.76,8.87,7.88,-1.85,-14.91,8.61,-6.11,0.0,0.0
2020-02-05,-1754386.0,1655654.0,98733.0,-593511.0,-1160875.0,-13.62,12.85,0.77,-4.61,-9.01,8.7,1.05,0.0,0.0
2020-02-06,13506.0,464271.0,-477777.0,13506.0,0.0,0.13,4.43,-4.56,0.13,0.0,8.89,2.18,0.0,0.0
2020-02-07,38430.0,-143665.0,105236.0,38430.0,0.0,0.42,-1.58,1.16,0.42,0.0,9.0,1.24,0.0,0.0
2020-02-10,539263.0,-355410.0,-183853.0,539263.0,0.0,6.91,-4.56,-2.36,6.91,0.0,9.3,3.33,0.0,0.0
2020-02-11,-347150.0,762823.0,-415673.0,-347150.0,0.0,-4.72,10.37,-5.65,-4.72,0.0,9.26,-0.43,0.0,0.0
2020-02-12,-182476.0,781837.0,-599360.0,-182476.0,0.0,-2.75,11.76,-9.02,-2.75,0.0,9.3,0.43,0.0,0.0
2020-02-13,57189.0,307233.0,-364422.0,57189.0,0.0,0.83,4.44,-5.27,0.83,0.0,9.18,-1.29,0.0,0.0
2020-02-14,-51408.0,628882.0,-577473.0,-51408.0,0.0,-0.86,10.52,-9.66,-0.86,0.0,9.17,-0.11,0.0,0.0
2020-02-17,72930.0,1080642.0,-1153572.0,72930.0,0.0,0.63,9.33,-9.96,0.63,0.0,9.37,2.18,0.0,0.0
2020-02-18,31006.0,-380807.0,349800.0,31006.0,0.0,0.28,-3.4,3.12,0.28,0.0,9.55,1.92,0.0,0.0
2020-02-19,-234209.0,184889.0,49319.0,-234209.0,0.0,-3.54,2.79,0.74,-3.54,0.0,9.55,0.0,0.0,0.0
2020-02-20,26852.0,330581.0,-357433.0,26852.0,0.0,0.35,4.25,-4.6,0.35,0.0,9.63,0.84,0.0,0.0
2020-02-21,327574.0,-525805.0,198230.0,327574.0,0.0,3.79,-6.08,2.29,3.79,0.0,9.72,0.93,0.0,0.0
2020-02-24,158555.0,909131.0,-1067687.0,158555.0,0.0,1.41,8.11,-9.52,1.41,0.0,9.63,-0.93,0.0,0.0
2020-02-25,-961307.0,2047940.0,-1086632.0,-961307.0,0.0,-5.6,11.93,-6.33,-5.6,0.0,9.28,-3.63,0.0,0.0
2020-02-26,762296.0,-501436.0,-260860.0,762296.0,0.0,3.28,-2.16,-1.12,3.28,0.0,9.65,3.99,0.0,0.0
2020-02-27,18454.0,1039728.0,-1058183.0,18454.0,0.0,0.13,7.42,-7.55,0.13,0.0,9.46,-1.97,0.0,0.0
2020-02-28,-243453.0,-101022.0,344476.0,-243453.0,0.0,-1.73,-0.72,2.45,-1.73,0.0,9.06,-4.23,0.0,0.0
2020-03-02,65736.0,135257.0,-200994.0,65736.0,0.0,0.48,0.99,-1.46,0.48,0.0,9.51,4.97,0.0,0.0
2020-03-03,-455522.0,874177.0,-418655.0,-455522.0,0.0,-2.15,4.12,-1.98,-2.15,0.0,9.59,0.84,0.0,0.0
2020-03-04,747423.0,158108.0,-905531.0,747423.0,0.0,4.06,0.86,-4.92,4.06,0.0,9.79,2.09,0.0,0.0
2020-03-05,-685169.0,2677147.0,-1991979.0,-685169.0,0.0,-2.61,10.2,-7.59,-2.61,0.0,10.02,2.35,0.0,0.0
2020-03-06,173468.0,264690.0,-438159.0,173468.0,0.0,0.85,1.3,-2.16,0.85,0.0,10.02,0.0,0.0,0.0
2020-03-09,-382860.0,986878.0,-604019.0,-382860.0,0.0,-2.27,5.86,-3.59,-2.27,0.0,9.69,-3.29,0.0,0.0
2020-03-10,200910.0,-36458.0,-164452.0,200910.0,0.0,1.43,-0.26,-1.17,1.43,0.0,9.77,0.83,0.0,0.0
2020-03-11,784781.0,282477.0,-1067258.0,784781.0,0.0,6.41,2.31,-8.72,6.41,0.0,9.76,-0.1,0.0,0.0
2020-03-12,-324575.0,913880.0,-589305.0,-324575.0,0.0,-2.67,7.52,-4.85,-2.67,0.0,9.56,-2.05,0.0,0.0
2020-03-13,-43584.0,1506575.0,-1462990.0,-43584.0,0.0,-0.3,10.37,-10.07,-0.3,0.0,9.32,-2.51,0.0,0.0
2020-03-16,-515037.0,223498.0,291539.0,-515037.0,0.0,-4.05,1.76,2.29,-4.05,0.0,9.01,-3.33,0.0,0.0
2020-03-17,-31890.0,844634.0,-812743.0,-31890.0,0.0,-0.26,7.02,-6.75,-0.26,0.0,8.78,-2.55,0.0,0.0
2020-03-18,571728.0,579553.0,-1151281.0,571728.0,0.0,4.21,4.27,-8.47,4.21,0.0,8.71,-0.8,0.0,0.0
2020-03-19,-517036.0,1285353.0,-768317.0,-517036.0,0.0,-3.74,9.31,-5.56,-3.74,0.0,8.55,-1.84,0.0,0.0
2020-03-20,1113703.0,-1046824.0,-66879.0,1113703.0,0.0,7.38,-6.94,-0.44,7.38,0.0,9.03,5.61,0.0,0.0
2020-03-23,-99493.0,79595.0,19899.0,-99493.0,0.0,-0.7,0.56,0.14,-0.7,0.0,8.89,-1.55,0.0,0.0
2020-03-24,-215130.0,133029.0,82100.0,-215130.0,0.0,-2.12,1.31,0.81,-2.12,0.0,9.03,1.57,0.0,0.0
2020-03-25,367097.0,-135781.0,-231316.0,367097.0,0.0,4.39,-1.62,-2.77,4.39,0.0,9.1,0.78,0.0,0.0
