date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-78940.0,1471218.0,-1392278.0,-1564677.0,1485737.0,-0.2,3.66,-3.46,-3.89,3.69,5.31,-0.75,0.0,0.0
2020-01-09,-3575242.0,3181305.0,393937.0,-2497257.0,-1077985.0,-15.47,13.76,1.7,-10.8,-4.66,5.34,0.56,0.0,0.0
2020-01-10,-8141464.0,6985817.0,1155648.0,-8141464.0,0.0,-22.83,19.59,3.24,-22.83,0.0,5.25,-1.69,0.0,0.0
2020-01-13,-5556322.0,5124678.0,431644.0,-5556322.0,0.0,-19.38,17.87,1.51,-19.38,0.0,5.24,-0.19,0.0,0.0
2020-01-14,-6551198.0,3936575.0,2614622.0,-7885288.0,1334090.0,-19.64,11.8,7.84,-23.64,4.0,5.23,-0.19,0.0,0.0
2020-01-15,-625002.0,490973.0,134029.0,-625002.0,0.0,-2.19,1.72,0.47,-2.19,0.0,5.19,-0.76,0.0,0.0
2020-01-16,-7724052.0,6448794.0,1275258.0,-5338225.0,-2385827.0,-21.62,18.05,3.57,-14.94,-6.68,5.11,-1.54,0.0,0.0
2020-01-17,-1157218.0,2223944.0,-1066726.0,-1157218.0,0.0,-5.5,10.56,-5.07,-5.5,0.0,5.08,-0.59,0.0,0.0
2020-01-20,-357178.0,511633.0,-154456.0,-357178.0,0.0,-1.48,2.12,-0.64,-1.48,0.0,5.19,2.17,0.0,0.0
2020-01-21,-791685.0,-557786.0,1349471.0,-925329.0,133644.0,-3.47,-2.45,5.92,-4.06,0.59,5.16,-0.58,0.0,0.0
2020-01-22,17942801.0,-6596873.0,-11345929.0,10417007.0,7525794.0,7.47,-2.75,-4.72,4.34,3.13,5.52,6.98,0.0,0.0
2020-01-23,-21270362.0,9208824.0,12061539.0,-15696535.0,-5573827.0,-17.14,7.42,9.72,-12.65,-4.49,5.47,-0.91,0.0,0.0
2020-02-03,-12613613.0,8864023.0,3749590.0,-4574430.0,-8039183.0,-11.1,7.8,3.3,-4.02,-7.07,4.92,-10.05,0.0,0.0
2020-02-04,2099125.0,-6837605.0,4738479.0,5357686.0,-3258561.0,1.99,-6.5,4.5,5.09,-3.1,5.25,6.71,0.0,0.0
2020-02-05,2831571.0,-5470958.0,2639386.0,2301775.0,529796.0,2.4,-4.63,2.23,1.95,0.45,5.42,3.24,0.0,0.0
2020-02-06,3075193.0,-1398886.0,-1676307.0,-116144.0,3191337.0,2.13,-0.97,-1.16,-0.08,2.21,5.56,2.58,0.0,0.0
2020-02-07,6208080.0,-2182238.0,-4025842.0,4940585.0,1267495.0,2.77,-0.97,-1.8,2.21,0.57,6.02,8.27,0.0,0.0
2020-02-10,-16982781.0,18030112.0,-1047332.0,-12185098.0,-4797683.0,-7.22,7.67,-0.45,-5.18,-2.04,6.1,1.33,0.0,0.0
2020-02-11,-8989134.0,9940751.0,-951616.0,-8927043.0,-62091.0,-7.67,8.48,-0.81,-7.61,-0.05,5.92,-2.95,0.0,0.0
2020-02-12,6841333.0,-3951313.0,-2890021.0,4756861.0,2084472.0,3.23,-1.87,-1.37,2.25,0.99,6.23,5.24,0.0,0.0
2020-02-13,-12167353.0,6159856.0,6007497.0,-8367750.0,-3799603.0,-6.87,3.48,3.39,-4.73,-2.15,6.34,1.77,0.0,0.0
2020-02-14,-7770713.0,6279786.0,1490926.0,-8715879.0,945166.0,-5.64,4.56,1.08,-6.33,0.69,6.22,-1.89,0.0,0.0
