date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-425682.0,849395.0,-423713.0,666499.0,-1092181.0,-1.78,3.55,-1.77,2.79,-4.56,3.82,-2.05,0.0,0.0
2020-01-09,-1045052.0,1359488.0,-314437.0,-618812.0,-426240.0,-5.02,6.53,-1.51,-2.97,-2.05,3.87,1.31,0.0,0.0
2020-01-10,764534.0,-1361095.0,596560.0,279000.0,485534.0,4.13,-7.35,3.22,1.51,2.62,3.86,-0.26,0.0,0.0
2020-01-13,1898416.0,-929662.0,-968755.0,1482539.0,415877.0,11.79,-5.77,-6.01,9.2,2.58,3.88,0.52,0.0,0.0
2020-01-14,281701.0,1394067.0,-1675767.0,-183398.0,465099.0,1.25,6.19,-7.45,-0.81,2.07,3.87,-0.26,0.0,0.0
2020-01-15,19707.0,246478.0,-266185.0,19707.0,0.0,0.11,1.43,-1.54,0.11,0.0,3.84,-0.78,0.0,0.0
2020-01-16,35435353.0,-23870323.0,-11565031.0,15392631.0,20042722.0,25.48,-17.16,-8.31,11.07,14.41,4.09,6.51,0.0,0.0
2020-01-17,9040067.0,-1318888.0,-7721180.0,5636644.0,3403423.0,3.54,-0.52,-3.02,2.21,1.33,4.17,1.96,0.0,0.0
2020-01-20,-12252777.0,10819758.0,1433018.0,-12252777.0,0.0,-16.72,14.77,1.96,-16.72,0.0,4.02,-3.6,0.0,0.0
2020-01-21,-989429.0,2840236.0,-1850807.0,-852102.0,-137327.0,-2.09,6.01,-3.92,-1.8,-0.29,3.95,-1.74,0.0,0.0
2020-01-22,4917354.0,-2060990.0,-2856365.0,4601624.0,315730.0,10.59,-4.44,-6.15,9.91,0.68,4.06,2.78,0.0,0.0
2020-01-23,-11267487.0,11447714.0,-180228.0,-11385297.0,117810.0,-22.34,22.7,-0.36,-22.57,0.23,3.87,-4.68,0.0,0.0
2020-02-03,-1264493.0,2323387.0,-1058895.0,-1264493.0,0.0,-14.14,25.98,-11.84,-14.14,0.0,3.48,-10.08,0.0,0.0
2020-02-04,-643785.0,2797472.0,-2153687.0,-643785.0,0.0,-1.53,6.66,-5.13,-1.53,0.0,3.33,-4.31,0.0,0.0
2020-02-05,5493625.0,-2442905.0,-3050720.0,5493625.0,0.0,16.39,-7.29,-9.1,16.39,0.0,3.44,3.3,0.0,0.0
2020-02-06,-6586802.0,4917637.0,1669165.0,-4630159.0,-1956643.0,-14.65,10.94,3.71,-10.3,-4.35,3.51,2.03,0.0,0.0
2020-02-07,-1424171.0,-8427.0,1432598.0,-1424171.0,0.0,-4.82,-0.03,4.85,-4.82,0.0,3.5,-0.28,0.0,0.0
2020-02-10,3424811.0,-2386345.0,-1038466.0,951148.0,2473663.0,10.09,-7.03,-3.06,2.8,7.29,3.63,3.71,0.0,0.0
2020-02-11,-5787109.0,3844902.0,1942208.0,-5787109.0,0.0,-21.61,14.36,7.25,-21.61,0.0,3.55,-2.2,0.0,0.0
2020-02-12,2379889.0,-2411825.0,31935.0,1105273.0,1274616.0,9.22,-9.34,0.12,4.28,4.94,3.6,1.41,0.0,0.0
2020-02-13,-8017947.0,6136824.0,1881123.0,-5467647.0,-2550300.0,-27.25,20.86,6.39,-18.58,-8.67,3.48,-3.33,0.0,0.0
2020-02-14,-203507.0,1145910.0,-942402.0,-203507.0,0.0,-1.12,6.32,-5.2,-1.12,0.0,3.5,0.57,0.0,0.0
2020-02-17,-1359082.0,1810512.0,-451429.0,-1359082.0,0.0,-3.63,4.84,-1.21,-3.63,0.0,3.65,4.29,0.0,0.0
2020-02-18,-1656591.0,3267975.0,-1611385.0,-1656591.0,0.0,-5.47,10.79,-5.32,-5.47,0.0,3.67,0.55,0.0,0.0
2020-02-19,-567278.0,-1756930.0,2324209.0,-567278.0,0.0,-1.97,-6.1,8.07,-1.97,0.0,3.68,0.27,0.0,0.0
2020-02-20,506783.0,-2394955.0,1888172.0,506783.0,0.0,1.47,-6.93,5.47,1.47,0.0,3.76,2.17,0.0,0.0
2020-02-21,-70344.0,1876243.0,-1805900.0,-70344.0,0.0,-0.19,5.07,-4.88,-0.19,0.0,3.79,0.8,0.0,0.0
2020-02-24,-1934990.0,3360835.0,-1425844.0,-1934990.0,0.0,-6.63,11.52,-4.89,-6.63,0.0,3.77,-0.53,0.0,0.0
2020-02-25,-5503783.0,6334572.0,-830789.0,-5503783.0,0.0,-11.91,13.71,-1.8,-11.91,0.0,3.72,-1.33,0.0,0.0
2020-02-26,64172.0,-700166.0,635994.0,64172.0,0.0,0.18,-1.92,1.74,0.18,0.0,3.72,0.0,0.0,0.0
2020-02-27,-475841.0,963757.0,-487915.0,998553.0,-1474394.0,-1.6,3.24,-1.64,3.35,-4.95,3.75,0.81,0.0,0.0
2020-02-28,-1313860.0,3258895.0,-1945035.0,-1313860.0,0.0,-3.88,9.64,-5.75,-3.88,0.0,3.55,-5.33,0.0,0.0
2020-03-02,7464890.0,-7495799.0,30908.0,4772744.0,2692146.0,20.27,-20.36,0.08,12.96,7.31,3.77,6.2,0.0,0.0
2020-03-03,-6735134.0,4709747.0,2025388.0,-6564963.0,-170171.0,-15.91,11.13,4.78,-15.51,-0.4,3.76,-0.27,0.0,0.0
2020-03-04,-133837.0,1576202.0,-1442364.0,460863.0,-594700.0,-0.22,2.56,-2.34,0.75,-0.96,3.87,2.93,0.0,0.0
2020-03-05,-354796.0,-814161.0,1168957.0,-753401.0,398605.0,-0.73,-1.67,2.4,-1.54,0.82,3.9,0.78,0.0,0.0
2020-03-06,2955854.0,-3246158.0,290303.0,1582903.0,1372951.0,5.6,-6.14,0.55,3.0,2.6,3.89,-0.26,0.0,0.0
2020-03-09,-3528573.0,3764452.0,-235879.0,-3528573.0,0.0,-8.2,8.75,-0.55,-8.2,0.0,3.81,-2.06,0.0,0.0
2020-03-10,399207.0,1127808.0,-1527015.0,399207.0,0.0,0.8,2.27,-3.08,0.8,0.0,3.88,1.84,0.0,0.0
2020-03-11,-4071940.0,596836.0,3475104.0,-4071940.0,0.0,-10.26,1.5,8.75,-10.26,0.0,3.88,0.0,0.0,0.0
2020-03-12,2545434.0,-2823371.0,277937.0,2545434.0,0.0,4.16,-4.61,0.45,4.16,0.0,3.96,2.06,0.0,0.0
2020-03-13,-9697333.0,6601492.0,3095843.0,-6076291.0,-3621042.0,-15.73,10.71,5.02,-9.86,-5.87,3.84,-3.03,0.0,0.0
2020-03-16,-4441891.0,4225845.0,216046.0,-4441891.0,0.0,-9.14,8.69,0.44,-9.14,0.0,3.74,-2.6,0.0,0.0
