date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,4454002.0,-4327289.0,-126713.0,4851546.0,-397544.0,9.41,-9.14,-0.27,10.25,-0.84,17.49,3.12,0.0,0.0
2020-01-09,5709157.0,-2553768.0,-3155389.0,5707391.0,1766.0,12.97,-5.8,-7.17,12.97,0.0,17.76,1.54,0.0,0.0
2020-01-10,-7216923.0,2764159.0,4452766.0,-7216923.0,0.0,-11.87,4.55,7.32,-11.87,0.0,17.3,-2.59,0.0,0.0
2020-01-13,24909065.0,-9949368.0,-14959697.0,10976623.0,13932442.0,14.91,-5.96,-8.96,6.57,8.34,19.03,10.0,0.0,0.0
2020-01-14,1017211.0,-6578348.0,5561136.0,-1034048.0,2051259.0,0.88,-5.68,4.8,-0.89,1.77,19.07,0.21,0.0,0.0
2020-01-15,7647952.0,-6903477.0,-744476.0,4670247.0,2977705.0,4.01,-3.62,-0.39,2.45,1.56,20.3,6.45,0.0,0.0
2020-01-16,12239970.0,3190086.0,-15430057.0,-518367.0,12758337.0,7.3,1.9,-9.2,-0.31,7.61,21.1,3.94,0.0,0.0
2020-01-17,10389591.0,-5343732.0,-5045860.0,3496642.0,6892949.0,12.48,-6.42,-6.06,4.2,8.28,23.21,10.0,0.0,0.0
2020-01-20,-39652471.0,27542496.0,12109974.0,-29889875.0,-9762596.0,-11.31,7.86,3.46,-8.53,-2.79,24.82,6.94,0.0,0.0
2020-01-21,-11333789.0,8714210.0,2619580.0,2488296.0,-13822085.0,-5.59,4.3,1.29,1.23,-6.82,22.35,-9.95,0.0,0.0
2020-01-22,943016.0,-1403656.0,460639.0,7070536.0,-6127520.0,0.5,-0.74,0.24,3.71,-3.22,22.98,2.82,0.0,0.0
2020-01-23,-3729681.0,6891547.0,-3161865.0,-565611.0,-3164070.0,-3.09,5.71,-2.62,-0.47,-2.62,21.44,-6.7,0.0,0.0
2020-02-03,-4708698.0,6084685.0,-1375986.0,6253900.0,-10962598.0,-4.04,5.23,-1.18,5.37,-9.41,19.3,-9.98,0.0,0.0
2020-02-04,-195603.0,6501630.0,-6306028.0,-7699021.0,7503418.0,-0.16,5.46,-5.3,-6.47,6.3,21.23,10.0,0.0,0.0
2020-02-05,-10566965.0,7626832.0,2940134.0,-7459154.0,-3107811.0,-6.64,4.79,1.85,-4.69,-1.95,21.0,-1.08,0.0,0.0
2020-02-06,-2145698.0,-631901.0,2777599.0,-188521.0,-1957177.0,-2.3,-0.68,2.98,-0.2,-2.1,21.48,2.29,0.0,0.0
2020-02-07,-3126830.0,3991416.0,-864586.0,-3222390.0,95560.0,-4.17,5.32,-1.15,-4.29,0.13,21.24,-1.12,0.0,0.0
2020-02-10,15620293.0,-8737436.0,-6882856.0,2901910.0,12718383.0,11.38,-6.36,-5.01,2.11,9.26,23.36,9.98,0.0,0.0
2020-02-11,9725455.0,-447715.0,-9277740.0,-13772402.0,23497857.0,2.3,-0.11,-2.19,-3.26,5.56,25.59,9.55,0.0,0.0
2020-02-12,-8079381.0,2952665.0,5126718.0,-12389159.0,4309778.0,-2.77,1.01,1.76,-4.24,1.48,25.65,0.23,0.0,0.0
2020-02-13,8761015.0,-1763603.0,-6997414.0,2793129.0,5967886.0,2.52,-0.51,-2.02,0.8,1.72,26.6,3.7,0.0,0.0
2020-02-14,-30686457.0,9315930.0,21370527.0,-4899746.0,-25786711.0,-10.84,3.29,7.55,-1.73,-9.11,24.99,-6.05,0.0,0.0
2020-02-17,-5242242.0,6537176.0,-1294934.0,-2135591.0,-3106651.0,-3.71,4.63,-0.92,-1.51,-2.2,25.4,1.64,0.0,0.0
