date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-56962682.0,54044971.0,2917710.0,-28665324.0,-28297358.0,-10.58,10.04,0.54,-5.32,-5.26,208.39,-2.75,0.0,0.0
2020-01-09,1674697.0,19273075.0,-20947760.0,-24325279.0,25999976.0,0.24,2.71,-2.94,-3.42,3.65,214.3,2.84,0.0,0.0
2020-01-10,228092688.0,-92822573.0,-135270128.0,1772400.0,226320288.0,12.7,-5.17,-7.53,0.1,12.6,235.81,10.04,0.0,0.0
2020-01-13,130454896.0,-62564924.0,-67889984.0,26177664.0,104277232.0,6.8,-3.26,-3.54,1.36,5.43,259.47,10.03,0.0,0.0
2020-01-14,-38714736.0,28619632.0,10095088.0,-37873360.0,-841376.0,-1.65,1.22,0.43,-1.62,-0.04,265.2,2.21,0.0,0.0
2020-01-15,64133205.0,-52374059.0,-11759152.0,105155776.0,-41022571.0,4.5,-3.67,-0.82,7.37,-2.88,267.4,0.83,0.0,0.0
2020-01-16,3314899.0,-25724418.0,22409520.0,1597888.0,1717011.0,0.24,-1.89,1.64,0.12,0.13,272.16,1.78,0.0,0.0
2020-01-17,8404018.0,3950629.0,-12354656.0,28286944.0,-19882926.0,0.93,0.44,-1.37,3.14,-2.21,276.0,1.41,0.0,0.0
2020-01-20,10232122.0,-21271422.0,11039296.0,29902480.0,-19670358.0,0.84,-1.75,0.91,2.46,-1.62,288.68,4.59,0.0,0.0
2020-01-21,10469579.0,-13462379.0,2992800.0,-11115184.0,21584763.0,0.88,-1.13,0.25,-0.93,1.82,288.45,-0.08,0.0,0.0
2020-01-22,35496240.0,-8429070.0,-27067168.0,-5004160.0,40500400.0,2.02,-0.48,-1.54,-0.28,2.3,317.38,10.03,0.0,0.0
2020-01-23,-88088400.0,37405136.0,50683280.0,7440928.0,-95529328.0,-3.81,1.62,2.19,0.32,-4.13,337.26,6.26,0.0,0.0
2020-02-03,21508972.0,-14906960.0,-6602010.0,-87574132.0,109083104.0,1.6,-1.11,-0.49,-6.5,8.09,303.45,-10.02,0.0,0.0
2020-02-04,64782864.0,25852480.0,-90635344.0,-74344624.0,139127488.0,2.43,0.97,-3.41,-2.79,5.23,333.88,10.03,0.0,0.0
2020-02-05,-113635216.0,79006864.0,34628352.0,15094400.0,-128729616.0,-5.21,3.63,1.59,0.69,-5.91,328.63,-1.57,0.0,0.0
2020-02-06,-41458849.0,32961616.0,8497232.0,35525792.0,-76984641.0,-2.71,2.16,0.56,2.32,-5.04,328.2,-0.13,0.0,0.0
2020-02-07,-21839293.0,61624800.0,-39785520.0,-62058592.0,40219299.0,-1.33,3.76,-2.43,-3.78,2.45,327.5,-0.21,0.0,0.0
2020-02-10,-368726944.0,202457168.0,166269760.0,-39162544.0,-329564400.0,-16.17,8.88,7.29,-1.72,-14.45,300.8,-8.15,0.0,0.0
2020-02-11,34592837.0,-12339040.0,-22253776.0,-12187472.0,46780309.0,2.17,-0.77,-1.4,-0.76,2.93,308.05,2.41,0.0,0.0
2020-02-12,15192833.0,1562416.0,-16755232.0,-27842896.0,43035729.0,1.19,0.12,-1.31,-2.18,3.37,310.7,0.86,0.0,0.0
2020-02-13,89766232.0,-1647424.0,-88118768.0,52050944.0,37715288.0,4.36,-0.08,-4.28,2.53,1.83,317.2,2.09,0.0,0.0
2020-02-14,-50842017.0,51358784.0,-516768.0,-23314768.0,-27527249.0,-2.82,2.85,-0.03,-1.29,-1.53,313.2,-1.26,0.0,0.0
2020-02-17,133744073.0,6543152.0,-140287232.0,19975296.0,113768777.0,8.01,0.39,-8.4,1.2,6.81,323.68,3.35,0.0,0.0
2020-02-18,89056608.0,-9900544.0,-79156064.0,54976096.0,34080512.0,4.62,-0.51,-4.11,2.85,1.77,332.47,2.72,0.0,0.0
2020-02-19,107352544.0,-38131616.0,-69220944.0,46102192.0,61250352.0,4.45,-1.58,-2.87,1.91,2.54,349.16,5.02,0.0,0.0
2020-02-20,71616272.0,-52782064.0,-18834208.0,41594224.0,30022048.0,3.18,-2.34,-0.84,1.85,1.33,358.2,2.59,0.0,0.0
2020-02-21,49681968.0,-8483280.0,-41198688.0,72743984.0,-23062016.0,2.61,-0.44,-2.16,3.81,-1.21,363.09,1.37,0.0,0.0
2020-02-24,-87358704.0,76078784.0,11279936.0,-34387104.0,-52971600.0,-4.04,3.52,0.52,-1.59,-2.45,370.89,2.15,0.0,0.0
2020-02-25,-43397872.0,38296096.0,5101776.0,-16045088.0,-27352784.0,-1.54,1.36,0.18,-0.57,-0.97,372.48,0.43,0.0,0.0
2020-02-26,-266611280.0,152260448.0,114350848.0,22046864.0,-288658144.0,-9.97,5.7,4.28,0.82,-10.8,339.2,-8.93,0.0,0.0
2020-02-27,-56120832.0,97070144.0,-40949328.0,-96997760.0,40876928.0,-2.54,4.39,-1.85,-4.38,1.85,328.08,-3.28,0.0,0.0
2020-02-28,-35952000.0,44669936.0,-8717936.0,5966672.0,-41918672.0,-1.76,2.19,-0.43,0.29,-2.05,309.06,-5.8,0.0,0.0
2020-03-02,-151597639.0,103296816.0,48300800.0,-54654992.0,-96942647.0,-7.63,5.2,2.43,-2.75,-4.88,306.2,-0.93,0.0,0.0
2020-03-03,101610512.0,-11500288.0,-90110208.0,-2765168.0,104375680.0,5.21,-0.59,-4.62,-0.14,5.35,319.4,4.31,0.0,0.0
2020-03-04,-68598500.0,62864256.0,5734240.0,32304976.0,-100903476.0,-4.43,4.06,0.37,2.09,-6.52,309.28,-3.17,0.0,0.0
2020-03-05,-18629202.0,37117328.0,-18488128.0,-13933680.0,-4695522.0,-1.51,3.01,-1.5,-1.13,-0.38,310.84,0.5,0.0,0.0
2020-03-06,82449399.0,-41441438.0,-41007952.0,36028920.0,46420479.0,8.41,-4.23,-4.18,3.68,4.74,314.1,1.05,0.0,0.0
2020-03-09,-147429005.0,87372064.0,60056944.0,45319552.0,-192748557.0,-8.72,5.17,3.55,2.68,-11.4,286.09,-8.92,0.0,0.0
2020-03-10,115139784.0,-99539744.0,-15600032.0,29685200.0,85454584.0,6.88,-5.95,-0.93,1.77,5.11,302.8,5.84,0.0,0.0
2020-03-11,-27605494.0,-9219312.0,36824816.0,11137728.0,-38743222.0,-2.26,-0.75,3.01,0.91,-3.17,293.5,-3.07,0.0,0.0
2020-03-12,-240886080.0,126052688.0,114833376.0,-43833968.0,-197052112.0,-11.11,5.82,5.3,-2.02,-9.09,280.8,-4.33,0.0,0.0
2020-03-13,52424879.0,-77977216.0,25552320.0,66092288.0,-13667409.0,2.84,-4.23,1.39,3.58,-0.74,278.21,-0.92,0.0,0.0
2020-03-16,-88750306.0,-6429744.0,95180064.0,36061504.0,-124811810.0,-5.1,-0.37,5.47,2.07,-7.17,250.7,-9.89,0.0,0.0
2020-03-17,204373723.0,-131514016.0,-72859712.0,62040928.0,142332795.0,9.95,-6.4,-3.55,3.02,6.93,261.55,4.33,0.0,0.0
2020-03-18,60564780.0,-64467216.0,3902432.0,57275232.0,3289548.0,4.36,-4.64,0.28,4.12,0.24,256.1,-2.08,0.0,0.0
2020-03-19,148805465.0,-148683959.0,-121504.0,81582208.0,67223257.0,10.26,-10.26,-0.01,5.63,4.64,264.7,3.36,0.0,0.0
2020-03-20,17780265.0,-89722112.0,71941840.0,78985552.0,-61205287.0,1.39,-7.0,5.61,6.16,-4.78,266.2,0.57,0.0,0.0
2020-03-23,-12815678.0,2332362.0,10483328.0,28408016.0,-41223694.0,-1.18,0.21,0.96,2.61,-3.79,249.2,-6.39,0.0,0.0
2020-03-24,50084683.0,-25834923.0,-24249760.0,37228912.0,12855771.0,4.64,-2.39,-2.24,3.45,1.19,257.5,3.33,0.0,0.0
2020-03-25,17735155.0,-3814160.0,-13920992.0,-2051952.0,19787107.0,1.37,-0.29,-1.08,-0.16,1.53,269.21,4.55,0.0,0.0
2020-03-26,-101807199.0,73763580.0,28043616.0,-52990959.0,-48816240.0,-10.18,7.37,2.8,-5.3,-4.88,258.58,-3.95,0.0,0.0
2020-03-27,31994903.0,12510203.0,-44505104.0,5754256.0,26240647.0,3.3,1.29,-4.6,0.59,2.71,264.05,2.12,0.0,0.0
2020-03-30,-21799480.0,7290261.0,14509216.0,10367520.0,-32167000.0,-2.15,0.72,1.43,1.02,-3.17,260.7,-1.27,0.0,0.0
2020-03-31,-50210091.0,36946483.0,13263600.0,-34807953.0,-15402138.0,-6.13,4.51,1.62,-4.25,-1.88,259.98,-0.28,0.0,0.0
2020-04-01,21694669.0,3110643.0,-24805312.0,17618593.0,4076076.0,2.69,0.39,-3.08,2.19,0.51,258.51,-0.57,0.0,0.0
2020-04-02,153773670.0,-50710928.0,-103062736.0,15388672.0,138384998.0,11.66,-3.84,-7.81,1.17,10.49,279.51,8.12,0.0,0.0
2020-04-03,260336.0,-12127083.0,11866736.0,4653912.0,-4393576.0,0.03,-1.34,1.31,0.51,-0.49,276.4,-1.11,0.0,0.0
2020-04-07,-2492753.0,1845403.0,647360.0,18835533.0,-21328286.0,-0.25,0.18,0.06,1.87,-2.12,281.54,1.86,0.0,0.0
2020-04-08,-68645360.0,39382035.0,29263328.0,-3820925.0,-64824435.0,-7.62,4.37,3.25,-0.42,-7.19,275.71,-2.07,0.0,0.0
2020-04-09,-66819614.0,55904774.0,10914840.0,-16353274.0,-50466340.0,-10.23,8.56,1.67,-2.5,-7.73,269.96,-2.09,0.0,0.0
2020-04-10,-134455908.0,78106918.0,56348984.0,-50045450.0,-84410458.0,-17.67,10.26,7.41,-6.58,-11.09,259.2,-3.99,0.0,0.0
2020-04-13,-99940327.0,63728196.0,36212127.0,-12746353.0,-87193974.0,-13.69,8.73,4.96,-1.75,-11.94,249.08,-3.9,0.0,0.0
2020-04-14,17812898.0,-45145876.0,27332978.0,-5431344.0,23244242.0,2.47,-6.26,3.79,-0.75,3.22,255.2,2.46,0.0,0.0
2020-04-15,25626022.0,-10407719.0,-15218320.0,-13303187.0,38929209.0,2.77,-1.12,-1.64,-1.44,4.2,258.08,1.13,0.0,0.0
2020-04-16,-113701604.0,29981125.0,83720464.0,-70529104.0,-43172500.0,-11.57,3.05,8.52,-7.18,-4.39,257.78,-0.12,0.0,0.0
2020-04-17,40732936.0,6870448.0,-47603408.0,-22217968.0,62950904.0,2.93,0.49,-3.42,-1.6,4.52,265.6,3.03,0.0,0.0
2020-04-20,-42998076.0,52262117.0,-9264048.0,-28925400.0,-14072676.0,-4.98,6.05,-1.07,-3.35,-1.63,262.66,-1.11,0.0,0.0
2020-04-21,-189367224.0,115676204.0,73691024.0,-132746544.0,-56620680.0,-16.39,10.01,6.38,-11.49,-4.9,253.41,-3.52,0.0,0.0
2020-04-22,-30803929.0,42656641.0,-11852711.0,-17243526.0,-13560403.0,-5.07,7.02,-1.95,-2.84,-2.23,252.93,-0.19,0.0,0.0
2020-04-23,168247368.0,-85362417.0,-82884960.0,83470944.0,84776424.0,15.16,-7.69,-7.47,7.52,7.64,262.08,3.62,0.0,0.0
2020-04-24,-166788142.0,124995773.0,41792384.0,-80144192.0,-86643950.0,-13.9,10.42,3.48,-6.68,-7.22,249.8,-4.69,0.0,0.0
2020-04-27,-202937704.0,120556343.0,82381360.0,-12186800.0,-190750904.0,-10.69,6.35,4.34,-0.64,-10.05,236.9,-5.16,0.0,0.0
2020-04-28,67005311.0,-35002432.0,-32002880.0,29153328.0,37851983.0,4.82,-2.52,-2.3,2.1,2.72,250.09,5.57,0.0,0.0
2020-04-29,-414442224.0,214997134.0,199445072.0,3237168.0,-417679392.0,-22.33,11.58,10.75,0.17,-22.5,225.0,-10.03,0.0,0.0
2020-04-30,134801662.0,-79823632.0,-54978016.0,2276144.0,132525518.0,6.19,-3.67,-2.53,0.1,6.09,235.45,4.64,0.0,0.0
2020-05-06,13224420.0,8278512.0,-21502928.0,5423008.0,7801412.0,0.64,0.4,-1.05,0.26,0.38,241.2,2.44,0.0,0.0
2020-05-07,-91258269.0,80474080.0,10784192.0,-59914512.0,-31343757.0,-5.43,4.79,0.64,-3.56,-1.86,235.18,-2.5,0.0,0.0
2020-05-08,29619559.0,6942016.0,-36561568.0,-6464416.0,36083975.0,1.8,0.42,-2.22,-0.39,2.19,240.33,2.19,0.0,0.0
2020-05-11,23823622.0,37622688.0,-61446320.0,1209184.0,22614438.0,1.29,2.04,-3.33,0.07,1.23,242.59,0.94,0.0,0.0
2020-05-12,-115344113.0,70544528.0,44799600.0,-6213008.0,-109131105.0,-7.57,4.63,2.94,-0.41,-7.16,237.2,-2.22,0.0,0.0
2020-05-13,23738434.0,13878127.0,-37616560.0,17712040.0,6026394.0,2.18,1.27,-3.45,1.62,0.55,238.16,0.4,0.0,0.0
2020-05-14,-81017465.0,90993098.0,-9975632.0,-34770950.0,-46246515.0,-7.53,8.46,-0.93,-3.23,-4.3,233.2,-2.08,0.0,0.0
2020-05-15,155719237.0,-35555136.0,-120164080.0,61945872.0,93773365.0,7.39,-1.69,-5.7,2.94,4.45,239.56,2.73,0.0,0.0
2020-05-18,-512353893.0,285027376.0,227326512.0,-194819136.0,-317534757.0,-18.67,10.39,8.28,-7.1,-11.57,223.38,-6.75,0.0,0.0
2020-05-19,21753631.0,8543296.0,-30296944.0,9186880.0,12566751.0,1.35,0.53,-1.88,0.57,0.78,226.5,1.4,0.0,0.0
2020-05-20,107197663.0,-40367536.0,-66830128.0,39555296.0,67642367.0,5.95,-2.24,-3.71,2.2,3.76,230.66,1.84,0.0,0.0
2020-05-21,-256305620.0,178950958.0,77354672.0,-92403200.0,-163902420.0,-18.47,12.9,5.57,-6.66,-11.81,220.25,-4.51,0.0,0.0
2020-05-22,-49855283.0,63236619.0,-13381312.0,-32273264.0,-17582019.0,-4.26,5.4,-1.14,-2.76,-1.5,217.99,-1.03,0.0,0.0
