date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-3166404.0,4834217.0,-1667813.0,1344247.0,-4510651.0,-7.71,11.77,-4.06,3.27,-10.98,19.56,-2.83,0.0,0.0
2020-01-09,329200.0,-1122610.0,793410.0,329200.0,0.0,1.59,-5.43,3.84,1.59,0.0,19.88,1.64,0.0,0.0
2020-01-10,-507962.0,-480304.0,988265.0,-1648861.0,1140899.0,-2.82,-2.67,5.49,-9.16,6.34,19.9,0.1,0.0,0.0
2020-01-13,-2161315.0,1548400.0,612915.0,-1017417.0,-1143898.0,-7.91,5.67,2.24,-3.72,-4.19,20.11,1.06,0.0,0.0
2020-01-14,17692656.0,-9386088.0,-8306568.0,9516353.0,8176303.0,13.81,-7.33,-6.49,7.43,6.38,22.12,10.0,0.0,0.0
2020-01-15,-16951254.0,6331032.0,10620222.0,-14556974.0,-2394280.0,-8.45,3.16,5.3,-7.26,-1.19,22.71,2.67,0.0,0.0
2020-01-16,-7395554.0,8058801.0,-663248.0,-6080374.0,-1315180.0,-6.4,6.97,-0.57,-5.26,-1.14,21.71,-4.4,0.0,0.0
2020-01-17,-2988508.0,1110823.0,1877684.0,-3722736.0,734228.0,-5.55,2.06,3.49,-6.91,1.36,21.38,-1.52,0.0,0.0
2020-01-20,-10116223.0,8785301.0,1330923.0,-9651177.0,-465046.0,-13.85,12.03,1.82,-13.22,-0.64,21.0,-1.78,0.0,0.0
2020-01-21,2575526.0,-866829.0,-1708698.0,1862286.0,713240.0,4.17,-1.4,-2.77,3.01,1.15,21.5,2.38,0.0,0.0
2020-01-22,-3981420.0,4809645.0,-828223.0,-1304771.0,-2676649.0,-9.11,11.01,-1.9,-2.99,-6.13,20.75,-3.49,0.0,0.0
2020-01-23,-1244979.0,3094709.0,-1849730.0,-1107076.0,-137903.0,-3.18,7.91,-4.73,-2.83,-0.35,20.04,-3.42,0.0,0.0
2020-02-03,-27519.0,1427339.0,-1399820.0,1245669.0,-1273188.0,-0.05,2.6,-2.55,2.27,-2.32,18.1,-9.68,0.0,0.0
2020-02-04,1562477.0,1791874.0,-3354351.0,165374.0,1397103.0,2.55,2.92,-5.47,0.27,2.28,19.54,7.96,0.0,0.0
2020-02-05,-1460715.0,288042.0,1172673.0,-1134798.0,-325917.0,-2.15,0.42,1.73,-1.67,-0.48,20.71,5.99,0.0,0.0
2020-02-06,-4365031.0,4454669.0,-89638.0,-7937127.0,3572096.0,-3.38,3.45,-0.07,-6.14,2.77,22.33,7.82,0.0,0.0
2020-02-07,-208726.0,5227456.0,-5018729.0,2942209.0,-3150935.0,-0.13,3.14,-3.01,1.76,-1.89,23.21,3.94,0.0,0.0
2020-02-10,18586038.0,-10308731.0,-8277308.0,10365487.0,8220551.0,8.95,-4.97,-3.99,4.99,3.96,25.4,9.44,0.0,0.0
