date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-5001843.0,14181499.0,-9179656.0,-7545254.0,2543411.0,-2.31,6.56,-4.25,-3.49,1.18,25.9,-3.43,0.0,0.0
2020-01-09,-9597319.0,8444562.0,1152758.0,-8509645.0,-1087674.0,-5.56,4.89,0.67,-4.93,-0.63,26.21,1.2,0.0,0.0
2020-01-10,-6352308.0,5055189.0,1297119.0,-6415192.0,62884.0,-5.96,4.75,1.22,-6.02,0.06,25.87,-1.3,0.0,0.0
2020-01-13,10541569.0,-10262706.0,-278862.0,10803832.0,-262263.0,6.77,-6.59,-0.18,6.94,-0.17,26.45,2.24,0.0,0.0
2020-01-14,-11185287.0,14007211.0,-2821924.0,-7426003.0,-3759284.0,-8.32,10.42,-2.1,-5.53,-2.8,25.8,-2.46,0.0,0.0
2020-01-15,1127352.0,5757265.0,-6884617.0,2024918.0,-897566.0,1.17,6.0,-7.17,2.11,-0.94,25.81,0.04,0.0,0.0
2020-01-16,-9592694.0,15601367.0,-6008673.0,-9308585.0,-284109.0,-9.28,15.1,-5.82,-9.01,-0.27,25.87,0.23,0.0,0.0
2020-01-17,-1263870.0,6374132.0,-5110261.0,-1630411.0,366541.0,-1.51,7.61,-6.1,-1.95,0.44,25.5,-1.43,0.0,0.0
2020-01-20,3167123.0,-94702.0,-3072421.0,3206973.0,-39850.0,1.21,-0.04,-1.17,1.22,-0.02,26.9,5.49,0.0,0.0
2020-01-21,-13696701.0,12582090.0,1114610.0,-11815386.0,-1881315.0,-6.85,6.29,0.56,-5.91,-0.94,25.42,-5.5,0.0,0.0
2020-01-22,1974918.0,-5974826.0,3999910.0,3307416.0,-1332498.0,1.6,-4.85,3.25,2.68,-1.08,26.13,2.79,0.0,0.0
2020-01-23,67712485.0,-27494319.0,-40218165.0,17873162.0,49839323.0,12.91,-5.24,-7.67,3.41,9.5,28.76,10.07,0.0,0.0
2020-02-03,-38371612.0,36850893.0,1520720.0,-27091109.0,-11280503.0,-4.78,4.59,0.19,-3.37,-1.4,29.65,3.09,0.0,0.0
2020-02-04,-52686835.0,17648941.0,35037890.0,-31079117.0,-21607718.0,-7.05,2.36,4.69,-4.16,-2.89,32.15,8.43,0.0,0.0
2020-02-05,-10792253.0,13684915.0,-2892672.0,-20771354.0,9979101.0,-1.44,1.82,-0.39,-2.77,1.33,33.4,3.89,0.0,0.0
2020-02-06,1640284.0,10831470.0,-12471754.0,5540422.0,-3900138.0,0.25,1.67,-1.92,0.85,-0.6,33.66,0.78,0.0,0.0
2020-02-07,-37029892.0,44207577.0,-7177684.0,-28165747.0,-8864145.0,-6.77,8.08,-1.31,-5.15,-1.62,32.6,-3.15,0.0,0.0
2020-02-10,-2360460.0,8387565.0,-6027105.0,-13860353.0,11499893.0,-0.61,2.16,-1.55,-3.56,2.96,32.8,0.61,0.0,0.0
2020-02-11,-18754794.0,33348278.0,-14593485.0,-12039550.0,-6715244.0,-6.41,11.39,-4.99,-4.11,-2.29,31.15,-5.03,0.0,0.0
2020-02-12,664452.0,-2168679.0,1504228.0,7843966.0,-7179514.0,0.27,-0.89,0.62,3.21,-2.94,31.65,1.61,0.0,0.0
2020-02-13,6437208.0,5432248.0,-11869457.0,10047750.0,-3610542.0,1.8,1.52,-3.31,2.81,-1.01,32.48,2.62,0.0,0.0
2020-02-14,1212375.0,-12298089.0,11085715.0,6162300.0,-4949925.0,0.44,-4.43,3.99,2.22,-1.78,31.57,-2.8,0.0,0.0
2020-02-17,18837868.0,-10813346.0,-8024523.0,18537496.0,300372.0,8.46,-4.85,-3.6,8.32,0.13,32.42,2.69,0.0,0.0
2020-02-18,9316835.0,-6721831.0,-2595005.0,7132001.0,2184834.0,2.65,-1.91,-0.74,2.03,0.62,34.18,5.43,0.0,0.0
2020-02-19,-26549124.0,25591326.0,957798.0,-28040495.0,1491371.0,-9.84,9.49,0.36,-10.4,0.55,32.2,-5.79,0.0,0.0
2020-02-20,-25003248.0,28839333.0,-3836084.0,-18614034.0,-6389214.0,-11.33,13.07,-1.74,-8.43,-2.89,31.79,-1.27,0.0,0.0
