date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-5237057.0,6225936.0,-988879.0,-5237057.0,0.0,-6.6,7.84,-1.25,-6.6,0.0,30.26,-2.61,0.0,0.0
2020-01-09,20840201.0,-19123866.0,-1716337.0,19349931.0,1490270.0,10.45,-9.59,-0.86,9.71,0.75,31.91,5.45,0.0,0.0
2020-01-10,-8702529.0,3265397.0,5437132.0,-4363891.0,-4338638.0,-7.69,2.89,4.81,-3.86,-3.84,32.09,0.56,0.0,0.0
2020-01-13,-1587993.0,1943834.0,-355842.0,-1587993.0,0.0,-1.36,1.66,-0.3,-1.36,0.0,32.4,0.97,0.0,0.0
2020-01-14,3684554.0,-3354414.0,-330140.0,3817848.0,-133294.0,3.19,-2.9,-0.29,3.3,-0.12,31.98,-1.3,0.0,0.0
2020-01-15,37054036.0,-26031026.0,-11023010.0,22066680.0,14987356.0,12.36,-8.68,-3.68,7.36,5.0,34.6,8.19,0.0,0.0
2020-01-16,-5679953.0,2542984.0,3136968.0,-4841117.0,-838836.0,-2.77,1.24,1.53,-2.36,-0.41,35.03,1.24,0.0,0.0
2020-01-17,6020291.0,-167689.0,-5852601.0,4723142.0,1297149.0,3.83,-0.11,-3.72,3.0,0.82,35.31,0.8,0.0,0.0
2020-01-20,48126458.0,-24465134.0,-23661325.0,19720452.0,28406006.0,27.37,-13.92,-13.46,11.22,16.16,38.84,10.0,0.0,0.0
2020-01-21,22746631.0,-14254064.0,-8492567.0,24211152.0,-1464521.0,6.17,-3.86,-2.3,6.56,-0.4,41.52,6.9,0.0,0.0
2020-01-22,24359177.0,-10093490.0,-14265687.0,-12659760.0,37018937.0,6.22,-2.58,-3.64,-3.23,9.46,45.24,8.96,0.0,0.0
2020-01-23,-5855737.0,3644649.0,2211089.0,-4697372.0,-1158365.0,-2.08,1.3,0.79,-1.67,-0.41,44.81,-0.95,0.0,0.0
2020-02-03,-483960.0,1439781.0,-955821.0,250046.0,-734006.0,-3.05,9.07,-6.02,1.58,-4.63,40.33,-10.0,0.0,0.0
2020-02-04,-12738180.0,14479220.0,-1741041.0,-8836377.0,-3901803.0,-5.08,5.77,-0.69,-3.52,-1.56,41.74,3.5,0.0,0.0
2020-02-05,-32181539.0,15950720.0,16230819.0,-19323903.0,-12857636.0,-15.37,7.62,7.75,-9.23,-6.14,41.0,-1.77,0.0,0.0
2020-02-06,-9968634.0,7807400.0,2161235.0,-6184974.0,-3783660.0,-4.77,3.73,1.03,-2.96,-1.81,40.34,-1.61,0.0,0.0
2020-02-07,-23124044.0,17054235.0,6069808.0,-19853010.0,-3271034.0,-10.88,8.02,2.86,-9.34,-1.54,39.73,-1.51,0.0,0.0
2020-02-10,-30618724.0,22312478.0,8306247.0,-22566606.0,-8052118.0,-17.06,12.43,4.63,-12.57,-4.49,39.88,0.38,0.0,0.0
2020-02-11,15067795.0,-21382737.0,6314942.0,15333436.0,-265641.0,5.44,-7.73,2.28,5.54,-0.1,41.53,4.14,0.0,0.0
2020-02-12,-44299572.0,29189308.0,15110264.0,-34909005.0,-9390567.0,-18.14,11.95,6.19,-14.29,-3.84,40.25,-3.08,0.0,0.0
2020-02-13,-7534850.0,8464800.0,-929950.0,-7259308.0,-275542.0,-4.39,4.93,-0.54,-4.23,-0.16,39.12,-2.81,0.0,0.0
2020-02-14,490182.0,805957.0,-1296139.0,-2136654.0,2626836.0,0.33,0.55,-0.88,-1.45,1.79,39.69,1.46,0.0,0.0
